Date,Open,High,Low,Close,Adj Close,Volume
2003-12-01,2.946000,2.948000,2.923000,2.934000,2.934000,0
2003-12-08,2.934000,2.945000,2.931000,2.935000,2.935000,0
2003-12-15,2.935000,2.943000,2.918000,2.923000,2.923000,0
2003-12-22,2.923000,2.928000,2.805000,2.901000,2.901000,0
2003-12-29,2.901000,2.908000,2.860000,2.876000,2.876000,0
2004-01-05,2.876000,2.880000,2.830000,2.830000,2.830000,0
2004-01-12,2.830000,2.907000,2.774000,2.827000,2.827000,0
2004-01-19,2.827000,2.847000,2.827000,2.840000,2.840000,0
2004-01-26,2.840000,2.950000,2.828000,2.932000,2.932000,0
2004-02-02,2.932000,2.958000,2.902000,2.932000,2.932000,0
2004-02-09,2.932000,2.941000,2.895000,2.904000,2.904000,0
2004-02-16,2.904000,3.010000,2.900000,2.957000,2.957000,0
2004-02-23,2.957000,2.957000,2.904000,2.905000,2.905000,0
2004-03-01,2.905000,2.916000,2.865000,2.866000,2.866000,0
2004-03-08,2.866000,2.922000,2.858000,2.899000,2.899000,0
2004-03-15,2.899000,2.918000,2.893000,2.900000,2.900000,0
2004-03-22,2.900000,2.945000,2.900000,2.937000,2.937000,0
2004-03-29,2.937000,2.938000,2.885000,2.893000,2.893000,0
2004-04-05,2.893000,2.896000,2.866000,2.884000,2.884000,0
2004-04-12,2.884000,2.926000,2.880000,2.908000,2.908000,0
2004-04-19,2.908000,2.940000,2.901000,2.908000,2.908000,0
2004-04-26,2.908000,2.965000,2.903000,2.930000,2.930000,0
2004-05-03,2.930000,3.080000,2.930000,3.061000,3.061000,0
2004-05-10,3.061000,3.149000,3.061000,3.088000,3.088000,0
2004-05-17,3.088000,3.223000,3.088000,3.193000,3.193000,0
2004-05-24,3.193000,3.195000,3.087000,3.088000,3.088000,0
2004-05-31,3.088000,3.195000,3.088000,3.127000,3.127000,0
2004-06-07,3.127000,3.147000,3.095000,3.138000,3.138000,0
2004-06-14,3.138000,3.167000,3.118000,3.139000,3.139000,0
2004-06-21,3.139000,3.139000,3.092000,3.109000,3.109000,0
2004-06-28,3.109000,3.134000,3.039000,3.039000,3.039000,0
2004-07-05,3.039000,3.056000,3.024000,3.041000,3.041000,0
2004-07-12,3.041000,3.045000,2.995000,3.001000,3.001000,0
2004-07-19,3.001000,3.053000,2.988000,3.053000,3.053000,0
2004-07-26,3.053000,3.075000,3.020000,3.036000,3.036000,0
2004-08-02,3.036000,3.067000,3.031000,3.031000,3.031000,0
2004-08-09,3.031000,3.041000,3.017000,3.019000,3.019000,0
2004-08-16,3.019000,3.026000,2.963000,2.964000,2.964000,0
2004-08-23,2.964000,2.975000,2.945000,2.952000,2.952000,0
2004-08-30,null,null,null,null,null,null
2004-09-06,null,null,null,null,null,null
2004-09-13,null,null,null,null,null,null
2004-09-20,null,null,null,null,null,null
2004-09-27,null,null,null,null,null,null
2004-10-04,null,null,null,null,null,null
2004-10-11,null,null,null,null,null,null
2004-10-18,null,null,null,null,null,null
2004-10-25,null,null,null,null,null,null
2004-11-01,null,null,null,null,null,null
2004-11-08,null,null,null,null,null,null
2004-11-15,null,null,null,null,null,null
2004-11-22,null,null,null,null,null,null
2004-11-29,null,null,null,null,null,null
