date,country_code,indicator_code,value
2020-01-01,AD,043,10.0
2019-01-01,AD,043,10.0
2018-01-01,AD,043,10.0
2017-01-01,AD,043,10.0
2018-01-01,AD,066,136.0
2017-01-01,AD,066,125.7
2016-01-01,AD,066,124.3
2015-01-01,AD,066,126.6
2014-01-01,AD,066,131.4
2013-01-01,AD,066,132.5
2012-01-01,AD,066,135.8
2011-01-01,AD,066,137.3
2010-01-01,AD,066,132.9
2009-01-01,AD,066,132.0
2008-01-01,AD,066,135.1
2007-01-01,AD,066,129.1
2006-01-01,AD,066,124.6
2005-01-01,AD,066,109.0
2004-01-01,AD,066,100.5
2003-01-01,AD,066,99.2
2002-01-01,AD,066,97.4
2001-01-01,AD,066,98.3
2000-01-01,AD,066,100.0
2014-01-01,AD,067,98.0
2018-01-01,AD,081,3237.0
2017-01-01,AD,081,3013.0
2016-01-01,AD,081,2877.0
2015-01-01,AD,081,2811.0
2014-01-01,AD,081,3351.0
2013-01-01,AD,081,3282.0
2012-01-01,AD,081,3165.0
2011-01-01,AD,081,3442.0
2010-01-01,AD,081,3356.0
2009-01-01,AD,081,3661.0
2008-01-01,AD,081,4007.0
2007-01-01,AD,081,4017.0
2006-01-01,AD,081,3543.0
2005-01-01,AD,081,3256.0
2004-01-01,AD,081,2936.0
2003-01-01,AD,081,2399.0
2002-01-01,AD,081,1733.0
2001-01-01,AD,081,1497.0
2000-01-01,AD,081,1434.0
1999-01-01,AD,081,1240.0
1998-01-01,AD,081,1212.0
1997-01-01,AD,081,1181.0
1996-01-01,AD,081,1224.0
1995-01-01,AD,081,1179.0
1994-01-01,AD,081,1018.0
1993-01-01,AD,081,1007.0
1992-01-01,AD,081,1210.0
1991-01-01,AD,081,1107.0
1990-01-01,AD,081,1029.0
1989-01-01,AD,081,795.0
1988-01-01,AD,081,721.0
1987-01-01,AD,081,611.0
1986-01-01,AD,081,482.0
1985-01-01,AD,081,347.0
1984-01-01,AD,081,330.0
1983-01-01,AD,081,328.0
1982-01-01,AD,081,376.0
1981-01-01,AD,081,389.0
1980-01-01,AD,081,446.0
1979-01-01,AD,081,412.0
1978-01-01,AD,081,308.0
1977-01-01,AD,081,254.0
1976-01-01,AD,081,227.0
1975-01-01,AD,081,220.0
1974-01-01,AD,081,187.0
1973-01-01,AD,081,151.0
1972-01-01,AD,081,113.0
1971-01-01,AD,081,89.0
1970-01-01,AD,081,79.0
2018-01-01,AD,082,1.6
2017-01-01,AD,082,1.7
2016-01-01,AD,082,1.9
2015-01-01,AD,082,0.8
2014-01-01,AD,082,2.3
2013-01-01,AD,082,0.4
2012-01-01,AD,082,-1.6
2011-01-01,AD,082,-4.6
2010-01-01,AD,082,-5.4
2009-01-01,AD,082,-3.7
2008-01-01,AD,082,-8.6
2007-01-01,AD,082,0.0
2006-01-01,AD,082,4.5
2005-01-01,AD,082,7.4
2004-01-01,AD,082,7.6
2003-01-01,AD,082,12.2
2002-01-01,AD,082,6.5
2001-01-01,AD,082,4.5
2000-01-01,AD,082,3.5
1999-01-01,AD,082,4.1
1998-01-01,AD,082,3.2
1997-01-01,AD,082,9.1
1996-01-01,AD,082,4.6
1995-01-01,AD,082,2.8
1994-01-01,AD,082,2.4
1993-01-01,AD,082,-1.0
1992-01-01,AD,082,0.9
1991-01-01,AD,082,2.5
1990-01-01,AD,082,3.8
1989-01-01,AD,082,4.8
1988-01-01,AD,082,5.1
1987-01-01,AD,082,5.5
1986-01-01,AD,082,3.3
1985-01-01,AD,082,2.3
1984-01-01,AD,082,1.8
1983-01-01,AD,082,1.8
1982-01-01,AD,082,1.2
1981-01-01,AD,082,-0.1
1980-01-01,AD,082,2.2
1979-01-01,AD,082,0.0
1978-01-01,AD,082,1.5
1977-01-01,AD,082,2.8
1976-01-01,AD,082,3.3
1975-01-01,AD,082,0.5
1974-01-01,AD,082,5.6
1973-01-01,AD,082,7.8
1972-01-01,AD,082,8.1
1971-01-01,AD,082,4.6
2018-01-01,AD,083,1.6
2017-01-01,AD,083,1.7
2016-01-01,AD,083,1.9
2015-01-01,AD,083,0.8
2014-01-01,AD,083,2.3
2013-01-01,AD,083,0.4
2012-01-01,AD,083,-1.6
2011-01-01,AD,083,-4.6
2010-01-01,AD,083,-5.4
