date,country_code,indicator_code,value
2015-01-01,AE,001,1991.0
2014-01-01,AE,001,36489.0
2013-01-01,AE,001,27361.0
2012-01-01,AE,001,29987.0
2011-01-01,AE,001,37800.0
2010-01-01,AE,001,33374.0
2009-01-01,AE,001,-10488.0
2008-01-01,AE,001,49008.0
2007-01-01,AE,001,47094.0
2006-01-01,AE,001,18626.0
2005-01-01,AE,001,16810.0
2004-01-01,AE,001,12017.0
2003-01-01,AE,001,12655.0
2002-01-01,AE,001,8231.0
2017-01-01,AE,004,1410400.0
2016-01-01,AE,004,1324400.0
2015-01-01,AE,004,1326700.0
2014-01-01,AE,004,1467419.0
2013-01-01,AE,004,1441718.0
2012-01-01,AE,004,1380118.0
2011-01-01,AE,004,1156229.0
2010-01-01,AE,004,827322.0
2009-01-01,AE,004,741694.0
2008-01-01,AE,004,913748.0
2007-01-01,AE,004,685620.0
2006-01-01,AE,004,559813.0
2005-01-01,AE,004,448305.0
2004-01-01,AE,004,345100.0
2003-01-01,AE,004,255380.0
2002-01-01,AE,004,199647.0
2001-01-01,AE,004,186516.0
2000-01-01,AE,004,189885.0
1999-01-01,AE,004,141666.0
1998-01-01,AE,004,129650.0
1997-01-01,AE,004,156236.0
1996-01-01,AE,004,141940.0
1995-01-01,AE,004,121110.0
1994-01-01,AE,004,103524.0
1993-01-01,AE,004,103271.0
1992-01-01,AE,004,90674.0
1991-01-01,AE,004,87611.0
1990-01-01,AE,004,91268.0
1989-01-01,AE,004,60335.0
1988-01-01,AE,004,47358.0
1987-01-01,AE,004,48992.0
1986-01-01,AE,004,38207.0
1985-01-01,AE,004,58736.0
1984-01-01,AE,004,60492.0
1983-01-01,AE,004,61365.0
1982-01-01,AE,004,72334.0
1981-01-01,AE,004,84336.0
1980-01-01,AE,004,86282.0
1979-01-01,AE,004,61996.0
1978-01-01,AE,004,44355.0
1977-01-01,AE,004,46377.0
1976-01-01,AE,004,33367.0
1975-01-01,AE,004,27475.0
1974-01-01,AE,004,25340.0
1973-01-01,AE,004,11688.0
1972-01-01,AE,004,4440.0
1971-01-01,AE,004,3711.0
1970-01-01,AE,004,2272.0
2020-02-01,AE,007,486565.0
2020-01-01,AE,007,487512.0
2019-12-01,AE,007,485331.0
2019-11-01,AE,007,484839.0
2019-10-01,AE,007,476735.0
2019-09-01,AE,007,461549.0
2019-08-01,AE,007,425103.0
2019-07-01,AE,007,435939.0
2019-06-01,AE,007,439785.0
2019-05-01,AE,007,410301.0
2019-04-01,AE,007,434726.0
2019-03-01,AE,007,423295.0
2019-02-01,AE,007,434319.0
2019-01-01,AE,007,424026.0
2018-12-01,AE,007,418099.0
2018-11-01,AE,007,404323.0
2018-10-01,AE,007,390537.0
2018-09-01,AE,007,401837.0
2018-08-01,AE,007,373463.0
2018-07-01,AE,007,377032.0
2018-06-01,AE,007,369094.0
2018-05-01,AE,007,350475.0
2018-04-01,AE,007,357387.0
2018-03-01,AE,007,354417.0
2018-02-01,AE,007,326880.0
2018-01-01,AE,007,321366.0
2017-12-01,AE,007,328285.0
2017-11-01,AE,007,317879.0
2017-10-01,AE,007,314889.0
2017-09-01,AE,007,321698.0
2017-08-01,AE,007,306151.0
2017-07-01,AE,007,308865.0
2017-06-01,AE,007,310599.0
2017-05-01,AE,007,310757.0
2017-04-01,AE,007,301101.0
2017-03-01,AE,007,289828.0
2017-02-01,AE,007,292909.0
2017-01-01,AE,007,263381.0
2016-12-01,AE,007,258819.0
2016-11-01,AE,007,243014.0
2016-10-01,AE,007,236332.0
2016-09-01,AE,007,227660.0
2016-08-01,AE,007,227988.0
2016-07-01,AE,007,245321.0
2016-06-01,AE,007,229568.0
2016-05-01,AE,007,228312.0
2016-04-01,AE,007,259544.0
2016-03-01,AE,007,243894.0
2016-02-01,AE,007,248913.0
2016-01-01,AE,007,264597.0
2015-12-01,AE,007,246405.0
2015-11-01,AE,007,246029.0
2015-10-01,AE,007,246580.0
2015-09-01,AE,007,228533.0
2015-08-01,AE,007,223087.0
2015-07-01,AE,007,244809.0
2015-06-01,AE,007,260171.0
2015-05-01,AE,007,279283.0
2015-04-01,AE,007,282010.0
2015-03-01,AE,007,290044.0
2015-02-01,AE,007,308739.0
2015-01-01,AE,007,290061.0
2014-12-01,AE,007,282607.0
2014-11-01,AE,007,313983.0
2014-10-01,AE,007,297772.0
2014-09-01,AE,007,309380.0
2014-08-01,AE,007,320555.0
2014-07-01,AE,007,300963.0
2014-06-01,AE,007,294640.0
2014-05-01,AE,007,283168.0
2014-04-01,AE,007,281669.0
2014-03-01,AE,007,299014.0
2014-02-01,AE,007,269968.0
2014-01-01,AE,007,267155.0
2013-12-01,AE,007,243318.0
2013-11-01,AE,007,241866.0
2013-10-01,AE,007,267171.0
2013-09-01,AE,007,257870.0
2013-08-01,AE,007,244513.0
2013-07-01,AE,007,216100.0
2013-06-01,AE,007,231817.0
2013-05-01,AE,007,219961.0
2013-04-01,AE,007,221639.0
2013-03-01,AE,007,211550.0
2013-02-01,AE,007,194279.0
2013-01-01,AE,007,177428.0
2012-12-01,AE,007,159006.0
2012-11-01,AE,007,170640.0
2012-10-01,AE,007,150174.0
2012-09-01,AE,007,143280.0
2012-08-01,AE,007,124596.0
2012-07-01,AE,007,106649.0
2012-06-01,AE,007,103794.0
2012-05-01,AE,007,132633.0
2012-04-01,AE,007,163668.0
2012-03-01,AE,007,154953.0
2012-02-01,AE,007,126259.0
2012-01-01,AE,007,98475.0
2011-12-01,AE,007,89715.0
2011-11-01,AE,007,88613.0
2011-10-01,AE,007,83807.0
2011-09-01,AE,007,75537.0
2011-08-01,AE,007,99696.0
2011-07-01,AE,007,129787.0
2011-06-01,AE,007,131784.0
2011-05-01,AE,007,153522.0
2011-04-01,AE,007,158187.0
2011-03-01,AE,007,119874.0
2011-02-01,AE,007,108793.0
2011-01-01,AE,007,86801.0
2010-12-01,AE,007,78450.0
2010-11-01,AE,007,73761.0
2010-10-01,AE,007,91505.0
2010-09-01,AE,007,54297.0
2010-08-01,AE,007,47709.0
2010-07-01,AE,007,58015.0
2010-06-01,AE,007,41898.0
2010-05-01,AE,007,38273.0
2010-04-01,AE,007,33533.0
2010-03-01,AE,007,43852.0
2010-02-01,AE,007,35151.0
2010-01-01,AE,007,36582.0
2009-12-01,AE,007,43368.0
2009-11-01,AE,007,46965.0
2009-10-01,AE,007,25909.0
2009-09-01,AE,007,12951.0
2009-08-01,AE,007,13785.0
2009-07-01,AE,007,17812.0
2009-06-01,AE,007,14302.0
2009-05-01,AE,007,14031.0
2009-04-01,AE,007,1936.0
2009-03-01,AE,007,-5506.0
2009-02-01,AE,007,8010.0
2009-01-01,AE,007,8326.0
2008-12-01,AE,007,14114.0
2008-11-01,AE,007,26233.0
2008-10-01,AE,007,65498.0
2008-09-01,AE,007,40471.0
2008-08-01,AE,007,41006.0
2008-07-01,AE,007,96808.0
2008-06-01,AE,007,125556.0
2008-05-01,AE,007,151596.0
2008-04-01,AE,007,133877.0
2008-03-01,AE,007,133387.0
2008-02-01,AE,007,156397.0
2008-01-01,AE,007,160556.0
2007-12-01,AE,007,160324.0
2007-11-01,AE,007,169205.0
2007-10-01,AE,007,160947.0
2007-09-01,AE,007,162835.0
2007-08-01,AE,007,143390.0
2007-07-01,AE,007,147975.0
2007-06-01,AE,007,178021.0
2007-05-01,AE,007,177031.0
2007-04-01,AE,007,174667.0
2007-03-01,AE,007,159879.0
2007-02-01,AE,007,158874.0
2007-01-01,AE,007,154306.0
2006-12-01,AE,007,155489.0
2006-11-01,AE,007,150461.0
2006-10-01,AE,007,137518.0
2006-09-01,AE,007,150571.0
2006-08-01,AE,007,143354.0
2006-07-01,AE,007,147718.0
2006-06-01,AE,007,150799.0
2006-05-01,AE,007,160513.0
2006-04-01,AE,007,159411.0
2006-03-01,AE,007,160993.0
2006-02-01,AE,007,136330.0
2006-01-01,AE,007,153026.0
2005-12-01,AE,007,166648.0
2005-11-01,AE,007,147223.0
2005-10-01,AE,007,163058.0
2005-09-01,AE,007,165161.0
2005-08-01,AE,007,158533.0
2005-07-01,AE,007,167685.0
2005-06-01,AE,007,144134.0
2005-05-01,AE,007,146580.0
2005-04-01,AE,007,152325.0
2005-03-01,AE,007,144576.0
2005-02-01,AE,007,136162.0
2005-01-01,AE,007,139150.0
2004-12-01,AE,007,151789.0
2004-11-01,AE,007,141288.0
2004-10-01,AE,007,133183.0
2004-09-01,AE,007,131701.0
2004-08-01,AE,007,145358.0
2004-07-01,AE,007,129973.0
2004-06-01,AE,007,135059.0
2004-05-01,AE,007,139559.0
2004-04-01,AE,007,144250.0
2004-03-01,AE,007,141138.0
2004-02-01,AE,007,139534.0
2004-01-01,AE,007,141109.0
2003-12-01,AE,007,136402.0
2003-11-01,AE,007,132210.0
2003-10-01,AE,007,131713.0
2003-09-01,AE,007,131734.0
2003-08-01,AE,007,129897.0
2003-07-01,AE,007,128063.0
2003-06-01,AE,007,125823.0
2003-05-01,AE,007,124969.0
2003-04-01,AE,007,131209.0
2003-03-01,AE,007,129182.0
2003-02-01,AE,007,130926.0
2003-01-01,AE,007,131514.0
2002-12-01,AE,007,138260.0
2002-11-01,AE,007,133054.0
2002-10-01,AE,007,126749.0
2002-09-01,AE,007,124954.0
2002-08-01,AE,007,125275.0
2002-07-01,AE,007,123037.0
2002-06-01,AE,007,125364.0
2002-05-01,AE,007,123556.0
2002-04-01,AE,007,122895.0
2002-03-01,AE,007,122736.0
2002-02-01,AE,007,116817.0
2002-01-01,AE,007,118916.0
2001-12-01,AE,007,120407.0
2011-01-01,AE,012,-60354.0
2010-01-01,AE,012,18457.0
2009-01-01,AE,012,0.0
2008-01-01,AE,012,0.0
2007-01-01,AE,012,0.0
2006-01-01,AE,012,0.0
2005-01-01,AE,012,0.0
2004-01-01,AE,012,0.0
2003-01-01,AE,012,0.0
2002-01-01,AE,012,0.0
2020-02-01,AE,017,403004.0
2020-01-01,AE,017,398856.0
2019-12-01,AE,017,394218.0
2019-11-01,AE,017,392588.0
2019-10-01,AE,017,370080.0
2019-09-01,AE,017,373692.0
2019-08-01,AE,017,370112.0
2019-07-01,AE,017,367560.0
2019-06-01,AE,017,373811.0
2019-05-01,AE,017,375172.0
2019-04-01,AE,017,364213.0
2019-03-01,AE,017,375081.0
2019-02-01,AE,017,356813.0
2019-01-01,AE,017,343401.0
2018-12-01,AE,017,358442.0
2018-11-01,AE,017,344146.0
2018-10-01,AE,017,324815.0
2018-09-01,AE,017,325059.0
2018-08-01,AE,017,326834.0
2018-07-01,AE,017,329648.0
2018-06-01,AE,017,328716.0
2018-05-01,AE,017,323593.0
2018-04-01,AE,017,323896.0
2018-03-01,AE,017,331375.0
2018-02-01,AE,017,332014.0
2018-01-01,AE,017,318806.0
2017-12-01,AE,017,345127.0
2017-11-01,AE,017,327710.0
2017-10-01,AE,017,320215.0
2017-09-01,AE,017,342186.0
2017-08-01,AE,017,335743.0
2017-07-01,AE,017,327498.0
2017-06-01,AE,017,336007.0
2017-05-01,AE,017,318996.0
2017-04-01,AE,017,314409.0
2017-03-01,AE,017,321109.0
2017-02-01,AE,017,304772.0
2017-01-01,AE,017,287906.0
2016-12-01,AE,017,308895.0
2016-11-01,AE,017,283405.0
2016-10-01,AE,017,292877.0
2016-09-01,AE,017,297326.0
2016-08-01,AE,017,294727.0
