date,country_code,indicator_code,value
2017-01-01,AF,004,-542324.0
2016-01-01,AF,004,-470382.0
2015-01-01,AF,004,-388220.0
2014-01-01,AF,004,-419190.0
2013-01-01,AF,004,-404969.0
2012-01-01,AF,004,-449107.0
2011-01-01,AF,004,-382399.0
2010-01-01,AF,004,-320821.0
2009-01-01,AF,004,-268926.0
2008-01-01,AF,004,-237811.0
2007-01-01,AF,004,-209497.0
2006-01-01,AF,004,-171193.0
2005-01-01,AF,004,-130434.0
2004-01-01,AF,004,-74294.0
2003-01-01,AF,004,-61150.0
2002-01-01,AF,004,-68401.0
1978-01-01,AF,004,-4500.0
1977-01-01,AF,004,-4200.0
1976-01-01,AF,004,-1900.0
1975-01-01,AF,004,-1700.0
1974-01-01,AF,004,-800.0
1973-01-01,AF,004,-1400.0
1972-01-01,AF,004,-2400.0
1971-01-01,AF,004,-4300.0
1970-01-01,AF,004,-1700.0
1969-01-01,AF,004,-3100.0
1968-01-01,AF,004,-3900.0
1967-01-01,AF,004,-5600.0
1966-01-01,AF,004,-6300.0
1965-01-01,AF,004,-4600.0
1964-01-01,AF,004,-3300.0
1963-01-01,AF,004,-2600.0
1962-01-01,AF,004,-1100.0
1961-01-01,AF,004,-900.0
1960-01-01,AF,004,-700.0
2017-01-01,AF,005,14.8
2016-01-01,AF,005,15.0
2015-01-01,AF,005,15.0
2014-01-01,AF,005,15.0
2013-01-01,AF,005,15.1
2012-01-01,AF,005,15.0
2011-01-01,AF,005,15.1
2010-01-01,AF,005,15.6
2009-01-01,AF,005,15.0
2008-01-01,AF,005,14.9
2007-01-01,AF,005,18.1
2006-01-01,AF,005,18.0
2019-12-01,AF,007,790414.0
2019-11-01,AF,007,780192.0
2019-10-01,AF,007,789550.0
2019-09-01,AF,007,785926.0
2019-08-01,AF,007,779504.0
2019-07-01,AF,007,792899.0
2019-06-01,AF,007,792633.0
2019-05-01,AF,007,777940.0
2019-04-01,AF,007,751344.0
2019-03-01,AF,007,738943.0
2019-02-01,AF,007,726078.0
2019-01-01,AF,007,724267.0
2018-12-01,AF,007,737861.0
2018-11-01,AF,007,717716.0
2018-10-01,AF,007,723721.0
2018-09-01,AF,007,722653.0
2018-08-01,AF,007,683111.0
2018-07-01,AF,007,684917.0
2018-06-01,AF,007,681524.0
2018-05-01,AF,007,657782.0
2018-04-01,AF,007,658252.0
2018-03-01,AF,007,654465.0
2018-02-01,AF,007,655658.0
2018-01-01,AF,007,653506.0
2017-12-01,AF,007,651219.0
2017-11-01,AF,007,638597.0
2017-10-01,AF,007,637057.0
2017-09-01,AF,007,632754.0
2017-08-01,AF,007,628042.0
2017-07-01,AF,007,611904.0
2017-06-01,AF,007,591422.0
2017-05-01,AF,007,601357.0
2017-04-01,AF,007,600487.0
2017-03-01,AF,007,599173.0
2017-02-01,AF,007,601187.0
2017-01-01,AF,007,584931.0
2016-12-01,AF,007,582766.0
2016-11-01,AF,007,586456.0
2016-10-01,AF,007,573244.0
2016-09-01,AF,007,585750.0
2016-08-01,AF,007,584604.0
2016-07-01,AF,007,601833.0
2016-06-01,AF,007,604049.0
2016-05-01,AF,007,589258.0
2016-04-01,AF,007,568807.0
2016-03-01,AF,007,570259.0
2016-02-01,AF,007,575129.0
2016-01-01,AF,007,562734.0
2015-12-01,AF,007,545988.0
2015-11-01,AF,007,558080.0
2015-10-01,AF,007,534137.0
2015-09-01,AF,007,529893.0
2015-08-01,AF,007,536053.0
2015-07-01,AF,007,513528.0
2015-06-01,AF,007,521898.0
2015-05-01,AF,007,515414.0
2015-04-01,AF,007,488871.0
2015-03-01,AF,007,495934.0
2015-02-01,AF,007,489903.0
2015-01-01,AF,007,501352.0
2014-12-01,AF,007,500180.0
2014-11-01,AF,007,487079.0
2014-10-01,AF,007,495834.0
2014-09-01,AF,007,458397.0
2014-08-01,AF,007,464575.0
2014-07-01,AF,007,473725.0
2014-06-01,AF,007,488447.0
2014-05-01,AF,007,477750.0
2014-04-01,AF,007,478026.0
2014-03-01,AF,007,476474.0
2014-02-01,AF,007,469491.0
2014-01-01,AF,007,459993.0
2013-12-01,AF,007,472283.0
2013-11-01,AF,007,490637.0
2013-10-01,AF,007,482012.0
2013-09-01,AF,007,470423.0
2013-08-01,AF,007,442278.0
2013-07-01,AF,007,439356.0
2013-06-01,AF,007,433493.0
2013-05-01,AF,007,436874.0
2013-04-01,AF,007,442046.0
2013-03-01,AF,007,411694.0
2013-02-01,AF,007,422897.0
2013-01-01,AF,007,417579.0
2012-12-01,AF,007,428039.0
2012-11-01,AF,007,428666.0
2012-10-01,AF,007,414396.0
2012-09-01,AF,007,402837.0
2012-08-01,AF,007,386730.0
2012-07-01,AF,007,379814.0
2012-06-01,AF,007,378430.0
2012-05-01,AF,007,358296.0
2012-04-01,AF,007,365542.0
2012-03-01,AF,007,338644.0
2012-02-01,AF,007,342984.0
2012-01-01,AF,007,335820.0
2011-12-01,AF,007,338126.0
2011-11-01,AF,007,335279.0
2011-10-01,AF,007,321960.0
2011-09-01,AF,007,321791.0
2011-08-01,AF,007,315417.0
2011-07-01,AF,007,306117.0
2011-06-01,AF,007,305779.0
2011-05-01,AF,007,296736.0
2011-04-01,AF,007,290210.0
2011-03-01,AF,007,273947.0
2011-02-01,AF,007,257572.0
2011-01-01,AF,007,245312.0
2010-12-01,AF,007,248099.0
2010-11-01,AF,007,247950.0
2010-10-01,AF,007,235277.0
2010-09-01,AF,007,232769.0
2010-08-01,AF,007,243128.0
2010-07-01,AF,007,224277.0
2010-06-01,AF,007,226316.0
2010-05-01,AF,007,222960.0
2010-04-01,AF,007,222011.0
2010-03-01,AF,007,220688.0
2010-02-01,AF,007,219261.0
2010-01-01,AF,007,217666.0
2009-12-01,AF,007,214829.0
2009-11-01,AF,007,218303.0
2009-10-01,AF,007,212948.0
2009-09-01,AF,007,212310.0
2009-08-01,AF,007,204851.0
2009-07-01,AF,007,197758.0
2009-06-01,AF,007,191736.0
2009-05-01,AF,007,188479.0
2009-04-01,AF,007,177524.0
2009-03-01,AF,007,181979.0
2009-02-01,AF,007,178119.0
2009-01-01,AF,007,168763.0
2008-12-01,AF,007,172784.0
2008-11-01,AF,007,169846.0
2008-10-01,AF,007,170467.0
2008-09-01,AF,007,164142.0
2008-08-01,AF,007,163405.0
2008-07-01,AF,007,163077.0
2008-06-01,AF,007,156939.0
2008-05-01,AF,007,159623.0
2008-04-01,AF,007,162477.0
2008-03-01,AF,007,160986.0
2008-02-01,AF,007,140593.0
2008-01-01,AF,007,145880.0
2007-12-01,AF,007,147080.0
2007-11-01,AF,007,145230.0
2007-10-01,AF,007,141388.0
2007-09-01,AF,007,136727.0
2007-08-01,AF,007,127327.0
2007-07-01,AF,007,125214.0
2007-06-01,AF,007,115826.0
2007-05-01,AF,007,114337.0
2007-04-01,AF,007,113144.0
2007-03-01,AF,007,106924.0
2007-02-01,AF,007,108570.0
2007-01-01,AF,007,106400.0
2006-12-01,AF,007,103827.0
2019-10-01,AF,012,504.0
2019-07-01,AF,012,23.0
2019-04-01,AF,012,241.0
2019-01-01,AF,012,55.0
2018-10-01,AF,012,620.0
2018-07-01,AF,012,456.0
2018-04-01,AF,012,200.0
2018-01-01,AF,012,38.0
2017-10-01,AF,012,443.0
2017-07-01,AF,012,439.0
2017-04-01,AF,012,317.0
2017-01-01,AF,012,107.0
2016-10-01,AF,012,394.0
2016-07-01,AF,012,252.0
2016-04-01,AF,012,273.0
2016-01-01,AF,012,174.0
2015-10-01,AF,012,474.0
2015-07-01,AF,012,276.0
2015-04-01,AF,012,321.0
2015-01-01,AF,012,247.0
2014-10-01,AF,012,529.0
2014-07-01,AF,012,461.0
2014-04-01,AF,012,526.0
2014-01-01,AF,012,407.0
2013-10-01,AF,012,849.0
2013-07-01,AF,012,589.0
2013-04-01,AF,012,457.0
2013-01-01,AF,012,502.0
2012-10-01,AF,012,669.0
2012-07-01,AF,012,518.0
2012-04-01,AF,012,385.0
2012-01-01,AF,012,659.0
2011-10-01,AF,012,581.0
2011-07-01,AF,012,480.0
2011-04-01,AF,012,413.0
2011-01-01,AF,012,631.0
2010-10-01,AF,012,583.0
2010-07-01,AF,012,438.0
2010-04-01,AF,012,416.0
2010-01-01,AF,012,460.0
2009-10-01,AF,012,349.0
2009-07-01,AF,012,344.0
2009-04-01,AF,012,248.0
2009-01-01,AF,012,341.0
2008-10-01,AF,012,272.0
2008-07-01,AF,012,298.0
2008-04-01,AF,012,171.0
2016-01-01,AF,016,101000.0
2015-01-01,AF,016,70000.0
2014-01-01,AF,016,87000.0
2013-01-01,AF,016,52000.0
2012-01-01,AF,016,37000.0
2011-01-01,AF,016,38000.0
2010-01-01,AF,016,36000.0
2009-01-01,AF,016,32000.0
2008-01-01,AF,016,37300.0
2007-01-01,AF,016,30000.0
2006-01-01,AF,016,25000.0
2003-01-01,AF,016,120000.0
2002-01-01,AF,016,120000.0
2001-01-01,AF,016,120000.0
2000-01-01,AF,016,120000.0
1999-01-01,AF,016,120000.0
1998-01-01,AF,016,116000.0
1997-01-01,AF,016,116000.0
1996-01-01,AF,016,116000.0
1995-01-01,AF,016,115000.0
1994-01-01,AF,016,115000.0
1993-01-01,AF,016,115000.0
1992-01-01,AF,016,115000.0
1991-01-01,AF,016,112000.0
1990-01-01,AF,016,112000.0
2019-12-01,AF,017,676608.0
2019-11-01,AF,017,667939.0
2019-10-01,AF,017,678047.0
2019-09-01,AF,017,673826.0
2019-08-01,AF,017,668512.0
2019-07-01,AF,017,682164.0
2019-06-01,AF,017,676322.0
2019-05-01,AF,017,663834.0
2019-04-01,AF,017,642243.0
2019-03-01,AF,017,630803.0
2019-02-01,AF,017,617159.0
2019-01-01,AF,017,615512.0
2018-12-01,AF,017,623757.0
2018-11-01,AF,017,608365.0
2018-10-01,AF,017,618922.0
2018-09-01,AF,017,617820.0
2018-08-01,AF,017,581745.0
2018-07-01,AF,017,588456.0
2018-06-01,AF,017,586188.0
2018-05-01,AF,017,573835.0
2018-04-01,AF,017,571061.0
2018-03-01,AF,017,566047.0
2018-02-01,AF,017,564756.0
2018-01-01,AF,017,565360.0
2017-12-01,AF,017,564859.0
2017-11-01,AF,017,553345.0
2017-10-01,AF,017,551242.0
2017-09-01,AF,017,547622.0
2017-08-01,AF,017,542261.0
2017-07-01,AF,017,519152.0
2017-06-01,AF,017,496734.0
2017-05-01,AF,017,503934.0
2017-04-01,AF,017,504965.0
