date,country_code,indicator_code,value
2016-01-01,AG,004,-210.0
2015-01-01,AG,004,-184.0
2014-01-01,AG,004,-410.0
2013-01-01,AG,004,-473.0
2012-01-01,AG,004,-428.0
2011-01-01,AG,004,-280.0
2010-01-01,AG,004,-419.0
2009-01-01,AG,004,-391.0
2008-01-01,AG,004,-882.0
2007-01-01,AG,004,-948.0
2006-01-01,AG,004,-730.0
2005-01-01,AG,004,-371.0
2004-01-01,AG,004,-158.0
2003-01-01,AG,004,-195.0
2002-01-01,AG,004,-126.0
2001-01-01,AG,004,-111.0
2000-01-01,AG,004,-85.0
1999-01-01,AG,004,-153.0
1998-01-01,AG,004,-65.0
1997-01-01,AG,004,-94.0
1996-01-01,AG,004,-175.0
1995-01-01,AG,004,-101.0
1994-01-01,AG,004,39.0
1993-01-01,AG,004,110.0
1992-01-01,AG,004,56.0
1991-01-01,AG,004,32.0
1990-01-01,AG,004,13.0
1989-01-01,AG,004,-130.0
1988-01-01,AG,004,-49.0
1987-01-01,AG,004,-206.0
1986-01-01,AG,004,-236.0
1985-01-01,AG,004,-96.0
1984-01-01,AG,004,-48.0
1983-01-01,AG,004,-63.0
1982-01-01,AG,004,-146.0
1981-01-01,AG,004,-75.0
1980-01-01,AG,004,-58.0
1979-01-01,AG,004,16.0
1978-01-01,AG,004,7.0
1977-01-01,AG,004,-9.0
2019-12-01,AG,005,8.49
2019-11-01,AG,005,8.53
2019-10-01,AG,005,8.53
2019-09-01,AG,005,8.53
2019-08-01,AG,005,8.59
2019-07-01,AG,005,8.59
2019-06-01,AG,005,8.59
2019-05-01,AG,005,8.75
2019-04-01,AG,005,8.75
2019-03-01,AG,005,8.75
2019-02-01,AG,005,8.62
2019-01-01,AG,005,8.62
2018-12-01,AG,005,8.62
2018-11-01,AG,005,8.62
2018-10-01,AG,005,8.62
2018-09-01,AG,005,8.62
2018-08-01,AG,005,9.1
2018-07-01,AG,005,9.1
2018-06-01,AG,005,9.1
2018-05-01,AG,005,9.15
2018-04-01,AG,005,9.15
2018-03-01,AG,005,9.15
2018-02-01,AG,005,9.24
2018-01-01,AG,005,9.24
2017-12-01,AG,005,9.24
2017-11-01,AG,005,9.24
2017-10-01,AG,005,9.24
2017-09-01,AG,005,9.25
2017-08-01,AG,005,9.25
2017-07-01,AG,005,9.25
2017-06-01,AG,005,9.34
2017-05-01,AG,005,9.34
2017-04-01,AG,005,9.34
2017-03-01,AG,005,9.41
2017-02-01,AG,005,9.41
2017-01-01,AG,005,9.41
2016-12-01,AG,005,9.5
2016-11-01,AG,005,9.5
2016-10-01,AG,005,9.5
2016-09-01,AG,005,9.56
2016-08-01,AG,005,9.56
2016-07-01,AG,005,9.56
2016-06-01,AG,005,9.55
2016-05-01,AG,005,9.55
2016-04-01,AG,005,9.55
2016-03-01,AG,005,9.69
2016-02-01,AG,005,9.69
2016-01-01,AG,005,9.69
2015-12-01,AG,005,9.7
2015-11-01,AG,005,9.7
2015-10-01,AG,005,9.7
2015-09-01,AG,005,9.87
2015-08-01,AG,005,9.87
2015-07-01,AG,005,9.87
2015-06-01,AG,005,9.85
2015-05-01,AG,005,9.85
2015-04-01,AG,005,9.85
2015-03-01,AG,005,9.92
2015-02-01,AG,005,9.92
2015-01-01,AG,005,9.92
2014-12-01,AG,005,9.94
2014-11-01,AG,005,9.94
2014-10-01,AG,005,9.94
2014-09-01,AG,005,10.06
2014-08-01,AG,005,10.06
2014-07-01,AG,005,10.06
2014-06-01,AG,005,10.14
2014-05-01,AG,005,10.14
2014-04-01,AG,005,10.14
2014-03-01,AG,005,10.16
2014-02-01,AG,005,10.16
2014-01-01,AG,005,10.16
2013-12-01,AG,005,10.05
2013-11-01,AG,005,10.05
2013-10-01,AG,005,10.05
2013-09-01,AG,005,10.03
2013-08-01,AG,005,10.03
2013-07-01,AG,005,10.03
2013-06-01,AG,005,9.86
2013-05-01,AG,005,9.86
2013-04-01,AG,005,9.86
2013-03-01,AG,005,9.87
2013-02-01,AG,005,9.87
2013-01-01,AG,005,9.87
2012-12-01,AG,005,9.93
2012-11-01,AG,005,9.93
2012-10-01,AG,005,9.93
2012-09-01,AG,005,9.94
2012-08-01,AG,005,9.94
2012-07-01,AG,005,9.94
2012-06-01,AG,005,10.04
2012-05-01,AG,005,10.04
2012-04-01,AG,005,10.04
2012-03-01,AG,005,10.72
2012-02-01,AG,005,10.72
2012-01-01,AG,005,10.72
2011-12-01,AG,005,10.99
2011-11-01,AG,005,10.99
2011-10-01,AG,005,10.99
2011-09-01,AG,005,10.91
2011-08-01,AG,005,10.91
2011-07-01,AG,005,10.91
2011-06-01,AG,005,10.9
2011-05-01,AG,005,10.9
2011-04-01,AG,005,10.9
2011-03-01,AG,005,10.86
2011-02-01,AG,005,10.86
2011-01-01,AG,005,10.86
2010-12-01,AG,005,11.15
2010-11-01,AG,005,11.15
2010-10-01,AG,005,11.15
2010-09-01,AG,005,10.86
2010-08-01,AG,005,10.86
2010-07-01,AG,005,10.86
2010-06-01,AG,005,10.95
2010-05-01,AG,005,10.95
2010-04-01,AG,005,10.95
2010-03-01,AG,005,11.04
2010-02-01,AG,005,11.04
2010-01-01,AG,005,11.04
2009-12-01,AG,005,9.39
2009-11-01,AG,005,9.39
2009-10-01,AG,005,9.39
2009-09-01,AG,005,10.21
2009-08-01,AG,005,10.21
2009-07-01,AG,005,10.21
2009-06-01,AG,005,10.23
2009-05-01,AG,005,10.23
2009-04-01,AG,005,10.23
2009-03-01,AG,005,10.44
2009-02-01,AG,005,10.44
2009-01-01,AG,005,10.44
2008-12-01,AG,005,10.52
2008-11-01,AG,005,10.52
2008-10-01,AG,005,10.52
2008-09-01,AG,005,10.37
2008-08-01,AG,005,10.37
2008-07-01,AG,005,10.37
2008-06-01,AG,005,10.46
2008-05-01,AG,005,10.46
2008-04-01,AG,005,10.46
2008-03-01,AG,005,10.37
2008-02-01,AG,005,10.37
2008-01-01,AG,005,10.37
2007-12-01,AG,005,10.58
2007-11-01,AG,005,10.58
2007-10-01,AG,005,10.58
2007-09-01,AG,005,9.9
2007-08-01,AG,005,9.9
2007-07-01,AG,005,9.9
2007-06-01,AG,005,10.55
2007-05-01,AG,005,10.55
2007-04-01,AG,005,10.55
2007-03-01,AG,005,10.73
2007-02-01,AG,005,10.73
2007-01-01,AG,005,10.73
2006-12-01,AG,005,10.58
2006-11-01,AG,005,10.58
2006-10-01,AG,005,10.58
2006-09-01,AG,005,10.64
2006-08-01,AG,005,10.64
2006-07-01,AG,005,10.64
2006-06-01,AG,005,11.11
2006-05-01,AG,005,11.11
2006-04-01,AG,005,11.11
2006-03-01,AG,005,11.23
2006-02-01,AG,005,11.23
2006-01-01,AG,005,11.23
2005-12-01,AG,005,11.2
