date,country_code,indicator_code,value
2002-01-01,AI,001,-0.1
2019-12-01,AI,005,8.87
2019-11-01,AI,005,8.86
2019-10-01,AI,005,8.86
2019-09-01,AI,005,8.86
2019-08-01,AI,005,8.88
2019-07-01,AI,005,8.88
2019-06-01,AI,005,8.88
2019-05-01,AI,005,8.9
2019-04-01,AI,005,8.9
2019-03-01,AI,005,8.9
2019-02-01,AI,005,8.92
2019-01-01,AI,005,8.92
2018-12-01,AI,005,8.92
2018-11-01,AI,005,9.18
2018-10-01,AI,005,9.18
2018-09-01,AI,005,9.18
2018-08-01,AI,005,9.36
2018-07-01,AI,005,9.36
2018-06-01,AI,005,9.36
2018-05-01,AI,005,9.38
2018-04-01,AI,005,9.38
2018-03-01,AI,005,9.38
2018-02-01,AI,005,9.43
2018-01-01,AI,005,9.43
2017-12-01,AI,005,9.43
2017-11-01,AI,005,9.43
2017-10-01,AI,005,9.43
2017-09-01,AI,005,9.43
2017-08-01,AI,005,9.43
2017-07-01,AI,005,9.43
2017-06-01,AI,005,9.47
2017-05-01,AI,005,9.47
2017-04-01,AI,005,9.5
2017-03-01,AI,005,9.58
2017-02-01,AI,005,9.58
2017-01-01,AI,005,9.58
2016-12-01,AI,005,7.87
2016-11-01,AI,005,7.87
2016-10-01,AI,005,7.87
2016-09-01,AI,005,9.59
2016-08-01,AI,005,9.59
2016-07-01,AI,005,9.59
2016-06-01,AI,005,9.45
2016-05-01,AI,005,9.45
2016-04-01,AI,005,9.45
2016-03-01,AI,005,9.12
2016-02-01,AI,005,9.12
2016-01-01,AI,005,9.12
2015-12-01,AI,005,8.91
2015-11-01,AI,005,8.91
2015-10-01,AI,005,8.91
2015-09-01,AI,005,9.03
2015-08-01,AI,005,9.03
2015-07-01,AI,005,9.03
2015-06-01,AI,005,9.13
2015-05-01,AI,005,9.13
2015-04-01,AI,005,9.13
2015-03-01,AI,005,9.14
2015-02-01,AI,005,9.14
2015-01-01,AI,005,9.14
2014-12-01,AI,005,9.04
2014-11-01,AI,005,9.04
2014-10-01,AI,005,9.04
2014-09-01,AI,005,9.05
2014-08-01,AI,005,9.05
2014-07-01,AI,005,9.05
2014-06-01,AI,005,9.15
2014-05-01,AI,005,9.15
2014-04-01,AI,005,9.15
2014-03-01,AI,005,9.13
2014-02-01,AI,005,9.13
2014-01-01,AI,005,9.13
2013-12-01,AI,005,8.97
2013-11-01,AI,005,8.97
2013-10-01,AI,005,8.97
2013-09-01,AI,005,8.95
2013-08-01,AI,005,8.95
2013-07-01,AI,005,8.95
2013-06-01,AI,005,9.02
2013-05-01,AI,005,9.02
2013-04-01,AI,005,9.02
2013-03-01,AI,005,9.37
2013-02-01,AI,005,9.37
2013-01-01,AI,005,9.37
2012-12-01,AI,005,9.34
2012-11-01,AI,005,9.34
2012-10-01,AI,005,9.34
2012-09-01,AI,005,9.37
2012-08-01,AI,005,9.37
2012-07-01,AI,005,9.37
2012-06-01,AI,005,9.52
2012-05-01,AI,005,9.52
2012-04-01,AI,005,9.52
2012-03-01,AI,005,9.28
2012-02-01,AI,005,9.28
2012-01-01,AI,005,9.28
2011-12-01,AI,005,9.22
2011-11-01,AI,005,9.22
2011-10-01,AI,005,9.22
2011-09-01,AI,005,9.18
2011-08-01,AI,005,9.18
2011-07-01,AI,005,9.18
2011-06-01,AI,005,9.32
2011-05-01,AI,005,9.32
2011-04-01,AI,005,9.32
2011-03-01,AI,005,9.45
2011-02-01,AI,005,9.45
2011-01-01,AI,005,9.45
2010-12-01,AI,005,11.07
2010-11-01,AI,005,11.07
2010-10-01,AI,005,11.07
2010-09-01,AI,005,9.49
2010-08-01,AI,005,9.49
2010-07-01,AI,005,9.49
2010-06-01,AI,005,13.97
2010-05-01,AI,005,13.97
2010-04-01,AI,005,13.97
2010-03-01,AI,005,10.98
2010-02-01,AI,005,10.98
2010-01-01,AI,005,10.98
2009-12-01,AI,005,9.24
2009-11-01,AI,005,9.24
2009-10-01,AI,005,9.24
2009-09-01,AI,005,9.49
2009-08-01,AI,005,9.49
2009-07-01,AI,005,9.49
2009-06-01,AI,005,9.18
2009-05-01,AI,005,9.18
2009-04-01,AI,005,9.18
2009-03-01,AI,005,9.18
2009-02-01,AI,005,9.18
2009-01-01,AI,005,9.18
2008-12-01,AI,005,9.42
2008-11-01,AI,005,9.42
2008-10-01,AI,005,9.42
2008-09-01,AI,005,9.44
2008-08-01,AI,005,9.44
2008-07-01,AI,005,9.44
2008-06-01,AI,005,9.6
2008-05-01,AI,005,9.6
2008-04-01,AI,005,9.6
2008-03-01,AI,005,9.58
2008-02-01,AI,005,9.58
2008-01-01,AI,005,9.58
2007-12-01,AI,005,9.64
2007-11-01,AI,005,9.64
2007-10-01,AI,005,9.64
2007-09-01,AI,005,9.67
2007-08-01,AI,005,9.67
2007-07-01,AI,005,9.67
2007-06-01,AI,005,9.89
2007-05-01,AI,005,9.89
2007-04-01,AI,005,9.89
2007-03-01,AI,005,9.85
2007-02-01,AI,005,9.85
2007-01-01,AI,005,9.85
2006-12-01,AI,005,9.88
2006-11-01,AI,005,9.88
2006-10-01,AI,005,9.88
2006-09-01,AI,005,9.97
2006-08-01,AI,005,9.97
2006-07-01,AI,005,9.97
2006-06-01,AI,005,10.21
2006-05-01,AI,005,10.13
2006-04-01,AI,005,10.13
2006-03-01,AI,005,10.06
2006-02-01,AI,005,10.18
2006-01-01,AI,005,10.18
2005-12-01,AI,005,10.21
2005-11-01,AI,005,10.28
2005-10-01,AI,005,10.28
2005-09-01,AI,005,10.65
2005-08-01,AI,005,10.65
2005-07-01,AI,005,10.65
2005-06-01,AI,005,10.29
2005-05-01,AI,005,10.29
2005-04-01,AI,005,10.29
2005-03-01,AI,005,10.31
2005-02-01,AI,005,10.31
2005-01-01,AI,005,10.31
2004-12-01,AI,005,10.92
2004-11-01,AI,005,10.92
2004-10-01,AI,005,10.92
2004-09-01,AI,005,10.75
2004-08-01,AI,005,10.75
2004-07-01,AI,005,10.75
2004-06-01,AI,005,11.08
2004-05-01,AI,005,11.08
2004-04-01,AI,005,11.08
2004-03-01,AI,005,11.24
2004-02-01,AI,005,11.24
2004-01-01,AI,005,11.24
2003-12-01,AI,005,11.73
2003-11-01,AI,005,11.73
2003-10-01,AI,005,11.73
2003-09-01,AI,005,11.93
2003-08-01,AI,005,11.93
2003-07-01,AI,005,11.93
2003-06-01,AI,005,11.79
2003-05-01,AI,005,11.79
2003-04-01,AI,005,11.79
2003-03-01,AI,005,10.23
2003-02-01,AI,005,10.23
2003-01-01,AI,005,10.23
2002-12-01,AI,005,10.29
