date,country_code,indicator_code,value
2018-07-01,AL,001,4.693
2018-04-01,AL,001,1.826
2018-01-01,AL,001,9.548
2017-10-01,AL,001,11.234
2017-07-01,AL,001,16.134
2017-04-01,AL,001,20.551
2017-01-01,AL,001,1.767
2016-10-01,AL,001,-16.103
2016-07-01,AL,001,33.27
2016-04-01,AL,001,20.711
2016-01-01,AL,001,22.755
2015-10-01,AL,001,15.948
2015-07-01,AL,001,13.574
2015-04-01,AL,001,3.679
2015-01-01,AL,001,5.466
2014-10-01,AL,001,-4.419
2014-07-01,AL,001,33.311
2014-04-01,AL,001,68.843
2014-01-01,AL,001,-13.658
2013-10-01,AL,001,-12.017
2013-07-01,AL,001,-28.464
2013-04-01,AL,001,-67.629
2013-01-01,AL,001,-26.317
2012-10-01,AL,001,0.989
2012-07-01,AL,001,-32.694
2012-04-01,AL,001,-26.115
2012-01-01,AL,001,227.759
2011-10-01,AL,001,2.522
2011-07-01,AL,001,37.245
2011-04-01,AL,001,9.074
2011-01-01,AL,001,3.52
2010-10-01,AL,001,0.938
2010-07-01,AL,001,-20.599
2010-04-01,AL,001,4.197
2010-01-01,AL,001,1.375
2009-10-01,AL,001,0.119
2009-07-01,AL,001,9.161
2009-04-01,AL,001,-0.0200000000001
2009-01-01,AL,001,-73.575
2008-10-01,AL,001,4.174
2008-07-01,AL,001,3.978
2008-04-01,AL,001,26.617
2008-01-01,AL,001,0.298
2007-10-01,AL,001,3.253
2007-07-01,AL,001,2.787
2007-04-01,AL,001,0.201
2007-01-01,AL,001,-2.299
2006-10-01,AL,001,0.653
2006-07-01,AL,001,3.152
2006-04-01,AL,001,0.253
2006-01-01,AL,001,-1.0
2005-10-01,AL,001,0.8
2005-07-01,AL,001,0.2
2005-04-01,AL,001,0.0
2005-01-01,AL,001,0.0
2004-10-01,AL,001,9.0
2004-07-01,AL,001,1.0
2004-04-01,AL,001,2.0
2004-01-01,AL,001,-8.0
2003-10-01,AL,001,-1.0
2003-07-01,AL,001,1.0
2003-04-01,AL,001,1.0
2003-01-01,AL,001,5.0
