date,country_code,indicator_code,value
2016-01-01,AM,001,1006.2
2015-01-01,AM,001,1072.6
2014-01-01,AM,001,1133.5
2013-01-01,AM,001,1163.8
2012-01-01,AM,001,1172.8
2011-01-01,AM,001,1175.1
2010-01-01,AM,001,1185.2
2009-01-01,AM,001,1089.4
2008-01-01,AM,001,1117.6
2007-01-01,AM,001,1101.5
2006-01-01,AM,001,1092.4
2005-01-01,AM,001,1097.8
2004-01-01,AM,001,1081.7
2003-01-01,AM,001,1107.6
2002-01-01,AM,001,1106.4
2001-01-01,AM,001,1264.9
2000-01-01,AM,001,1277.7
1999-01-01,AM,001,1298.2
1998-01-01,AM,001,1337.3
1997-01-01,AM,001,1372.2
1996-01-01,AM,001,1435.6
1995-01-01,AM,001,1476.4
2020-03-01,AM,002,192450.0
2020-02-01,AM,002,186954.0
2020-01-01,AM,002,191012.0
2019-12-01,AM,002,224517.0
2019-11-01,AM,002,177647.0
2019-10-01,AM,002,179941.0
2019-09-01,AM,002,178421.0
2019-08-01,AM,002,180935.0
2019-07-01,AM,002,187280.0
2019-06-01,AM,002,179475.0
2019-05-01,AM,002,179580.0
2019-04-01,AM,002,179002.0
2019-03-01,AM,002,177222.0
2019-02-01,AM,002,172144.0
2019-01-01,AM,002,172833.0
2018-12-01,AM,002,183900.0
2018-11-01,AM,002,169295.0
2018-10-01,AM,002,169216.0
2018-09-01,AM,002,166104.0
2018-08-01,AM,002,173960.0
2018-07-01,AM,002,173475.0
2018-06-01,AM,002,169875.0
2018-05-01,AM,002,169755.0
2018-04-01,AM,002,167223.0
2018-03-01,AM,002,167775.0
2018-02-01,AM,002,169616.0
2018-01-01,AM,002,167024.0
2017-12-01,AM,002,250029.0
2017-11-01,AM,002,191930.0
2017-10-01,AM,002,188524.0
2017-09-01,AM,002,191377.0
2017-08-01,AM,002,190008.0
2017-07-01,AM,002,202234.0
2017-06-01,AM,002,192631.0
2017-05-01,AM,002,188805.0
2017-04-01,AM,002,189148.0
2017-03-01,AM,002,191861.0
2017-02-01,AM,002,182899.0
2017-01-01,AM,002,180354.0
2016-12-01,AM,002,188851.0
2016-11-01,AM,002,180971.0
2016-10-01,AM,002,181478.0
2016-09-01,AM,002,187439.0
2016-08-01,AM,002,185825.0
2016-07-01,AM,002,198504.0
2016-06-01,AM,002,183189.0
2016-05-01,AM,002,184299.0
2016-04-01,AM,002,187241.0
2016-03-01,AM,002,185477.0
2016-02-01,AM,002,181415.0
2016-01-01,AM,002,177539.0
2015-12-01,AM,002,222818.0
2015-11-01,AM,002,180111.0
2015-10-01,AM,002,181391.0
2015-09-01,AM,002,183116.0
2015-08-01,AM,002,183263.0
2015-07-01,AM,002,196755.0
2015-06-01,AM,002,180989.0
2015-05-01,AM,002,179675.0
2015-04-01,AM,002,181927.0
2015-03-01,AM,002,179912.0
2015-02-01,AM,002,173556.0
2015-01-01,AM,002,173217.0
2014-12-01,AM,002,215986.0
2014-11-01,AM,002,175246.0
2014-10-01,AM,002,174630.0
2014-09-01,AM,002,172347.0
2014-08-01,AM,002,170970.0
2014-07-01,AM,002,179889.0
2014-06-01,AM,002,166737.0
2014-05-01,AM,002,163144.0
2014-04-01,AM,002,161632.0
2014-03-01,AM,002,161150.0
2014-02-01,AM,002,157214.0
2014-01-01,AM,002,155940.0
2013-12-01,AM,002,195072.0
2013-11-01,AM,002,159952.0
2013-10-01,AM,002,151117.0
2013-09-01,AM,002,150783.0
2013-08-01,AM,002,150538.0
2013-07-01,AM,002,157651.0
2013-06-01,AM,002,147257.0
2013-05-01,AM,002,144124.0
