date,country_code,indicator_code,value
2009-01-01,AN,001,0.047
2008-01-01,AN,001,2.486
2007-01-01,AN,001,1.999
2006-01-01,AN,001,0.71
2005-01-01,AN,001,-0.13
2004-01-01,AN,001,-0.67
2003-01-01,AN,001,3.08
2002-01-01,AN,001,1.37
2001-01-01,AN,001,-2.42
1998-01-01,AN,001,-4.01
1997-01-01,AN,001,-1.52
1996-01-01,AN,001,2.91
1995-01-01,AN,001,-0.66
1994-01-01,AN,001,2.284
1993-01-01,AN,001,1.436
1992-01-01,AN,001,0.736
1991-01-01,AN,001,2.746
1990-01-01,AN,001,3.285
1989-01-01,AN,001,3.233
1988-01-01,AN,001,-12.0
1987-01-01,AN,001,-6.0
1986-01-01,AN,001,-1.0
2010-09-01,AN,005,7.46
2010-08-01,AN,005,7.64
2010-07-01,AN,005,7.44
2010-06-01,AN,005,7.45
2010-05-01,AN,005,7.52
2010-04-01,AN,005,7.51
2010-03-01,AN,005,7.5
2010-02-01,AN,005,7.11
2010-01-01,AN,005,7.22
2009-12-01,AN,005,7.08
2009-11-01,AN,005,7.12
2009-10-01,AN,005,7.19
2009-09-01,AN,005,7.23
2009-08-01,AN,005,7.3
2009-07-01,AN,005,7.3
2009-06-01,AN,005,7.55
2009-05-01,AN,005,7.44
2009-04-01,AN,005,8.02
2009-03-01,AN,005,7.99
2009-02-01,AN,005,7.84
2009-01-01,AN,005,8.02
2008-12-01,AN,005,8.25
2008-11-01,AN,005,8.46
2008-10-01,AN,005,8.03
2008-09-01,AN,005,8.34
2008-08-01,AN,005,8.55
2008-07-01,AN,005,8.42
2008-06-01,AN,005,8.35
2008-05-01,AN,005,8.53
2008-04-01,AN,005,8.35
2008-03-01,AN,005,8.35
2008-02-01,AN,005,8.57
2008-01-01,AN,005,8.74
2007-12-01,AN,005,8.89
2007-11-01,AN,005,8.81
2007-10-01,AN,005,9.06
2007-09-01,AN,005,9.03
2007-08-01,AN,005,9.3
2007-07-01,AN,005,9.31
2007-06-01,AN,005,9.53
2007-05-01,AN,005,9.19
2007-04-01,AN,005,8.89
2007-03-01,AN,005,10.6
2007-02-01,AN,005,8.66
2007-01-01,AN,005,11.0
2006-12-01,AN,005,9.78
2006-11-01,AN,005,9.78
2006-10-01,AN,005,9.42
2006-09-01,AN,005,14.41
2006-08-01,AN,005,9.3
2006-07-01,AN,005,8.71
2006-06-01,AN,005,8.08
2006-05-01,AN,005,8.87
2006-04-01,AN,005,7.86
2006-03-01,AN,005,8.89
2006-02-01,AN,005,7.72
2006-01-01,AN,005,8.54
2005-12-01,AN,005,8.54
2005-11-01,AN,005,8.88
2005-10-01,AN,005,9.34
2005-09-01,AN,005,8.29
2005-08-01,AN,005,13.31
2005-07-01,AN,005,9.29
2005-06-01,AN,005,8.43
2005-05-01,AN,005,9.33
2005-04-01,AN,005,9.26
2005-03-01,AN,005,9.52
