date,country_code,indicator_code,value
2018-01-01,AO,004,10499688.0
2017-01-01,AO,004,5876897.0
2016-01-01,AO,004,4654480.0
2015-01-01,AO,004,4150853.0
2014-01-01,AO,004,6402053.0
2013-01-01,AO,004,6696080.0
2012-01-01,AO,004,6838653.0
2011-01-01,AO,004,6370916.0
2010-01-01,AO,004,4739836.0
2009-01-01,AO,004,3277095.0
2008-01-01,AO,004,4814772.0
2007-01-01,AO,004,3399591.0
2006-01-01,AO,004,2671846.0
2005-01-01,AO,004,2111487.0
2004-01-01,AO,004,1148675.0
2003-01-01,AO,004,721898.0
2002-01-01,AO,004,379835.0
2001-01-01,AO,004,148600.0
2000-01-01,AO,004,82212.0
1999-01-01,AO,004,14828.0
1998-01-01,AO,004,1437.0
1997-01-01,AO,004,1201.0
1996-01-01,AO,004,692.0
1995-01-01,AO,004,10.0
1994-01-01,AO,004,0.0
1993-01-01,AO,004,0.0
1992-01-01,AO,004,0.0
1991-01-01,AO,004,0.0
1990-01-01,AO,004,0.0
1989-01-01,AO,004,0.0
1988-01-01,AO,004,0.0
1987-01-01,AO,004,0.0
1986-01-01,AO,004,0.0
1985-01-01,AO,004,0.0
1984-01-01,AO,004,0.0
1983-01-01,AO,004,0.0
1982-01-01,AO,004,0.0
1981-01-01,AO,004,0.0
1980-01-01,AO,004,0.0
2020-03-01,AO,005,21.22
2020-02-01,AO,005,19.24
2020-01-01,AO,005,19.69
2019-12-01,AO,005,14.39
2019-11-01,AO,005,19.76
2019-10-01,AO,005,18.76
2019-09-01,AO,005,18.49
2019-08-01,AO,005,18.84
2019-07-01,AO,005,18.88
2019-06-01,AO,005,23.28
2019-05-01,AO,005,18.73
2019-04-01,AO,005,21.24
2019-03-01,AO,005,21.2
2019-02-01,AO,005,17.53
2019-01-01,AO,005,20.45
2018-12-01,AO,005,19.83
2018-11-01,AO,005,20.73
2018-10-01,AO,005,20.13
2018-09-01,AO,005,21.02
2018-08-01,AO,005,19.61
2018-07-01,AO,005,22.22
2018-06-01,AO,005,22.36
2018-05-01,AO,005,20.83
2018-04-01,AO,005,23.85
2018-03-01,AO,005,24.62
2018-02-01,AO,005,19.85
2018-01-01,AO,005,13.07
2017-12-01,AO,005,18.63
2017-11-01,AO,005,15.3
2017-10-01,AO,005,15.46
2017-09-01,AO,005,15.5
2017-08-01,AO,005,15.93
2017-07-01,AO,005,15.67
2017-06-01,AO,005,15.72
2017-05-01,AO,005,15.66
2017-04-01,AO,005,15.82
2017-03-01,AO,005,15.41
2017-02-01,AO,005,15.33
2017-01-01,AO,005,15.24
2016-12-01,AO,005,15.84
2016-11-01,AO,005,15.65
2016-10-01,AO,005,15.68
2016-09-01,AO,005,15.85
2016-08-01,AO,005,15.58
2016-07-01,AO,005,15.97
2016-06-01,AO,005,15.8
2016-05-01,AO,005,16.01
2016-04-01,AO,005,15.67
2016-03-01,AO,005,15.66
2016-02-01,AO,005,15.66
2016-01-01,AO,005,15.99
2015-12-01,AO,005,15.41
2015-11-01,AO,005,15.75
2015-10-01,AO,005,15.81
2015-09-01,AO,005,15.3
2015-08-01,AO,005,15.86
2015-07-01,AO,005,16.59
2015-06-01,AO,005,18.47
2015-05-01,AO,005,17.73
2015-04-01,AO,005,17.81
2015-03-01,AO,005,18.96
2015-02-01,AO,005,16.03
2015-01-01,AO,005,18.87
2014-12-01,AO,005,17.39
2014-11-01,AO,005,18.06
2014-10-01,AO,005,16.65
2014-09-01,AO,005,17.55
2014-08-01,AO,005,15.5
2014-07-01,AO,005,15.44
2014-06-01,AO,005,15.12
2014-05-01,AO,005,17.33
2014-04-01,AO,005,15.41
2014-03-01,AO,005,15.51
2014-02-01,AO,005,16.68
2014-01-01,AO,005,15.97
2013-12-01,AO,005,15.08
2013-11-01,AO,005,15.44
2013-10-01,AO,005,14.46
2013-09-01,AO,005,14.62
2013-08-01,AO,005,15.62
2013-07-01,AO,005,16.63
2013-06-01,AO,005,15.35
2013-05-01,AO,005,16.93
2013-04-01,AO,005,18.17
2013-03-01,AO,005,15.86
2013-02-01,AO,005,16.27
2013-01-01,AO,005,15.28
2012-12-01,AO,005,15.32
2012-11-01,AO,005,14.76
2012-10-01,AO,005,15.17
2012-09-01,AO,005,15.6
2012-08-01,AO,005,16.54
2012-07-01,AO,005,15.11
2012-06-01,AO,005,17.06
2012-05-01,AO,005,17.06
2012-04-01,AO,005,18.47
2012-03-01,AO,005,18.66
2012-02-01,AO,005,18.57
2012-01-01,AO,005,17.54
2011-12-01,AO,005,18.09
2011-11-01,AO,005,15.84
2011-10-01,AO,005,15.32
2011-09-01,AO,005,17.02
2011-08-01,AO,005,21.26
2011-07-01,AO,005,21.06
2011-06-01,AO,005,14.7
2011-05-01,AO,005,20.77
2011-04-01,AO,005,19.74
2011-03-01,AO,005,21.03
2011-02-01,AO,005,21.1
2011-01-01,AO,005,19.16
2010-12-01,AO,005,18.96
2010-11-01,AO,005,14.82
2010-10-01,AO,005,29.11
2010-09-01,AO,005,22.88
2010-08-01,AO,005,25.35
2010-07-01,AO,005,23.3
2010-06-01,AO,005,25.92
2010-05-01,AO,005,25.45
2010-04-01,AO,005,26.95
2010-03-01,AO,005,15.11
2010-02-01,AO,005,25.33
2010-01-01,AO,005,17.35
2009-12-01,AO,005,15.62
2009-11-01,AO,005,18.89
2009-10-01,AO,005,18.7
2009-09-01,AO,005,15.54
2009-08-01,AO,005,18.59
2009-07-01,AO,005,16.76
2009-06-01,AO,005,16.57
2009-05-01,AO,005,14.45
2009-04-01,AO,005,12.55
2009-03-01,AO,005,12.66
2009-02-01,AO,005,11.06
2009-01-01,AO,005,16.8
2008-12-01,AO,005,11.97
2008-11-01,AO,005,13.36
2008-10-01,AO,005,12.18
2008-09-01,AO,005,14.56
2008-08-01,AO,005,13.36
2008-07-01,AO,005,10.75
2008-06-01,AO,005,11.95
2008-05-01,AO,005,12.0
2008-04-01,AO,005,11.72
2008-03-01,AO,005,13.25
2008-02-01,AO,005,12.36
2008-01-01,AO,005,12.96
2007-12-01,AO,005,14.18
2007-11-01,AO,005,14.18
2007-10-01,AO,005,15.2
2007-09-01,AO,005,17.44
2007-08-01,AO,005,16.69
2007-07-01,AO,005,19.06
2007-06-01,AO,005,18.34
2007-05-01,AO,005,16.43
2007-04-01,AO,005,15.85
2007-03-01,AO,005,18.93
2007-02-01,AO,005,24.29
2007-01-01,AO,005,21.8
2006-12-01,AO,005,15.32
2006-11-01,AO,005,17.53
2006-10-01,AO,005,21.18
2006-09-01,AO,005,16.8
2006-08-01,AO,005,15.12
2006-07-01,AO,005,14.22
2006-06-01,AO,005,19.91
2006-05-01,AO,005,14.81
2006-04-01,AO,005,27.01
2006-03-01,AO,005,17.28
2006-02-01,AO,005,34.26
2006-01-01,AO,005,20.69
2005-12-01,AO,005,46.87
2005-11-01,AO,005,48.35
2005-10-01,AO,005,54.03
2005-09-01,AO,005,66.22
2005-08-01,AO,005,67.14
2005-07-01,AO,005,64.21
2005-06-01,AO,005,72.56
2005-05-01,AO,005,80.3
2005-04-01,AO,005,81.64
2005-03-01,AO,005,78.64
2005-02-01,AO,005,74.71
2005-01-01,AO,005,77.94
2004-12-01,AO,005,70.42
2004-11-01,AO,005,73.28
2004-10-01,AO,005,74.47
2004-09-01,AO,005,71.41
2004-08-01,AO,005,83.06
2004-07-01,AO,005,78.85
2004-06-01,AO,005,76.19
2004-05-01,AO,005,82.06
2004-04-01,AO,005,86.06
2004-03-01,AO,005,91.51
2004-02-01,AO,005,99.22
2004-01-01,AO,005,101.48
2003-12-01,AO,005,93.41
2003-11-01,AO,005,88.49
2003-10-01,AO,005,100.16
2003-09-01,AO,005,100.52
2003-08-01,AO,005,105.35
2003-07-01,AO,005,98.58
2003-06-01,AO,005,101.41
2003-05-01,AO,005,100.99
2003-04-01,AO,005,98.93
2003-03-01,AO,005,72.94
2003-02-01,AO,005,95.17
2003-01-01,AO,005,97.43
2002-12-01,AO,005,99.66
2002-11-01,AO,005,98.48
2002-10-01,AO,005,98.08
2002-09-01,AO,005,96.68
2002-08-01,AO,005,94.4
2002-07-01,AO,005,95.3
2002-06-01,AO,005,98.36
2002-05-01,AO,005,98.39
2002-04-01,AO,005,98.48
2002-03-01,AO,005,99.23
2002-02-01,AO,005,97.34
2002-01-01,AO,005,93.63
2001-12-01,AO,005,97.63
2001-11-01,AO,005,101.86
2001-10-01,AO,005,107.19
2001-09-01,AO,005,98.0
2001-08-01,AO,005,84.25
2001-07-01,AO,005,97.17
2001-06-01,AO,005,99.76
2001-05-01,AO,005,89.87
2001-04-01,AO,005,87.86
2001-03-01,AO,005,96.0
2001-02-01,AO,005,102.75
2001-01-01,AO,005,89.26
2000-12-01,AO,005,89.56
2000-11-01,AO,005,99.42
2000-10-01,AO,005,125.97
2000-09-01,AO,005,104.16
2000-08-01,AO,005,96.53
2000-07-01,AO,005,109.25
2000-06-01,AO,005,112.0
2000-05-01,AO,005,105.2
2000-04-01,AO,005,104.0
2000-03-01,AO,005,104.88
2000-02-01,AO,005,93.8
2000-01-01,AO,005,93.15
1999-12-01,AO,005,118.33
1999-11-01,AO,005,115.0
1999-10-01,AO,005,116.66
1999-09-01,AO,005,113.75
1999-08-01,AO,005,103.75
1999-07-01,AO,005,101.25
1999-06-01,AO,005,69.82
1999-05-01,AO,005,45.0
1999-04-01,AO,005,45.0
1999-03-01,AO,005,45.0
1999-02-01,AO,005,45.0
1999-01-01,AO,005,45.0
1998-12-01,AO,005,45.0
1998-11-01,AO,005,45.0
1998-10-01,AO,005,45.0
1998-09-01,AO,005,45.0
1998-08-01,AO,005,45.0
1998-07-01,AO,005,45.0
1998-06-01,AO,005,45.0
1998-05-01,AO,005,45.0
1998-04-01,AO,005,45.0
1998-03-01,AO,005,45.0
1998-02-01,AO,005,45.0
1998-01-01,AO,005,45.0
1997-12-01,AO,005,45.0
1997-11-01,AO,005,45.0
1997-10-01,AO,005,45.0
1997-09-01,AO,005,45.0
1997-08-01,AO,005,45.0
1997-07-01,AO,005,45.0
1997-06-01,AO,005,45.0
1997-05-01,AO,005,45.0
1997-04-01,AO,005,45.0
1997-03-01,AO,005,45.0
1997-02-01,AO,005,1.5
1997-01-01,AO,005,1.5
1996-12-01,AO,005,1.5
1996-11-01,AO,005,2.0
1996-10-01,AO,005,2.0
1996-09-01,AO,005,2.0
1996-08-01,AO,005,2.0
1996-07-01,AO,005,443.0
1996-06-01,AO,005,443.0
1996-05-01,AO,005,409.0
1996-04-01,AO,005,155.0
1996-03-01,AO,005,385.0
1996-02-01,AO,005,385.0
1996-01-01,AO,005,385.0
1995-12-01,AO,005,385.0
1995-11-01,AO,005,365.0
1995-10-01,AO,005,325.0
1995-09-01,AO,005,245.0
1995-08-01,AO,005,160.0
1995-07-01,AO,005,160.0
1995-06-01,AO,005,160.0
1995-05-01,AO,005,160.0
1995-04-01,AO,005,155.0
1995-03-01,AO,005,120.0
1995-02-01,AO,005,120.0
1995-01-01,AO,005,120.0
2020-03-01,AO,007,7207905.0
2020-02-01,AO,007,6627943.0
2020-01-01,AO,007,7029416.0
2019-12-01,AO,007,7021685.0
2019-11-01,AO,007,7558895.0
2019-10-01,AO,007,6483820.0
2019-09-01,AO,007,4812454.0
2019-08-01,AO,007,4850734.0
2019-07-01,AO,007,4532752.0
2019-06-01,AO,007,4216390.0
2019-05-01,AO,007,4148030.0
2019-04-01,AO,007,4292606.0
2019-03-01,AO,007,4045190.0
2019-02-01,AO,007,4119450.0
2019-01-01,AO,007,4265891.0
2018-12-01,AO,007,4218121.0
2018-11-01,AO,007,4553794.0
2018-10-01,AO,007,4419568.0
2018-09-01,AO,007,4285158.0
2018-08-01,AO,007,4271998.0
2018-07-01,AO,007,4102680.0
2018-06-01,AO,007,3934124.0
2018-05-01,AO,007,4000872.0
2018-04-01,AO,007,3194054.0
2018-03-01,AO,007,3229191.0
2018-02-01,AO,007,3297029.0
2018-01-01,AO,007,3306997.0
2017-12-01,AO,007,2642692.0
2017-11-01,AO,007,2707729.0
2017-10-01,AO,007,2870669.0
2017-09-01,AO,007,2935735.0
2017-08-01,AO,007,3059280.0
2017-07-01,AO,007,3364586.0
2017-06-01,AO,007,3121919.0
2017-05-01,AO,007,3461203.0
2017-04-01,AO,007,3603965.0
2017-03-01,AO,007,3739569.0
2017-02-01,AO,007,3940601.0
2017-01-01,AO,007,3776433.0
2016-12-01,AO,007,3856956.0
2016-11-01,AO,007,3872358.0
2016-10-01,AO,007,3851830.0
2016-09-01,AO,007,3960246.0
2016-08-01,AO,007,4073787.0
2016-07-01,AO,007,4319255.0
2016-06-01,AO,007,4275298.0
2016-05-01,AO,007,4277710.0
2016-04-01,AO,007,4326857.0
2016-03-01,AO,007,4103300.0
2016-02-01,AO,007,4048169.0
2016-01-01,AO,007,4080563.0
2015-12-01,AO,007,3570441.0
2015-11-01,AO,007,3676047.0
2015-10-01,AO,007,3484022.0
2015-09-01,AO,007,3518831.0
2015-08-01,AO,007,3341699.0
2015-07-01,AO,007,3325322.0
2015-06-01,AO,007,3301944.0
2015-05-01,AO,007,3065704.0
2015-04-01,AO,007,2795239.0
2015-03-01,AO,007,3025921.0
2015-02-01,AO,007,3114687.0
2015-01-01,AO,007,2991341.0
2014-12-01,AO,007,3097464.0
2014-11-01,AO,007,2998033.0
2014-10-01,AO,007,3000250.0
2014-09-01,AO,007,2669096.0
2014-08-01,AO,007,2795442.0
2014-07-01,AO,007,2857226.0
2014-06-01,AO,007,2905233.0
2014-05-01,AO,007,3051082.0
2014-04-01,AO,007,3079879.0
2014-03-01,AO,007,3094859.0
2014-02-01,AO,007,3029859.0
2014-01-01,AO,007,3062767.0
2013-12-01,AO,007,3115369.0
2013-11-01,AO,007,3325946.0
2013-10-01,AO,007,3349346.0
2013-09-01,AO,007,3384427.0
2013-08-01,AO,007,3294189.0
2013-07-01,AO,007,3388474.0
2013-06-01,AO,007,3513302.0
2013-05-01,AO,007,3390832.0
2013-04-01,AO,007,3286507.0
2013-03-01,AO,007,3248125.0
2013-02-01,AO,007,3198907.0
2013-01-01,AO,007,3159207.0
2012-12-01,AO,007,3165722.0
2012-11-01,AO,007,3038728.0
2012-10-01,AO,007,2963302.0
2012-09-01,AO,007,2951062.0
2012-08-01,AO,007,2988636.0
2012-07-01,AO,007,3054215.0
2012-06-01,AO,007,3017305.0
