date,country_code,indicator_code,value
2017-04-01,AR,001,0.49
2016-04-01,AR,001,1.72
2015-04-01,AR,001,1.35
2015-01-01,AR,001,0.81
2014-10-01,AR,001,1.26
2014-07-01,AR,001,0.27
2014-04-01,AR,001,0.16
2014-01-01,AR,001,2.32
2013-10-01,AR,001,1.46
2013-07-01,AR,001,0.09
2013-04-01,AR,001,1.39
2013-01-01,AR,001,0.73
2012-10-01,AR,001,1.12
2012-07-01,AR,001,0.91
2012-04-01,AR,001,0.1
2012-01-01,AR,001,0.77
2011-10-01,AR,001,2.24
2011-07-01,AR,001,2.79
2011-04-01,AR,001,2.65
2011-01-01,AR,001,1.2
2010-10-01,AR,001,1.03
2010-07-01,AR,001,2.43
2010-04-01,AR,001,1.45
2010-01-01,AR,001,0.11
2009-10-01,AR,001,0.22
2009-07-01,AR,001,0.75
2009-04-01,AR,001,1.25
2009-01-01,AR,001,2.55
2008-10-01,AR,001,2.46
2008-07-01,AR,001,-0.51
2008-04-01,AR,001,0.03
2008-01-01,AR,001,0.95
2007-10-01,AR,001,0.56
2007-07-01,AR,001,2.57
2007-04-01,AR,001,3.69
2007-01-01,AR,001,4.55
2006-10-01,AR,001,4.08
2006-07-01,AR,001,3.87
2006-04-01,AR,001,4.92
2006-01-01,AR,001,3.95
2005-10-01,AR,001,3.11
2005-07-01,AR,001,3.44
2005-04-01,AR,001,2.79
2005-01-01,AR,001,2.35
2004-10-01,AR,001,4.25
2004-07-01,AR,001,5.41
2004-04-01,AR,001,-25.53
2004-01-01,AR,001,-24.08
2003-10-01,AR,001,-23.93
2015-10-01,AR,002,379.41
2015-09-01,AR,002,374.84
2015-08-01,AR,002,368.12
2015-07-01,AR,002,358.65
2015-06-01,AR,002,346.54
2015-05-01,AR,002,333.41
2015-04-01,AR,002,324.0
2015-03-01,AR,002,319.57
2015-02-01,AR,002,309.83
2015-01-01,AR,002,306.91
2014-12-01,AR,002,301.06
2014-11-01,AR,002,298.06
2014-10-01,AR,002,293.26
2014-09-01,AR,002,288.76
2014-08-01,AR,002,284.0
2014-07-01,AR,002,277.67
2014-06-01,AR,002,268.47
2014-05-01,AR,002,260.64
2014-04-01,AR,002,252.71
2014-03-01,AR,002,240.8
2014-02-01,AR,002,234.0
2014-01-01,AR,002,229.14
2013-12-01,AR,002,225.23
2013-11-01,AR,002,222.58
2013-10-01,AR,002,217.39
2013-09-01,AR,002,214.56
2013-08-01,AR,002,209.63
2013-07-01,AR,002,205.73
2013-06-01,AR,002,201.09
2013-05-01,AR,002,196.99
2013-04-01,AR,002,189.97
2013-03-01,AR,002,185.98
2013-02-01,AR,002,181.3
2013-01-01,AR,002,180.04
2012-12-01,AR,002,178.95
2012-11-01,AR,002,176.48
2012-10-01,AR,002,172.49
2012-09-01,AR,002,170.18
2012-08-01,AR,002,167.92
2012-07-01,AR,002,164.39
2012-06-01,AR,002,160.3
2012-05-01,AR,002,157.22
2012-04-01,AR,002,153.61
2012-03-01,AR,002,149.41
2012-02-01,AR,002,147.05
2012-01-01,AR,002,145.21
2011-12-01,AR,002,143.73
2011-11-01,AR,002,140.39
2011-10-01,AR,002,138.07
2011-09-01,AR,002,136.42
2011-08-01,AR,002,133.93
2011-07-01,AR,002,131.18
2011-06-01,AR,002,126.12
2011-05-01,AR,002,121.58
2011-04-01,AR,002,118.1
2011-03-01,AR,002,115.97
2011-02-01,AR,002,114.34
2011-01-01,AR,002,113.06
2010-12-01,AR,002,111.03
2010-11-01,AR,002,109.64
2010-10-01,AR,002,108.43
2010-09-01,AR,002,106.43
2010-08-01,AR,002,104.12
2010-07-01,AR,002,101.62
2010-06-01,AR,002,98.78
2010-05-01,AR,002,95.22
2010-04-01,AR,002,93.37
2010-03-01,AR,002,92.01
2010-02-01,AR,002,90.21
2010-01-01,AR,002,89.13
2009-12-01,AR,002,87.88
2009-11-01,AR,002,87.0
2009-10-01,AR,002,86.14
2009-09-01,AR,002,84.78
2009-08-01,AR,002,83.31
2009-07-01,AR,002,82.1
2009-06-01,AR,002,80.32
2009-05-01,AR,002,79.13
2009-04-01,AR,002,78.46
2009-03-01,AR,002,77.4
2009-02-01,AR,002,76.95
2009-01-01,AR,002,76.16
2008-12-01,AR,002,75.3
2008-11-01,AR,002,74.57
2008-10-01,AR,002,74.03
2008-09-01,AR,002,72.89
2008-08-01,AR,002,71.6
2008-07-01,AR,002,68.81
2008-06-01,AR,002,67.25
2008-05-01,AR,002,65.88
2008-04-01,AR,002,64.29
2008-03-01,AR,002,62.71
2008-02-01,AR,002,61.94
2008-01-01,AR,002,60.7
2007-12-01,AR,002,61.53
2007-11-01,AR,002,60.69
2007-10-01,AR,002,59.83
2007-09-01,AR,002,58.82
2007-08-01,AR,002,58.05
2007-07-01,AR,002,56.06
2007-06-01,AR,002,54.81
2007-05-01,AR,002,53.46
2007-04-01,AR,002,52.72
2007-03-01,AR,002,51.92
2007-02-01,AR,002,51.41
2007-01-01,AR,002,50.81
2006-12-01,AR,002,50.16
2006-11-01,AR,002,49.64
2006-10-01,AR,002,48.97
2006-09-01,AR,002,48.1
2006-08-01,AR,002,47.18
2006-07-01,AR,002,46.48
2006-06-01,AR,002,45.62
2006-05-01,AR,002,45.06
2006-04-01,AR,002,44.38
2006-03-01,AR,002,43.68
2006-02-01,AR,002,43.31
2006-01-01,AR,002,42.9
2005-12-01,AR,002,42.19
2005-11-01,AR,002,41.7
2005-10-01,AR,002,41.3
2005-09-01,AR,002,40.73
2005-08-01,AR,002,39.98
2005-07-01,AR,002,39.38
2005-06-01,AR,002,38.75
2005-05-01,AR,002,38.41
2005-04-01,AR,002,37.83
2005-03-01,AR,002,37.34
2005-02-01,AR,002,37.1
2005-01-01,AR,002,36.35
2004-12-01,AR,002,35.06
2004-11-01,AR,002,34.9
2004-10-01,AR,002,34.76
2004-09-01,AR,002,34.72
2004-08-01,AR,002,34.61
2004-07-01,AR,002,34.31
2004-06-01,AR,002,34.08
2004-05-01,AR,002,34.03
2004-04-01,AR,002,33.93
2004-03-01,AR,002,33.77
2004-02-01,AR,002,33.47
2004-01-01,AR,002,32.91
2003-12-01,AR,002,32.07
2003-11-01,AR,002,31.88
2003-10-01,AR,002,31.77
2003-09-01,AR,002,31.51
2003-08-01,AR,002,31.25
2003-07-01,AR,002,31.0
2003-06-01,AR,002,30.82
2003-05-01,AR,002,30.65
2003-04-01,AR,002,29.78
2003-03-01,AR,002,29.66
2003-02-01,AR,002,29.64
2003-01-01,AR,002,29.55
2002-12-01,AR,002,28.62
2002-11-01,AR,002,28.54
2002-10-01,AR,002,28.39
2002-09-01,AR,002,28.38
2002-08-01,AR,002,28.33
2002-07-01,AR,002,28.17
2002-06-01,AR,002,26.51
2002-05-01,AR,002,26.48
2002-04-01,AR,002,26.48
2002-03-01,AR,002,26.49
2002-02-01,AR,002,26.51
2002-01-01,AR,002,26.53
2001-12-01,AR,002,26.6
2001-11-01,AR,002,26.64
2001-10-01,AR,002,26.66
2018-01-01,AR,004,-312478.0
2017-01-01,AR,004,-291442.0
2016-01-01,AR,004,-85548.0
2015-01-01,AR,004,-64006.0
2014-01-01,AR,004,18507.0
2013-01-01,AR,004,-3334.0
2012-01-01,AR,004,51418.0
2011-01-01,AR,004,36875.0
2010-01-01,AR,004,48134.0
2009-01-01,AR,004,63206.0
2008-01-01,AR,004,42757.0
2007-01-01,AR,004,39291.0
2006-01-01,AR,004,40233.0
2005-01-01,AR,004,34606.0
2004-01-01,AR,004,33971.0
2003-01-01,AR,004,42166.0
2002-01-01,AR,004,46926.0
2001-01-01,AR,004,3509.0
2000-01-01,AR,004,-1846.0
1999-01-01,AR,004,-4900.0
1998-01-01,AR,004,-7530.0
1997-01-01,AR,004,-6485.0
1996-01-01,AR,004,-1767.0
1995-01-01,AR,004,-1059.0
1994-01-01,AR,004,-7915.0
1993-01-01,AR,004,-5687.0
1992-01-01,AR,004,-3478.0
1991-01-01,AR,004,2889.0
1990-01-01,AR,004,3948.0
1989-01-01,AR,004,210.0
1988-01-01,AR,004,4.0
1987-01-01,AR,004,0.0
1986-01-01,AR,004,0.0
1985-01-01,AR,004,0.0
1984-01-01,AR,004,0.0
1983-01-01,AR,004,0.0
1982-01-01,AR,004,0.0
1981-01-01,AR,004,0.0
1980-01-01,AR,004,0.0
1979-01-01,AR,004,0.0
1978-01-01,AR,004,0.0
1977-01-01,AR,004,0.0
1976-01-01,AR,004,0.0
1975-01-01,AR,004,0.0
1974-01-01,AR,004,0.0
1973-01-01,AR,004,0.0
1972-01-01,AR,004,0.0
1971-01-01,AR,004,0.0
1970-01-01,AR,004,0.0
1969-01-01,AR,004,0.0
1968-01-01,AR,004,0.0
1967-01-01,AR,004,0.0
1966-01-01,AR,004,0.0
1965-01-01,AR,004,0.0
1964-01-01,AR,004,0.0
1963-01-01,AR,004,0.0
1962-01-01,AR,004,0.0
1961-01-01,AR,004,0.0
1960-01-01,AR,004,0.0
2020-04-01,AR,005,12.0
