date,country_code,indicator_code,value
2018-01-01,AS,004,-194.0
2017-01-01,AS,004,-254.0
2016-01-01,AS,004,-208.0
2015-01-01,AS,004,-231.0
2014-01-01,AS,004,-253.0
2013-01-01,AS,004,-184.0
2012-01-01,AS,004,-161.0
2011-01-01,AS,004,-224.0
2010-01-01,AS,004,-173.0
2009-01-01,AS,004,-26.0
2008-01-01,AS,004,-113.0
2007-01-01,AS,004,-116.0
2006-01-01,AS,004,-139.0
2005-01-01,AS,004,-116.0
2004-01-01,AS,004,-107.0
2003-01-01,AS,004,-58.0
2002-01-01,AS,004,-41.0
2019-04-01,AS,034,103.7
2019-01-01,AS,034,103.3
2018-10-01,AS,034,103.7
2018-07-01,AS,034,103.7
2018-04-01,AS,034,103.0
2018-01-01,AS,034,102.4
2017-10-01,AS,034,102.1
2017-07-01,AS,034,101.9
2017-04-01,AS,034,101.2
2017-01-01,AS,034,100.5
2016-10-01,AS,034,100.0
2017-01-01,AS,035,460.0
2016-01-01,AS,035,446.0
2015-01-01,AS,035,444.0
2014-01-01,AS,035,455.0
2013-01-01,AS,035,447.0
2012-01-01,AS,035,424.0
2011-01-01,AS,035,414.0
2010-01-01,AS,035,402.0
2009-01-01,AS,035,398.0
2008-01-01,AS,035,407.0
2007-01-01,AS,035,383.0
2013-07-01,AS,046,130.4
2013-04-01,AS,046,133.7
2013-01-01,AS,046,135.7
2012-10-01,AS,046,134.7
2012-07-01,AS,046,135.0
2012-04-01,AS,046,135.4
2012-01-01,AS,046,131.7
2011-10-01,AS,046,129.1
2011-07-01,AS,046,128.2
2011-04-01,AS,046,123.3
2011-01-01,AS,046,118.3
2010-10-01,AS,046,115.9
2010-07-01,AS,046,114.0
2010-04-01,AS,046,110.1
2010-01-01,AS,046,110.4
2009-10-01,AS,046,106.8
2009-07-01,AS,046,106.0
2009-04-01,AS,046,104.1
2009-01-01,AS,046,107.7
2008-10-01,AS,046,117.6
2008-07-01,AS,046,119.6
2008-04-01,AS,046,108.1
2008-01-01,AS,046,102.7
2007-10-01,AS,046,100.0
2013-07-01,AS,047,131.1
2013-04-01,AS,047,126.8
2013-01-01,AS,047,127.5
2012-10-01,AS,047,127.1
2012-07-01,AS,047,126.6
2012-04-01,AS,047,127.5
2012-01-01,AS,047,127.0
2011-10-01,AS,047,126.4
2011-07-01,AS,047,126.6
2011-04-01,AS,047,126.9
2011-01-01,AS,047,124.7
2010-10-01,AS,047,124.0
2010-07-01,AS,047,123.3
2010-04-01,AS,047,123.3
2010-01-01,AS,047,123.7
2009-10-01,AS,047,119.4
2009-07-01,AS,047,119.0
2009-04-01,AS,047,112.6
2009-01-01,AS,047,107.5
2008-10-01,AS,047,109.0
2008-07-01,AS,047,107.0
2008-04-01,AS,047,102.2
2008-01-01,AS,047,101.1
2007-10-01,AS,047,100.0
2019-05-01,AS,048,0.0
2019-04-01,AS,048,0.0
2019-03-01,AS,048,0.0
2019-02-01,AS,048,0.0
2019-01-01,AS,048,0.0
2018-12-01,AS,048,0.0
