date,country_code,indicator_code,value
2020-03-01,AT,001,-187.23
2020-02-01,AT,001,17.2
2020-01-01,AT,001,-9.59
2019-12-01,AT,001,-23.44
2019-11-01,AT,001,-18.39
2019-10-01,AT,001,-30.61
2019-09-01,AT,001,3.27
2019-08-01,AT,001,-42.31
2019-07-01,AT,001,53.19
2019-06-01,AT,001,32.82
2019-05-01,AT,001,22.83
2019-04-01,AT,001,-4.72
2019-03-01,AT,001,27.76
2019-02-01,AT,001,31.9
2019-01-01,AT,001,-8.77
2018-12-01,AT,001,-33.99
2018-11-01,AT,001,-7.42
2018-10-01,AT,001,-18.67
2018-09-01,AT,001,-26.02
2018-08-01,AT,001,-16.26
2018-07-01,AT,001,60.76
2018-06-01,AT,001,30.07
2018-05-01,AT,001,36.36
2018-04-01,AT,001,-4.71
2018-03-01,AT,001,43.24
2018-02-01,AT,001,13.47
2018-01-01,AT,001,2.45
2017-12-01,AT,001,-36.5
2017-11-01,AT,001,-6.57
2017-10-01,AT,001,-16.02
2017-09-01,AT,001,-19.57
2017-08-01,AT,001,-15.27
2017-07-01,AT,001,56.1
2017-06-01,AT,001,36.49
2017-05-01,AT,001,42.44
2017-04-01,AT,001,-10.76
2017-03-01,AT,001,39.79
2017-02-01,AT,001,29.67
2017-01-01,AT,001,-18.87
2016-12-01,AT,001,-38.95
2016-11-01,AT,001,-6.85
2016-10-01,AT,001,-32.74
2016-09-01,AT,001,-12.76
2016-08-01,AT,001,-3.85
2016-07-01,AT,001,43.48
2016-06-01,AT,001,36.35
2016-05-01,AT,001,37.21
2016-04-01,AT,001,-12.87
2016-03-01,AT,001,40.27
2016-02-01,AT,001,28.14
2016-01-01,AT,001,-24.28
2015-12-01,AT,001,-30.03
2015-11-01,AT,001,-9.4
2015-10-01,AT,001,-37.83
2015-09-01,AT,001,-9.51
2015-08-01,AT,001,-30.7
2015-07-01,AT,001,65.87
2015-06-01,AT,001,39.23
2015-05-01,AT,001,28.24
2015-04-01,AT,001,-10.06
2015-03-01,AT,001,48.44
2015-02-01,AT,001,12.06
2015-01-01,AT,001,-25.89
2014-12-01,AT,001,-21.39
2014-11-01,AT,001,-26.26
2014-10-01,AT,001,-31.43
2014-09-01,AT,001,-1.47
2014-08-01,AT,001,-42.72
2014-07-01,AT,001,55.18
2014-06-01,AT,001,40.7
2014-05-01,AT,001,22.62
2014-04-01,AT,001,4.3
2014-03-01,AT,001,27.99
2014-02-01,AT,001,17.33
2014-01-01,AT,001,-21.88
2013-12-01,AT,001,-22.62
2013-11-01,AT,001,-31.29
2013-10-01,AT,001,-30.03
2013-09-01,AT,001,-9.34
2013-08-01,AT,001,-40.9
2013-07-01,AT,001,74.0
2013-06-01,AT,001,22.85
2013-05-01,AT,001,33.93
2013-04-01,AT,001,3.19
2013-03-01,AT,001,33.84
2013-02-01,AT,001,10.72
2013-01-01,AT,001,-22.85
2012-12-01,AT,001,-39.15
2012-11-01,AT,001,-19.4
2012-10-01,AT,001,-21.27
2012-09-01,AT,001,-34.55
2012-08-01,AT,001,-20.46
2012-07-01,AT,001,72.79
2012-06-01,AT,001,23.53
2012-05-01,AT,001,34.9
2012-04-01,AT,001,-2.85
2012-03-01,AT,001,41.85
2012-02-01,AT,001,7.98
2012-01-01,AT,001,-19.12
2011-12-01,AT,001,-32.04
2011-11-01,AT,001,-15.0
2011-10-01,AT,001,-31.45
2011-09-01,AT,001,-17.15
2011-08-01,AT,001,-2.5
2011-07-01,AT,001,49.74
2011-06-01,AT,001,34.23
2011-05-01,AT,001,38.05
2011-04-01,AT,001,0.99
2011-03-01,AT,001,35.11
2011-02-01,AT,001,20.09
2011-01-01,AT,001,-20.89
2010-12-01,AT,001,-32.08
2010-11-01,AT,001,-10.75
2010-10-01,AT,001,-33.06
2010-09-01,AT,001,-13.94
2010-08-01,AT,001,-5.95
2010-07-01,AT,001,52.52
2010-06-01,AT,001,34.04
2010-05-01,AT,001,28.67
2010-04-01,AT,001,-2.29
2010-03-01,AT,001,55.71
2010-02-01,AT,001,9.4
2010-01-01,AT,001,-37.21
2009-12-01,AT,001,-29.94
2009-11-01,AT,001,-12.77
2009-10-01,AT,001,-36.63
2009-09-01,AT,001,-14.61
2009-08-01,AT,001,-29.1
2009-07-01,AT,001,60.22
2009-06-01,AT,001,24.06
2009-05-01,AT,001,53.04
2009-04-01,AT,001,-39.08
2009-03-01,AT,001,25.11
2009-02-01,AT,001,-3.1
2009-01-01,AT,001,-41.42
2008-12-01,AT,001,-29.75
2008-11-01,AT,001,-36.49
2008-10-01,AT,001,-31.8
2008-09-01,AT,001,-4.03
2008-08-01,AT,001,-44.31
2008-07-01,AT,001,63.95
2008-06-01,AT,001,41.5
2008-05-01,AT,001,23.28
2008-04-01,AT,001,-2.05
2008-03-01,AT,001,34.53
2008-02-01,AT,001,25.76
2008-01-01,AT,001,-28.84
2007-12-01,AT,001,-26.14
2007-11-01,AT,001,-16.86
2007-10-01,AT,001,-22.98
2007-09-01,AT,001,-16.08
2007-08-01,AT,001,-23.53
2007-07-01,AT,001,75.6
2007-06-01,AT,001,24.65
2007-05-01,AT,001,25.91
2007-04-01,AT,001,11.17
2007-03-01,AT,001,34.41
2007-02-01,AT,001,19.64
2007-01-01,AT,001,-12.78
2006-12-01,AT,001,-44.31
2006-11-01,AT,001,-17.75
2006-10-01,AT,001,-16.04
2006-09-01,AT,001,-29.59
2006-08-01,AT,001,-14.51
2006-07-01,AT,001,74.0
2006-06-01,AT,001,29.26
2006-05-01,AT,001,31.54
2006-04-01,AT,001,32.43
2006-03-01,AT,001,25.62
2006-02-01,AT,001,10.55
2006-01-01,AT,001,-22.92
2005-12-01,AT,001,-37.22
2005-11-01,AT,001,-21.64
2005-10-01,AT,001,-15.66
2005-09-01,AT,001,-33.21
2005-08-01,AT,001,-17.45
2005-07-01,AT,001,70.39
2005-06-01,AT,001,26.56
2005-05-01,AT,001,29.82
2005-04-01,AT,001,17.08
2005-03-01,AT,001,31.42
2005-02-01,AT,001,1.79
2005-01-01,AT,001,-15.63
2004-12-01,AT,001,-38.02
2004-11-01,AT,001,-23.79
2004-10-01,AT,001,-20.46
2004-09-01,AT,001,-32.31
2004-08-01,AT,001,-18.19
2004-07-01,AT,001,69.2
2004-06-01,AT,001,31.5
2004-05-01,AT,001,27.88
2004-04-01,AT,001,16.76
2004-03-01,AT,001,29.37
2004-02-01,AT,001,13.89
2004-01-01,AT,001,-23.48
2003-12-01,AT,001,-51.04
2003-11-01,AT,001,-23.34
2003-10-01,AT,001,-24.29
2003-09-01,AT,001,-28.45
2003-08-01,AT,001,-18.03
2003-07-01,AT,001,67.14
2003-06-01,AT,001,21.21
2003-05-01,AT,001,21.59
2003-04-01,AT,001,18.03
2003-03-01,AT,001,33.18
2003-02-01,AT,001,10.38
2003-01-01,AT,001,-11.03
2002-12-01,AT,001,-38.98
2002-11-01,AT,001,-20.9
2002-10-01,AT,001,-20.66
2002-09-01,AT,001,-34.27
2002-08-01,AT,001,-15.82
2002-07-01,AT,001,64.69
2002-06-01,AT,001,25.73
2002-05-01,AT,001,27.94
2002-04-01,AT,001,6.0
2002-03-01,AT,001,37.14
2002-02-01,AT,001,17.63
2002-01-01,AT,001,-33.09
2001-12-01,AT,001,-36.93
2001-11-01,AT,001,-26.27
2001-10-01,AT,001,-24.25
2001-09-01,AT,001,-32.91
2001-08-01,AT,001,-22.56
2001-07-01,AT,001,70.57
2001-06-01,AT,001,22.79
2001-05-01,AT,001,20.03
2001-04-01,AT,001,18.21
2001-03-01,AT,001,27.22
2001-02-01,AT,001,10.81
2001-01-01,AT,001,-27.03
2000-12-01,AT,001,-32.35
2000-11-01,AT,001,-19.73
2000-10-01,AT,001,-22.81
2000-09-01,AT,001,-31.83
2000-08-01,AT,001,-15.14
2000-07-01,AT,001,67.55
2000-06-01,AT,001,19.96
2000-05-01,AT,001,19.5
2000-04-01,AT,001,20.25
2000-03-01,AT,001,32.47
2000-02-01,AT,001,16.1
2000-01-01,AT,001,-40.13
1999-12-01,AT,001,-26.48
1999-11-01,AT,001,-18.46
1999-10-01,AT,001,-18.42
1999-09-01,AT,001,-41.01
1999-08-01,AT,001,-14.87
1999-07-01,AT,001,73.09
1999-06-01,AT,001,35.02
1999-05-01,AT,001,22.78
1999-04-01,AT,001,7.73
1999-03-01,AT,001,46.0
1999-02-01,AT,001,3.69
1999-01-01,AT,001,-26.29
1998-12-01,AT,001,-30.6
1998-11-01,AT,001,-22.01
1998-10-01,AT,001,-24.2
1998-09-01,AT,001,-40.2
1998-08-01,AT,001,-3.76
1998-07-01,AT,001,66.35
1998-06-01,AT,001,24.04
1998-05-01,AT,001,25.18
1998-04-01,AT,001,15.88
1998-03-01,AT,001,28.4
1998-02-01,AT,001,10.21
1998-01-01,AT,001,-29.74
1997-12-01,AT,001,-33.07
1997-11-01,AT,001,-20.64
1997-10-01,AT,001,-22.66
1997-09-01,AT,001,-39.13
1997-08-01,AT,001,5.35
1997-07-01,AT,001,59.25
1997-06-01,AT,001,27.14
1997-05-01,AT,001,22.22
1997-04-01,AT,001,5.79
1997-03-01,AT,001,35.91
1997-02-01,AT,001,10.23
1997-01-01,AT,001,-43.99
1996-12-01,AT,001,-26.77
1996-11-01,AT,001,-21.22
1996-10-01,AT,001,-24.63
1996-09-01,AT,001,-39.75
1996-08-01,AT,001,-7.99
1996-07-01,AT,001,66.36
1996-06-01,AT,001,30.37
1996-05-01,AT,001,31.03
1996-04-01,AT,001,10.71
1996-03-01,AT,001,22.71
1996-02-01,AT,001,3.38
1996-01-01,AT,001,-35.76
1995-12-01,AT,001,-43.73
1995-11-01,AT,001,-25.01
1995-10-01,AT,001,-26.35
1995-09-01,AT,001,-35.94
1995-08-01,AT,001,-13.48
1995-07-01,AT,001,64.33
1995-06-01,AT,001,22.04
1995-05-01,AT,001,20.58
1995-04-01,AT,001,5.27
1995-03-01,AT,001,21.22
1995-02-01,AT,001,13.74
1995-01-01,AT,001,-35.14
1994-12-01,AT,001,-33.03
1994-11-01,AT,001,-16.74
1994-10-01,AT,001,-22.51
1994-09-01,AT,001,-32.68
1994-08-01,AT,001,-5.64
1994-07-01,AT,001,60.7
1994-06-01,AT,001,27.35
1994-05-01,AT,001,29.94
1994-04-01,AT,001,-6.66
1994-03-01,AT,001,38.41
1994-02-01,AT,001,16.09
1994-01-01,AT,001,-23.85
1993-12-01,AT,001,-37.11
1993-11-01,AT,001,-23.85
1993-10-01,AT,001,-19.95
1993-09-01,AT,001,-38.29
1993-08-01,AT,001,-8.42
1993-07-01,AT,001,61.59
1993-06-01,AT,001,24.5
1993-05-01,AT,001,26.68
1993-04-01,AT,001,5.52
1993-03-01,AT,001,18.79
1993-02-01,AT,001,11.33
1993-01-01,AT,001,-29.34
1992-12-01,AT,001,-39.34
1992-11-01,AT,001,-20.86
1992-10-01,AT,001,-24.03
1992-09-01,AT,001,-36.94
1992-08-01,AT,001,-3.56
1992-07-01,AT,001,67.84
1992-06-01,AT,001,28.05
1992-05-01,AT,001,23.27
1992-04-01,AT,001,7.6
1992-03-01,AT,001,29.48
1992-02-01,AT,001,20.43
1992-01-01,AT,001,-9.99
1991-12-01,AT,001,-42.94
1991-11-01,AT,001,-14.23
1991-10-01,AT,001,-19.0
1991-09-01,AT,001,-27.28
1991-08-01,AT,001,3.92
1991-07-01,AT,001,68.45
1991-06-01,AT,001,28.47
1991-05-01,AT,001,26.08
1991-04-01,AT,001,1.22
1991-03-01,AT,001,36.37
1991-02-01,AT,001,5.28
1991-01-01,AT,001,-18.38
1990-12-01,AT,001,-28.17
1990-11-01,AT,001,-11.7
1990-10-01,AT,001,-20.02
1990-09-01,AT,001,-10.21
1990-08-01,AT,001,3.26
1990-07-01,AT,001,62.49
1990-06-01,AT,001,25.1
1990-05-01,AT,001,22.09
1990-04-01,AT,001,1.2
1990-03-01,AT,001,33.61
