date,country_code,indicator_code,value
2019-10-01,AU,001,56.11
2019-07-01,AU,001,72.49
2019-04-01,AU,001,94.01
2019-01-01,AU,001,60.62
2018-10-01,AU,001,82.73
2018-07-01,AU,001,108.7
2018-04-01,AU,001,64.6
2018-01-01,AU,001,-17.52
2017-10-01,AU,001,181.58
2017-07-01,AU,001,45.93
2017-04-01,AU,001,193.95
2017-01-01,AU,001,-30.0
2016-10-01,AU,001,110.62
2016-07-01,AU,001,-43.9
2016-04-01,AU,001,88.5
2016-01-01,AU,001,-51.44
2015-10-01,AU,001,198.04
2015-07-01,AU,001,-3.13
2015-04-01,AU,001,119.63
2015-01-01,AU,001,44.41
2014-10-01,AU,001,64.27
2014-07-01,AU,001,-4.89
2014-04-01,AU,001,112.35
2014-01-01,AU,001,-48.26
2013-10-01,AU,001,28.38
2013-07-01,AU,001,-28.09
2013-04-01,AU,001,98.01
2013-01-01,AU,001,-46.56
2012-10-01,AU,001,70.92
2012-07-01,AU,001,2.76
2012-04-01,AU,001,114.99
2012-01-01,AU,001,-47.45
2011-10-01,AU,001,63.15
2011-07-01,AU,001,25.06
2011-04-01,AU,001,59.05
2011-01-01,AU,001,-47.21
2010-10-01,AU,001,134.93
2010-07-01,AU,001,85.64
2010-04-01,AU,001,92.92
2010-01-01,AU,001,-19.11
2009-10-01,AU,001,95.72
2009-07-01,AU,001,15.9
2009-04-01,AU,001,39.17
2009-01-01,AU,001,-82.47
2008-10-01,AU,001,51.14
2008-07-01,AU,001,61.8
2008-04-01,AU,001,105.45
2008-01-01,AU,001,19.82
2007-10-01,AU,001,104.58
2007-07-01,AU,001,80.27
2007-04-01,AU,001,142.96
2007-01-01,AU,001,-12.02
2006-10-01,AU,001,80.76
2006-07-01,AU,001,110.76
2006-04-01,AU,001,130.45
2006-01-01,AU,001,-38.98
2005-10-01,AU,001,60.72
2005-07-01,AU,001,61.21
2005-04-01,AU,001,132.09
2005-01-01,AU,001,28.11
2004-10-01,AU,001,146.4
2004-07-01,AU,001,31.66
2004-04-01,AU,001,94.72
2004-01-01,AU,001,-48.14
2003-10-01,AU,001,90.72
2003-07-01,AU,001,20.28
2003-04-01,AU,001,33.25
2003-01-01,AU,001,13.57
2002-10-01,AU,001,109.11
2002-07-01,AU,001,67.76
2002-04-01,AU,001,76.93
2002-01-01,AU,001,-101.15
2001-10-01,AU,001,57.23
2001-07-01,AU,001,30.81
2001-04-01,AU,001,105.46
2001-01-01,AU,001,-103.83
2000-10-01,AU,001,3.62
2000-07-01,AU,001,115.88
2000-04-01,AU,001,134.45
2000-01-01,AU,001,-113.99
1999-10-01,AU,001,121.26
1999-07-01,AU,001,80.44
1999-04-01,AU,001,108.23
1999-01-01,AU,001,-96.57
1998-10-01,AU,001,68.04
1998-07-01,AU,001,56.96
1998-04-01,AU,001,128.14
1998-01-01,AU,001,-70.34
1997-10-01,AU,001,100.17
1997-07-01,AU,001,23.4
1997-04-01,AU,001,62.2
1997-01-01,AU,001,-78.8
1996-10-01,AU,001,47.73
1996-07-01,AU,001,45.54
1996-04-01,AU,001,67.4
1996-01-01,AU,001,-87.84
1995-10-01,AU,001,62.9
1995-07-01,AU,001,42.27
1995-04-01,AU,001,170.8
1995-01-01,AU,001,-0.67
1994-10-01,AU,001,85.6
1994-07-01,AU,001,114.7
1994-04-01,AU,001,113.54
1994-01-01,AU,001,-44.54
1993-10-01,AU,001,105.97
1993-07-01,AU,001,55.07
1993-04-01,AU,001,64.43
1993-01-01,AU,001,-73.27
1992-10-01,AU,001,-20.13
1992-07-01,AU,001,28.93
1992-04-01,AU,001,43.17
1992-01-01,AU,001,-70.97
1991-10-01,AU,001,21.14
1991-07-01,AU,001,-57.14
1991-04-01,AU,001,14.74
1991-01-01,AU,001,-171.0
1990-10-01,AU,001,-14.9
1990-07-01,AU,001,-20.4
1990-04-01,AU,001,104.36
1990-01-01,AU,001,-68.7
1989-10-01,AU,001,99.8
1989-07-01,AU,001,64.54
1989-04-01,AU,001,158.4
1989-01-01,AU,001,9.33
1988-10-01,AU,001,122.3
1988-07-01,AU,001,37.6
1988-04-01,AU,001,103.3
1988-01-01,AU,001,42.93
1987-10-01,AU,001,78.0
1987-07-01,AU,001,38.84
1987-04-01,AU,001,92.43
1987-01-01,AU,001,-37.37
1986-10-01,AU,001,74.27
1986-07-01,AU,001,-11.4
1986-04-01,AU,001,148.97
1986-01-01,AU,001,4.53
1985-10-01,AU,001,123.4
1985-07-01,AU,001,95.83
1985-04-01,AU,001,66.87
1985-01-01,AU,001,-19.93
1984-10-01,AU,001,63.56
1984-07-01,AU,001,36.1
1984-04-01,AU,001,115.44
1984-01-01,AU,001,-16.7
1983-10-01,AU,001,91.9
1983-07-01,AU,001,33.53
1983-04-01,AU,001,15.87
1983-01-01,AU,001,-137.27
1982-10-01,AU,001,-30.23
2019-10-01,AU,002,108.3
2019-07-01,AU,002,108.7
2019-04-01,AU,002,107.4
2019-01-01,AU,002,105.0
2018-10-01,AU,002,104.6
2018-07-01,AU,002,104.6
2018-04-01,AU,002,103.4
2018-01-01,AU,002,101.8
2017-10-01,AU,002,101.4
2017-07-01,AU,002,100.8
2017-04-01,AU,002,99.0
2017-01-01,AU,002,99.7
2016-10-01,AU,002,99.3
2016-07-01,AU,002,100.5
2016-04-01,AU,002,100.7
2016-01-01,AU,002,100.4
2015-10-01,AU,002,100.0
2015-07-01,AU,002,100.0
2015-04-01,AU,002,100.2
2015-01-01,AU,002,99.7
2014-10-01,AU,002,101.1
2014-07-01,AU,002,97.2
2014-04-01,AU,002,97.4
2014-01-01,AU,002,96.8
2013-10-01,AU,002,96.4
2013-07-01,AU,002,93.9
2013-04-01,AU,002,94.1
2013-01-01,AU,002,92.8
2012-10-01,AU,002,90.9
2012-07-01,AU,002,89.2
2012-04-01,AU,002,89.4
2012-01-01,AU,002,89.2
2011-10-01,AU,002,88.8
2011-07-01,AU,002,88.2
2011-04-01,AU,002,88.4
2011-01-01,AU,002,86.6
2010-10-01,AU,002,85.4
2010-07-01,AU,002,86.0
2010-04-01,AU,002,84.3
2010-01-01,AU,002,83.1
2009-10-01,AU,002,82.8
2009-07-01,AU,002,82.3
2009-04-01,AU,002,81.8
2009-01-01,AU,002,81.6
2008-10-01,AU,002,82.2
2008-07-01,AU,002,82.1
2008-04-01,AU,002,80.1
2008-01-01,AU,002,80.7
2007-10-01,AU,002,78.1
2007-07-01,AU,002,77.8
2007-04-01,AU,002,75.9
2007-01-01,AU,002,76.0
2006-10-01,AU,002,75.7
2006-07-01,AU,002,75.4
2006-04-01,AU,002,74.0
2006-01-01,AU,002,73.7
2005-10-01,AU,002,72.5
2005-07-01,AU,002,72.3
2005-04-01,AU,002,71.7
2005-01-01,AU,002,70.8
2004-10-01,AU,002,70.1
2004-07-01,AU,002,70.4
2004-04-01,AU,002,69.1
2004-01-01,AU,002,69.0
2003-10-01,AU,002,68.2
2003-07-01,AU,002,67.2
2003-04-01,AU,002,66.4
2003-01-01,AU,002,65.3
2002-10-01,AU,002,64.3
2002-07-01,AU,002,63.1
2002-04-01,AU,002,60.7
2002-01-01,AU,002,59.7
2001-10-01,AU,002,58.2
2001-07-01,AU,002,57.4
2001-04-01,AU,002,56.7
2001-01-01,AU,002,54.8
2000-10-01,AU,002,55.0
2000-07-01,AU,002,55.5
2000-04-01,AU,002,55.9
2000-01-01,AU,002,55.4
1999-10-01,AU,002,54.8
1999-07-01,AU,002,54.4
1999-04-01,AU,002,54.5
1999-01-01,AU,002,53.9
1998-10-01,AU,002,54.0
1998-07-01,AU,002,52.3
1998-04-01,AU,002,51.7
1998-01-01,AU,002,51.7
1997-10-01,AU,002,50.4
1997-07-01,AU,002,50.5
1997-04-01,AU,002,49.1
1997-01-01,AU,002,48.4
1996-10-01,AU,002,48.1
1996-07-01,AU,002,48.5
1996-04-01,AU,002,49.2
1996-01-01,AU,002,48.4
1995-10-01,AU,002,48.2
1995-07-01,AU,002,47.6
1995-04-01,AU,002,47.2
1995-01-01,AU,002,47.0
1994-10-01,AU,002,46.2
1994-07-01,AU,002,45.6
1994-04-01,AU,002,43.9
1994-01-01,AU,002,43.6
1993-10-01,AU,002,43.2
1993-07-01,AU,002,42.5
1993-04-01,AU,002,42.0
1993-01-01,AU,002,42.3
1992-10-01,AU,002,41.2
1992-07-01,AU,002,41.4
1992-04-01,AU,002,41.6
1992-01-01,AU,002,41.6
1991-10-01,AU,002,40.8
1991-07-01,AU,002,39.7
1991-04-01,AU,002,39.7
1991-01-01,AU,002,40.0
1990-10-01,AU,002,39.5
1990-07-01,AU,002,39.3
1990-04-01,AU,002,39.1
1990-01-01,AU,002,38.0
