date,country_code,indicator_code,value
2016-01-01,AX,009,0.84
2015-01-01,AX,009,0.83
2014-01-01,AX,009,1.12
2013-01-01,AX,009,1.03
2012-01-01,AX,009,0.93
2011-01-01,AX,009,0.9
2010-01-01,AX,009,0.92
2009-01-01,AX,009,0.98
2008-01-01,AX,009,0.82
2020-03-01,AX,034,157.7
2020-02-01,AX,034,158.2
2020-01-01,AX,034,157.9
2019-12-01,AX,034,158.5
2019-11-01,AX,034,158.3
2019-10-01,AX,034,158.4
2019-09-01,AX,034,158.6
2019-08-01,AX,034,158.5
2019-07-01,AX,034,158.8
2019-06-01,AX,034,158.3
2019-05-01,AX,034,158.5
2019-04-01,AX,034,158.9
2019-03-01,AX,034,157.9
2019-02-01,AX,034,158.0
2019-01-01,AX,034,157.5
2018-12-01,AX,034,157.9
2018-11-01,AX,034,157.8
2018-10-01,AX,034,158.2
2018-09-01,AX,034,158.1
2018-08-01,AX,034,157.8
2018-07-01,AX,034,158.0
2018-06-01,AX,034,157.4
2018-05-01,AX,034,156.9
2018-04-01,AX,034,156.8
2018-03-01,AX,034,156.3
2018-02-01,AX,034,155.8
2018-01-01,AX,034,155.5
2017-12-01,AX,034,156.4
2017-11-01,AX,034,155.8
2017-10-01,AX,034,155.4
2017-09-01,AX,034,155.5
2017-08-01,AX,034,155.4
2017-07-01,AX,034,155.6
2017-06-01,AX,034,155.6
2017-05-01,AX,034,155.0
2017-04-01,AX,034,154.7
2017-03-01,AX,034,154.5
2017-02-01,AX,034,154.9
2017-01-01,AX,034,153.9
2016-12-01,AX,034,153.6
2016-11-01,AX,034,152.8
2016-10-01,AX,034,153.1
2016-09-01,AX,034,152.5
2016-08-01,AX,034,152.8
2016-07-01,AX,034,153.2
2016-06-01,AX,034,152.7
2016-05-01,AX,034,152.0
2016-04-01,AX,034,152.8
2016-03-01,AX,034,152.5
2016-02-01,AX,034,151.6
2016-01-01,AX,034,151.6
2015-12-01,AX,034,152.1
2015-11-01,AX,034,151.9
2015-10-01,AX,034,152.6
2015-09-01,AX,034,152.5
2015-08-01,AX,034,153.0
2015-07-01,AX,034,152.9
2015-06-01,AX,034,152.8
2015-05-01,AX,034,150.7
2015-04-01,AX,034,150.4
2015-03-01,AX,034,150.6
2015-02-01,AX,034,151.0
2015-01-01,AX,034,150.1
2014-12-01,AX,034,150.5
2014-11-01,AX,034,151.4
2014-10-01,AX,034,151.5
2014-09-01,AX,034,152.3
2014-08-01,AX,034,152.5
2014-07-01,AX,034,153.0
2014-06-01,AX,034,152.5
2014-05-01,AX,034,152.0
2014-04-01,AX,034,151.3
2014-03-01,AX,034,150.7
2014-02-01,AX,034,150.8
2014-01-01,AX,034,150.7
2013-12-01,AX,034,150.1
2013-11-01,AX,034,149.7
2013-10-01,AX,034,150.1
2013-09-01,AX,034,150.6
2013-08-01,AX,034,150.6
2013-07-01,AX,034,151.3
2013-06-01,AX,034,150.7
2013-05-01,AX,034,149.7
2013-04-01,AX,034,149.3
2013-03-01,AX,034,149.3
2013-02-01,AX,034,148.9
2013-01-01,AX,034,148.6
2012-12-01,AX,034,148.4
2012-11-01,AX,034,148.2
2012-10-01,AX,034,149.4
2012-09-01,AX,034,148.8
2012-08-01,AX,034,148.7
2012-07-01,AX,034,148.7
2012-06-01,AX,034,148.2
2012-05-01,AX,034,147.7
2012-04-01,AX,034,147.9
2012-03-01,AX,034,147.5
2012-02-01,AX,034,147.4
2012-01-01,AX,034,146.9
2011-12-01,AX,034,145.4
2011-11-01,AX,034,145.4
2011-10-01,AX,034,145.3
2011-09-01,AX,034,145.1
2011-08-01,AX,034,145.6
2011-07-01,AX,034,145.5
2011-06-01,AX,034,145.3
2011-05-01,AX,034,144.7
2011-04-01,AX,034,145.1
2011-03-01,AX,034,144.5
2011-02-01,AX,034,143.2
2011-01-01,AX,034,142.8
2010-12-01,AX,034,141.7
2010-11-01,AX,034,140.5
2010-10-01,AX,034,140.0
2010-09-01,AX,034,140.3
2010-08-01,AX,034,140.3
2010-07-01,AX,034,140.2
2010-06-01,AX,034,140.0
2010-05-01,AX,034,139.5
2010-04-01,AX,034,139.4
2010-03-01,AX,034,139.0
2010-02-01,AX,034,138.6
2010-01-01,AX,034,137.6
2009-12-01,AX,034,137.1
2009-11-01,AX,034,137.1
2009-10-01,AX,034,137.3
2009-09-01,AX,034,138.4
2009-08-01,AX,034,137.8
2009-07-01,AX,034,137.8
2009-06-01,AX,034,137.9
2009-05-01,AX,034,137.1
2009-04-01,AX,034,137.0
2009-03-01,AX,034,136.5
2009-02-01,AX,034,136.2
2009-01-01,AX,034,135.7
2008-12-01,AX,034,135.3
2008-11-01,AX,034,135.8
2008-10-01,AX,034,137.5
2008-09-01,AX,034,138.0
2008-08-01,AX,034,137.5
2008-07-01,AX,034,138.2
2008-06-01,AX,034,138.3
2008-05-01,AX,034,137.6
2008-04-01,AX,034,136.9
2008-03-01,AX,034,136.8
