date,country_code,indicator_code,value
2018-10-01,AZ,001,1.19
2018-07-01,AZ,001,1.21
2018-04-01,AZ,001,1.94
2018-01-01,AZ,001,1.91
2017-10-01,AZ,001,1.31
2017-07-01,AZ,001,1.79
2017-04-01,AZ,001,1.8
2017-01-01,AZ,001,1.72
2016-10-01,AZ,001,1.89
2016-07-01,AZ,001,1.72
2016-04-01,AZ,001,1.65
2016-01-01,AZ,001,1.54
2015-10-01,AZ,001,1.49
2015-07-01,AZ,001,1.61
2015-04-01,AZ,001,1.65
2015-01-01,AZ,001,1.86
2014-10-01,AZ,001,1.81
2014-07-01,AZ,001,1.73
2014-04-01,AZ,001,1.69
2014-01-01,AZ,001,1.59
2013-10-01,AZ,001,1.71
2013-07-01,AZ,001,2.49
2013-04-01,AZ,001,2.1
2013-01-01,AZ,001,1.74
2012-10-01,AZ,001,1.6
2012-07-01,AZ,001,0.83
2012-04-01,AZ,001,1.07
2012-01-01,AZ,001,1.15
2011-10-01,AZ,001,1.06
2011-07-01,AZ,001,0.96
2011-04-01,AZ,001,0.97
2011-01-01,AZ,001,1.09
2010-10-01,AZ,001,1.34
2010-07-01,AZ,001,1.72
2010-04-01,AZ,001,1.51
2010-01-01,AZ,001,1.45
2009-10-01,AZ,001,1.33
2009-07-01,AZ,001,0.94
2009-04-01,AZ,001,1.06
2009-01-01,AZ,001,1.03
2020-03-01,AZ,002,712.3
2020-02-01,AZ,002,712.1
2020-01-01,AZ,002,634.8
2019-12-01,AZ,002,623.1
2019-11-01,AZ,002,614.2
2019-10-01,AZ,002,603.5
2019-09-01,AZ,002,589.3
2019-08-01,AZ,002,587.7
2019-07-01,AZ,002,585.2
2019-06-01,AZ,002,583.7
2019-05-01,AZ,002,581.2
2019-04-01,AZ,002,577.6
2019-03-01,AZ,002,554.9
2019-02-01,AZ,002,557.2
2019-01-01,AZ,002,544.1
2018-12-01,AZ,002,540.1
2018-11-01,AZ,002,540.0
2018-10-01,AZ,002,540.5
2018-09-01,AZ,002,541.2
2018-08-01,AZ,002,542.3
2018-07-01,AZ,002,541.1
2018-06-01,AZ,002,541.0
2018-05-01,AZ,002,538.8
2018-04-01,AZ,002,532.4
2018-03-01,AZ,002,510.8
2018-02-01,AZ,002,519.8
2018-01-01,AZ,002,528.2
2017-12-01,AZ,002,525.0
2017-11-01,AZ,002,525.4
2017-10-01,AZ,002,525.6
2017-09-01,AZ,002,524.7
2017-08-01,AZ,002,523.1
2017-07-01,AZ,002,522.0
2017-06-01,AZ,002,520.1
2017-05-01,AZ,002,520.5
2017-04-01,AZ,002,514.3
2017-03-01,AZ,002,499.9
2017-02-01,AZ,002,504.8
2017-01-01,AZ,002,498.6
2016-12-01,AZ,002,494.3
2016-11-01,AZ,002,493.8
2016-10-01,AZ,002,490.5
2016-09-01,AZ,002,488.7
2016-08-01,AZ,002,489.3
2016-07-01,AZ,002,488.1
2016-06-01,AZ,002,489.5
2016-05-01,AZ,002,487.5
2016-04-01,AZ,002,485.5
2016-03-01,AZ,002,472.2
2016-02-01,AZ,002,480.1
2016-01-01,AZ,002,466.4
2015-12-01,AZ,002,462.0
2015-11-01,AZ,002,462.0
2015-10-01,AZ,002,461.1
2015-09-01,AZ,002,460.1
2015-08-01,AZ,002,458.9
2015-07-01,AZ,002,457.2
2015-06-01,AZ,002,454.8
2015-05-01,AZ,002,452.3
2015-04-01,AZ,002,449.5
2015-03-01,AZ,002,444.5
2015-02-01,AZ,002,444.4
2015-01-01,AZ,002,444.3
2014-12-01,AZ,002,442.1
2014-11-01,AZ,002,441.8
2014-10-01,AZ,002,441.6
2014-09-01,AZ,002,440.9
2014-08-01,AZ,002,440.8
2014-07-01,AZ,002,439.8
2014-06-01,AZ,002,438.1
2014-05-01,AZ,002,436.7
2014-04-01,AZ,002,434.3
2014-03-01,AZ,002,426.4
2014-02-01,AZ,002,426.3
2014-01-01,AZ,002,423.0
2013-12-01,AZ,002,419.0
2013-11-01,AZ,002,416.7
2013-10-01,AZ,002,415.0
2013-09-01,AZ,002,413.8
2013-08-01,AZ,002,412.7
2013-07-01,AZ,002,410.8
2013-06-01,AZ,002,408.8
2013-05-01,AZ,002,406.8
2013-04-01,AZ,002,404.7
2013-03-01,AZ,002,397.1
2013-02-01,AZ,002,398.1
2013-01-01,AZ,002,396.0
2012-12-01,AZ,002,391.4
2012-11-01,AZ,002,390.2
2012-10-01,AZ,002,388.2
2012-09-01,AZ,002,387.5
2012-08-01,AZ,002,386.0
2012-07-01,AZ,002,384.5
2012-06-01,AZ,002,382.6
2012-05-01,AZ,002,379.1
2012-04-01,AZ,002,378.9
2012-03-01,AZ,002,368.5
2012-02-01,AZ,002,368.4
2012-01-01,AZ,002,363.1
2011-12-01,AZ,002,356.6
2011-11-01,AZ,002,355.7
2011-10-01,AZ,002,355.1
2011-09-01,AZ,002,354.5
2011-08-01,AZ,002,353.7
2011-07-01,AZ,002,352.7
2011-06-01,AZ,002,351.3
2011-05-01,AZ,002,349.6
2011-04-01,AZ,002,348.6
2011-03-01,AZ,002,339.6
2011-02-01,AZ,002,332.3
2011-01-01,AZ,002,325.1
2010-12-01,AZ,002,325.0
2010-11-01,AZ,002,321.2
2010-10-01,AZ,002,320.0
2010-09-01,AZ,002,319.1
2010-08-01,AZ,002,317.4
2010-07-01,AZ,002,316.3
2010-06-01,AZ,002,315.2
2010-05-01,AZ,002,313.9
2010-04-01,AZ,002,309.8
2010-03-01,AZ,002,304.0
2010-02-01,AZ,002,298.2
2010-01-01,AZ,002,296.9
2009-12-01,AZ,002,298.0
2009-11-01,AZ,002,296.0
2009-10-01,AZ,002,296.3
2009-09-01,AZ,002,296.6
2009-08-01,AZ,002,298.0
2009-07-01,AZ,002,298.0
2009-06-01,AZ,002,298.0
2009-05-01,AZ,002,296.5
2009-04-01,AZ,002,295.7
2009-03-01,AZ,002,292.0
2009-02-01,AZ,002,292.0
2009-01-01,AZ,002,291.0
2008-12-01,AZ,002,268.0
2008-11-01,AZ,002,265.1
2008-10-01,AZ,002,260.2
2008-09-01,AZ,002,256.9
2008-08-01,AZ,002,255.3
2008-07-01,AZ,002,253.0
2008-06-01,AZ,002,250.4
2008-05-01,AZ,002,242.7
2008-04-01,AZ,002,237.5
2008-03-01,AZ,002,229.8
2008-02-01,AZ,002,231.0
2008-01-01,AZ,002,230.0
2007-12-01,AZ,002,233.2
2007-11-01,AZ,002,225.1
2007-10-01,AZ,002,222.4
2007-09-01,AZ,002,218.0
2007-08-01,AZ,002,217.9
2007-07-01,AZ,002,212.4
2007-06-01,AZ,002,211.8
2007-05-01,AZ,002,211.0
2007-04-01,AZ,002,207.3
2007-03-01,AZ,002,200.6
2007-02-01,AZ,002,192.2
2007-01-01,AZ,002,175.1
2006-12-01,AZ,002,180.2
2006-11-01,AZ,002,179.8
2006-10-01,AZ,002,169.9
2006-09-01,AZ,002,169.8
2006-08-01,AZ,002,162.0
2006-07-01,AZ,002,161.9
2006-06-01,AZ,002,153.5
2006-05-01,AZ,002,152.4
2006-04-01,AZ,002,152.2
2006-03-01,AZ,002,151.5
2006-02-01,AZ,002,143.7
2006-01-01,AZ,002,127.2
2005-12-01,AZ,002,126.6
2005-11-01,AZ,002,124.6
2005-10-01,AZ,002,124.0
2005-09-01,AZ,002,123.7
2005-08-01,AZ,002,121.7
2005-07-01,AZ,002,120.3
2005-06-01,AZ,002,117.7
2005-05-01,AZ,002,116.7
2005-04-01,AZ,002,115.6
2005-03-01,AZ,002,110.6
2005-02-01,AZ,002,106.8
2005-01-01,AZ,002,106.4
2004-12-01,AZ,002,106.4
2004-11-01,AZ,002,103.1
2004-10-01,AZ,002,102.6
2004-09-01,AZ,002,102.3
2004-08-01,AZ,002,96.4
2004-07-01,AZ,002,95.2
2004-06-01,AZ,002,92.1
2004-05-01,AZ,002,90.3
2004-04-01,AZ,002,89.2
2004-03-01,AZ,002,88.1
2004-02-01,AZ,002,87.7
2004-01-01,AZ,002,87.5
2003-12-01,AZ,002,83.2
2003-11-01,AZ,002,79.0
2003-10-01,AZ,002,77.6
2003-09-01,AZ,002,77.5
2003-08-01,AZ,002,77.2
2003-07-01,AZ,002,76.7
2003-06-01,AZ,002,76.4
2003-05-01,AZ,002,75.9
2003-04-01,AZ,002,75.6
2003-03-01,AZ,002,74.7
2003-02-01,AZ,002,73.4
2003-01-01,AZ,002,72.2
2002-12-01,AZ,002,68.6
2002-11-01,AZ,002,64.8
2002-10-01,AZ,002,64.2
2002-09-01,AZ,002,63.8
2002-08-01,AZ,002,63.3
2002-07-01,AZ,002,63.1
2002-06-01,AZ,002,62.7
2002-05-01,AZ,002,62.2
2002-04-01,AZ,002,62.1
2002-03-01,AZ,002,61.6
2002-02-01,AZ,002,61.1
2002-01-01,AZ,002,59.6
2001-12-01,AZ,002,55.9
2001-11-01,AZ,002,53.3
2001-10-01,AZ,002,53.1
2001-09-01,AZ,002,53.0
2001-08-01,AZ,002,52.5
2001-07-01,AZ,002,52.4
2001-06-01,AZ,002,52.1
