date,country_code,indicator_code,value
2020-01-01,BA,001,3.526
2019-12-01,BA,001,-0.743
2019-11-01,BA,001,0.62
2019-10-01,BA,001,3.202
2019-09-01,BA,001,5.333
2019-08-01,BA,001,-4.88
2019-07-01,BA,001,0.668
2019-06-01,BA,001,1.308
2019-05-01,BA,001,2.359
2019-04-01,BA,001,9.992
2019-03-01,BA,001,2.892
2019-02-01,BA,001,-4.051
2019-01-01,BA,001,5.04
2018-12-01,BA,001,0.739
2018-11-01,BA,001,1.807
2018-10-01,BA,001,-4.038
2018-09-01,BA,001,7.34
2018-08-01,BA,001,-4.44
2018-07-01,BA,001,-0.318
2018-06-01,BA,001,3.368
2018-05-01,BA,001,6.785
2018-04-01,BA,001,3.051
2018-03-01,BA,001,3.234
2018-02-01,BA,001,0.486
2018-01-01,BA,001,-1.667
2017-12-01,BA,001,-2.713
2017-11-01,BA,001,0.323
2017-10-01,BA,001,1.688
2017-09-01,BA,001,5.878
2017-08-01,BA,001,1.396
2017-07-01,BA,001,-1.883
2017-06-01,BA,001,3.235
2017-05-01,BA,001,7.314
2017-04-01,BA,001,3.901
2017-03-01,BA,001,7.638
2017-02-01,BA,001,-0.392
2017-01-01,BA,001,14.42
2016-12-01,BA,001,24.804
2016-11-01,BA,001,-0.047
2016-10-01,BA,001,-2.905
2016-09-01,BA,001,-0.493
2016-08-01,BA,001,-0.677
2016-07-01,BA,001,-1.514
2016-06-01,BA,001,4.377
2016-05-01,BA,001,6.14
2016-04-01,BA,001,3.22
2016-03-01,BA,001,4.429
2016-02-01,BA,001,-0.2
2016-01-01,BA,001,-1.123
2015-12-01,BA,001,-0.019
2015-11-01,BA,001,-1.847
2015-10-01,BA,001,0.57
2015-09-01,BA,001,0.0940000000001
2015-08-01,BA,001,1.955
2015-07-01,BA,001,-4.181
2015-06-01,BA,001,2.029
2015-05-01,BA,001,7.241
2015-04-01,BA,001,3.363
2015-03-01,BA,001,2.725
2015-02-01,BA,001,-0.849
2015-01-01,BA,001,-3.583
2014-12-01,BA,001,1.931
2014-11-01,BA,001,0.32
2014-10-01,BA,001,0.168
2014-09-01,BA,001,3.48
2014-08-01,BA,001,-2.683
2014-07-01,BA,001,0.719
2014-06-01,BA,001,1.675
2014-05-01,BA,001,2.065
2014-04-01,BA,001,4.913
2014-03-01,BA,001,3.243
2014-02-01,BA,001,-0.36
2014-01-01,BA,001,-0.895
2013-12-01,BA,001,2.752
2013-11-01,BA,001,2.671
2013-10-01,BA,001,-0.998
2013-09-01,BA,001,-2.061
2013-08-01,BA,001,-1.474
2013-07-01,BA,001,-2.474
2013-06-01,BA,001,2.056
2013-05-01,BA,001,2.705
2013-04-01,BA,001,3.775
2013-03-01,BA,001,0.0550000000001
2013-02-01,BA,001,-2.149
2013-01-01,BA,001,-0.056
2012-12-01,BA,001,4.443
2012-11-01,BA,001,-0.792
2012-10-01,BA,001,-1.403
2012-09-01,BA,001,-1.382
2012-08-01,BA,001,-4.022
2012-07-01,BA,001,1.202
2012-06-01,BA,001,-0.303
2012-05-01,BA,001,3.738
2012-04-01,BA,001,0.994
2012-03-01,BA,001,0.73
2012-02-01,BA,001,-1.858
2012-01-01,BA,001,-1.846
2011-12-01,BA,001,0.0210000000001
2011-11-01,BA,001,-0.23
2011-10-01,BA,001,-1.322
2011-09-01,BA,001,0.636
2011-08-01,BA,001,-2.897
2011-07-01,BA,001,-1.644
2011-06-01,BA,001,2.589
2011-05-01,BA,001,1.888
2011-04-01,BA,001,-1.218
2011-03-01,BA,001,-2.508
2011-02-01,BA,001,-0.398
2011-01-01,BA,001,-3.676
2010-12-01,BA,001,-2.09
2010-11-01,BA,001,-0.735
2010-10-01,BA,001,0.72
2010-09-01,BA,001,1.509
2010-08-01,BA,001,0.917
2010-07-01,BA,001,-2.28
2010-06-01,BA,001,2.895
2010-05-01,BA,001,2.238
2010-04-01,BA,001,2.894
2010-03-01,BA,001,2.021
2010-02-01,BA,001,-1.228
2010-01-01,BA,001,5.568
2009-12-01,BA,001,7.805
2009-11-01,BA,001,-1.309
2009-10-01,BA,001,-11.616
2009-09-01,BA,001,-15.842
2009-08-01,BA,001,-1.747
2009-07-01,BA,001,-2.973
2009-06-01,BA,001,-0.047
2009-05-01,BA,001,2.449
2009-04-01,BA,001,-1.223
2009-03-01,BA,001,-2.22
