date,country_code,indicator_code,value
2016-01-01,BB,001,4.0
2015-01-01,BB,001,3.275
2014-01-01,BB,001,-1.4
2013-01-01,BB,001,0.825
2012-01-01,BB,001,-3.075
2011-01-01,BB,001,1.55
2010-01-01,BB,001,-1.7
2009-01-01,BB,001,-3.625
2008-01-01,BB,001,-0.9
2007-01-01,BB,001,2.175
2006-01-01,BB,001,-2.575
2005-01-01,BB,001,1.425
2004-01-01,BB,001,2.65
2003-01-01,BB,001,0.75
2002-01-01,BB,001,-2.1
2001-01-01,BB,001,1.725
2000-01-01,BB,001,6.675
1999-01-01,BB,001,2.725
1998-01-01,BB,001,3.5
1997-01-01,BB,001,1.75
1996-01-01,BB,001,4.275
1995-01-01,BB,001,4.525
1994-01-01,BB,001,5.15
1993-01-01,BB,001,-1.275
1992-01-01,BB,001,-5.425
1991-01-01,BB,001,1.9
1990-01-01,BB,001,-2.2
1989-01-01,BB,001,7.1
1988-01-01,BB,001,2.4
1987-01-01,BB,001,1.7
1986-01-01,BB,001,4.1
1994-01-01,BB,002,99.02
1993-01-01,BB,002,100.66
1992-01-01,BB,002,99.07
1991-01-01,BB,002,100.88
1990-01-01,BB,002,100.0
1989-01-01,BB,002,95.19
1988-01-01,BB,002,92.67
1987-01-01,BB,002,86.32
1986-01-01,BB,002,84.9
1985-01-01,BB,002,81.46
1984-01-01,BB,002,77.68
1983-01-01,BB,002,71.17
1982-01-01,BB,002,67.29
1981-01-01,BB,002,60.45
1980-01-01,BB,002,54.7
1979-01-01,BB,002,45.51
1978-01-01,BB,002,42.4
1977-01-01,BB,002,38.29
1976-01-01,BB,002,31.84
1975-01-01,BB,002,29.05
1974-01-01,BB,002,26.42
1973-01-01,BB,002,23.58
1972-01-01,BB,002,21.55
1971-01-01,BB,002,19.31
1970-01-01,BB,002,16.74
2018-01-01,BB,004,3566.0
2017-01-01,BB,004,3562.0
2016-01-01,BB,004,3531.0
2015-01-01,BB,004,3785.0
2014-01-01,BB,004,3758.0
2013-01-01,BB,004,3828.0
2012-01-01,BB,004,3622.0
2011-01-01,BB,004,3533.0
2010-01-01,BB,004,3527.0
2009-01-01,BB,004,3810.0
2008-01-01,BB,004,4181.0
2007-01-01,BB,004,4088.0
2006-01-01,BB,004,3877.0
2005-01-01,BB,004,3423.0
2004-01-01,BB,004,2872.0
2003-01-01,BB,004,2758.0
2002-01-01,BB,004,2422.0
2001-01-01,BB,004,2503.0
2000-01-01,BB,004,2646.0
1999-01-01,BB,004,2475.0
1998-01-01,BB,004,2402.0
1997-01-01,BB,004,2337.0
1996-01-01,BB,004,2282.0
1995-01-01,BB,004,2090.0
1994-01-01,BB,004,1958.0
1993-01-01,BB,004,1857.0
1992-01-01,BB,004,1710.0
1991-01-01,BB,004,1569.0
1990-01-01,BB,004,1646.0
1989-01-01,BB,004,1679.0
1988-01-01,BB,004,1471.0
1987-01-01,BB,004,1305.0
1986-01-01,BB,004,1457.0
1985-01-01,BB,004,1591.0
1984-01-01,BB,004,1614.0
1983-01-01,BB,004,1451.0
1982-01-01,BB,004,1237.0
1981-01-01,BB,004,1109.0
1980-01-01,BB,004,1182.0
1979-01-01,BB,004,859.0
1978-01-01,BB,004,772.0
1977-01-01,BB,004,689.0
1976-01-01,BB,004,606.0
1975-01-01,BB,004,537.0
1974-01-01,BB,004,365.0
1973-01-01,BB,004,263.0
1972-01-01,BB,004,217.0
1971-01-01,BB,004,193.0
1970-01-01,BB,004,162.0
1969-01-01,BB,004,142.0
1968-01-01,BB,004,138.0
1967-01-01,BB,004,105.0
1966-01-01,BB,004,96.0
1965-01-01,BB,004,91.0
1964-01-01,BB,004,86.0
1963-01-01,BB,004,100.0
1962-01-01,BB,004,63.0
1961-01-01,BB,004,61.0
1960-01-01,BB,004,59.0
1959-01-01,BB,004,69.0
1958-01-01,BB,004,57.0
1957-01-01,BB,004,70.0
1956-01-01,BB,004,51.0
1955-01-01,BB,004,55.0
1954-01-01,BB,004,57.0
1953-01-01,BB,004,58.0
1952-01-01,BB,004,56.0
1951-01-01,BB,004,42.0
1950-01-01,BB,004,34.0
2019-06-01,BB,005,8.05
2019-05-01,BB,005,8.05
2019-04-01,BB,005,8.05
2019-03-01,BB,005,8.05
2019-02-01,BB,005,8.05
2019-01-01,BB,005,8.05
2018-12-01,BB,005,8.05
2018-11-01,BB,005,8.05
2018-10-01,BB,005,8.05
2018-09-01,BB,005,8.05
2018-08-01,BB,005,8.05
2018-07-01,BB,005,8.05
2018-06-01,BB,005,8.05
2018-05-01,BB,005,8.05
2018-04-01,BB,005,8.05
2018-03-01,BB,005,8.05
2018-02-01,BB,005,8.05
2018-01-01,BB,005,8.05
2017-12-01,BB,005,8.05
2017-11-01,BB,005,8.05
2017-10-01,BB,005,8.05
2017-09-01,BB,005,8.05
2017-08-01,BB,005,8.05
2017-07-01,BB,005,8.05
2017-06-01,BB,005,8.05
2017-05-01,BB,005,8.05
2017-04-01,BB,005,8.05
2017-03-01,BB,005,8.05
2017-02-01,BB,005,8.05
2017-01-01,BB,005,8.05
2016-12-01,BB,005,8.05
2016-11-01,BB,005,8.05
2016-10-01,BB,005,8.05
2016-09-01,BB,005,8.05
2016-08-01,BB,005,8.05
2016-07-01,BB,005,8.05
2016-06-01,BB,005,8.05
2016-05-01,BB,005,8.05
2016-04-01,BB,005,8.05
2016-03-01,BB,005,8.05
2016-02-01,BB,005,8.05
2016-01-01,BB,005,8.05
2015-12-01,BB,005,8.05
2015-11-01,BB,005,8.05
2015-10-01,BB,005,8.05
2015-09-01,BB,005,8.05
2015-08-01,BB,005,8.05
2015-07-01,BB,005,8.05
2015-06-01,BB,005,8.05
2015-05-01,BB,005,8.07
2015-04-01,BB,005,8.07
2015-03-01,BB,005,8.07
2015-02-01,BB,005,8.07
2015-01-01,BB,005,8.07
2014-12-01,BB,005,8.07
2014-11-01,BB,005,8.07
2014-10-01,BB,005,8.07
2014-09-01,BB,005,8.07
2014-08-01,BB,005,8.07
2014-07-01,BB,005,8.05
2014-06-01,BB,005,8.7
2014-05-01,BB,005,8.7
2014-04-01,BB,005,8.7
2014-03-01,BB,005,8.7
2014-02-01,BB,005,8.7
2014-01-01,BB,005,8.7
2013-12-01,BB,005,8.7
2013-11-01,BB,005,8.7
2013-10-01,BB,005,8.7
2013-09-01,BB,005,8.7
2013-08-01,BB,005,8.7
2013-07-01,BB,005,8.7
2013-06-01,BB,005,8.7
2013-05-01,BB,005,8.7
2013-04-01,BB,005,8.7
2013-03-01,BB,005,8.7
2013-02-01,BB,005,8.7
2013-01-01,BB,005,8.7
2012-12-01,BB,005,8.7
2012-11-01,BB,005,8.7
2012-10-01,BB,005,8.7
2012-09-01,BB,005,8.7
2012-08-01,BB,005,8.7
2012-07-01,BB,005,8.7
2012-06-01,BB,005,8.7
2012-05-01,BB,005,8.7
2012-04-01,BB,005,8.7
2012-03-01,BB,005,8.7
2012-02-01,BB,005,8.7
2012-01-01,BB,005,8.7
2011-12-01,BB,005,8.7
2011-11-01,BB,005,8.7
2011-10-01,BB,005,8.7
2011-09-01,BB,005,8.7
2011-08-01,BB,005,8.7
2011-07-01,BB,005,8.7
2011-06-01,BB,005,8.7
2011-05-01,BB,005,8.7
2011-04-01,BB,005,8.7
2011-03-01,BB,005,8.7
2011-02-01,BB,005,8.7
2011-01-01,BB,005,8.7
2010-12-01,BB,005,8.7
2010-11-01,BB,005,8.7
2010-10-01,BB,005,8.7
2010-09-01,BB,005,8.7
2010-08-01,BB,005,8.7
2010-07-01,BB,005,8.7
2010-06-01,BB,005,8.7
2010-05-01,BB,005,8.7
2010-04-01,BB,005,8.7
2010-03-01,BB,005,8.7
2010-02-01,BB,005,8.7
2010-01-01,BB,005,8.7
2009-12-01,BB,005,8.7
2009-11-01,BB,005,8.7
2009-10-01,BB,005,9.2
2009-09-01,BB,005,9.2
2009-08-01,BB,005,9.2
2009-07-01,BB,005,9.2
2009-06-01,BB,005,9.2
2009-05-01,BB,005,9.2
2009-04-01,BB,005,9.45
2009-03-01,BB,005,9.45
2009-02-01,BB,005,9.45
2009-01-01,BB,005,9.5
2008-12-01,BB,005,9.8
2008-11-01,BB,005,9.8
2008-10-01,BB,005,9.8
2008-09-01,BB,005,10.0
2008-08-01,BB,005,10.0
2008-07-01,BB,005,10.0
2008-06-01,BB,005,10.0
2008-05-01,BB,005,10.0
2008-04-01,BB,005,10.25
2008-03-01,BB,005,10.25
2008-02-01,BB,005,10.25
2008-01-01,BB,005,10.25
2007-12-01,BB,005,10.45
2007-11-01,BB,005,10.95
2007-10-01,BB,005,10.95
2007-09-01,BB,005,10.75
2007-08-01,BB,005,10.75
2007-07-01,BB,005,10.75
2007-06-01,BB,005,10.75
2007-05-01,BB,005,10.75
2007-04-01,BB,005,10.75
2007-03-01,BB,005,10.75
2007-02-01,BB,005,10.75
2007-01-01,BB,005,10.75
2006-12-01,BB,005,10.75
2006-11-01,BB,005,10.25
2006-10-01,BB,005,10.25
2006-09-01,BB,005,10.25
2006-08-01,BB,005,10.25
2006-07-01,BB,005,10.25
2006-06-01,BB,005,10.25
2006-05-01,BB,005,10.25
2006-04-01,BB,005,10.25
2006-03-01,BB,005,10.25
2006-02-01,BB,005,10.25
2006-01-01,BB,005,10.25
2005-12-01,BB,005,10.25
2005-11-01,BB,005,10.25
2005-10-01,BB,005,10.0
2005-09-01,BB,005,10.0
2005-08-01,BB,005,10.0
2005-07-01,BB,005,9.25
2005-06-01,BB,005,9.25
2005-05-01,BB,005,8.5
2005-04-01,BB,005,8.5
2005-03-01,BB,005,8.0
2005-02-01,BB,005,8.0
2005-01-01,BB,005,8.0
2004-12-01,BB,005,8.0
2004-11-01,BB,005,8.0
2004-10-01,BB,005,8.0
2004-09-01,BB,005,8.0
2004-08-01,BB,005,8.5
2004-07-01,BB,005,8.5
2004-06-01,BB,005,8.5
2004-05-01,BB,005,8.5
2004-04-01,BB,005,8.5
2004-03-01,BB,005,8.5
2004-02-01,BB,005,8.5
2004-01-01,BB,005,8.5
2003-12-01,BB,005,8.5
2003-11-01,BB,005,8.5
2003-10-01,BB,005,8.5
2003-09-01,BB,005,8.5
2003-08-01,BB,005,8.5
2003-07-01,BB,005,8.5
2003-06-01,BB,005,8.5
2003-05-01,BB,005,8.5
2003-04-01,BB,005,8.5
2003-03-01,BB,005,8.5
2003-02-01,BB,005,8.5
2003-01-01,BB,005,8.5
2002-12-01,BB,005,8.5
2002-11-01,BB,005,8.5
2002-10-01,BB,005,8.5
2002-09-01,BB,005,8.5
2002-08-01,BB,005,8.5
2002-07-01,BB,005,8.5
2002-06-01,BB,005,8.5
2002-05-01,BB,005,8.5
2002-04-01,BB,005,8.5
2002-03-01,BB,005,8.5
2002-02-01,BB,005,8.5
2002-01-01,BB,005,8.5
2001-12-01,BB,005,8.75
2001-11-01,BB,005,9.0
2001-10-01,BB,005,9.0
2001-09-01,BB,005,9.5
2001-08-01,BB,005,9.5
2001-07-01,BB,005,9.75
2001-06-01,BB,005,9.75
2001-05-01,BB,005,9.75
2001-04-01,BB,005,10.0
2001-03-01,BB,005,10.0
2001-02-01,BB,005,10.0
2001-01-01,BB,005,10.0
2000-12-01,BB,005,10.0
2000-11-01,BB,005,10.0
2000-10-01,BB,005,10.25
2000-09-01,BB,005,10.0
2000-08-01,BB,005,10.25
2000-07-01,BB,005,10.25
2000-06-01,BB,005,10.25
2000-05-01,BB,005,10.25
2000-04-01,BB,005,10.25
2000-03-01,BB,005,10.25
2000-02-01,BB,005,10.25
2000-01-01,BB,005,10.25
1999-12-01,BB,005,10.25
1999-11-01,BB,005,10.0
1999-10-01,BB,005,9.25
1999-09-01,BB,005,9.25
1999-08-01,BB,005,9.25
1999-07-01,BB,005,9.25
1999-06-01,BB,005,9.25
1999-05-01,BB,005,9.25
1999-04-01,BB,005,9.25
1999-03-01,BB,005,9.25
1999-02-01,BB,005,9.25
1999-01-01,BB,005,9.25
1998-12-01,BB,005,9.75
1998-11-01,BB,005,9.75
1998-10-01,BB,005,9.75
1998-09-01,BB,005,9.75
1998-08-01,BB,005,9.75
1998-07-01,BB,005,9.75
1998-06-01,BB,005,9.75
1998-05-01,BB,005,9.75
1998-04-01,BB,005,9.75
1998-03-01,BB,005,9.75
1998-02-01,BB,005,9.75
1998-01-01,BB,005,9.75
1997-12-01,BB,005,9.75
1997-11-01,BB,005,9.75
1997-10-01,BB,005,9.75
1997-09-01,BB,005,9.75
1997-08-01,BB,005,9.75
1997-07-01,BB,005,9.75
1997-06-01,BB,005,9.75
1997-05-01,BB,005,9.75
1997-04-01,BB,005,10.0
1997-03-01,BB,005,10.0
1997-02-01,BB,005,10.0
1997-01-01,BB,005,10.0
1996-12-01,BB,005,10.0
1996-11-01,BB,005,10.0
1996-10-01,BB,005,10.0
1996-09-01,BB,005,10.0
1996-08-01,BB,005,10.0
1996-07-01,BB,005,10.0
1996-06-01,BB,005,10.0
1996-05-01,BB,005,10.0
1996-04-01,BB,005,10.0
1996-03-01,BB,005,10.0
1996-02-01,BB,005,10.0
1996-01-01,BB,005,10.0
1995-12-01,BB,005,10.0
1995-11-01,BB,005,10.0
1995-10-01,BB,005,10.0
1995-09-01,BB,005,10.0
1995-08-01,BB,005,10.0
1995-07-01,BB,005,10.0
1995-06-01,BB,005,10.0
1995-05-01,BB,005,10.0
1995-04-01,BB,005,10.0
1995-03-01,BB,005,10.0
1995-02-01,BB,005,10.0
1995-01-01,BB,005,10.0
1994-12-01,BB,005,10.0
1994-11-01,BB,005,9.0
1994-10-01,BB,005,9.0
1994-09-01,BB,005,9.0
1994-08-01,BB,005,9.0
1994-07-01,BB,005,9.0
1994-06-01,BB,005,9.0
1994-05-01,BB,005,9.0
1994-04-01,BB,005,9.0
1994-03-01,BB,005,9.0
1994-02-01,BB,005,9.0
1994-01-01,BB,005,9.0
1993-12-01,BB,005,9.0
1993-11-01,BB,005,9.0
1993-10-01,BB,005,8.0
1993-09-01,BB,005,8.0
1993-08-01,BB,005,8.0
1993-07-01,BB,005,8.0
1993-06-01,BB,005,8.0
1993-05-01,BB,005,8.0
1993-04-01,BB,005,10.0
1993-03-01,BB,005,10.0
1993-02-01,BB,005,10.0
1993-01-01,BB,005,11.0
1992-12-01,BB,005,11.0
1992-11-01,BB,005,11.0
1992-10-01,BB,005,11.0
1992-09-01,BB,005,11.0
1992-08-01,BB,005,14.0
1992-07-01,BB,005,14.5
1992-06-01,BB,005,15.0
1992-05-01,BB,005,15.0
1992-04-01,BB,005,15.0
1992-03-01,BB,005,15.0
1992-02-01,BB,005,15.0
1992-01-01,BB,005,15.0
1991-12-01,BB,005,15.0
1991-11-01,BB,005,15.0
1991-10-01,BB,005,15.0
1991-09-01,BB,005,13.5
1991-08-01,BB,005,13.5
1991-07-01,BB,005,11.0
1991-06-01,BB,005,11.0
1991-05-01,BB,005,11.0
1991-04-01,BB,005,11.0
1991-03-01,BB,005,11.0
1991-02-01,BB,005,11.0
1991-01-01,BB,005,11.0
1990-12-01,BB,005,11.0
1990-11-01,BB,005,11.0
1990-10-01,BB,005,11.0
1990-09-01,BB,005,11.0
1990-08-01,BB,005,11.0
1990-07-01,BB,005,11.0
1990-06-01,BB,005,11.0
1990-05-01,BB,005,12.0
1990-04-01,BB,005,12.0
1990-03-01,BB,005,12.0
1990-02-01,BB,005,12.0
1990-01-01,BB,005,12.0
1989-12-01,BB,005,12.0
1989-11-01,BB,005,12.0
1989-10-01,BB,005,9.5
1989-09-01,BB,005,9.5
1989-08-01,BB,005,9.5
1989-07-01,BB,005,9.5
1989-06-01,BB,005,9.5
1989-05-01,BB,005,9.5
1989-04-01,BB,005,9.5
1989-03-01,BB,005,9.5
1989-02-01,BB,005,9.5
1989-01-01,BB,005,9.5
1988-12-01,BB,005,9.5
1988-11-01,BB,005,9.5
1988-10-01,BB,005,9.5
1988-09-01,BB,005,9.5
1988-08-01,BB,005,9.5
1988-07-01,BB,005,9.5
1988-06-01,BB,005,9.5
1988-05-01,BB,005,9.5
1988-04-01,BB,005,9.5
1988-03-01,BB,005,9.5
1988-02-01,BB,005,9.5
1988-01-01,BB,005,8.75
1987-12-01,BB,005,8.75
1987-11-01,BB,005,8.75
1987-10-01,BB,005,8.75
1987-09-01,BB,005,8.75
1987-08-01,BB,005,8.75
1987-07-01,BB,005,8.75
1987-06-01,BB,005,8.75
1987-05-01,BB,005,8.75
1987-04-01,BB,005,8.75
1987-03-01,BB,005,8.75
1987-02-01,BB,005,8.75
1987-01-01,BB,005,8.75
1986-12-01,BB,005,8.75
1986-11-01,BB,005,8.75
1986-10-01,BB,005,8.75
1986-09-01,BB,005,8.75
1986-08-01,BB,005,8.75
1986-07-01,BB,005,8.75
1986-06-01,BB,005,8.75
1986-05-01,BB,005,9.0
1986-04-01,BB,005,9.5
1986-03-01,BB,005,10.0
1986-02-01,BB,005,9.5
1986-01-01,BB,005,9.5
1985-12-01,BB,005,9.5
1985-11-01,BB,005,9.5
1985-10-01,BB,005,9.75
1985-09-01,BB,005,10.0
1985-08-01,BB,005,10.5
1985-07-01,BB,005,10.5
1985-06-01,BB,005,10.5
1985-05-01,BB,005,10.5
1985-04-01,BB,005,11.5
1985-03-01,BB,005,11.5
1985-02-01,BB,005,11.5
1985-01-01,BB,005,11.5
1984-12-01,BB,005,11.5
1984-11-01,BB,005,11.5
1984-10-01,BB,005,11.5
1984-09-01,BB,005,11.5
1984-08-01,BB,005,11.5
1984-07-01,BB,005,11.5
1984-06-01,BB,005,11.5
1984-05-01,BB,005,11.5
1984-04-01,BB,005,11.5
1984-03-01,BB,005,11.5
1984-02-01,BB,005,11.5
1984-01-01,BB,005,11.5
1983-12-01,BB,005,11.5
1983-11-01,BB,005,11.5
1983-10-01,BB,005,11.25
1983-09-01,BB,005,11.25
1983-08-01,BB,005,11.25
1983-07-01,BB,005,11.25
1983-06-01,BB,005,11.25
1983-05-01,BB,005,12.0
1983-04-01,BB,005,12.0
1983-03-01,BB,005,12.25
1983-02-01,BB,005,13.0
1983-01-01,BB,005,13.0
1982-12-01,BB,005,12.0
1982-11-01,BB,005,13.5
1982-10-01,BB,005,13.5
1982-09-01,BB,005,13.5
1982-08-01,BB,005,13.5
1982-07-01,BB,005,13.5
1982-06-01,BB,005,13.5
1982-05-01,BB,005,13.5
1982-04-01,BB,005,13.5
1982-03-01,BB,005,13.5
1982-02-01,BB,005,13.5
1982-01-01,BB,005,13.5
1981-12-01,BB,005,13.5
1981-11-01,BB,005,13.5
1981-10-01,BB,005,13.5
1981-09-01,BB,005,11.0
1981-08-01,BB,005,11.0
1981-07-01,BB,005,11.0
1981-06-01,BB,005,11.0
1981-05-01,BB,005,11.0
1981-04-01,BB,005,11.0
1981-03-01,BB,005,11.0
1981-02-01,BB,005,10.0
1981-01-01,BB,005,10.0
2020-02-01,BB,007,1895.0
2020-01-01,BB,007,1879.0
2019-12-01,BB,007,1679.0
2019-11-01,BB,007,1433.0
2019-10-01,BB,007,1375.0
2019-09-01,BB,007,1413.0
2019-08-01,BB,007,1735.0
2019-07-01,BB,007,1700.0
2019-06-01,BB,007,1782.0
2019-05-01,BB,007,1695.0
2019-04-01,BB,007,1644.0
2019-03-01,BB,007,1649.0
2019-02-01,BB,007,1432.0
2019-01-01,BB,007,1424.0
2018-12-01,BB,007,1339.0
2018-11-01,BB,007,998.0
2018-10-01,BB,007,860.0
2018-09-01,BB,007,770.0
2018-08-01,BB,007,798.0
2018-07-01,BB,007,774.0
2018-06-01,BB,007,1871.0
2018-05-01,BB,007,1878.0
2018-04-01,BB,007,1862.0
2018-03-01,BB,007,1917.0
2018-02-01,BB,007,1821.0
2018-01-01,BB,007,1855.0
2017-12-01,BB,007,1753.0
2017-11-01,BB,007,1823.0
2017-10-01,BB,007,1799.0
2017-09-01,BB,007,1765.0
2017-08-01,BB,007,1823.0
2017-07-01,BB,007,1797.0
2017-06-01,BB,007,1823.0
2017-05-01,BB,007,2162.0
2017-04-01,BB,007,2247.0
2017-03-01,BB,007,1998.0
2017-02-01,BB,007,1949.0
2017-01-01,BB,007,1907.0
2016-12-01,BB,007,1877.0
2016-11-01,BB,007,1976.0
2016-10-01,BB,007,2047.0
2016-09-01,BB,007,2059.0
2016-08-01,BB,007,1999.0
2016-07-01,BB,007,2022.0
2016-06-01,BB,007,2095.0
2016-05-01,BB,007,2248.0
2016-04-01,BB,007,2240.0
2016-03-01,BB,007,2354.0
2016-02-01,BB,007,2266.0
2016-01-01,BB,007,2259.0
2015-12-01,BB,007,2048.0
2015-11-01,BB,007,1823.0
2015-10-01,BB,007,1782.0
2015-09-01,BB,007,1779.0
2015-08-01,BB,007,1883.0
2015-07-01,BB,007,1964.0
2015-06-01,BB,007,1915.0
2015-05-01,BB,007,2067.0
2015-04-01,BB,007,2030.0
2015-03-01,BB,007,1937.0
2015-02-01,BB,007,1838.0
2015-01-01,BB,007,1903.0
2014-12-01,BB,007,1796.0
2014-11-01,BB,007,1733.0
2014-10-01,BB,007,1690.0
2014-09-01,BB,007,1658.0
2014-08-01,BB,007,1744.0
2014-07-01,BB,007,1760.0
2014-06-01,BB,007,1754.0
2014-05-01,BB,007,1832.0
2014-04-01,BB,007,1848.0
2014-03-01,BB,007,1846.0
