date,country_code,indicator_code,value
2017-04-01,BD,001,-500.0
2017-01-01,BD,001,200.0
2016-10-01,BD,001,600.0
2016-07-01,BD,001,1100.0
2016-04-01,BD,001,600.0
2008-08-01,BD,002,142.44
2008-07-01,BD,002,141.08
2008-06-01,BD,002,140.48
2008-05-01,BD,002,136.91
2008-04-01,BD,002,133.04
2008-03-01,BD,002,128.41
2008-02-01,BD,002,124.85
2008-01-01,BD,002,121.43
2007-12-01,BD,002,119.97
2007-11-01,BD,002,119.07
2007-10-01,BD,002,118.26
2007-09-01,BD,002,117.26
2007-08-01,BD,002,116.45
2007-07-01,BD,002,115.65
2007-06-01,BD,002,115.09
2007-05-01,BD,002,114.49
2007-04-01,BD,002,113.94
2007-03-01,BD,002,113.24
2007-02-01,BD,002,112.38
2007-01-01,BD,002,111.58
2006-12-01,BD,002,110.82
2006-11-01,BD,002,109.92
2006-10-01,BD,002,109.06
2006-09-01,BD,002,108.26
2006-08-01,BD,002,107.51
2006-07-01,BD,002,106.9
2006-06-01,BD,002,106.3
2006-05-01,BD,002,105.8
2006-04-01,BD,002,105.04
2006-03-01,BD,002,104.29
2006-02-01,BD,002,103.74
2006-01-01,BD,002,103.28
2005-12-01,BD,002,102.83
2005-11-01,BD,002,102.38
2005-10-01,BD,002,101.93
2005-09-01,BD,002,101.27
2005-08-01,BD,002,100.57
2005-07-01,BD,002,100.07
2005-06-01,BD,002,99.61
2005-05-01,BD,002,99.16
2005-04-01,BD,002,98.71
2005-03-01,BD,002,98.26
2005-02-01,BD,002,97.81
2005-01-01,BD,002,97.4
2004-12-01,BD,002,96.8
2004-11-01,BD,002,96.25
2004-10-01,BD,002,95.49
2004-09-01,BD,002,94.69
2004-08-01,BD,002,94.19
2004-07-01,BD,002,93.78
2004-06-01,BD,002,93.28
2004-05-01,BD,002,92.93
2004-04-01,BD,002,92.63
2004-03-01,BD,002,92.28
2004-02-01,BD,002,91.98
2004-01-01,BD,002,91.62
2003-12-01,BD,002,91.37
2003-11-01,BD,002,91.02
2003-10-01,BD,002,90.62
2003-09-01,BD,002,90.37
2003-08-01,BD,002,90.02
2003-07-01,BD,002,89.86
2003-06-01,BD,002,89.76
2003-05-01,BD,002,87.95
2003-04-01,BD,002,87.75
2003-03-01,BD,002,87.1
2003-02-01,BD,002,86.85
2003-01-01,BD,002,86.65
2002-12-01,BD,002,86.2
2002-11-01,BD,002,85.69
2002-07-01,BD,002,82.98
2002-06-01,BD,002,80.26
2002-05-01,BD,002,79.91
2002-04-01,BD,002,79.36
2002-03-01,BD,002,78.81
2002-02-01,BD,002,78.3
2002-01-01,BD,002,77.75
2001-12-01,BD,002,77.3
2001-11-01,BD,002,76.85
2001-10-01,BD,002,76.39
2001-09-01,BD,002,75.89
2001-08-01,BD,002,75.54
2001-07-01,BD,002,75.24
2001-06-01,BD,002,74.84
2001-05-01,BD,002,74.33
2001-04-01,BD,002,73.88
2001-03-01,BD,002,73.38
2001-02-01,BD,002,73.18
2001-01-01,BD,002,72.98
2000-12-01,BD,002,72.88
2000-11-01,BD,002,72.73
2000-10-01,BD,002,72.27
2000-09-01,BD,002,72.02
2000-08-01,BD,002,71.82
2000-07-01,BD,002,71.62
2000-06-01,BD,002,71.37
2000-05-01,BD,002,71.02
2000-04-01,BD,002,70.77
2000-03-01,BD,002,70.51
2000-02-01,BD,002,70.26
2000-01-01,BD,002,70.01
1999-12-01,BD,002,69.76
1999-11-01,BD,002,69.51
1999-10-01,BD,002,69.41
1999-09-01,BD,002,69.16
1999-08-01,BD,002,68.91
1999-07-01,BD,002,68.65
1999-06-01,BD,002,67.6
1999-05-01,BD,002,67.3
1999-04-01,BD,002,67.05
1999-03-01,BD,002,66.8
1999-02-01,BD,002,66.54
1999-01-01,BD,002,66.04
1998-12-01,BD,002,65.64
1998-11-01,BD,002,65.29
1998-10-01,BD,002,64.99
1998-09-01,BD,002,64.68
1998-08-01,BD,002,64.38
1998-07-01,BD,002,64.08
1998-06-01,BD,002,63.83
1998-05-01,BD,002,63.43
1998-04-01,BD,002,63.18
1998-03-01,BD,002,62.98
1998-02-01,BD,002,62.72
1998-01-01,BD,002,62.47
1997-12-01,BD,002,62.22
1997-11-01,BD,002,61.97
1997-10-01,BD,002,61.77
1997-09-01,BD,002,61.57
1997-08-01,BD,002,61.02
1997-07-01,BD,002,60.91
1997-06-01,BD,002,59.21
1997-05-01,BD,002,58.9
1997-04-01,BD,002,58.45
1997-03-01,BD,002,58.2
1997-02-01,BD,002,58.0
1997-01-01,BD,002,57.75
1996-12-01,BD,002,57.55
1996-11-01,BD,002,57.35
1996-10-01,BD,002,57.2
1996-09-01,BD,002,56.94
1996-08-01,BD,002,56.79
1996-07-01,BD,002,56.59
1996-06-01,BD,002,56.44
1996-05-01,BD,002,56.34
1996-04-01,BD,002,56.14
1996-03-01,BD,002,55.94
1996-02-01,BD,002,55.74
1996-01-01,BD,002,55.49
1995-12-01,BD,002,55.34
1995-11-01,BD,002,55.13
1995-10-01,BD,002,54.88
1995-09-01,BD,002,53.98
1995-08-01,BD,002,53.63
1995-07-01,BD,002,53.17
1995-06-01,BD,002,52.82
1995-05-01,BD,002,52.52
1995-04-01,BD,002,52.32
1995-03-01,BD,002,52.17
1995-02-01,BD,002,52.07
1995-01-01,BD,002,51.92
1994-12-01,BD,002,51.77
1994-11-01,BD,002,51.62
1994-10-01,BD,002,51.52
1994-09-01,BD,002,51.42
1994-08-01,BD,002,51.26
1994-07-01,BD,002,51.11
1994-06-01,BD,002,50.91
1994-05-01,BD,002,50.66
1994-04-01,BD,002,50.36
1994-03-01,BD,002,50.11
1994-02-01,BD,002,50.01
1994-01-01,BD,002,50.21
1993-12-01,BD,002,49.25
1993-11-01,BD,002,49.1
1993-10-01,BD,002,49.0
1993-09-01,BD,002,48.8
1993-08-01,BD,002,48.7
1993-07-01,BD,002,48.55
1993-06-01,BD,002,48.4
1993-05-01,BD,002,48.25
1993-04-01,BD,002,48.05
1993-03-01,BD,002,47.95
1993-02-01,BD,002,47.85
1993-01-01,BD,002,47.75
1992-12-01,BD,002,47.65
1992-11-01,BD,002,47.45
1992-10-01,BD,002,47.24
1992-09-01,BD,002,47.04
1992-08-01,BD,002,46.79
1992-07-01,BD,002,46.64
1992-06-01,BD,002,46.39
1992-05-01,BD,002,45.99
1992-04-01,BD,002,45.69
1992-03-01,BD,002,45.54
1992-02-01,BD,002,45.38
1992-01-01,BD,002,45.18
1991-12-01,BD,002,44.93
1991-11-01,BD,002,44.78
1991-10-01,BD,002,44.63
1991-09-01,BD,002,44.38
1991-08-01,BD,002,44.28
1991-07-01,BD,002,44.13
1991-06-01,BD,002,43.78
1991-05-01,BD,002,43.63
1991-04-01,BD,002,43.47
1991-03-01,BD,002,43.27
1991-02-01,BD,002,43.17
1991-01-01,BD,002,43.07
1990-12-01,BD,002,42.92
1990-11-01,BD,002,42.87
1990-10-01,BD,002,42.77
1990-09-01,BD,002,42.62
1990-08-01,BD,002,42.52
1990-07-01,BD,002,42.42
1990-06-01,BD,002,42.32
1990-05-01,BD,002,42.22
1990-04-01,BD,002,41.97
1990-03-01,BD,002,41.97
1990-02-01,BD,002,41.87
1990-01-01,BD,002,41.67
1989-12-01,BD,002,41.41
1989-11-01,BD,002,41.31
1989-10-01,BD,002,41.11
1989-09-01,BD,002,40.81
1989-08-01,BD,002,40.31
1989-07-01,BD,002,40.01
1989-06-01,BD,002,39.55
1989-05-01,BD,002,38.7
1989-04-01,BD,002,38.45
1989-03-01,BD,002,38.1
1989-02-01,BD,002,37.85
1989-01-01,BD,002,37.54
1988-12-01,BD,002,37.34
1988-11-01,BD,002,36.99
1988-10-01,BD,002,36.64
1988-09-01,BD,002,36.29
1988-08-01,BD,002,35.84
1988-07-01,BD,002,35.63
1988-06-01,BD,002,35.26
1988-05-01,BD,002,34.99
1988-04-01,BD,002,34.66
1988-03-01,BD,002,34.93
1988-02-01,BD,002,35.03
1988-01-01,BD,002,35.09
1987-12-01,BD,002,35.06
1987-11-01,BD,002,34.94
1987-10-01,BD,002,34.95
1987-09-01,BD,002,34.72
1987-08-01,BD,002,34.54
1987-07-01,BD,002,34.58
1987-06-01,BD,002,33.94
1987-05-01,BD,002,33.37
1987-04-01,BD,002,32.73
1987-03-01,BD,002,32.28
1987-02-01,BD,002,32.11
1987-01-01,BD,002,31.9
1986-12-01,BD,002,31.37
1986-11-01,BD,002,30.76
1986-10-01,BD,002,30.54
1986-09-01,BD,002,30.21
1986-08-01,BD,002,29.66
1986-07-01,BD,002,29.24
1986-06-01,BD,002,28.37
1986-05-01,BD,002,28.05
1986-04-01,BD,002,27.72
1986-03-01,BD,002,27.45
1986-02-01,BD,002,27.11
1986-01-01,BD,002,26.94
1985-12-01,BD,002,26.26
1985-11-01,BD,002,24.85
