date,country_code,indicator_code,value
2019-07-01,BE,001,1.34
2019-04-01,BE,001,1.45
2019-01-01,BE,001,1.54
2018-10-01,BE,001,1.45
2018-07-01,BE,001,1.37
2018-04-01,BE,001,1.24
2018-01-01,BE,001,1.46
2017-10-01,BE,001,1.61
2017-07-01,BE,001,1.65
2017-04-01,BE,001,1.72
2017-01-01,BE,001,1.53
2016-10-01,BE,001,1.37
2016-07-01,BE,001,1.36
2016-04-01,BE,001,1.21
2016-01-01,BE,001,1.08
2015-10-01,BE,001,1.33
2015-07-01,BE,001,1.63
2015-04-01,BE,001,1.48
2015-01-01,BE,001,2.06
2014-10-01,BE,001,1.08
2014-07-01,BE,001,-0.21
2014-04-01,BE,001,-0.11
2014-01-01,BE,001,0.41
2013-10-01,BE,001,-0.14
2013-07-01,BE,001,0.5
2013-04-01,BE,001,0.53
2013-01-01,BE,001,-0.32
2012-10-01,BE,001,-0.4
2012-07-01,BE,001,1.05
2012-04-01,BE,001,-0.42
2012-01-01,BE,001,1.09
2011-10-01,BE,001,-0.08
2011-07-01,BE,001,0.03
2011-04-01,BE,001,2.27
2011-01-01,BE,001,-0.37
2010-10-01,BE,001,3.1
2010-07-01,BE,001,2.54
2010-04-01,BE,001,1.55
2010-01-01,BE,001,1.85
2009-10-01,BE,001,-0.27
2009-07-01,BE,001,-1.2
2009-04-01,BE,001,-0.16
2009-01-01,BE,001,-0.54
2008-10-01,BE,001,0.34
2008-07-01,BE,001,1.77
2008-04-01,BE,001,1.6
2008-01-01,BE,001,2.32
2007-10-01,BE,001,2.01
2007-07-01,BE,001,2.42
2007-04-01,BE,001,3.08
2007-01-01,BE,001,3.43
2006-10-01,BE,001,2.58
2006-07-01,BE,001,0.88
2006-04-01,BE,001,-0.07
2006-01-01,BE,001,-0.22
2005-10-01,BE,001,1.37
2005-07-01,BE,001,1.77
2005-04-01,BE,001,1.04
2005-01-01,BE,001,1.65
2004-10-01,BE,001,0.87
2004-07-01,BE,001,1.61
2004-04-01,BE,001,2.2
2004-01-01,BE,001,2.08
2003-10-01,BE,001,1.19
2003-07-01,BE,001,-0.75
2003-04-01,BE,001,0.05
2003-01-01,BE,001,-0.44
2002-10-01,BE,001,1.19
2002-07-01,BE,001,0.3
2002-04-01,BE,001,0.34
2002-01-01,BE,001,-0.42
2001-10-01,BE,001,-1.04
2001-07-01,BE,001,-0.98
2001-04-01,BE,001,-1.98
2001-01-01,BE,001,0.4
2000-10-01,BE,001,1.42
2000-07-01,BE,001,2.4
2000-04-01,BE,001,3.33
2000-01-01,BE,001,1.41
1999-10-01,BE,001,-1.4
1999-07-01,BE,001,-0.46
1999-04-01,BE,001,3.38
1999-01-01,BE,001,-0.46
1998-10-01,BE,001,2.01
1998-07-01,BE,001,2.06
1998-04-01,BE,001,0.5
1998-01-01,BE,001,1.3
1997-10-01,BE,001,1.13
1997-07-01,BE,001,0.7
1997-04-01,BE,001,1.25
1997-01-01,BE,001,0.37
1996-10-01,BE,001,0.17
1996-07-01,BE,001,0.19
1996-04-01,BE,001,-0.06
1996-01-01,BE,001,0.43
1995-04-01,BE,001,1.19
1994-04-01,BE,001,0.12
1993-04-01,BE,001,-0.71
2019-10-01,BE,002,109.0
2019-07-01,BE,002,108.2
2019-04-01,BE,002,107.1
2019-01-01,BE,002,106.4
2018-10-01,BE,002,105.9
2018-07-01,BE,002,105.0
2018-04-01,BE,002,104.6
2018-01-01,BE,002,103.7
2017-10-01,BE,002,103.3
2017-07-01,BE,002,102.8
2017-04-01,BE,002,102.1
2017-01-01,BE,002,101.6
2016-10-01,BE,002,100.7
2016-07-01,BE,002,100.7
2016-04-01,BE,002,100.4
2016-01-01,BE,002,100.1
2015-10-01,BE,002,100.0
2015-07-01,BE,002,100.0
2015-04-01,BE,002,100.0
2015-01-01,BE,002,99.9
2014-10-01,BE,002,100.0
2014-07-01,BE,002,99.9
2014-04-01,BE,002,99.8
2014-01-01,BE,002,99.5
2013-10-01,BE,002,99.0
2013-07-01,BE,002,98.8
2013-04-01,BE,002,98.6
2013-01-01,BE,002,98.3
2012-10-01,BE,002,98.0
2012-07-01,BE,002,97.1
2012-04-01,BE,002,96.8
2012-01-01,BE,002,95.9
2011-10-01,BE,002,95.3
2011-07-01,BE,002,94.2
2011-04-01,BE,002,93.6
2011-01-01,BE,002,92.7
2010-10-01,BE,002,92.4
2010-07-01,BE,002,92.0
2010-04-01,BE,002,90.7
2010-01-01,BE,002,90.4
2009-10-01,BE,002,89.6
2009-07-01,BE,002,88.7
2009-04-01,BE,002,87.8
2009-01-01,BE,002,87.2
2008-10-01,BE,002,86.3
2008-07-01,BE,002,85.5
2008-04-01,BE,002,84.9
2008-01-01,BE,002,84.2
2007-10-01,BE,002,83.3
2007-07-01,BE,002,82.6
2007-04-01,BE,002,82.2
2007-01-01,BE,002,81.5
2006-10-01,BE,002,81.3
2006-07-01,BE,002,81.1
2006-04-01,BE,002,80.4
2006-01-01,BE,002,80.1
2005-10-01,BE,002,79.5
2005-07-01,BE,002,79.7
2005-04-01,BE,002,78.2
2005-01-01,BE,002,77.6
2004-10-01,BE,002,77.9
2004-07-01,BE,002,77.1
2004-04-01,BE,002,76.7
2004-01-01,BE,002,76.2
2003-10-01,BE,002,75.8
2003-07-01,BE,002,75.1
2003-04-01,BE,002,74.8
2003-01-01,BE,002,74.3
2002-10-01,BE,002,73.9
2002-07-01,BE,002,74.3
2002-04-01,BE,002,73.9
2002-01-01,BE,002,73.4
2001-10-01,BE,002,72.4
2001-07-01,BE,002,72.1
2001-04-01,BE,002,71.2
2001-01-01,BE,002,70.5
2000-10-01,BE,002,69.3
2000-07-01,BE,002,70.0
2000-04-01,BE,002,69.5
2000-01-01,BE,002,69.6
1999-10-01,BE,002,69.1
1999-07-01,BE,002,68.5
1999-04-01,BE,002,67.8
1999-01-01,BE,002,67.1
1998-10-01,BE,002,66.8
1998-07-01,BE,002,66.5
1998-04-01,BE,002,66.3
1998-01-01,BE,002,65.6
1997-10-01,BE,002,65.2
1997-07-01,BE,002,65.0
1997-04-01,BE,002,64.5
1997-01-01,BE,002,64.2
1996-10-01,BE,002,63.8
1996-07-01,BE,002,63.6
1996-04-01,BE,002,63.3
1996-01-01,BE,002,62.7
1995-10-01,BE,002,62.4
1995-07-01,BE,002,62.2
1995-04-01,BE,002,62.1
1995-01-01,BE,002,61.8
1994-10-01,BE,002,61.6
1994-07-01,BE,002,60.9
1994-04-01,BE,002,60.7
1994-01-01,BE,002,60.4
1993-10-01,BE,002,60.1
1993-07-01,BE,002,59.7
1993-04-01,BE,002,59.0
1993-01-01,BE,002,58.6
1992-10-01,BE,002,58.4
1992-07-01,BE,002,57.7
1992-04-01,BE,002,57.3
1992-01-01,BE,002,56.8
1991-10-01,BE,002,56.2
1991-07-01,BE,002,55.7
1991-04-01,BE,002,55.4
1991-01-01,BE,002,54.4
1990-10-01,BE,002,53.6
1990-07-01,BE,002,53.0
1990-04-01,BE,002,52.6
1990-01-01,BE,002,52.1
1989-10-01,BE,002,51.1
1989-07-01,BE,002,50.7
1989-04-01,BE,002,49.7
1989-01-01,BE,002,49.1
1988-10-01,BE,002,48.7
1988-07-01,BE,002,48.2
1988-04-01,BE,002,48.0
1988-01-01,BE,002,47.6
1987-10-01,BE,002,47.4
1987-07-01,BE,002,47.4
1987-04-01,BE,002,47.1
1987-01-01,BE,002,46.7
1986-10-01,BE,002,46.5
1986-07-01,BE,002,46.5
1986-04-01,BE,002,46.3
1986-01-01,BE,002,46.6
