date,country_code,indicator_code,value
2018-10-01,BG,001,-0.59
2018-07-01,BG,001,-0.61
2018-04-01,BG,001,-0.46
2018-01-01,BG,001,2.06
2017-10-01,BG,001,5.38
2017-07-01,BG,001,5.64
2017-04-01,BG,001,4.56
2017-01-01,BG,001,2.07
2016-10-01,BG,001,-1.82
2016-07-01,BG,001,-1.67
2016-04-01,BG,001,0.74
2016-01-01,BG,001,0.86
2015-10-01,BG,001,2.41
2015-07-01,BG,001,1.4
2015-04-01,BG,001,1.05
2015-01-01,BG,001,1.92
2014-10-01,BG,001,1.98
2014-07-01,BG,001,1.63
2014-04-01,BG,001,1.35
2014-01-01,BG,001,1.37
2013-10-01,BG,001,-0.68
2013-07-01,BG,001,-0.14
2013-04-01,BG,001,1.96
2013-01-01,BG,001,0.05
2012-10-01,BG,001,-0.74
2012-07-01,BG,001,-0.64
2012-04-01,BG,001,-2.12
2012-01-01,BG,001,-1.75
2011-10-01,BG,001,-2.31
2011-07-01,BG,001,-2.98
2011-04-01,BG,001,-4.85
2011-01-01,BG,001,-4.17
2010-10-01,BG,001,-4.02
2010-07-01,BG,001,-4.58
2010-04-01,BG,001,-6.18
2010-01-01,BG,001,-7.11
2009-10-01,BG,001,-5.71
2009-07-01,BG,001,-4.02
2009-04-01,BG,001,-2.14
2009-01-01,BG,001,-0.82
2008-10-01,BG,001,1.73
2008-07-01,BG,001,3.07
2008-04-01,BG,001,3.66
2008-01-01,BG,001,4.93
2007-10-01,BG,001,4.65
2007-07-01,BG,001,3.58
2007-04-01,BG,001,3.63
2007-01-01,BG,001,6.63
2006-10-01,BG,001,5.95
2006-07-01,BG,001,3.31
2006-04-01,BG,001,4.33
2006-01-01,BG,001,3.6
2005-10-01,BG,001,2.42
2005-07-01,BG,001,2.43
2005-04-01,BG,001,1.31
2005-01-01,BG,001,1.95
2004-10-01,BG,001,3.06
2004-07-01,BG,001,3.12
2004-04-01,BG,001,3.26
2004-01-01,BG,001,2.94
2003-10-01,BG,001,4.46
2003-07-01,BG,001,4.59
2003-04-01,BG,001,2.7
2003-01-01,BG,001,1.87
2002-10-01,BG,001,2.77
2002-07-01,BG,001,0.95
2002-04-01,BG,001,63.28
2002-01-01,BG,001,56.4
2001-10-01,BG,001,53.65
2001-07-01,BG,001,60.0
2001-04-01,BG,001,-3.78
2001-01-01,BG,001,-5.38
2000-10-01,BG,001,-9.5
2000-07-01,BG,001,-10.64
2000-04-01,BG,001,-9.73
2000-01-01,BG,001,-10.33
1999-10-01,BG,001,-6.87
1999-07-01,BG,001,-6.57
1999-04-01,BG,001,-5.33
1999-01-01,BG,001,-3.66
1998-10-01,BG,001,52.76
1998-04-01,BG,001,30.1
1998-01-01,BG,001,27.87
1997-10-01,BG,001,-20.7
1997-04-01,BG,001,-7.15
1997-01-01,BG,001,-5.05
1996-10-01,BG,001,-2.43
1996-04-01,BG,001,-4.28
1996-01-01,BG,001,-10.79
1995-10-01,BG,001,-12.0
1995-07-01,BG,001,-6.17
1995-04-01,BG,001,-12.59
1995-01-01,BG,001,-7.64
1994-10-01,BG,001,-8.18
1994-07-01,BG,001,-9.52
1994-04-01,BG,001,-10.39
1994-01-01,BG,001,-11.21
2019-12-01,BG,002,1349.0
2019-11-01,BG,002,1294.0
2019-10-01,BG,002,1296.0
2019-09-01,BG,002,1266.0
2019-08-01,BG,002,1224.0
2019-07-01,BG,002,1257.0
2019-06-01,BG,002,1253.0
2019-05-01,BG,002,1246.0
2019-04-01,BG,002,1281.0
2019-03-01,BG,002,1247.0
2019-02-01,BG,002,1184.0
2019-01-01,BG,002,1192.0
2018-12-01,BG,002,1205.0
2018-11-01,BG,002,1151.0
2018-10-01,BG,002,1157.0
2018-09-01,BG,002,1135.0
2018-08-01,BG,002,1095.0
2018-07-01,BG,002,1120.0
2018-06-01,BG,002,1119.0
2018-05-01,BG,002,1110.0
2018-04-01,BG,002,1145.0
2018-03-01,BG,002,1107.0
2018-02-01,BG,002,1049.0
2018-01-01,BG,002,1075.0
2017-12-01,BG,002,1123.0
2017-11-01,BG,002,1078.0
2017-10-01,BG,002,1084.0
2017-09-01,BG,002,1064.0
2017-08-01,BG,002,1008.0
2017-07-01,BG,002,1039.0
2017-06-01,BG,002,1027.0
2017-05-01,BG,002,1035.0
2017-04-01,BG,002,1060.0
2017-03-01,BG,002,1036.0
2017-02-01,BG,002,987.0
2017-01-01,BG,002,995.0
2016-12-01,BG,002,1006.0
2016-11-01,BG,002,967.0
2016-10-01,BG,002,975.0
2016-09-01,BG,002,950.0
2016-08-01,BG,002,920.0
2016-07-01,BG,002,943.0
2016-06-01,BG,002,933.0
2016-05-01,BG,002,939.0
2016-04-01,BG,002,957.0
2016-03-01,BG,002,939.0
2016-02-01,BG,002,898.0
2016-01-01,BG,002,911.0
2015-12-01,BG,002,942.0
2015-11-01,BG,002,909.0
2015-10-01,BG,002,905.0
2015-09-01,BG,002,887.0
2015-08-01,BG,002,859.0
2015-07-01,BG,002,880.0
2015-06-01,BG,002,872.0
2015-05-01,BG,002,874.0
2015-04-01,BG,002,898.0
2015-03-01,BG,002,881.0
2015-02-01,BG,002,838.0
2015-01-01,BG,002,853.0
2014-12-01,BG,002,866.0
2014-11-01,BG,002,833.0
2014-10-01,BG,002,839.0
2014-09-01,BG,002,820.0
2014-08-01,BG,002,794.0
2014-07-01,BG,002,816.0
2014-06-01,BG,002,806.0
2014-05-01,BG,002,818.0
2014-04-01,BG,002,836.0
2014-03-01,BG,002,817.0
2014-02-01,BG,002,780.0
2014-01-01,BG,002,795.0
2013-12-01,BG,002,846.0
2013-11-01,BG,002,818.0
2013-10-01,BG,002,820.0
2013-09-01,BG,002,801.0
2013-08-01,BG,002,776.0
2013-07-01,BG,002,798.0
2013-06-01,BG,002,789.0
2013-05-01,BG,002,799.0
2013-04-01,BG,002,809.0
2013-03-01,BG,002,796.0
2013-02-01,BG,002,766.0
2013-01-01,BG,002,773.0
2012-12-01,BG,002,828.0
2012-11-01,BG,002,791.0
2012-10-01,BG,002,790.0
2012-09-01,BG,002,777.0
2012-08-01,BG,002,754.0
2012-07-01,BG,002,761.0
2012-06-01,BG,002,764.0
2012-05-01,BG,002,773.0
2012-04-01,BG,002,774.0
2012-03-01,BG,002,768.0
2012-02-01,BG,002,734.0
2012-01-01,BG,002,736.0
2011-12-01,BG,002,752.0
2011-11-01,BG,002,723.0
2011-10-01,BG,002,706.0
2011-09-01,BG,002,704.0
2011-08-01,BG,002,683.0
2011-07-01,BG,002,691.0
2011-06-01,BG,002,690.0
2011-05-01,BG,002,698.0
2011-04-01,BG,002,710.0
2011-03-01,BG,002,689.0
2011-02-01,BG,002,663.0
2011-01-01,BG,002,663.0
2010-12-01,BG,002,691.0
