date,country_code,indicator_code,value
2018-07-01,BH,001,-5032.0
2018-04-01,BH,001,-10434.0
2018-01-01,BH,001,7597.0
2017-10-01,BH,001,1800.0
2017-07-01,BH,001,-2306.0
2017-04-01,BH,001,-3674.0
2017-01-01,BH,001,-19898.0
2016-10-01,BH,001,17312.0
2016-07-01,BH,001,15015.0
2016-04-01,BH,001,11573.0
2016-01-01,BH,001,18177.0
2015-10-01,BH,001,7895.0
2015-07-01,BH,001,6922.0
2015-04-01,BH,001,15387.0
2015-01-01,BH,001,7762.0
2014-10-01,BH,001,10302.0
2014-07-01,BH,001,9733.0
2014-04-01,BH,001,5585.0
2014-01-01,BH,001,-5102.0
2013-10-01,BH,001,-503.0
2013-07-01,BH,001,5265.0
2013-04-01,BH,001,14289.0
2013-01-01,BH,001,11861.0
2012-10-01,BH,001,8593.0
2012-07-01,BH,001,9866.0
2012-04-01,BH,001,10344.0
2012-01-01,BH,001,8688.0
2011-10-01,BH,001,5437.0
2011-07-01,BH,001,6320.0
2011-04-01,BH,001,-8456.0
2011-01-01,BH,001,-4424.0
2010-10-01,BH,001,1947.0
2010-07-01,BH,001,362.0
2010-04-01,BH,001,3380.0
2010-01-01,BH,001,-4831.0
2009-10-01,BH,001,5097.0
2009-07-01,BH,001,-14176.0
2009-04-01,BH,001,9978.0
2009-01-01,BH,001,21794.0
2008-10-01,BH,001,32948.0
2008-07-01,BH,001,12655.0
2008-04-01,BH,001,18296.0
2008-01-01,BH,001,8115.0
2007-10-01,BH,001,4198.0
2007-07-01,BH,001,11167.0
2007-04-01,BH,001,16157.0
2007-01-01,BH,001,11997.0
2006-10-01,BH,001,15099.0
2006-07-01,BH,001,9359.0
2006-04-01,BH,001,3994.0
2006-01-01,BH,001,13641.0
2005-10-01,BH,001,15387.0
2005-07-01,BH,001,-4417.0
2005-04-01,BH,001,15711.0
2005-01-01,BH,001,18182.0
2004-10-01,BH,001,11402.0
2004-07-01,BH,001,12806.0
2004-04-01,BH,001,8698.0
2004-01-01,BH,001,9024.0
2003-10-01,BH,001,7868.0
2003-07-01,BH,001,4985.0
2003-04-01,BH,001,4929.0
2003-01-01,BH,001,6144.0
2002-10-01,BH,001,8335.0
2002-07-01,BH,001,13960.0
2002-04-01,BH,001,6744.0
2017-01-01,BH,004,10051.0
2016-01-01,BH,004,8942.0
2015-01-01,BH,004,9646.0
2014-01-01,BH,004,12058.0
2013-01-01,BH,004,12823.0
2012-01-01,BH,004,11810.0
2011-01-01,BH,004,10757.0
2010-01-01,BH,004,6723.0
2009-01-01,BH,004,5905.0
2008-01-01,BH,004,7983.0
2007-01-01,BH,004,6510.0
2006-01-01,BH,004,5889.0
2005-01-01,BH,004,5037.0
2004-01-01,BH,004,3887.0
2003-01-01,BH,004,3001.0
2002-01-01,BH,004,2615.0
2001-01-01,BH,004,2484.0
2000-01-01,BH,004,2698.0
1999-01-01,BH,004,1963.0
1998-01-01,BH,004,1502.0
1997-01-01,BH,004,1888.0
1996-01-01,BH,004,2019.0
1995-01-01,BH,004,1804.0
1994-01-01,BH,004,1668.0
1993-01-01,BH,004,1645.0
1992-01-01,BH,004,1507.0
1991-01-01,BH,004,1530.0
1990-01-01,BH,004,1549.0
1989-01-01,BH,004,1233.0
1988-01-01,BH,004,1099.0
1987-01-01,BH,004,1093.0
1986-01-01,BH,004,983.0
1985-01-01,BH,004,1263.0
1984-01-01,BH,004,1333.0
1983-01-01,BH,004,1194.0
1982-01-01,BH,004,1384.0
1981-01-01,BH,004,1714.0
1980-01-01,BH,004,1421.0
1979-01-01,BH,004,1051.0
1978-01-01,BH,004,827.0
1977-01-01,BH,004,817.0
1976-01-01,BH,004,674.0
1975-01-01,BH,004,532.0
2016-03-01,BH,005,5.01
2016-02-01,BH,005,5.11
2016-01-01,BH,005,5.93
2015-12-01,BH,005,5.09
2015-11-01,BH,005,5.25
2015-10-01,BH,005,5.38
2015-09-01,BH,005,5.46
2015-08-01,BH,005,5.1
2015-07-01,BH,005,5.0
2015-06-01,BH,005,5.07
2015-05-01,BH,005,5.15
2015-04-01,BH,005,5.03
2015-03-01,BH,005,5.12
2015-02-01,BH,005,5.21
2015-01-01,BH,005,5.07
2014-12-01,BH,005,5.39
2014-11-01,BH,005,5.42
2014-10-01,BH,005,5.85
2014-09-01,BH,005,5.84
2014-08-01,BH,005,5.97
2014-07-01,BH,005,5.82
2014-06-01,BH,005,5.7
2014-05-01,BH,005,6.18
2014-04-01,BH,005,6.16
