date,country_code,indicator_code,value
1991-01-01,BI,001,-2.514
1990-01-01,BI,001,-1.369
1989-01-01,BI,001,-5.627
1988-01-01,BI,001,4.471
1987-01-01,BI,001,2.483
1986-01-01,BI,001,2.601
2018-01-01,BI,004,-1231359.0
2017-01-01,BI,004,-1069963.0
2016-01-01,BI,004,-902979.0
2015-01-01,BI,004,-1028466.0
2014-01-01,BI,004,-1111153.0
2013-01-01,BI,004,-1082751.0
2012-01-01,BI,004,-817891.0
2011-01-01,BI,004,-716162.0
2010-01-01,BI,004,-502711.0
2009-01-01,BI,004,-495281.0
2008-01-01,BI,004,-500718.0
2007-01-01,BI,004,-369742.0
2006-01-01,BI,004,-364152.0
2005-01-01,BI,004,-274271.0
2004-01-01,BI,004,-178052.0
2003-01-01,BI,004,-124139.0
2002-01-01,BI,004,-94510.0
2001-01-01,BI,004,-77214.0
2000-01-01,BI,004,-62205.0
1999-01-01,BI,004,-38200.0
1998-01-01,BI,004,-45785.0
1997-01-01,BI,004,-15784.0
1996-01-01,BI,004,-26134.0
1995-01-01,BI,004,-35860.0
1994-01-01,BI,004,-42561.0
1993-01-01,BI,004,-40519.0
1992-01-01,BI,004,-46762.0
1991-01-01,BI,004,-39387.0
1990-01-01,BI,004,-38586.0
1989-01-01,BI,004,-23326.0
1988-01-01,BI,004,-20306.0
1987-01-01,BI,004,-22360.0
1986-01-01,BI,004,-14533.0
1985-01-01,BI,004,-13546.0
1984-01-01,BI,004,-14238.0
1983-01-01,BI,004,-15806.0
1982-01-01,BI,004,-15225.0
1981-01-01,BI,004,-11246.0
1980-01-01,BI,004,-11988.0
1979-01-01,BI,004,-6028.0
1978-01-01,BI,004,-4679.0
1977-01-01,BI,004,150.0
1976-01-01,BI,004,-1132.0
1975-01-01,BI,004,-3556.0
1974-01-01,BI,004,-1572.0
1973-01-01,BI,004,-564.0
1972-01-01,BI,004,-721.0
1971-01-01,BI,004,-1269.0
1970-01-01,BI,004,-198.0
1969-01-01,BI,004,-405.0
1968-01-01,BI,004,-492.0
1967-01-01,BI,004,-169.0
1966-01-01,BI,004,-321.0
1965-01-01,BI,004,-293.0
1964-01-01,BI,004,262.0
1963-01-01,BI,004,-788.0
1962-01-01,BI,004,-350.0
1961-01-01,BI,004,-175.0
1960-01-01,BI,004,-88.0
2019-12-01,BI,005,14.24
2019-11-01,BI,005,13.29
2019-10-01,BI,005,14.34
2019-09-01,BI,005,14.31
2019-08-01,BI,005,14.53
2019-07-01,BI,005,14.51
2019-06-01,BI,005,14.85
2019-05-01,BI,005,15.05
2019-04-01,BI,005,14.81
2019-03-01,BI,005,14.84
2019-02-01,BI,005,14.83
2019-01-01,BI,005,14.8
2018-12-01,BI,005,14.73
2018-11-01,BI,005,14.77
2018-10-01,BI,005,14.69
2018-09-01,BI,005,14.75
2018-08-01,BI,005,14.71
2018-07-01,BI,005,14.86
2018-06-01,BI,005,14.87
2018-05-01,BI,005,14.83
2018-04-01,BI,005,14.82
2018-03-01,BI,005,14.78
2018-02-01,BI,005,14.81
2018-01-01,BI,005,14.85
2017-12-01,BI,005,14.83
2017-11-01,BI,005,14.72
2017-10-01,BI,005,14.69
2017-09-01,BI,005,14.69
2017-08-01,BI,005,14.78
2017-07-01,BI,005,14.86
2017-06-01,BI,005,14.87
2017-05-01,BI,005,14.88
2017-04-01,BI,005,14.78
2017-03-01,BI,005,14.78
2017-02-01,BI,005,14.85
2017-01-01,BI,005,14.83
2016-12-01,BI,005,14.78
2016-11-01,BI,005,14.72
2016-10-01,BI,005,14.58
2016-09-01,BI,005,14.59
2016-08-01,BI,005,14.6
2016-07-01,BI,005,14.45
2016-06-01,BI,005,14.55
2016-05-01,BI,005,14.58
2016-04-01,BI,005,14.22
2016-03-01,BI,005,13.19
2016-02-01,BI,005,13.31
2016-01-01,BI,005,13.29
2015-12-01,BI,005,14.79
2015-11-01,BI,005,14.82
2015-10-01,BI,005,14.95
2015-09-01,BI,005,15.16
2015-08-01,BI,005,15.29
2015-07-01,BI,005,15.35
2015-06-01,BI,005,15.2
2015-05-01,BI,005,15.26
2015-04-01,BI,005,15.87
2015-03-01,BI,005,15.73
2015-02-01,BI,005,15.47
2015-01-01,BI,005,16.06
2014-12-01,BI,005,15.86
2014-11-01,BI,005,15.71
2014-10-01,BI,005,16.11
2014-09-01,BI,005,15.99
2014-08-01,BI,005,16.01
2014-07-01,BI,005,16.03
2014-06-01,BI,005,16.38
2014-05-01,BI,005,15.18
2014-04-01,BI,005,15.25
2014-03-01,BI,005,15.16
2014-02-01,BI,005,15.16
2014-01-01,BI,005,15.18
2013-12-01,BI,005,15.27
2013-11-01,BI,005,15.3
2013-10-01,BI,005,15.16
2013-09-01,BI,005,15.21
2013-08-01,BI,005,15.25
2013-07-01,BI,005,15.27
2013-06-01,BI,005,14.94
2013-05-01,BI,005,15.2
2013-04-01,BI,005,15.01
2013-03-01,BI,005,15.12
2013-02-01,BI,005,15.08
2013-01-01,BI,005,14.96
2012-12-01,BI,005,14.92
2012-11-01,BI,005,14.62
2012-10-01,BI,005,14.64
2012-09-01,BI,005,14.51
2012-08-01,BI,005,14.05
2012-07-01,BI,005,14.71
2012-06-01,BI,005,14.13
2012-05-01,BI,005,14.12
2012-04-01,BI,005,13.98
2012-03-01,BI,005,13.96
2012-02-01,BI,005,14.14
2012-01-01,BI,005,14.06
2011-12-01,BI,005,13.6
2011-11-01,BI,005,14.29
2011-10-01,BI,005,14.0
2011-09-01,BI,005,14.13
2011-08-01,BI,005,14.01
2011-07-01,BI,005,14.2
2011-06-01,BI,005,14.01
2011-05-01,BI,005,12.19
2011-04-01,BI,005,12.03
2011-03-01,BI,005,12.15
2011-02-01,BI,005,12.0
2011-01-01,BI,005,12.18
2010-12-01,BI,005,12.1
2010-11-01,BI,005,12.3
2010-10-01,BI,005,12.31
2010-09-01,BI,005,12.4
2010-08-01,BI,005,12.41
2010-07-01,BI,005,12.15
2010-06-01,BI,005,12.6
2010-05-01,BI,005,12.2
2010-04-01,BI,005,12.21
2010-03-01,BI,005,12.04
2010-02-01,BI,005,13.23
2010-01-01,BI,005,13.09
2009-12-01,BI,005,13.08
2009-11-01,BI,005,13.11
2009-10-01,BI,005,13.21
2009-09-01,BI,005,13.83
2009-08-01,BI,005,13.81
2009-07-01,BI,005,14.29
2009-06-01,BI,005,14.33
2009-05-01,BI,005,14.4
2009-04-01,BI,005,14.4
2009-03-01,BI,005,14.5
2009-02-01,BI,005,14.9
2009-01-01,BI,005,15.05
2008-12-01,BI,005,15.13
2008-11-01,BI,005,15.74
2008-10-01,BI,005,16.4
2008-09-01,BI,005,16.7
2008-08-01,BI,005,16.84
2008-07-01,BI,005,16.47
2008-06-01,BI,005,16.5
2008-05-01,BI,005,16.4
2008-04-01,BI,005,17.0
2008-03-01,BI,005,16.97
2008-02-01,BI,005,17.0
2008-01-01,BI,005,17.1
2007-12-01,BI,005,17.1
2007-11-01,BI,005,17.02
2007-10-01,BI,005,17.0
2007-09-01,BI,005,16.9
2007-08-01,BI,005,16.9
2007-07-01,BI,005,17.0
2007-06-01,BI,005,17.0
2007-05-01,BI,005,17.0
2007-04-01,BI,005,16.8
2007-03-01,BI,005,16.2
2007-02-01,BI,005,16.6
2007-01-01,BI,005,16.6
2006-12-01,BI,005,16.6
2006-11-01,BI,005,16.6
2006-10-01,BI,005,16.3
2006-09-01,BI,005,16.9
2006-08-01,BI,005,17.0
2006-07-01,BI,005,16.6
2006-06-01,BI,005,16.97
2006-05-01,BI,005,17.0
2006-04-01,BI,005,16.83
2006-03-01,BI,005,17.93
2006-02-01,BI,005,18.11
2006-01-01,BI,005,18.03
2005-12-01,BI,005,19.17
2005-11-01,BI,005,18.15
