date,country_code,indicator_code,value
1992-01-01,BJ,001,3.808
1991-01-01,BJ,001,0.904
1990-01-01,BJ,001,3.915
1989-01-01,BJ,001,-31.07
1988-01-01,BJ,001,0.633
1987-01-01,BJ,001,0.512
1986-01-01,BJ,001,-3.651
2018-01-01,BJ,004,1292606.0
2017-01-01,BJ,004,972389.0
2016-01-01,BJ,004,838199.0
2015-01-01,BJ,004,811680.0
2014-01-01,BJ,004,760224.0
2013-01-01,BJ,004,701701.0
2012-01-01,BJ,004,550981.0
2011-01-01,BJ,004,588339.0
2010-01-01,BJ,004,616511.0
2009-01-01,BJ,004,480761.0
2008-01-01,BJ,004,527925.0
2007-01-01,BJ,004,447715.0
2006-01-01,BJ,004,327611.0
2005-01-01,BJ,004,286368.0
2004-01-01,BJ,004,302535.0
2003-01-01,BJ,004,282821.0
2002-01-01,BJ,004,269835.0
2001-01-01,BJ,004,274250.0
2000-01-01,BJ,004,264230.0
1999-01-01,BJ,004,237266.0
1998-01-01,BJ,004,235383.0
1997-01-01,BJ,004,202392.0
1996-01-01,BJ,004,216864.0
1995-01-01,BJ,004,194918.0
1994-01-01,BJ,004,161396.0
1993-01-01,BJ,004,76969.0
1992-01-01,BJ,004,79081.0
1991-01-01,BJ,004,77471.0
1990-01-01,BJ,004,67872.0
1989-01-01,BJ,004,61371.0
1988-01-01,BJ,004,58785.0
1987-01-01,BJ,004,64839.0
1986-01-01,BJ,004,71523.0
1985-01-01,BJ,004,127277.0
1984-01-01,BJ,004,98316.0
1983-01-01,BJ,004,61998.0
1982-01-01,BJ,004,62812.0
1981-01-01,BJ,004,58352.0
1980-01-01,BJ,004,47260.0
1979-01-01,BJ,004,59769.0
1978-01-01,BJ,004,51132.0
1977-01-01,BJ,004,45873.0
1976-01-01,BJ,004,39513.0
1975-01-01,BJ,004,35003.0
1974-01-01,BJ,004,51129.0
1973-01-01,BJ,004,48328.0
1972-01-01,BJ,004,44213.0
1971-01-01,BJ,004,39063.0
1970-01-01,BJ,004,37286.0
1969-01-01,BJ,004,34372.0
1967-01-01,BJ,004,8817.0
1966-01-01,BJ,004,6852.0
1965-01-01,BJ,004,6140.0
1964-01-01,BJ,004,4955.0
1963-01-01,BJ,004,3450.0
1962-01-01,BJ,004,2990.0
1959-01-01,BJ,004,3091.0
2017-02-01,BJ,005,5.3
2017-01-01,BJ,005,4.98
2016-12-01,BJ,005,5.6
2016-11-01,BJ,005,5.43
2016-10-01,BJ,005,5.24
2016-09-01,BJ,005,5.52
2016-08-01,BJ,005,5.0
2016-07-01,BJ,005,5.45
2016-06-01,BJ,005,5.43
2016-05-01,BJ,005,4.61
2016-04-01,BJ,005,5.15
2016-03-01,BJ,005,5.43
2016-02-01,BJ,005,5.24
2016-01-01,BJ,005,5.44
2015-12-01,BJ,005,5.21
2015-11-01,BJ,005,4.87
2015-10-01,BJ,005,4.99
2015-09-01,BJ,005,5.13
2015-08-01,BJ,005,5.19
2015-07-01,BJ,005,5.31
2015-06-01,BJ,005,5.22
2015-05-01,BJ,005,5.05
2015-04-01,BJ,005,5.31
2015-03-01,BJ,005,5.15
2015-02-01,BJ,005,5.28
2015-01-01,BJ,005,5.14
2014-12-01,BJ,005,5.29
2014-11-01,BJ,005,5.6
2014-10-01,BJ,005,5.19
2014-09-01,BJ,005,5.24
2014-08-01,BJ,005,5.08
2014-07-01,BJ,005,5.38
2014-06-01,BJ,005,5.52
2014-05-01,BJ,005,5.11
2014-04-01,BJ,005,5.41
2014-03-01,BJ,005,5.16
2014-02-01,BJ,005,5.47
2014-01-01,BJ,005,5.61
2013-12-01,BJ,005,5.4
2013-11-01,BJ,005,5.15
2013-10-01,BJ,005,5.23
2013-09-01,BJ,005,5.7
2013-08-01,BJ,005,5.18
2013-07-01,BJ,005,5.45
2013-06-01,BJ,005,5.14
2013-05-01,BJ,005,5.14
2013-04-01,BJ,005,5.47
2013-03-01,BJ,005,5.26
2013-02-01,BJ,005,5.18
2013-01-01,BJ,005,5.15
2012-12-01,BJ,005,5.08
2012-11-01,BJ,005,5.1
2012-10-01,BJ,005,5.21
2012-09-01,BJ,005,5.14
2012-08-01,BJ,005,5.14
2012-07-01,BJ,005,5.01
2012-06-01,BJ,005,4.85
2012-05-01,BJ,005,4.88
2012-04-01,BJ,005,4.98
2012-03-01,BJ,005,5.0
2012-02-01,BJ,005,5.08
2012-01-01,BJ,005,5.0
2011-12-01,BJ,005,5.42
2011-11-01,BJ,005,5.02
2011-10-01,BJ,005,5.1
2011-09-01,BJ,005,5.13
2011-08-01,BJ,005,5.26
2011-07-01,BJ,005,5.3
2011-06-01,BJ,005,5.24
2011-05-01,BJ,005,5.27
2011-04-01,BJ,005,5.35
2011-03-01,BJ,005,5.49
2011-02-01,BJ,005,5.23
2011-01-01,BJ,005,5.26
2010-12-01,BJ,005,5.29
2010-11-01,BJ,005,5.05
2010-10-01,BJ,005,5.18
2010-09-01,BJ,005,5.23
2010-08-01,BJ,005,4.79
2010-07-01,BJ,005,4.95
2010-06-01,BJ,005,5.19
2010-05-01,BJ,005,5.14
2010-04-01,BJ,005,5.07
2010-03-01,BJ,005,5.14
2010-02-01,BJ,005,5.12
2010-01-01,BJ,005,5.21
2009-12-01,BJ,005,5.18
2009-11-01,BJ,005,5.05
2009-10-01,BJ,005,5.02
2009-09-01,BJ,005,5.11
2009-08-01,BJ,005,4.96
2009-07-01,BJ,005,4.89
2009-06-01,BJ,005,5.03
2009-05-01,BJ,005,4.8
2009-04-01,BJ,005,4.91
2009-03-01,BJ,005,5.1
2009-02-01,BJ,005,4.87
2009-01-01,BJ,005,4.81
2008-12-01,BJ,005,4.78
2008-11-01,BJ,005,4.98
2008-10-01,BJ,005,4.83
2008-09-01,BJ,005,4.92
2008-08-01,BJ,005,4.86
2008-07-01,BJ,005,5.06
2008-06-01,BJ,005,5.12
2008-05-01,BJ,005,5.03
2008-04-01,BJ,005,5.04
2008-03-01,BJ,005,4.93
2008-02-01,BJ,005,4.89
2008-01-01,BJ,005,5.37
2007-12-01,BJ,005,4.74
2007-11-01,BJ,005,4.71
2007-10-01,BJ,005,4.84
2007-09-01,BJ,005,4.37
2007-08-01,BJ,005,4.65
2007-07-01,BJ,005,4.5
2007-06-01,BJ,005,4.77
2007-05-01,BJ,005,5.06
2007-04-01,BJ,005,4.83
2007-03-01,BJ,005,5.05
2007-02-01,BJ,005,4.84
2007-01-01,BJ,005,4.66
2006-12-01,BJ,005,4.87
2006-11-01,BJ,005,4.79
2006-10-01,BJ,005,4.8
2006-09-01,BJ,005,4.74
2006-08-01,BJ,005,5.33
2006-07-01,BJ,005,4.72
2006-06-01,BJ,005,4.73
2006-05-01,BJ,005,4.61
2006-04-01,BJ,005,4.54
2006-03-01,BJ,005,4.56
2006-02-01,BJ,005,4.69
2006-01-01,BJ,005,4.46
2005-12-01,BJ,005,4.46
2005-11-01,BJ,005,4.47
2005-10-01,BJ,005,8.01
2005-09-01,BJ,005,10.34
2005-08-01,BJ,005,5.35
2005-07-01,BJ,005,10.27
2005-06-01,BJ,005,9.7
2005-05-01,BJ,005,8.64
2005-04-01,BJ,005,8.21
2005-03-01,BJ,005,8.64
2005-02-01,BJ,005,9.07
2005-01-01,BJ,005,9.37
2020-02-01,BJ,007,1399472.0
2020-01-01,BJ,007,1309392.0
2019-12-01,BJ,007,1233081.0
2019-11-01,BJ,007,1354805.0
2019-10-01,BJ,007,1410775.0
2019-09-01,BJ,007,1537169.0
2019-08-01,BJ,007,1582163.0
2019-07-01,BJ,007,1618328.0
2019-06-01,BJ,007,1750193.0
2019-05-01,BJ,007,1747998.0
2019-04-01,BJ,007,1558770.0
2019-03-01,BJ,007,1562152.0
2019-02-01,BJ,007,1251010.0
2019-01-01,BJ,007,1208236.0
2018-12-01,BJ,007,1184961.0
2018-11-01,BJ,007,1199533.0
2018-10-01,BJ,007,1232676.0
2018-09-01,BJ,007,1112836.0
2018-08-01,BJ,007,979503.0
2018-07-01,BJ,007,946633.0
2018-06-01,BJ,007,947019.0
2018-05-01,BJ,007,730679.0
2018-04-01,BJ,007,813785.0
2018-03-01,BJ,007,845449.0
2018-02-01,BJ,007,773794.0
2018-01-01,BJ,007,729323.0
2017-12-01,BJ,007,993846.0
2017-11-01,BJ,007,968259.0
2017-10-01,BJ,007,991742.0
2017-09-01,BJ,007,978313.0
2017-08-01,BJ,007,979089.0
2017-07-01,BJ,007,1032188.0
2017-06-01,BJ,007,1103295.0
2017-05-01,BJ,007,1129002.0
2017-04-01,BJ,007,1152159.0
2017-03-01,BJ,007,1051587.0
2017-02-01,BJ,007,989879.0
2017-01-01,BJ,007,1023029.0
2016-12-01,BJ,007,1106271.0
2016-11-01,BJ,007,1086278.0
2016-10-01,BJ,007,1079752.0
2016-09-01,BJ,007,1159772.0
2016-08-01,BJ,007,1163668.0
2016-07-01,BJ,007,1246252.0
2016-06-01,BJ,007,1320400.0
2016-05-01,BJ,007,1225581.0
2016-04-01,BJ,007,1283518.0
2016-03-01,BJ,007,1294821.0
2016-02-01,BJ,007,1325027.0
2016-01-01,BJ,007,1203408.0
2015-12-01,BJ,007,1272235.0
2015-11-01,BJ,007,1125976.0
2015-10-01,BJ,007,1229025.0
2015-09-01,BJ,007,1208314.0
2015-08-01,BJ,007,1238079.0
2015-07-01,BJ,007,1281398.0
2015-06-01,BJ,007,1227215.0
2015-05-01,BJ,007,1323028.0
2015-04-01,BJ,007,1325964.0
2015-03-01,BJ,007,1198731.0
2015-02-01,BJ,007,1239553.0
2015-01-01,BJ,007,1129727.0
2014-12-01,BJ,007,1190034.0
2014-11-01,BJ,007,1103224.0
2014-10-01,BJ,007,1121803.0
2014-09-01,BJ,007,1244461.0
2014-08-01,BJ,007,1219230.0
2014-07-01,BJ,007,1474364.0
2014-06-01,BJ,007,1140846.0
2014-05-01,BJ,007,1161151.0
2014-04-01,BJ,007,1159389.0
2014-03-01,BJ,007,1112451.0
2014-02-01,BJ,007,1078891.0
2014-01-01,BJ,007,1041198.0
2013-12-01,BJ,007,1016481.0
2013-11-01,BJ,007,991515.0
2013-10-01,BJ,007,961356.0
2013-09-01,BJ,007,1003447.0
2013-08-01,BJ,007,1006960.0
2013-07-01,BJ,007,1003594.0
2013-06-01,BJ,007,1007406.0
2013-05-01,BJ,007,989939.0
2013-04-01,BJ,007,923137.0
2013-03-01,BJ,007,923042.0
2013-02-01,BJ,007,868843.0
2013-01-01,BJ,007,868945.0
2012-12-01,BJ,007,878109.0
2012-11-01,BJ,007,841943.0
2012-10-01,BJ,007,879978.0
2012-09-01,BJ,007,847122.0
2012-08-01,BJ,007,880128.0
2012-07-01,BJ,007,900634.0
2012-06-01,BJ,007,912467.0
2012-05-01,BJ,007,952627.0
2012-04-01,BJ,007,916577.0
2012-03-01,BJ,007,868328.0
2012-02-01,BJ,007,843695.0
2012-01-01,BJ,007,813018.0
2011-12-01,BJ,007,790545.0
2011-11-01,BJ,007,808391.0
