date,country_code,indicator_code,value
1997-01-01,BM,001,0.67
1996-01-01,BM,001,0.5
1995-01-01,BM,001,-0.013
1994-01-01,BM,001,0.716
1993-01-01,BM,001,-0.223
1992-01-01,BM,001,-0.971
1991-01-01,BM,001,-0.952
1990-01-01,BM,001,-0.664
1989-01-01,BM,001,-0.183
1988-01-01,BM,001,1.176
1987-01-01,BM,001,1.799
1986-01-01,BM,001,1.255
2015-01-01,BM,004,2905.0
2014-01-01,BM,004,2871.0
2013-01-01,BM,004,2885.0
2012-01-01,BM,004,2821.0
2011-01-01,BM,004,2867.0
2010-01-01,BM,004,2909.0
2009-01-01,BM,004,2867.0
2008-01-01,BM,004,3086.0
2006-10-01,BM,012,0.0
2006-07-01,BM,012,0.0
2006-04-01,BM,012,0.0
2006-01-01,BM,012,0.0
2013-01-01,BM,019,337.0
2012-01-01,BM,019,316.0
2011-01-01,BM,019,335.0
2010-01-01,BM,019,347.0
2009-01-01,BM,019,340.0
2019-07-01,BM,034,106.7
2019-06-01,BM,034,105.7
2019-05-01,BM,034,105.4
2019-04-01,BM,034,106.0
2019-03-01,BM,034,105.6
2019-02-01,BM,034,105.2
2019-01-01,BM,034,105.2
2018-12-01,BM,034,104.9
2018-11-01,BM,034,105.0
2018-10-01,BM,034,105.2
2018-09-01,BM,034,105.3
2018-08-01,BM,034,104.9
2018-07-01,BM,034,105.4
2018-06-01,BM,034,105.0
2018-05-01,BM,034,105.1
2018-04-01,BM,034,104.9
2018-03-01,BM,034,104.3
2018-02-01,BM,034,104.1
2018-01-01,BM,034,103.8
2017-12-01,BM,034,104.0
2017-11-01,BM,034,104.2
2017-10-01,BM,034,104.1
2017-09-01,BM,034,104.2
2017-08-01,BM,034,104.0
2017-07-01,BM,034,103.9
2017-06-01,BM,034,103.3
2017-05-01,BM,034,103.3
2017-04-01,BM,034,102.8
2017-03-01,BM,034,102.5
2017-02-01,BM,034,102.1
2017-01-01,BM,034,102.2
2016-12-01,BM,034,102.1
2016-11-01,BM,034,102.2
2016-10-01,BM,034,102.7
2016-09-01,BM,034,102.7
2016-08-01,BM,034,101.7
2016-07-01,BM,034,102.2
2016-06-01,BM,034,101.5
2016-05-01,BM,034,100.9
2016-04-01,BM,034,101.1
2016-03-01,BM,034,100.1
2016-02-01,BM,034,100.2
2016-01-01,BM,034,100.3
2015-12-01,BM,034,100.5
2015-11-01,BM,034,100.5
2015-10-01,BM,034,100.6
2015-09-01,BM,034,100.7
2015-08-01,BM,034,100.4
2015-07-01,BM,034,100.6
2015-06-01,BM,034,100.7
2015-05-01,BM,034,99.8
2015-04-01,BM,034,100.0
2015-03-01,BM,034,99.1
2015-02-01,BM,034,98.9
2015-01-01,BM,034,98.6
2014-12-01,BM,034,98.7
2014-11-01,BM,034,99.1
2014-10-01,BM,034,100.0
2014-09-01,BM,034,99.7
2014-08-01,BM,034,99.0
2014-07-01,BM,034,98.7
2014-06-01,BM,034,98.6
2014-05-01,BM,034,98.6
2015-01-01,BM,035,3122.0
2014-01-01,BM,035,3033.0
2013-01-01,BM,035,2967.0
2012-01-01,BM,035,2937.0
2011-01-01,BM,035,2895.0
2010-01-01,BM,035,2974.0
2009-01-01,BM,035,3042.0
2008-01-01,BM,035,3011.0
2018-01-01,BM,043,0.0
2017-01-01,BM,043,0.0
2016-01-01,BM,043,0.0
2015-01-01,BM,043,0.0
2014-01-01,BM,043,0.0
2013-01-01,BM,043,0.0
2012-01-01,BM,043,0.0
2011-01-01,BM,043,0.0
2010-01-01,BM,043,0.0
2009-01-01,BM,043,0.0
2008-01-01,BM,043,0.0
2007-01-01,BM,043,0.0
2006-01-01,BM,043,0.0
2005-01-01,BM,043,0.0
2004-01-01,BM,043,0.0
2003-01-01,BM,043,0.0
2019-07-01,BM,046,102.9
2019-06-01,BM,046,102.9
2019-05-01,BM,046,102.9
2019-04-01,BM,046,103.1
2019-03-01,BM,046,103.0
2019-02-01,BM,046,103.0
2019-01-01,BM,046,103.0
2018-12-01,BM,046,102.9
2018-11-01,BM,046,102.9
2018-10-01,BM,046,102.9
2018-09-01,BM,046,103.0
2018-08-01,BM,046,102.8
2018-07-01,BM,046,102.5
2018-06-01,BM,046,102.6
2018-05-01,BM,046,102.6
2018-04-01,BM,046,102.6
2018-03-01,BM,046,103.7
2018-02-01,BM,046,103.6
2018-01-01,BM,046,103.4
2019-07-01,BM,047,101.4
2019-06-01,BM,047,98.8
2019-05-01,BM,047,98.1
2019-04-01,BM,047,99.7
2019-03-01,BM,047,99.3
2019-02-01,BM,047,97.3
2019-01-01,BM,047,98.2
2018-12-01,BM,047,98.9
2018-11-01,BM,047,99.2
2018-10-01,BM,047,100.7
2018-09-01,BM,047,101.7
2018-08-01,BM,047,100.5
2018-07-01,BM,047,102.8
2018-06-01,BM,047,101.3
2018-05-01,BM,047,103.2
2018-04-01,BM,047,104.4
2018-03-01,BM,047,102.9
2018-02-01,BM,047,102.2
2018-01-01,BM,047,99.5
2019-05-01,BM,048,0.0
2019-04-01,BM,048,0.0
2019-03-01,BM,048,0.0
2019-02-01,BM,048,0.0
2019-01-01,BM,048,0.0
2018-12-01,BM,048,0.0
2018-11-01,BM,048,0.0
2018-10-01,BM,048,0.0
2018-09-01,BM,048,0.0
2018-08-01,BM,048,0.0
2018-07-01,BM,048,0.0
2018-06-01,BM,048,0.0
2018-05-01,BM,048,0.0
2018-04-01,BM,048,0.0
2018-03-01,BM,048,0.0
2018-02-01,BM,048,0.0
2018-01-01,BM,048,0.0
2017-12-01,BM,048,0.0
2017-11-01,BM,048,0.0
2017-10-01,BM,048,0.0
2017-09-01,BM,048,0.0
2017-08-01,BM,048,0.0
2017-07-01,BM,048,0.0
2017-06-01,BM,048,0.0
2017-05-01,BM,048,0.0
2017-04-01,BM,048,0.0
2017-03-01,BM,048,0.0
2017-02-01,BM,048,0.0
2017-01-01,BM,048,0.0
2016-12-01,BM,048,0.0
2016-11-01,BM,048,0.0
2016-10-01,BM,048,0.0
2016-09-01,BM,048,0.0
2016-08-01,BM,048,0.0
2016-07-01,BM,048,0.0
2016-06-01,BM,048,0.0
2016-05-01,BM,048,0.0
2016-04-01,BM,048,0.0
2016-03-01,BM,048,0.0
2016-02-01,BM,048,0.0
2016-01-01,BM,048,0.0
2015-12-01,BM,048,0.0
2015-11-01,BM,048,0.0
2015-10-01,BM,048,0.0
2015-09-01,BM,048,0.0
2015-08-01,BM,048,0.0
2015-07-01,BM,048,0.0
2015-06-01,BM,048,0.0
2015-05-01,BM,048,0.0
2015-04-01,BM,048,0.0
2015-03-01,BM,048,0.0
2015-02-01,BM,048,0.0
2015-01-01,BM,048,0.0
2014-12-01,BM,048,0.0
2014-11-01,BM,048,0.0
2014-10-01,BM,048,0.0
2014-09-01,BM,048,0.0
2014-08-01,BM,048,0.0
2014-07-01,BM,048,0.0
2014-06-01,BM,048,0.0
2014-05-01,BM,048,0.0
2014-04-01,BM,048,0.0
2014-03-01,BM,048,0.0
2014-02-01,BM,048,0.0
2014-01-01,BM,048,0.0
2013-12-01,BM,048,0.0
2013-11-01,BM,048,0.0
2013-10-01,BM,048,0.0
2013-09-01,BM,048,0.0
2013-08-01,BM,048,0.0
2013-07-01,BM,048,0.0
2013-06-01,BM,048,0.0
2013-05-01,BM,048,0.0
