date,country_code,indicator_code,value
2018-01-01,BN,001,14856.0
2012-01-01,BN,001,4300.0
2011-01-01,BN,001,4500.0
2010-01-01,BN,001,-9800.0
2009-01-01,BN,001,6200.0
2008-01-01,BN,001,3300.0
2007-01-01,BN,001,4100.0
2006-01-01,BN,001,12400.0
2005-01-01,BN,001,3400.0
2004-01-01,BN,001,6800.0
2003-01-01,BN,001,-1500.0
2002-01-01,BN,001,7046.0
2001-01-01,BN,001,4954.0
2000-01-01,BN,001,4100.0
2018-01-01,BN,004,1824.0
2017-01-01,BN,004,2340.0
2016-01-01,BN,004,1864.0
2015-01-01,BN,004,3471.0
2014-01-01,BN,004,8247.0
2013-01-01,BN,004,5693.0
2012-01-01,BN,004,8255.0
2011-01-01,BN,004,9199.0
2010-01-01,BN,004,7373.0
2009-01-01,BN,004,5775.0
2008-01-01,BN,004,10339.0
2007-01-01,BN,004,7375.0
2006-01-01,BN,004,8477.0
2005-01-01,BN,004,6802.0
2004-01-01,BN,004,4924.0
2003-01-01,BN,004,3807.0
2002-01-01,BN,004,2668.0
2001-01-01,BN,004,3044.0
2000-01-01,BN,004,3263.0
1999-01-01,BN,004,578.0
1998-01-01,BN,004,-470.0
1997-01-01,BN,004,-101.0
1996-01-01,BN,004,-51.0
1995-01-01,BN,004,261.0
1994-01-01,BN,004,167.0
1993-01-01,BN,004,199.0
1992-01-01,BN,004,679.0
1991-01-01,BN,004,1695.0
1990-01-01,BN,004,1566.0
1989-01-01,BN,004,1549.0
1983-01-01,BN,004,5629.0
1982-01-01,BN,004,6581.0
1981-01-01,BN,004,7327.0
1980-01-01,BN,004,8622.0
1979-01-01,BN,004,4934.0
1978-01-01,BN,004,3556.0
1977-01-01,BN,004,3320.0
1976-01-01,BN,004,2651.0
1975-01-01,BN,004,1846.0
1974-01-01,BN,004,1902.0
2020-01-01,BN,005,5.5
2019-12-01,BN,005,5.5
2019-11-01,BN,005,5.5
2019-10-01,BN,005,5.5
2019-09-01,BN,005,5.5
2019-08-01,BN,005,5.5
2019-07-01,BN,005,5.5
2019-06-01,BN,005,5.5
2019-05-01,BN,005,5.5
2019-04-01,BN,005,5.5
2019-03-01,BN,005,5.5
2019-02-01,BN,005,5.5
2019-01-01,BN,005,5.5
2018-12-01,BN,005,5.5
2018-11-01,BN,005,5.5
2018-10-01,BN,005,5.5
2018-09-01,BN,005,5.5
2018-08-01,BN,005,5.5
2018-07-01,BN,005,5.5
2018-06-01,BN,005,5.5
2018-05-01,BN,005,5.5
2018-04-01,BN,005,5.5
2018-03-01,BN,005,5.5
2018-02-01,BN,005,5.5
2018-01-01,BN,005,5.5
2017-12-01,BN,005,5.5
2017-11-01,BN,005,5.5
2017-10-01,BN,005,5.5
2017-09-01,BN,005,5.5
2017-08-01,BN,005,5.5
2017-07-01,BN,005,5.5
2017-06-01,BN,005,5.5
2017-05-01,BN,005,5.5
2017-04-01,BN,005,5.5
2017-03-01,BN,005,5.5
2017-02-01,BN,005,5.5
2017-01-01,BN,005,5.5
2016-12-01,BN,005,5.5
2016-11-01,BN,005,5.5
2016-10-01,BN,005,5.5
2016-09-01,BN,005,5.5
2016-08-01,BN,005,5.5
2016-07-01,BN,005,5.5
2016-06-01,BN,005,5.5
2016-05-01,BN,005,5.5
2016-04-01,BN,005,5.5
2016-03-01,BN,005,5.5
2016-02-01,BN,005,5.5
2016-01-01,BN,005,5.5
2015-12-01,BN,005,5.5
2015-11-01,BN,005,5.5
2015-10-01,BN,005,5.5
2015-09-01,BN,005,5.5
2015-08-01,BN,005,5.5
2015-07-01,BN,005,5.5
2015-06-01,BN,005,5.5
2015-05-01,BN,005,5.5
2015-04-01,BN,005,5.5
2015-03-01,BN,005,5.5
2015-02-01,BN,005,5.5
2015-01-01,BN,005,5.5
2014-12-01,BN,005,5.5
2014-11-01,BN,005,5.5
2014-10-01,BN,005,5.5
2014-09-01,BN,005,5.5
2014-08-01,BN,005,5.5
2014-07-01,BN,005,5.5
2014-06-01,BN,005,5.5
2014-05-01,BN,005,5.5
2014-04-01,BN,005,5.5
2014-03-01,BN,005,5.5
2014-02-01,BN,005,5.5
2014-01-01,BN,005,5.5
2013-12-01,BN,005,5.5
2013-11-01,BN,005,5.5
2013-10-01,BN,005,5.5
2013-09-01,BN,005,5.5
2013-08-01,BN,005,5.5
2013-07-01,BN,005,5.5
2013-06-01,BN,005,5.5
2013-05-01,BN,005,5.5
2013-04-01,BN,005,5.5
