date,country_code,indicator_code,value
2014-01-01,BO,001,199.74
2013-01-01,BO,001,313.56
2012-01-01,BO,001,-238.32
2011-01-01,BO,001,2998.12
2010-01-01,BO,001,108.46
2002-01-01,BO,001,-37.81
2001-01-01,BO,001,65.07
2000-01-01,BO,001,74.14
1997-01-01,BO,001,29.0
1996-01-01,BO,001,591.93
1995-01-01,BO,001,61.24
1994-01-01,BO,001,104.41
1993-01-01,BO,001,75.25
1992-01-01,BO,001,27.75
1991-01-01,BO,001,-855.45
1990-01-01,BO,001,181.4
1989-01-01,BO,001,-107.4
1988-01-01,BO,001,99.1
1987-01-01,BO,001,8.9
1986-01-01,BO,001,-24.4
2019-10-01,BO,002,4842.0
2019-07-01,BO,002,4839.0
2019-04-01,BO,002,4861.0
2019-01-01,BO,002,4787.0
2018-10-01,BO,002,4827.0
2018-07-01,BO,002,4780.0
2018-04-01,BO,002,4804.0
2018-01-01,BO,002,4662.0
2017-10-01,BO,002,4599.0
2017-07-01,BO,002,4557.0
2017-04-01,BO,002,4577.0
2017-01-01,BO,002,4383.0
2016-10-01,BO,002,4319.0
2016-07-01,BO,002,4289.0
2016-04-01,BO,002,4494.0
2016-01-01,BO,002,4230.0
2015-10-01,BO,002,4197.0
2015-07-01,BO,002,4182.0
2015-04-01,BO,002,4119.0
2015-01-01,BO,002,3930.0
2014-10-01,BO,002,3867.0
2014-04-01,BO,002,3686.0
2013-10-01,BO,002,3557.0
2013-04-01,BO,002,3443.0
2012-10-01,BO,002,3303.0
2012-04-01,BO,002,3253.0
2011-10-01,BO,002,3121.0
2011-04-01,BO,002,3082.0
2010-10-01,BO,002,2882.0
2010-04-01,BO,002,2907.0
2009-10-01,BO,002,2639.0
2009-04-01,BO,002,2635.0
2008-10-01,BO,002,2565.0
2008-04-01,BO,002,2533.0
2007-10-01,BO,002,2452.0
2007-04-01,BO,002,2367.0
2006-10-01,BO,002,2351.0
2006-04-01,BO,002,2366.0
2005-10-01,BO,002,2341.0
2005-04-01,BO,002,2325.0
2004-10-01,BO,002,2304.0
2004-04-01,BO,002,2245.0
2004-01-01,BO,002,2261.0
2003-10-01,BO,002,2173.0
2003-07-01,BO,002,2118.0
2003-04-01,BO,002,2104.0
2003-01-01,BO,002,2075.0
2002-10-01,BO,002,2041.0
2002-07-01,BO,002,2022.0
2002-04-01,BO,002,2007.0
2002-01-01,BO,002,1989.0
2001-10-01,BO,002,1951.0
2001-07-01,BO,002,1937.0
2001-04-01,BO,002,1931.0
2001-01-01,BO,002,1893.0
2000-10-01,BO,002,1841.0
2000-07-01,BO,002,1816.0
2000-04-01,BO,002,1776.0
2000-01-01,BO,002,1760.0
1999-10-01,BO,002,1721.0
1999-07-01,BO,002,1703.0
1999-04-01,BO,002,1687.0
1999-01-01,BO,002,1671.0
1998-10-01,BO,002,1655.0
1998-07-01,BO,002,1594.0
1998-04-01,BO,002,1553.0
1998-01-01,BO,002,1523.0
1997-10-01,BO,002,1490.0
1997-07-01,BO,002,1456.0
1997-04-01,BO,002,1438.0
1997-01-01,BO,002,1387.0
1996-10-01,BO,002,1357.0
1996-07-01,BO,002,1345.0
1996-04-01,BO,002,1333.0
1996-01-01,BO,002,1322.0
2018-01-01,BO,004,-14288.0
2017-01-01,BO,004,-17874.0
2016-01-01,BO,004,-17414.0
2015-01-01,BO,004,-14129.0
2014-01-01,BO,004,3014.0
2013-01-01,BO,004,14733.0
2012-01-01,BO,004,17562.0
2011-01-01,BO,004,9480.0
2010-01-01,BO,004,9463.0
2009-01-01,BO,004,3430.0
2008-01-01,BO,004,8383.0
2007-01-01,BO,004,7756.0
2006-01-01,BO,004,8262.0
2005-01-01,BO,004,2661.0
2004-01-01,BO,004,3351.0
2003-01-01,BO,004,-474.0
2002-01-01,BO,004,-3447.0
2001-01-01,BO,004,-2842.0
2000-01-01,BO,004,-4699.0
1999-01-01,BO,004,-5011.0
1998-01-01,BO,004,-6032.0
1997-01-01,BO,004,-3435.0
1996-01-01,BO,004,-1761.0
1995-01-01,BO,004,-1494.0
1994-01-01,BO,004,-1529.0
1993-01-01,BO,004,-2276.0
1992-01-01,BO,004,-1986.0
1991-01-01,BO,004,-1050.0
1990-01-01,BO,004,-177.0
1989-01-01,BO,004,-84.0
1988-01-01,BO,004,-472.0
1987-01-01,BO,004,-390.0
1986-01-01,BO,004,-334.0
1985-01-01,BO,004,-90.0
1984-01-01,BO,004,0.0
1983-01-01,BO,004,0.0
1982-01-01,BO,004,0.0
1981-01-01,BO,004,0.0
1980-01-01,BO,004,0.0
1979-01-01,BO,004,0.0
1978-01-01,BO,004,0.0
1977-01-01,BO,004,0.0
1976-01-01,BO,004,0.0
1975-01-01,BO,004,0.0
1974-01-01,BO,004,0.0
1973-01-01,BO,004,0.0
1972-01-01,BO,004,0.0
1971-01-01,BO,004,0.0
1970-01-01,BO,004,0.0
1969-01-01,BO,004,0.0
1968-01-01,BO,004,0.0
1967-01-01,BO,004,0.0
1966-01-01,BO,004,0.0
1965-01-01,BO,004,0.0
1964-01-01,BO,004,0.0
1963-01-01,BO,004,0.0
1962-01-01,BO,004,0.0
1961-01-01,BO,004,0.0
1960-01-01,BO,004,0.0
2020-01-01,BO,005,8.73
2019-12-01,BO,005,8.33
2019-11-01,BO,005,7.98
2019-10-01,BO,005,8.81
2019-09-01,BO,005,8.61
2019-08-01,BO,005,8.85
2019-07-01,BO,005,8.43
2019-06-01,BO,005,8.08
2019-05-01,BO,005,8.34
2019-04-01,BO,005,8.21
2019-03-01,BO,005,8.03
2019-02-01,BO,005,8.66
2019-01-01,BO,005,8.45
2018-12-01,BO,005,7.77
2018-11-01,BO,005,8.72
2018-10-01,BO,005,8.29
2018-09-01,BO,005,8.1
2018-08-01,BO,005,8.36
2018-07-01,BO,005,8.1
2018-06-01,BO,005,7.85
2018-05-01,BO,005,7.74
2018-04-01,BO,005,7.47
2018-03-01,BO,005,7.94
2018-02-01,BO,005,8.08
2018-01-01,BO,005,8.04
2017-12-01,BO,005,7.86
