date,country_code,indicator_code,value
2019-01-01,BQ,043,25.0
2018-01-01,BQ,043,25.0
2017-01-01,BQ,043,25.0
2016-01-01,BQ,043,0.0
2015-01-01,BQ,043,0.0
2014-01-01,BQ,043,0.0
2013-01-01,BQ,043,0.0
2012-01-01,BQ,043,0.0
2017-01-01,BQ,081,583.0
2016-01-01,BQ,081,582.0
2015-01-01,BQ,081,564.0
2014-01-01,BQ,081,549.0
2013-01-01,BQ,081,536.0
2012-01-01,BQ,081,515.0
2017-01-01,BQ,082,0.171821305842
2016-01-01,BQ,082,3.1914893617
2015-01-01,BQ,082,2.73224043716
2014-01-01,BQ,082,2.42537313433
2013-01-01,BQ,082,4.07766990291
2017-01-01,BQ,083,0.171821305842
2016-01-01,BQ,083,3.1914893617
2015-01-01,BQ,083,2.73224043716
2014-01-01,BQ,083,2.42537313433
2013-01-01,BQ,083,4.07766990291
2017-01-01,BQ,084,551.0
2016-01-01,BQ,084,551.0
2015-01-01,BQ,084,543.0
2014-01-01,BQ,084,526.0
2013-01-01,BQ,084,527.0
2012-01-01,BQ,084,515.0
2017-01-01,BQ,094,0.171821305842
2016-01-01,BQ,094,3.1914893617
2015-01-01,BQ,094,2.73224043716
2014-01-01,BQ,094,2.42537313433
2013-01-01,BQ,094,4.07766990291
2017-01-01,BQ,095,0.171821305842
2016-01-01,BQ,095,3.1914893617
2015-01-01,BQ,095,2.73224043716
2014-01-01,BQ,095,2.42537313433
2013-01-01,BQ,095,4.07766990291
2019-01-01,BQ,125,7.923292
2019-01-01,BQ,126,24608.0
2018-01-01,BQ,126,24533.0
2017-01-01,BQ,126,25408.0
2016-01-01,BQ,126,25244.0
2019-01-01,BQ,185,8.0
2018-01-01,BQ,185,8.0
2017-01-01,BQ,185,6.0
2016-01-01,BQ,185,8.0
2015-01-01,BQ,185,8.0
2014-01-01,BQ,185,8.0
2013-01-01,BQ,185,8.0
2012-01-01,BQ,185,8.0
2011-01-01,BQ,185,8.0
