date,country_code,indicator_code,value
2020-03-01,BR,001,92223.0
2020-02-01,BR,001,93710.0
2020-01-01,BR,001,94151.0
2019-12-01,BR,001,94552.0
2019-11-01,BR,001,94416.0
2019-10-01,BR,001,94055.0
2019-09-01,BR,001,93801.0
2019-08-01,BR,001,93631.0
2019-07-01,BR,001,93584.0
2019-06-01,BR,001,93342.0
2019-05-01,BR,001,92947.0
2019-04-01,BR,001,92365.0
2019-03-01,BR,001,91863.0
2019-02-01,BR,001,91880.0
2019-01-01,BR,001,92291.0
2018-12-01,BR,001,92736.0
2018-11-01,BR,001,92915.0
2018-10-01,BR,001,92619.0
2018-09-01,BR,001,92333.0
2018-08-01,BR,001,91790.0
2018-07-01,BR,001,91367.0
2018-06-01,BR,001,90941.0
2018-05-01,BR,001,90586.0
2018-04-01,BR,001,90429.0
2018-03-01,BR,001,90272.0
2018-02-01,BR,001,90773.0
2018-01-01,BR,001,91373.0
2017-12-01,BR,001,91770.0
2017-11-01,BR,001,91610.0
2017-10-01,BR,001,91203.0
2017-09-01,BR,001,90953.0
2017-08-01,BR,001,90710.0
2017-07-01,BR,001,90319.0
2017-06-01,BR,001,89872.0
2017-05-01,BR,001,89323.0
2017-04-01,BR,001,88872.0
2017-03-01,BR,001,88579.0
2017-02-01,BR,001,88968.0
2017-01-01,BR,001,89469.0
2016-12-01,BR,001,89871.0
2016-11-01,BR,001,89815.0
2016-10-01,BR,001,89488.0
2016-09-01,BR,001,89433.0
2016-08-01,BR,001,89730.0
2016-07-01,BR,001,90072.0
2016-06-01,BR,001,90379.0
2016-05-01,BR,001,90428.0
2016-04-01,BR,001,90213.0
2016-03-01,BR,001,90216.0
2016-02-01,BR,001,90702.0
2016-01-01,BR,001,91166.0
2015-12-01,BR,001,91800.0
2015-11-01,BR,001,91704.0
2015-10-01,BR,001,91833.0
2015-09-01,BR,001,91635.0
2015-08-01,BR,001,91670.0
2015-07-01,BR,001,91725.0
2015-06-01,BR,001,91750.0
2015-05-01,BR,001,91641.0
2015-04-01,BR,001,91711.0
2015-03-01,BR,001,91555.0
2015-02-01,BR,001,91834.0
2015-01-01,BR,001,92214.0
2014-12-01,BR,001,92396.0
2014-11-01,BR,001,92228.0
2014-10-01,BR,001,92115.0
2014-09-01,BR,001,91795.0
2014-08-01,BR,001,91465.0
2014-07-01,BR,001,91455.0
2014-06-01,BR,001,91577.0
2014-05-01,BR,001,91336.0
2014-04-01,BR,001,91081.0
2014-03-01,BR,001,90782.0
2014-02-01,BR,001,91015.0
2014-01-01,BR,001,91112.0
2013-12-01,BR,001,91403.0
2013-11-01,BR,001,91204.0
2013-10-01,BR,001,90828.0
2013-09-01,BR,001,90707.0
2013-08-01,BR,001,90506.0
2013-07-01,BR,001,90388.0
2013-06-01,BR,001,90099.0
2013-05-01,BR,001,89839.0
2013-04-01,BR,001,89437.0
2013-03-01,BR,001,88999.0
2013-02-01,BR,001,89133.0
2013-01-01,BR,001,89520.0
2012-12-01,BR,001,89857.0
2012-11-01,BR,001,89867.0
2012-10-01,BR,001,89723.0
2012-09-01,BR,001,89639.0
2012-08-01,BR,001,89428.0
2012-07-01,BR,001,89181.0
2012-06-01,BR,001,89129.0
2012-05-01,BR,001,88863.0
2012-04-01,BR,001,88407.0
2012-03-01,BR,001,87632.0
2020-02-01,BR,002,106.4
2020-01-01,BR,002,108.6
2019-12-01,BR,002,132.2
2019-11-01,BR,002,115.5
2019-10-01,BR,002,108.9
2019-09-01,BR,002,108.1
2019-08-01,BR,002,106.7
2019-07-01,BR,002,109.6
2019-06-01,BR,002,108.5
2019-05-01,BR,002,110.5
2019-04-01,BR,002,109.5
2019-03-01,BR,002,111.2
2019-02-01,BR,002,108.7
2019-01-01,BR,002,110.5
2018-12-01,BR,002,138.4
2018-11-01,BR,002,115.7
2018-10-01,BR,002,110.2
2018-09-01,BR,002,108.6
2018-08-01,BR,002,107.6
2018-07-01,BR,002,110.0
2018-06-01,BR,002,108.9
2018-05-01,BR,002,110.5
2018-04-01,BR,002,112.1
2018-03-01,BR,002,115.1
2018-02-01,BR,002,112.1
2018-01-01,BR,002,112.1
2017-12-01,BR,002,135.2
2017-11-01,BR,002,118.8
2017-10-01,BR,002,112.8
2017-09-01,BR,002,111.6
2017-08-01,BR,002,112.8
2017-07-01,BR,002,113.2
2017-06-01,BR,002,114.2
2017-05-01,BR,002,113.7
2017-04-01,BR,002,112.9
2017-03-01,BR,002,114.7
2017-02-01,BR,002,110.8
2017-01-01,BR,002,112.5
2016-12-01,BR,002,135.7
2016-11-01,BR,002,118.6
2016-10-01,BR,002,111.6
2016-09-01,BR,002,112.9
2016-08-01,BR,002,107.7
2016-07-01,BR,002,110.3
2016-06-01,BR,002,109.8
2016-05-01,BR,002,111.8
2016-04-01,BR,002,112.1
2016-03-01,BR,002,114.1
2016-02-01,BR,002,112.4
2016-01-01,BR,002,114.7
2015-12-01,BR,002,140.3
2015-11-01,BR,002,120.9
2015-10-01,BR,002,111.5
2015-09-01,BR,002,110.7
2015-08-01,BR,002,110.2
2015-07-01,BR,002,111.6
2015-06-01,BR,002,110.7
2015-05-01,BR,002,110.8
2015-04-01,BR,002,111.9
2015-03-01,BR,002,116.2
2015-02-01,BR,002,116.1
2015-01-01,BR,002,115.9
2014-12-01,BR,002,137.9
2014-11-01,BR,002,120.2
2014-10-01,BR,002,112.9
2014-09-01,BR,002,111.9
2014-08-01,BR,002,110.2
2014-07-01,BR,002,112.6
2014-06-01,BR,002,109.3
2014-05-01,BR,002,111.5
2014-04-01,BR,002,111.4
2014-03-01,BR,002,116.0
2014-02-01,BR,002,114.9
2014-01-01,BR,002,114.8
2013-12-01,BR,002,136.5
2013-11-01,BR,002,119.1
2013-10-01,BR,002,110.7
2013-09-01,BR,002,111.1
2013-08-01,BR,002,108.4
2013-07-01,BR,002,111.7
2013-06-01,BR,002,109.2
2013-05-01,BR,002,111.7
2013-04-01,BR,002,110.0
2013-03-01,BR,002,112.3
2013-02-01,BR,002,109.6
2013-01-01,BR,002,109.5
2012-12-01,BR,002,137.0
2012-11-01,BR,002,115.9
2012-10-01,BR,002,108.6
2012-09-01,BR,002,108.2
2012-08-01,BR,002,107.1
2012-07-01,BR,002,110.9
2012-06-01,BR,002,106.9
2012-05-01,BR,002,109.7
2012-04-01,BR,002,107.9
2012-03-01,BR,002,112.2
2012-02-01,BR,002,108.9
2012-01-01,BR,002,109.1
2011-12-01,BR,002,128.6
2011-11-01,BR,002,112.0
2011-10-01,BR,002,106.0
2011-09-01,BR,002,105.2
2011-08-01,BR,002,101.0
2011-07-01,BR,002,105.0
2011-06-01,BR,002,101.7
2011-05-01,BR,002,102.0
2011-04-01,BR,002,100.2
2011-03-01,BR,002,103.5
2011-02-01,BR,002,101.6
2011-01-01,BR,002,104.3
2010-12-01,BR,002,119.5
2010-11-01,BR,002,107.1
2010-10-01,BR,002,102.9
2010-09-01,BR,002,98.3
2010-08-01,BR,002,98.2
2010-07-01,BR,002,102.3
2010-06-01,BR,002,99.2
2010-05-01,BR,002,100.1
2010-04-01,BR,002,98.4
2010-03-01,BR,002,100.4
2010-02-01,BR,002,99.3
2010-01-01,BR,002,102.2
2009-12-01,BR,002,124.5
2009-11-01,BR,002,106.1
2009-10-01,BR,002,99.8
2009-09-01,BR,002,98.8
2009-08-01,BR,002,96.7
2009-07-01,BR,002,101.5
2009-06-01,BR,002,98.7
2009-05-01,BR,002,98.3
2009-04-01,BR,002,98.4
