date,country_code,indicator_code,value
2015-01-01,BT,001,5.0
2014-01-01,BT,001,4.0
2013-01-01,BT,001,6.0
2012-01-01,BT,001,6.0
2011-01-01,BT,001,3.0
2010-01-01,BT,001,8.0
2018-01-01,BT,004,51570.0
2017-01-01,BT,004,48004.0
2016-01-01,BT,004,42966.0
2015-01-01,BT,004,44262.0
2014-01-01,BT,004,43590.0
2013-01-01,BT,004,42636.0
2012-01-01,BT,004,37739.0
2011-01-01,BT,004,35004.0
2010-01-01,BT,004,30777.0
2009-01-01,BT,004,27367.0
2008-01-01,BT,004,26710.0
2007-01-01,BT,004,27995.0
2006-01-01,BT,004,16274.0
2005-01-01,BT,004,11352.0
2004-01-01,BT,004,8410.0
2003-01-01,BT,004,6384.0
2002-01-01,BT,004,6080.0
2001-01-01,BT,004,5738.0
2000-01-01,BT,004,5858.0
1999-01-01,BT,004,5948.0
1998-01-01,BT,004,5191.0
1997-01-01,BT,004,4544.0
1996-01-01,BT,004,3965.0
1995-01-01,BT,004,3543.0
1994-01-01,BT,004,2394.0
1993-01-01,BT,004,2183.0
1992-01-01,BT,004,2275.0
1991-01-01,BT,004,1935.0
1990-01-01,BT,004,1406.0
1989-01-01,BT,004,1216.0
1988-01-01,BT,004,1027.0
1987-01-01,BT,004,635.0
1986-01-01,BT,004,380.0
1985-01-01,BT,004,317.0
1984-01-01,BT,004,253.0
1983-01-01,BT,004,200.0
1982-01-01,BT,004,191.0
1981-01-01,BT,004,189.0
1980-01-01,BT,004,131.0
2019-09-01,BT,005,14.0
2019-08-01,BT,005,14.0
2019-07-01,BT,005,14.0
2019-06-01,BT,005,14.0
2019-05-01,BT,005,14.0
2019-04-01,BT,005,14.0
2019-03-01,BT,005,14.0
2019-02-01,BT,005,14.0
2019-01-01,BT,005,14.0
2018-12-01,BT,005,14.0
2018-11-01,BT,005,14.0
2018-10-01,BT,005,14.0
2018-09-01,BT,005,14.0
2018-08-01,BT,005,14.0
2018-07-01,BT,005,14.0
2018-06-01,BT,005,14.0
2018-05-01,BT,005,14.0
2018-04-01,BT,005,14.0
2018-03-01,BT,005,14.0
2018-02-01,BT,005,14.0
2018-01-01,BT,005,14.0
2017-12-01,BT,005,15.0
2017-11-01,BT,005,15.0
2017-10-01,BT,005,15.0
2017-09-01,BT,005,15.0
2017-08-01,BT,005,15.0
2017-07-01,BT,005,15.0
2017-06-01,BT,005,14.0
2017-05-01,BT,005,13.0
2017-04-01,BT,005,14.0
2017-03-01,BT,005,14.0
2017-02-01,BT,005,13.0
2017-01-01,BT,005,13.0
2016-12-01,BT,005,14.15
2016-11-01,BT,005,14.15
2016-10-01,BT,005,14.15
2016-09-01,BT,005,14.15
2016-08-01,BT,005,14.15
2016-07-01,BT,005,14.15
2016-06-01,BT,005,14.15
2016-05-01,BT,005,14.15
2016-04-01,BT,005,14.15
2016-03-01,BT,005,14.15
2016-02-01,BT,005,14.15
2016-01-01,BT,005,14.15
2015-12-01,BT,005,14.15
2015-11-01,BT,005,16.0
2015-10-01,BT,005,16.0
2015-09-01,BT,005,16.0
2015-08-01,BT,005,16.0
2015-07-01,BT,005,16.0
2015-06-01,BT,005,14.0
2015-05-01,BT,005,14.0
2015-04-01,BT,005,14.15
