date,country_code,indicator_code,value
2019-11-01,BY,001,4334.8
2019-10-01,BY,001,4338.7
2019-09-01,BY,001,4329.7
2019-08-01,BY,001,4334.1
2019-07-01,BY,001,4328.9
2019-06-01,BY,001,4323.8
2019-05-01,BY,001,4323.4
2019-04-01,BY,001,4337.7
2019-03-01,BY,001,4338.5
2019-02-01,BY,001,4333.0
2019-01-01,BY,001,4330.3
2018-12-01,BY,001,4336.0
2018-11-01,BY,001,4337.5
2018-10-01,BY,001,4341.8
2018-09-01,BY,001,4330.1
2018-08-01,BY,001,4338.0
2018-07-01,BY,001,4332.7
2018-06-01,BY,001,4328.1
2018-05-01,BY,001,4328.4
2018-04-01,BY,001,4335.1
2018-03-01,BY,001,4344.7
2018-02-01,BY,001,4342.8
2018-01-01,BY,001,4339.2
2017-12-01,BY,001,4345.8
2017-11-01,BY,001,4348.7
2017-10-01,BY,001,4355.6
2017-09-01,BY,001,4348.2
2017-08-01,BY,001,4360.0
2017-07-01,BY,001,4347.5
2017-06-01,BY,001,4347.6
2017-05-01,BY,001,4348.5
2017-04-01,BY,001,4358.6
2017-03-01,BY,001,4361.7
2017-02-01,BY,001,4358.3
2017-01-01,BY,001,4363.4
2016-12-01,BY,001,4367.4
2016-11-01,BY,001,4377.0
2016-10-01,BY,001,4387.0
2016-09-01,BY,001,4386.9
2016-08-01,BY,001,4397.2
2016-07-01,BY,001,4394.7
2016-06-01,BY,001,4396.3
2016-05-01,BY,001,4403.9
2016-04-01,BY,001,4421.3
2016-03-01,BY,001,4435.9
2016-02-01,BY,001,4444.7
2016-01-01,BY,001,4455.5
2015-12-01,BY,001,4471.2
2015-11-01,BY,001,4480.0
2015-10-01,BY,001,4492.7
2015-09-01,BY,001,4489.5
2015-08-01,BY,001,4496.8
2015-07-01,BY,001,4490.7
2015-06-01,BY,001,4482.6
2015-05-01,BY,001,4488.5
2015-04-01,BY,001,4507.6
2015-03-01,BY,001,4512.5
2015-02-01,BY,001,4517.0
2015-01-01,BY,001,4522.3
2014-12-01,BY,001,4531.2
2014-11-01,BY,001,4537.8
2014-10-01,BY,001,4543.2
2014-09-01,BY,001,4538.7
2014-08-01,BY,001,4547.0
2014-07-01,BY,001,4542.7
2014-06-01,BY,001,4533.4
2014-05-01,BY,001,4541.1
2014-04-01,BY,001,4560.4
2014-03-01,BY,001,4575.8
2014-02-01,BY,001,4575.8
2014-01-01,BY,001,4578.6
2013-12-01,BY,001,4554.8
2013-11-01,BY,001,4558.3
2013-10-01,BY,001,4567.4
2013-09-01,BY,001,4562.5
2013-08-01,BY,001,4574.8
2013-07-01,BY,001,4572.2
2013-06-01,BY,001,4568.6
2013-05-01,BY,001,4579.0
2013-04-01,BY,001,4596.8
2013-03-01,BY,001,4603.1
2013-02-01,BY,001,4600.0
2013-01-01,BY,001,4604.3
2012-12-01,BY,001,4596.2
2012-11-01,BY,001,4605.5
2012-10-01,BY,001,4610.2
2012-09-01,BY,001,4606.5
2012-08-01,BY,001,4614.6
2012-07-01,BY,001,4602.3
2012-06-01,BY,001,4595.9
2012-05-01,BY,001,4604.6
2012-04-01,BY,001,4619.5
2012-03-01,BY,001,4633.2
2012-02-01,BY,001,4625.5
2012-01-01,BY,001,4630.8
2011-12-01,BY,001,4637.4
2011-11-01,BY,001,4648.8
2011-10-01,BY,001,4662.1
2011-09-01,BY,001,4671.3
2011-08-01,BY,001,4692.3
2011-07-01,BY,001,4693.5
2011-06-01,BY,001,4696.3
2011-05-01,BY,001,4710.6
2011-04-01,BY,001,4722.3
2011-03-01,BY,001,4727.3
2011-02-01,BY,001,4717.8
2011-01-01,BY,001,4715.0
2010-12-01,BY,001,4711.4
2010-11-01,BY,001,4717.4
2010-10-01,BY,001,4715.8
2010-09-01,BY,001,4707.6
2010-08-01,BY,001,4712.4
2010-07-01,BY,001,4707.9
2010-06-01,BY,001,4693.7
2010-05-01,BY,001,4690.7
2010-04-01,BY,001,4694.5
2010-03-01,BY,001,4701.1
2010-02-01,BY,001,4690.7
2010-01-01,BY,001,4692.5
2009-12-01,BY,001,4641.2
2009-11-01,BY,001,4655.1
2009-10-01,BY,001,4666.8
2009-09-01,BY,001,4648.1
2009-08-01,BY,001,4658.4
2009-07-01,BY,001,4649.9
2009-06-01,BY,001,4635.3
2009-05-01,BY,001,4632.8
2009-04-01,BY,001,4637.9
2009-03-01,BY,001,4636.0
2009-02-01,BY,001,4631.9
2009-01-01,BY,001,4633.8
2008-12-01,BY,001,4613.5
2008-11-01,BY,001,4630.8
2008-10-01,BY,001,4631.3
2008-09-01,BY,001,4625.8
2008-08-01,BY,001,4637.2
2008-07-01,BY,001,4625.0
2008-06-01,BY,001,4607.4
2008-05-01,BY,001,4602.2
2008-04-01,BY,001,4590.3
2008-03-01,BY,001,4598.7
2008-02-01,BY,001,4587.1
2008-01-01,BY,001,4577.0
2007-12-01,BY,001,4531.8
2007-11-01,BY,001,4536.0
2007-10-01,BY,001,4533.9
2007-09-01,BY,001,4525.8
2007-08-01,BY,001,4532.9
2007-07-01,BY,001,4526.9
2007-06-01,BY,001,4505.9
2007-05-01,BY,001,4501.3
2007-04-01,BY,001,4504.8
2007-03-01,BY,001,4511.5
2007-02-01,BY,001,4506.5
2007-01-01,BY,001,4501.4
2006-12-01,BY,001,4488.2
2006-11-01,BY,001,4494.2
2006-10-01,BY,001,4492.9
2006-09-01,BY,001,4489.3
2006-08-01,BY,001,4496.6
2006-07-01,BY,001,4486.5
2006-06-01,BY,001,4465.6
2006-05-01,BY,001,4459.2
2006-04-01,BY,001,4450.5
2006-03-01,BY,001,4449.5
2006-02-01,BY,001,4440.9
2006-01-01,BY,001,4428.7
2005-12-01,BY,001,4412.9
