date,country_code,indicator_code,value
2017-07-01,BZ,001,-0.118
2016-07-01,BZ,001,-2.616
2015-07-01,BZ,001,2.33
2014-07-01,BZ,001,-0.067
2013-07-01,BZ,001,-3.092
2012-07-01,BZ,001,-0.098
2017-01-01,BZ,004,2019.0
2016-01-01,BZ,004,1867.0
2015-01-01,BZ,004,2028.0
2014-01-01,BZ,004,2072.0
2013-01-01,BZ,004,2065.0
2012-01-01,BZ,004,1963.0
2011-01-01,BZ,004,1829.0
2010-01-01,BZ,004,1627.0
2009-01-01,BZ,004,1380.0
2008-01-01,BZ,004,1707.0
2007-01-01,BZ,004,1577.0
2006-01-01,BZ,004,1489.0
2005-01-01,BZ,004,1218.0
2004-01-01,BZ,004,1070.0
2003-01-01,BZ,004,1053.0
2002-01-01,BZ,004,980.0
2001-01-01,BZ,004,887.0
2000-01-01,BZ,004,882.0
1999-01-01,BZ,004,807.0
1998-01-01,BZ,004,725.0
1997-01-01,BZ,004,691.0
1996-01-01,BZ,004,641.0
1995-01-01,BZ,004,595.0
1994-01-01,BZ,004,579.0
1993-01-01,BZ,004,523.0
1992-01-01,BZ,004,515.0
1991-01-01,BZ,004,388.0
1990-01-01,BZ,004,404.0
1989-01-01,BZ,004,425.0
1988-01-01,BZ,004,404.0
1987-01-01,BZ,004,334.0
1986-01-01,BZ,004,253.0
1985-01-01,BZ,004,203.0
1984-01-01,BZ,004,263.0
1983-01-01,BZ,004,186.0
1982-01-01,BZ,004,172.0
1981-01-01,BZ,004,206.0
1980-01-01,BZ,004,214.0
1979-01-01,BZ,004,174.0
1978-01-01,BZ,004,132.0
1977-01-01,BZ,004,132.0
1976-01-01,BZ,004,113.0
1975-01-01,BZ,004,117.0
1974-01-01,BZ,004,96.0
1973-01-01,BZ,004,73.0
1972-01-01,BZ,004,44.0
1971-01-01,BZ,004,35.0
1970-01-01,BZ,004,27.0
2020-02-01,BZ,005,8.99
2020-01-01,BZ,005,8.98
2019-12-01,BZ,005,8.97
2019-11-01,BZ,005,9.0
2019-10-01,BZ,005,8.77
2019-09-01,BZ,005,9.04
2019-08-01,BZ,005,9.08
2019-07-01,BZ,005,9.09
2019-06-01,BZ,005,9.11
2019-05-01,BZ,005,9.19
2019-04-01,BZ,005,9.21
2019-03-01,BZ,005,9.21
2019-02-01,BZ,005,9.24
2019-01-01,BZ,005,8.89
2018-12-01,BZ,005,8.98
2018-11-01,BZ,005,8.96
2018-10-01,BZ,005,8.94
2018-09-01,BZ,005,8.96
2018-08-01,BZ,005,9.01
2018-07-01,BZ,005,9.27
2018-06-01,BZ,005,9.2
2018-05-01,BZ,005,9.23
2018-04-01,BZ,005,9.2
2018-03-01,BZ,005,9.13
2018-02-01,BZ,005,9.23
2018-01-01,BZ,005,9.27
2017-12-01,BZ,005,9.34
2017-11-01,BZ,005,9.29
2017-10-01,BZ,005,9.37
2017-09-01,BZ,005,9.39
2017-08-01,BZ,005,9.42
2017-07-01,BZ,005,9.52
2017-06-01,BZ,005,9.49
2017-05-01,BZ,005,9.48
2017-04-01,BZ,005,9.51
2017-03-01,BZ,005,9.51
2017-02-01,BZ,005,9.6
2017-01-01,BZ,005,9.63
2016-12-01,BZ,005,9.66
2016-11-01,BZ,005,9.7
2016-10-01,BZ,005,9.69
2016-09-01,BZ,005,9.85
2016-08-01,BZ,005,9.77
2016-07-01,BZ,005,9.81
2016-06-01,BZ,005,9.84
2016-05-01,BZ,005,9.92
2016-04-01,BZ,005,9.89
2016-03-01,BZ,005,9.93
2016-02-01,BZ,005,9.96
2016-01-01,BZ,005,10.07
2015-12-01,BZ,005,10.03
2015-11-01,BZ,005,10.13
2015-10-01,BZ,005,10.21
2015-09-01,BZ,005,10.26
2015-08-01,BZ,005,10.27
2015-07-01,BZ,005,10.33
2015-06-01,BZ,005,10.25
