date,country_code,indicator_code,value
2020-03-01,CA,001,-1010.7
2020-02-01,CA,001,30.3
2020-01-01,CA,001,34.5
2019-12-01,CA,001,27.3
2019-11-01,CA,001,-54.4
2019-10-01,CA,001,-3.2
2019-09-01,CA,001,41.6
2019-08-01,CA,001,75.4
2019-07-01,CA,001,-13.3
2019-06-01,CA,001,0.799999999999
2019-05-01,CA,001,8.8
2019-04-01,CA,001,97.7
2019-03-01,CA,001,-0.200000000001
2019-02-01,CA,001,52.7
2019-01-01,CA,001,66.7
2018-12-01,CA,001,9.7
2018-11-01,CA,001,99.6
2018-10-01,CA,001,16.0
2018-09-01,CA,001,58.9
2018-08-01,CA,001,-50.0
2018-07-01,CA,001,60.5
2018-06-01,CA,001,39.7
2018-05-01,CA,001,-4.9
2018-04-01,CA,001,-6.2
2018-03-01,CA,001,42.0
2018-02-01,CA,001,8.0
2018-01-01,CA,001,-73.9
2017-12-01,CA,001,64.8
2017-11-01,CA,001,63.7
2017-10-01,CA,001,29.4
2017-09-01,CA,001,-7.5
2017-08-01,CA,001,36.1
2017-07-01,CA,001,24.2
2017-06-01,CA,001,42.2
2017-05-01,CA,001,49.3
2017-04-01,CA,001,17.0
2017-03-01,CA,001,16.3
2017-02-01,CA,001,13.4
2017-01-01,CA,001,82.5
2016-12-01,CA,001,29.1
2016-11-01,CA,001,-16.6
2016-10-01,CA,001,34.0
2016-09-01,CA,001,58.5
2016-08-01,CA,001,44.4
2016-07-01,CA,001,-12.7
2016-06-01,CA,001,5.0
2016-05-01,CA,001,6.7
2016-04-01,CA,001,19.2
2016-03-01,CA,001,25.7
2016-02-01,CA,001,6.3
2016-01-01,CA,001,-1.3
2015-12-01,CA,001,9.0
2015-11-01,CA,001,-20.5
2015-10-01,CA,001,20.0
2015-09-01,CA,001,-3.3
2015-08-01,CA,001,14.1
2015-07-01,CA,001,27.3
2015-06-01,CA,001,7.3
2015-05-01,CA,001,43.1
2015-04-01,CA,001,-6.2
2015-03-01,CA,001,13.1
2015-02-01,CA,001,17.0
2015-01-01,CA,001,31.1
2014-12-01,CA,001,-15.8
2014-11-01,CA,001,-16.9
2014-10-01,CA,001,55.5
2014-09-01,CA,001,29.4
2014-08-01,CA,001,-16.1
2014-07-01,CA,001,32.7
2014-06-01,CA,001,25.3
2014-05-01,CA,001,-13.1
2014-04-01,CA,001,-8.4
2014-03-01,CA,001,16.1
2014-02-01,CA,001,8.5
2014-01-01,CA,001,11.0
2013-12-01,CA,001,-8.5
2013-11-01,CA,001,6.1
2013-10-01,CA,001,9.4
2013-09-01,CA,001,4.3
2013-08-01,CA,001,39.7
2013-07-01,CA,001,-4.2
2013-06-01,CA,001,5.9
2013-05-01,CA,001,39.5
2013-04-01,CA,001,32.9
2013-03-01,CA,001,-30.6
2013-02-01,CA,001,23.9
2013-01-01,CA,001,12.5
2012-12-01,CA,001,44.1
2012-11-01,CA,001,29.2
2012-10-01,CA,001,19.6
2012-09-01,CA,001,34.9
2012-08-01,CA,001,47.8
2012-07-01,CA,001,-23.6
2012-06-01,CA,001,23.4
2012-05-01,CA,001,-21.2
2012-04-01,CA,001,93.0
2012-03-01,CA,001,94.0
2012-02-01,CA,001,-2.3
2012-01-01,CA,001,-26.8
2011-12-01,CA,001,33.4
2011-11-01,CA,001,-5.5
2011-10-01,CA,001,-19.8
2011-09-01,CA,001,8.2
2011-08-01,CA,001,26.4
2011-07-01,CA,001,19.8
2011-06-01,CA,001,47.5
2011-05-01,CA,001,-17.2
2011-04-01,CA,001,36.3
2011-03-01,CA,001,22.9
2011-02-01,CA,001,-3.3
2011-01-01,CA,001,52.1
2010-12-01,CA,001,35.2
2010-11-01,CA,001,31.2
2010-10-01,CA,001,35.4
2010-09-01,CA,001,-35.4
2010-08-01,CA,001,14.3
2010-07-01,CA,001,-8.8
2010-06-01,CA,001,70.2
2010-05-01,CA,001,14.9
2010-04-01,CA,001,76.7
2010-03-01,CA,001,12.4
2010-02-01,CA,001,17.2
2010-01-01,CA,001,44.6
2009-12-01,CA,001,-15.3
2009-11-01,CA,001,80.6
2009-10-01,CA,001,7.7
2009-09-01,CA,001,27.8
2009-08-01,CA,001,8.3
2009-07-01,CA,001,0.5
2009-06-01,CA,001,-9.4
2009-05-01,CA,001,-26.0
2009-04-01,CA,001,-43.0
2009-03-01,CA,001,-18.3
2009-02-01,CA,001,-52.6
2009-01-01,CA,001,-124.8
2008-12-01,CA,001,-31.0
2008-11-01,CA,001,-121.4
2008-10-01,CA,001,28.6
2008-09-01,CA,001,61.3
2008-08-01,CA,001,18.8
2008-07-01,CA,001,-8.8
2008-06-01,CA,001,-6.7
2008-05-01,CA,001,5.0
2008-04-01,CA,001,19.6
2008-03-01,CA,001,-15.4
2008-02-01,CA,001,45.4
2008-01-01,CA,001,25.9
2007-12-01,CA,001,3.4
2007-11-01,CA,001,16.4
2007-10-01,CA,001,55.6
2007-09-01,CA,001,45.0
2007-08-01,CA,001,7.7
2007-07-01,CA,001,42.7
2007-06-01,CA,001,57.3
2007-05-01,CA,001,23.1
2007-04-01,CA,001,-15.0
2007-03-01,CA,001,48.1
2007-02-01,CA,001,21.1
2007-01-01,CA,001,54.0
2006-12-01,CA,001,64.3
