date,country_code,indicator_code,value
2003-01-01,CC,082,1.0
2003-01-01,CC,083,1.0
2003-01-01,CC,094,1.0
2003-01-01,CC,095,1.0
2019-01-01,CC,126,427.0
2018-01-01,CC,126,109.0
2017-01-01,CC,126,11.0
2016-01-01,CC,126,0.0
2015-12-01,CC,172,244.9
2015-11-01,CC,172,133.0
2015-10-01,CC,172,46.6
2015-09-01,CC,172,22.5
2015-08-01,CC,172,178.4
2015-07-01,CC,172,50.5
2015-06-01,CC,172,201.0
2015-05-01,CC,172,104.9
2015-04-01,CC,172,254.0
2015-03-01,CC,172,227.8
2015-02-01,CC,172,263.399
2015-01-01,CC,172,94.2
2014-12-01,CC,172,302.2
2014-11-01,CC,172,55.5
2014-10-01,CC,172,91.3
2014-09-01,CC,172,249.0
2014-08-01,CC,172,119.3
2014-07-01,CC,172,136.5
2014-06-01,CC,172,201.0
2014-05-01,CC,172,364.899
2014-04-01,CC,172,224.8
2014-03-01,CC,172,260.1
2014-02-01,CC,172,107.599
2014-01-01,CC,172,98.3
2013-12-01,CC,172,340.2
2013-11-01,CC,172,13.0
2013-10-01,CC,172,40.4
2013-09-01,CC,172,98.0999
2013-08-01,CC,172,71.5999
2013-07-01,CC,172,269.3
2013-06-01,CC,172,117.9
2013-05-01,CC,172,310.7
2013-04-01,CC,172,19.5
2013-03-01,CC,172,419.8
2013-02-01,CC,172,0.4
2013-01-01,CC,172,209.0
2012-12-01,CC,172,162.3
2012-11-01,CC,172,24.7
2012-10-01,CC,172,146.5
2012-09-01,CC,172,44.7999
2012-08-01,CC,172,15.0
2012-07-01,CC,172,158.3
2012-06-01,CC,172,204.3
2012-05-01,CC,172,91.3
2012-04-01,CC,172,194.9
2012-03-01,CC,172,205.0
2012-02-01,CC,172,190.0
2012-01-01,CC,172,149.8
2011-12-01,CC,172,205.5
2011-11-01,CC,172,14.4
2011-10-01,CC,172,87.0
2011-09-01,CC,172,44.5
2011-08-01,CC,172,49.6
2011-07-01,CC,172,160.9
2011-06-01,CC,172,99.5999
2011-05-01,CC,172,157.9
2011-04-01,CC,172,371.6
2011-03-01,CC,172,213.1
2011-02-01,CC,172,128.699
2011-01-01,CC,172,441.5
2010-12-01,CC,172,299.8
2010-11-01,CC,172,647.299
2010-10-01,CC,172,99.0
2010-09-01,CC,172,238.699
2010-08-01,CC,172,240.3
2010-07-01,CC,172,487.8
2010-06-01,CC,172,186.3
2010-05-01,CC,172,226.199
2010-04-01,CC,172,181.5
2010-03-01,CC,172,450.0
2010-02-01,CC,172,298.8
2010-01-01,CC,172,147.3
2009-12-01,CC,172,95.0999
2009-11-01,CC,172,20.3
2009-10-01,CC,172,37.2999
2009-09-01,CC,172,76.3
2009-08-01,CC,172,78.5
2009-07-01,CC,172,351.2
2009-06-01,CC,172,127.4
2009-05-01,CC,172,205.6
2009-04-01,CC,172,371.6
2009-03-01,CC,172,168.4
2009-02-01,CC,172,44.7
2009-01-01,CC,172,38.2999
2008-12-01,CC,172,22.7
2008-11-01,CC,172,117.0
2008-10-01,CC,172,54.0
2008-09-01,CC,172,125.099
2008-08-01,CC,172,62.1
2008-07-01,CC,172,65.5
2008-06-01,CC,172,178.199
2008-05-01,CC,172,94.8
2008-04-01,CC,172,271.8
2008-03-01,CC,172,249.199
2008-02-01,CC,172,135.1
2008-01-01,CC,172,66.4
2007-12-01,CC,172,169.8
2007-11-01,CC,172,144.699
2007-10-01,CC,172,66.8
2007-09-01,CC,172,28.3
2007-08-01,CC,172,55.9
2007-07-01,CC,172,48.7
2007-06-01,CC,172,69.2
2007-05-01,CC,172,141.4
2007-04-01,CC,172,297.5
2007-03-01,CC,172,280.3
2007-02-01,CC,172,186.5
2007-01-01,CC,172,104.7
2006-12-01,CC,172,11.2
2006-11-01,CC,172,10.8
2006-10-01,CC,172,15.5
2006-09-01,CC,172,26.0
2006-08-01,CC,172,28.1
2006-07-01,CC,172,169.199
2006-06-01,CC,172,76.8
2006-05-01,CC,172,153.4
2006-04-01,CC,172,343.1
2006-03-01,CC,172,84.0999
2006-02-01,CC,172,274.7
2006-01-01,CC,172,1.8
2005-12-01,CC,172,103.4
2005-11-01,CC,172,168.199
2005-10-01,CC,172,338.8
2005-09-01,CC,172,65.8
