date,country_code,indicator_code,value
1989-01-01,CD,001,0.0
1988-01-01,CD,001,0.0
1982-01-01,CD,001,0.0
1981-01-01,CD,001,0.0
1980-01-01,CD,001,0.0
1979-01-01,CD,001,0.0
1978-01-01,CD,001,0.0
1977-01-01,CD,001,0.0
1976-01-01,CD,001,0.0
1975-01-01,CD,001,0.0
1974-01-01,CD,001,0.0
1973-01-01,CD,001,0.0
1972-01-01,CD,001,0.0
2012-01-01,CD,002,4.5
2005-01-01,CD,002,2.8
2018-01-01,CD,004,26118399.0
2017-01-01,CD,004,17253455.0
2016-01-01,CD,004,12300354.0
2015-01-01,CD,004,9684871.0
2014-01-01,CD,004,11690407.0
2013-01-01,CD,004,11533794.0
2012-01-01,CD,004,8840601.0
2011-01-01,CD,004,10535851.0
2010-01-01,CD,004,9159562.0
2009-01-01,CD,004,4188792.0
2008-01-01,CD,004,3991202.0
2007-01-01,CD,004,3376934.0
2006-01-01,CD,004,1420807.0
2005-01-01,CD,004,1134473.0
2004-01-01,CD,004,803015.0
2003-01-01,CD,004,607815.0
2002-01-01,CD,004,405612.0
2001-01-01,CD,004,295817.0
2000-01-01,CD,004,66519.0
1999-01-01,CD,004,12249.0
1998-01-01,CD,004,2699.0
1997-01-01,CD,004,1494.0
1996-01-01,CD,004,684.0
1995-01-01,CD,004,126.0
1994-01-01,CD,004,16.0
1993-01-01,CD,004,0.0
1992-01-01,CD,004,0.0
1991-01-01,CD,004,0.0
1990-01-01,CD,004,0.0
1989-01-01,CD,004,998.0
1988-01-01,CD,004,505.0
1987-01-01,CD,004,206.0
1986-01-01,CD,004,125.0
1985-01-01,CD,004,106.0
1984-01-01,CD,004,77.0
1983-01-01,CD,004,23.0
1982-01-01,CD,004,10.0
1981-01-01,CD,004,8.0
1980-01-01,CD,004,6.0
1979-01-01,CD,004,3.0
1978-01-01,CD,004,1.0
1977-01-01,CD,004,1.0
1976-01-01,CD,004,1.0
1975-01-01,CD,004,1.0
1974-01-01,CD,004,1.0
1973-01-01,CD,004,1.0
1972-01-01,CD,004,0.0
1971-01-01,CD,004,0.0
1970-01-01,CD,004,0.0
1969-01-01,CD,004,0.0
1968-01-01,CD,004,0.0
1966-01-01,CD,004,0.0
1964-01-01,CD,004,0.0
1962-01-01,CD,004,0.0
1961-01-01,CD,004,0.0
1959-01-01,CD,004,0.0
1958-01-01,CD,004,0.0
1957-01-01,CD,004,0.0
1956-01-01,CD,004,0.0
1955-01-01,CD,004,0.0
1954-01-01,CD,004,0.0
1953-01-01,CD,004,0.0
1952-01-01,CD,004,0.0
1951-01-01,CD,004,0.0
1950-01-01,CD,004,0.0
2019-10-01,CD,005,26.75
