date,country_code,indicator_code,value
1992-01-01,CF,001,2.019
1991-01-01,CF,001,-3.003
1990-01-01,CF,001,1.138
1989-01-01,CF,001,-2.802
1988-01-01,CF,001,-1.112
1987-01-01,CF,001,0.135
1986-01-01,CF,001,-1.095
2018-01-01,CF,004,-346607.0
2017-01-01,CF,004,-272240.0
2016-01-01,CF,004,-225895.0
2015-01-01,CF,004,-190591.0
2014-01-01,CF,004,-184716.0
2013-01-01,CF,004,-70624.0
2012-01-01,CF,004,-127633.0
2011-01-01,CF,004,-94439.0
2010-01-01,CF,004,-118512.0
2009-01-01,CF,004,-114835.0
2008-01-01,CF,004,-110512.0
2007-01-01,CF,004,-76072.0
2006-01-01,CF,004,-59294.0
2005-01-01,CF,004,-58870.0
2004-01-01,CF,004,-35213.0
2003-01-01,CF,004,1595.0
2002-01-01,CF,004,-28905.0
2001-01-01,CF,004,-36995.0
2000-01-01,CF,004,-32004.0
1999-01-01,CF,004,-29323.0
1998-01-01,CF,004,-32733.0
1997-01-01,CF,004,-11220.0
1996-01-01,CF,004,-21362.0
1995-01-01,CF,004,-33594.0
1994-01-01,CF,004,-7652.0
1993-01-01,CF,004,-20964.0
1992-01-01,CF,004,-35495.0
1991-01-01,CF,004,-33168.0
1990-01-01,CF,004,-34550.0
1989-01-01,CF,004,-24245.0
1988-01-01,CF,004,-27537.0
1987-01-01,CF,004,-38643.0
1986-01-01,CF,004,-40560.0
1985-01-01,CF,004,-37407.0
1984-01-01,CF,004,-33744.0
1983-01-01,CF,004,-31293.0
1982-01-01,CF,004,-29623.0
1981-01-01,CF,004,-18269.0
1980-01-01,CF,004,-26707.0
1979-01-01,CF,004,-18932.0
1978-01-01,CF,004,-14419.0
1977-01-01,CF,004,-11367.0
1976-01-01,CF,004,-7697.0
1975-01-01,CF,004,-15248.0
1974-01-01,CF,004,-10566.0
1973-01-01,CF,004,-4756.0
1972-01-01,CF,004,-5154.0
1971-01-01,CF,004,-4229.0
1970-01-01,CF,004,-5030.0
1969-01-01,CF,004,-5017.0
1968-01-01,CF,004,-2525.0
1967-01-01,CF,004,-8300.0
1966-01-01,CF,004,-5500.0
1965-01-01,CF,004,-3900.0
1964-01-01,CF,004,-4300.0
1963-01-01,CF,004,-4200.0
1962-01-01,CF,004,-4000.0
1961-01-01,CF,004,-2800.0
1960-01-01,CF,004,-3000.0
2019-03-01,CF,007,61759.0
2019-02-01,CF,007,72520.0
2019-01-01,CF,007,67364.0
2018-12-01,CF,007,79767.0
2018-11-01,CF,007,75669.0
2018-10-01,CF,007,71269.0
2018-09-01,CF,007,89947.0
2018-08-01,CF,007,110954.0
2018-07-01,CF,007,105170.0
2018-06-01,CF,007,96725.0
2018-05-01,CF,007,74956.0
2018-04-01,CF,007,91355.0
2018-03-01,CF,007,82952.0
2018-02-01,CF,007,83763.0
2018-01-01,CF,007,96580.0
2017-12-01,CF,007,103680.0
2017-11-01,CF,007,91516.0
2017-10-01,CF,007,96119.0
