date,country_code,indicator_code,value
2018-01-01,CG,004,5395167.0
2017-01-01,CG,004,3801788.0
2016-01-01,CG,004,2725702.0
2015-01-01,CG,004,3003645.0
2014-01-01,CG,004,4701156.0
2013-01-01,CG,004,4695173.0
2012-01-01,CG,004,5246683.0
2011-01-01,CG,004,5430763.0
2010-01-01,CG,004,4458267.0
2009-01-01,CG,004,2948540.0
2008-01-01,CG,004,3706106.0
2007-01-01,CG,004,2809038.0
2006-01-01,CG,004,3266801.0
2005-01-01,CG,004,2629880.0
2004-01-01,CG,004,1917965.0
2003-01-01,CG,004,1664867.0
2002-01-01,CG,004,1593157.0
2001-01-01,CG,004,1612041.0
2000-01-01,CG,004,1871282.0
1999-01-01,CG,004,1150132.0
1998-01-01,CG,004,786492.0
1997-01-01,CG,004,1115331.0
1996-01-01,CG,004,898559.0
1995-01-01,CG,004,586571.0
1994-01-01,CG,004,574848.0
1993-01-01,CG,004,325599.0
1992-01-01,CG,004,315933.0
1991-01-01,CG,004,320045.0
1990-01-01,CG,004,394500.0
1989-01-01,CG,004,400352.0
1988-01-01,CG,004,340350.0
1987-01-01,CG,004,325683.0
1986-01-01,CG,004,311647.0
1985-01-01,CG,004,298217.0
1984-01-01,CG,004,285365.0
1983-01-01,CG,004,273067.0
1982-01-01,CG,004,261299.0
1981-01-01,CG,004,250038.0
1980-01-01,CG,004,239263.0
1979-01-01,CG,004,141706.0
1978-01-01,CG,004,92583.0
1977-01-01,CG,004,83164.0
1976-01-01,CG,004,79383.0
1975-01-01,CG,004,74126.0
1974-01-01,CG,004,69724.0
1973-01-01,CG,004,53755.0
1972-01-01,CG,004,48946.0
1971-01-01,CG,004,42400.0
1970-01-01,CG,004,38569.0
1969-01-01,CG,004,22100.0
1968-01-01,CG,004,18900.0
1967-01-01,CG,004,17800.0
1966-01-01,CG,004,23300.0
1965-01-01,CG,004,24900.0
1964-01-01,CG,004,24700.0
1963-01-01,CG,004,21900.0
1962-01-01,CG,004,17700.0
1961-01-01,CG,004,10300.0
1960-01-01,CG,004,9400.0
1955-01-01,CG,004,3800.0
2008-04-01,CG,005,15.0
2008-01-01,CG,005,15.0
2007-10-01,CG,005,15.0
2007-07-01,CG,005,15.0
