date,country_code,indicator_code,value
2020-01-01,CI,001,231.36
2019-01-01,CI,001,224.9
2018-01-01,CI,001,225.46
2017-01-01,CI,001,157.15
2016-01-01,CI,001,187.71
2015-01-01,CI,001,193.0
2014-01-01,CI,001,189.09
2013-01-01,CI,001,351.53
2012-01-01,CI,001,107.28
2011-01-01,CI,001,104.13
2010-01-01,CI,001,90.01
2009-01-01,CI,001,69.54
2008-01-01,CI,001,89.86
2007-01-01,CI,001,87.9
2006-01-01,CI,001,80.23
2005-01-01,CI,001,66.85
2004-01-01,CI,001,60.56
2003-01-01,CI,001,55.66
2002-01-01,CI,001,56.22
2001-01-01,CI,001,66.36
2000-01-01,CI,001,113.58
1999-01-01,CI,001,116.04
1998-01-01,CI,001,159.17
1997-01-01,CI,001,161.44
1996-01-01,CI,001,153.8
1995-01-01,CI,001,213.52
1994-01-01,CI,001,218.01
1993-01-01,CI,001,209.49
1992-01-01,CI,001,157.18
1966-01-01,CI,002,110.63
1965-01-01,CI,002,100.0
1964-01-01,CI,002,91.88
1963-01-01,CI,002,86.88
1962-01-01,CI,002,81.88
1961-01-01,CI,002,80.78
1960-01-01,CI,002,71.09
1959-01-01,CI,002,62.34
1958-01-01,CI,002,60.0
1957-01-01,CI,002,58.75
1956-01-01,CI,002,62.5
1955-01-01,CI,002,56.88
2018-01-01,CI,004,7121411.0
2017-01-01,CI,004,7449016.0
2016-01-01,CI,004,6990893.0
2015-01-01,CI,004,7390982.0
2014-01-01,CI,004,6857748.0
2013-01-01,CI,004,6414786.0
2012-01-01,CI,004,6692155.0
2011-01-01,CI,004,6449568.0
2010-01-01,CI,004,6240333.0
2009-01-01,CI,004,5829699.0
2008-01-01,CI,004,5111172.0
2007-01-01,CI,004,4604547.0
2006-01-01,CI,004,4874327.0
2005-01-01,CI,004,4488048.0
2004-01-01,CI,004,4058332.0
2003-01-01,CI,004,3700590.0
2002-01-01,CI,004,4084447.0
2001-01-01,CI,004,3257984.0
2000-01-01,CI,004,3111701.0
1999-01-01,CI,004,3231183.0
1998-01-01,CI,004,3080096.0
1997-01-01,CI,004,2936248.0
1996-01-01,CI,004,2563626.0
1995-01-01,CI,004,2320629.0
1994-01-01,CI,004,1893272.0
1993-01-01,CI,004,932030.0
1992-01-01,CI,004,997022.0
1991-01-01,CI,004,899151.0
1990-01-01,CI,004,942773.0
1989-01-01,CI,004,1009167.0
1988-01-01,CI,004,924353.0
1987-01-01,CI,004,1025765.0
1986-01-01,CI,004,1271807.0
1985-01-01,CI,004,1413805.0
1984-01-01,CI,004,1302879.0
1983-01-01,CI,004,951173.0
1982-01-01,CI,004,918989.0
1981-01-01,CI,004,846927.0
1980-01-01,CI,004,794547.0
