date,country_code,indicator_code,value
2019-07-01,CK,034,131.720288
2019-04-01,CK,034,131.214038
2019-01-01,CK,034,130.727254
2018-10-01,CK,034,130.125687
2018-07-01,CK,034,130.06159
2018-04-01,CK,034,130.957408
2018-01-01,CK,034,131.460855
2017-10-01,CK,034,130.360484
2017-07-01,CK,034,131.015784
2017-04-01,CK,034,130.586957
2017-01-01,CK,034,130.084896
2016-10-01,CK,034,129.812399
2016-07-01,CK,034,131.336154
2016-04-01,CK,034,130.958695
2016-01-01,CK,034,130.461846
2015-10-01,CK,034,130.721933
2015-07-01,CK,034,130.431317
2015-04-01,CK,034,132.268121
2015-01-01,CK,034,130.53022
2014-10-01,CK,034,129.785139
2014-07-01,CK,034,130.232174
2014-04-01,CK,034,128.116378
2014-01-01,CK,034,125.992458
2013-10-01,CK,034,126.507325
2013-07-01,CK,034,126.756516
2013-04-01,CK,034,125.380554
2013-01-01,CK,034,124.852613
2012-10-01,CK,034,124.381809
2012-07-01,CK,034,124.955217
2012-04-01,CK,034,122.919838
2012-01-01,CK,034,121.97
2011-10-01,CK,034,120.898899
2011-07-01,CK,034,121.110973
2011-04-01,CK,034,120.654478
2011-01-01,CK,034,117.257303
2010-10-01,CK,034,117.033947
2010-07-01,CK,034,118.853075
2010-04-01,CK,034,118.202597
2010-01-01,CK,034,115.519507
2009-10-01,CK,034,118.7025
2009-07-01,CK,034,118.517863
2009-04-01,CK,034,118.050002
2009-01-01,CK,034,115.520228
2008-10-01,CK,034,113.79989
2008-07-01,CK,034,115.247536
2008-04-01,CK,034,106.235678
2008-01-01,CK,034,106.13942
2007-10-01,CK,034,104.229605
2007-07-01,CK,034,103.106489
2007-04-01,CK,034,101.830604
2007-01-01,CK,034,100.211723
2006-10-01,CK,034,100.0
2006-07-01,CK,034,100.403988
2006-04-01,CK,034,100.108626
2006-01-01,CK,034,98.753884
2005-10-01,CK,034,98.289956
2005-07-01,CK,034,96.469566
2005-04-01,CK,034,96.298595
2005-01-01,CK,034,95.218037
2019-07-01,CK,046,114.986264
2019-04-01,CK,046,114.472527
2019-01-01,CK,046,115.722789
2018-10-01,CK,046,115.632448
2018-07-01,CK,046,115.614601
2018-04-01,CK,046,114.841014
2018-01-01,CK,046,114.607547
2017-10-01,CK,046,115.035549
2017-07-01,CK,046,116.534225
2017-04-01,CK,046,116.428447
2017-01-01,CK,046,116.482952
2016-10-01,CK,046,116.253517
2016-07-01,CK,046,117.301434
2016-04-01,CK,046,116.79265
2016-01-01,CK,046,116.92357
2015-10-01,CK,046,116.808455
2015-07-01,CK,046,116.941642
2015-04-01,CK,046,118.844064
2015-01-01,CK,046,118.880758
2014-10-01,CK,046,118.795779
2014-07-01,CK,046,118.775137
2014-04-01,CK,046,118.977552
2014-01-01,CK,046,118.1015
2013-10-01,CK,046,118.683904
2013-07-01,CK,046,118.860485
2013-04-01,CK,046,118.960424
2013-01-01,CK,046,118.662277
2012-10-01,CK,046,118.555818
2012-07-01,CK,046,117.795727
2012-04-01,CK,046,117.028379
2012-01-01,CK,046,115.48
2011-10-01,CK,046,114.922424
2011-07-01,CK,046,114.419387
2011-04-01,CK,046,111.530902
2011-01-01,CK,046,106.9808
2010-10-01,CK,046,106.880879
2010-07-01,CK,046,106.884735
2010-04-01,CK,046,106.356074
2010-01-01,CK,046,106.318306
2009-10-01,CK,046,113.977078
2009-07-01,CK,046,114.096523
2009-04-01,CK,046,114.012686
2009-01-01,CK,046,114.274895
2008-10-01,CK,046,117.748746
2008-07-01,CK,046,119.475238
2008-04-01,CK,046,108.231383
2008-01-01,CK,046,110.464049
2007-10-01,CK,046,107.588734
2007-07-01,CK,046,105.703587
2007-04-01,CK,046,105.878516
2007-01-01,CK,046,99.112656
2006-10-01,CK,046,100.0
2006-07-01,CK,046,99.452192
2006-04-01,CK,046,100.343218
2006-01-01,CK,046,95.695529
2005-10-01,CK,046,95.741601
2005-07-01,CK,046,93.972899
2005-04-01,CK,046,93.949906
2005-01-01,CK,046,90.186522
2019-07-01,CK,047,126.520473
2019-04-01,CK,047,125.536107
2019-01-01,CK,047,125.040513
2018-10-01,CK,047,125.199474
2018-07-01,CK,047,126.360396
2018-04-01,CK,047,132.271473
2018-01-01,CK,047,134.846795
2017-10-01,CK,047,125.161908
2017-07-01,CK,047,127.373715
2017-04-01,CK,047,124.84169
2017-01-01,CK,047,122.759589
2016-10-01,CK,047,122.054442
2016-07-01,CK,047,126.648014
2016-04-01,CK,047,124.764192
2016-01-01,CK,047,124.225761
2015-10-01,CK,047,126.217748
2015-07-01,CK,047,128.644334
2015-04-01,CK,047,136.013285
2015-01-01,CK,047,128.956205
2014-10-01,CK,047,124.342916
2014-07-01,CK,047,127.055014
2014-04-01,CK,047,127.702332
2014-01-01,CK,047,122.49092
2013-10-01,CK,047,124.805342
2013-07-01,CK,047,128.244063
2013-04-01,CK,047,127.108106
2013-01-01,CK,047,125.869549
2012-10-01,CK,047,126.434016
2012-07-01,CK,047,132.185453
2012-04-01,CK,047,129.302744
2012-01-01,CK,047,123.8
2011-10-01,CK,047,124.185508
2011-07-01,CK,047,127.683634
2011-04-01,CK,047,130.238437
2011-01-01,CK,047,116.867817
2010-10-01,CK,047,117.66702
2010-07-01,CK,047,128.97346
2010-04-01,CK,047,125.818223
2010-01-01,CK,047,110.99617
2009-10-01,CK,047,123.42696
2009-07-01,CK,047,129.482691
2009-04-01,CK,047,128.324576
2009-01-01,CK,047,118.83613
2008-10-01,CK,047,116.685715
2008-07-01,CK,047,130.375457
2008-04-01,CK,047,110.464357
2008-01-01,CK,047,111.477858
2007-10-01,CK,047,109.52079
2007-07-01,CK,047,106.816872
2007-04-01,CK,047,100.247608
2007-01-01,CK,047,99.300865
2006-10-01,CK,047,100.0
2006-07-01,CK,047,103.043248
2006-04-01,CK,047,100.714441
2006-01-01,CK,047,99.127747
2005-10-01,CK,047,100.161024
2005-07-01,CK,047,97.707673
2005-04-01,CK,047,97.423118
2005-01-01,CK,047,96.51996
2019-05-01,CK,048,0.0
2019-04-01,CK,048,0.0
2019-03-01,CK,048,0.0
2019-02-01,CK,048,0.0
2019-01-01,CK,048,0.0
2018-12-01,CK,048,0.0
2018-11-01,CK,048,0.0
2018-10-01,CK,048,0.0
2018-09-01,CK,048,0.0
2018-08-01,CK,048,0.0
2018-07-01,CK,048,0.0
2018-06-01,CK,048,0.0
2018-05-01,CK,048,0.0
2018-04-01,CK,048,0.0
2018-03-01,CK,048,0.0
2018-02-01,CK,048,0.0
2018-01-01,CK,048,0.0
2017-12-01,CK,048,0.0
2017-11-01,CK,048,0.0
2017-10-01,CK,048,0.0
2017-09-01,CK,048,0.0
2017-08-01,CK,048,0.0
2017-07-01,CK,048,0.0
2017-06-01,CK,048,0.0
2017-05-01,CK,048,0.0
2017-04-01,CK,048,0.0
2017-03-01,CK,048,0.0
2017-02-01,CK,048,0.0
2017-01-01,CK,048,0.0
2016-12-01,CK,048,0.0
2016-11-01,CK,048,0.0
2016-10-01,CK,048,0.0
2016-09-01,CK,048,0.0
2016-08-01,CK,048,0.0
2016-07-01,CK,048,0.0
2016-06-01,CK,048,0.0
2016-05-01,CK,048,0.0
2016-04-01,CK,048,0.0
2016-03-01,CK,048,0.0
2016-02-01,CK,048,0.0
2016-01-01,CK,048,0.0
2015-12-01,CK,048,0.0
2015-11-01,CK,048,0.0
2015-10-01,CK,048,0.0
2015-09-01,CK,048,0.0
2015-08-01,CK,048,0.0
2015-07-01,CK,048,0.0
2015-06-01,CK,048,0.0
2015-05-01,CK,048,0.0
2015-04-01,CK,048,0.0
2015-03-01,CK,048,0.0
2015-02-01,CK,048,0.0
2015-01-01,CK,048,0.0
2014-12-01,CK,048,0.0
2014-11-01,CK,048,0.0
2014-10-01,CK,048,0.0
2014-09-01,CK,048,0.0
2014-08-01,CK,048,0.0
2014-07-01,CK,048,0.0
2014-06-01,CK,048,0.0
2014-05-01,CK,048,0.0
2014-04-01,CK,048,0.0
2014-03-01,CK,048,0.0
2014-02-01,CK,048,0.0
2014-01-01,CK,048,0.0
2013-12-01,CK,048,0.0
2013-11-01,CK,048,0.0
2013-10-01,CK,048,0.0
2013-09-01,CK,048,0.0
2013-08-01,CK,048,0.0
2013-07-01,CK,048,0.0
2013-06-01,CK,048,0.0
2013-05-01,CK,048,0.0
2013-04-01,CK,048,0.0
2013-03-01,CK,048,0.0
2013-02-01,CK,048,0.0
2013-01-01,CK,048,0.0
2012-12-01,CK,048,0.0
2012-11-01,CK,048,0.0
2012-10-01,CK,048,0.0
2012-09-01,CK,048,0.0
2012-08-01,CK,048,0.0
2012-07-01,CK,048,0.0
2012-06-01,CK,048,0.0
2012-05-01,CK,048,0.0
2012-04-01,CK,048,0.0
2012-03-01,CK,048,0.0
2012-02-01,CK,048,0.0
2012-01-01,CK,048,0.0
2011-12-01,CK,048,0.0
2011-11-01,CK,048,0.0
2011-10-01,CK,048,0.0
2011-09-01,CK,048,0.0
2011-08-01,CK,048,0.0
2011-07-01,CK,048,0.0
2011-06-01,CK,048,0.0
2011-05-01,CK,048,0.0
2011-04-01,CK,048,0.0
2011-03-01,CK,048,0.0
2011-02-01,CK,048,0.0
2011-01-01,CK,048,0.0
2010-12-01,CK,048,0.0
2010-11-01,CK,048,0.0
2010-10-01,CK,048,0.0
2010-09-01,CK,048,0.0
2010-08-01,CK,048,0.0
2010-07-01,CK,048,0.0
2010-06-01,CK,048,0.0
2010-05-01,CK,048,0.0
2010-04-01,CK,048,0.0
2010-03-01,CK,048,0.0
2010-02-01,CK,048,0.0
2010-01-01,CK,048,0.0
2009-12-01,CK,048,0.0
2009-11-01,CK,048,0.0
2009-10-01,CK,048,0.0
2009-09-01,CK,048,0.0
2009-08-01,CK,048,0.0
2009-07-01,CK,048,0.0
2009-06-01,CK,048,0.0
2009-05-01,CK,048,0.0
2009-04-01,CK,048,0.0
2009-03-01,CK,048,0.0
2009-02-01,CK,048,0.0
2009-01-01,CK,048,0.0
2008-12-01,CK,048,0.0
2008-11-01,CK,048,0.0
2008-10-01,CK,048,0.0
2008-09-01,CK,048,0.0
2008-08-01,CK,048,0.0
2008-07-01,CK,048,0.0
2008-06-01,CK,048,0.0
2008-05-01,CK,048,0.0
2008-04-01,CK,048,0.0
2008-03-01,CK,048,0.0
2008-02-01,CK,048,0.0
2008-01-01,CK,048,0.0
2007-12-01,CK,048,0.0
2007-11-01,CK,048,0.0
2007-10-01,CK,048,0.0
2007-09-01,CK,048,0.0
2007-08-01,CK,048,0.0
2007-07-01,CK,048,0.0
2007-06-01,CK,048,0.0
2007-05-01,CK,048,0.0
2007-04-01,CK,048,0.0
2007-03-01,CK,048,0.0
2007-02-01,CK,048,0.0
2007-01-01,CK,048,0.0
2006-12-01,CK,048,0.0
2006-11-01,CK,048,0.0
2006-10-01,CK,048,0.0
2006-09-01,CK,048,0.0
2006-08-01,CK,048,0.0
2006-07-01,CK,048,0.0
2006-06-01,CK,048,0.0
2006-05-01,CK,048,0.0
2006-04-01,CK,048,0.0
2006-03-01,CK,048,0.0
2006-02-01,CK,048,0.0
2006-01-01,CK,048,0.0
2005-12-01,CK,048,0.0
2005-11-01,CK,048,0.0
2005-10-01,CK,048,0.0
2005-09-01,CK,048,0.0
2005-08-01,CK,048,0.0
2005-07-01,CK,048,0.0
2005-06-01,CK,048,0.0
2005-05-01,CK,048,0.0
2005-04-01,CK,048,0.0
2005-03-01,CK,048,0.0
2005-02-01,CK,048,0.0
2005-01-01,CK,048,0.0
2004-12-01,CK,048,0.0
2004-11-01,CK,048,0.0
2004-10-01,CK,048,0.0
2004-09-01,CK,048,0.0
2004-08-01,CK,048,0.0
2004-07-01,CK,048,0.0
2004-06-01,CK,048,0.0
2004-05-01,CK,048,0.0
2004-04-01,CK,048,0.0
2004-03-01,CK,048,0.0
2004-02-01,CK,048,0.0
2004-01-01,CK,048,0.0
2003-12-01,CK,048,0.0
2003-11-01,CK,048,0.0
2003-10-01,CK,048,0.0
2003-09-01,CK,048,0.0
2003-08-01,CK,048,0.0
2003-07-01,CK,048,0.0
2003-06-01,CK,048,0.0
2003-05-01,CK,048,0.0
2003-04-01,CK,048,0.0
2003-03-01,CK,048,0.0
2003-02-01,CK,048,0.0
2003-01-01,CK,048,0.0
2002-12-01,CK,048,0.0
2002-11-01,CK,048,0.0
2002-10-01,CK,048,0.0
2002-09-01,CK,048,0.0
2002-08-01,CK,048,0.0
2002-07-01,CK,048,0.0
2002-06-01,CK,048,0.0
2002-05-01,CK,048,0.0
2002-04-01,CK,048,0.0
2002-03-01,CK,048,0.0
2002-02-01,CK,048,0.0
2002-01-01,CK,048,0.0
2001-12-01,CK,048,0.0
2001-11-01,CK,048,0.0
2001-10-01,CK,048,0.0
2001-09-01,CK,048,0.0
2001-08-01,CK,048,0.0
2001-07-01,CK,048,0.0
2001-06-01,CK,048,0.0
2001-05-01,CK,048,0.0
2001-04-01,CK,048,0.0
2001-03-01,CK,048,0.0
2001-02-01,CK,048,0.0
2001-01-01,CK,048,0.0
2000-12-01,CK,048,0.0
2000-11-01,CK,048,0.0
2000-10-01,CK,048,0.0
2000-09-01,CK,048,0.0
2000-08-01,CK,048,0.0
2000-07-01,CK,048,0.0
2000-06-01,CK,048,0.0
2000-05-01,CK,048,0.0
2000-04-01,CK,048,0.0
2000-03-01,CK,048,0.0
2000-02-01,CK,048,0.0
2000-01-01,CK,048,0.0
1999-12-01,CK,048,0.0
1999-11-01,CK,048,0.0
1999-10-01,CK,048,0.0
1999-09-01,CK,048,0.0
1999-08-01,CK,048,0.0
1999-07-01,CK,048,0.0
1999-06-01,CK,048,0.0
1999-05-01,CK,048,0.0
1999-04-01,CK,048,0.0
1999-03-01,CK,048,0.0
1999-02-01,CK,048,0.0
1999-01-01,CK,048,0.0
1998-12-01,CK,048,0.0
1998-11-01,CK,048,0.0
1998-10-01,CK,048,0.0
1998-09-01,CK,048,0.0
1998-08-01,CK,048,0.0
1998-07-01,CK,048,0.0
1998-06-01,CK,048,0.0
1998-05-01,CK,048,0.0
1998-04-01,CK,048,0.0
1998-03-01,CK,048,0.0
1998-02-01,CK,048,0.0
1998-01-01,CK,048,0.0
1997-12-01,CK,048,0.0
1997-11-01,CK,048,0.0
1997-10-01,CK,048,0.0
1997-09-01,CK,048,0.0
1997-08-01,CK,048,0.0
1997-07-01,CK,048,0.0
1997-06-01,CK,048,0.0
1997-05-01,CK,048,0.0
1997-04-01,CK,048,0.0
1997-03-01,CK,048,0.0
1997-02-01,CK,048,0.0
1997-01-01,CK,048,0.0
1996-12-01,CK,048,0.0
1996-11-01,CK,048,0.0
1996-10-01,CK,048,0.0
1996-09-01,CK,048,0.0
1996-08-01,CK,048,0.0
1996-07-01,CK,048,0.0
1996-06-01,CK,048,0.0
1996-05-01,CK,048,0.0
1996-04-01,CK,048,0.0
1996-03-01,CK,048,0.0
1996-02-01,CK,048,0.0
1996-01-01,CK,048,0.0
1995-12-01,CK,048,0.0
1995-11-01,CK,048,0.0
1995-10-01,CK,048,0.0
1995-09-01,CK,048,0.0
1995-08-01,CK,048,0.0
1995-07-01,CK,048,0.0
1995-06-01,CK,048,0.0
1995-05-01,CK,048,0.0
1995-04-01,CK,048,0.0
1995-03-01,CK,048,0.0
1995-02-01,CK,048,0.0
1995-01-01,CK,048,0.0
1994-12-01,CK,048,0.0
1994-11-01,CK,048,0.0
1994-10-01,CK,048,0.0
1994-09-01,CK,048,0.0
1994-08-01,CK,048,0.0
1994-07-01,CK,048,0.0
1994-06-01,CK,048,0.0
1994-05-01,CK,048,0.0
1994-04-01,CK,048,0.0
1994-03-01,CK,048,0.0
1994-02-01,CK,048,0.0
1994-01-01,CK,048,0.0
1993-12-01,CK,048,0.0
1993-11-01,CK,048,0.0
1993-10-01,CK,048,0.0
1993-09-01,CK,048,0.0
1993-08-01,CK,048,0.0
1993-07-01,CK,048,0.0
1993-06-01,CK,048,0.0
1993-05-01,CK,048,0.0
1993-04-01,CK,048,0.0
1993-03-01,CK,048,0.0
1993-02-01,CK,048,0.0
1993-01-01,CK,048,0.0
1992-12-01,CK,048,0.0
1992-11-01,CK,048,0.0
1992-10-01,CK,048,0.0
1992-09-01,CK,048,0.0
1992-08-01,CK,048,0.0
1992-07-01,CK,048,0.0
1992-06-01,CK,048,0.0
1992-05-01,CK,048,0.0
1992-04-01,CK,048,0.0
1992-03-01,CK,048,0.0
1992-02-01,CK,048,0.0
1992-01-01,CK,048,0.0
1991-12-01,CK,048,0.0
1991-11-01,CK,048,0.0
1991-10-01,CK,048,0.0
1991-09-01,CK,048,0.0
1991-08-01,CK,048,0.0
1991-07-01,CK,048,0.0
1991-06-01,CK,048,0.0
1991-05-01,CK,048,0.0
1991-04-01,CK,048,0.0
1991-03-01,CK,048,0.0
1991-02-01,CK,048,0.0
1991-01-01,CK,048,0.0
1990-12-01,CK,048,0.0
1990-11-01,CK,048,0.0
1990-10-01,CK,048,0.0
1990-09-01,CK,048,0.0
1990-08-01,CK,048,0.0
1990-07-01,CK,048,0.0
1990-06-01,CK,048,0.0
1990-05-01,CK,048,0.0
1990-04-01,CK,048,0.0
1990-03-01,CK,048,0.0
1990-02-01,CK,048,0.0
1990-01-01,CK,048,0.0
1989-12-01,CK,048,0.0
1989-11-01,CK,048,0.0
1989-10-01,CK,048,0.0
1989-09-01,CK,048,0.0
1989-08-01,CK,048,0.0
1989-07-01,CK,048,0.0
1989-06-01,CK,048,0.0
1989-05-01,CK,048,0.0
1989-04-01,CK,048,0.0
1989-03-01,CK,048,0.0
1989-02-01,CK,048,0.0
1989-01-01,CK,048,0.0
1988-12-01,CK,048,0.0
1988-11-01,CK,048,0.0
1988-10-01,CK,048,0.0
1988-09-01,CK,048,0.0
1988-08-01,CK,048,0.0
1988-07-01,CK,048,0.0
1988-06-01,CK,048,0.0
1988-05-01,CK,048,0.0
1988-04-01,CK,048,0.0
1988-03-01,CK,048,0.0
1988-02-01,CK,048,0.0
1988-01-01,CK,048,0.0
1987-12-01,CK,048,0.0
1987-11-01,CK,048,0.0
1987-10-01,CK,048,0.0
1987-09-01,CK,048,0.0
1987-08-01,CK,048,0.0
1987-07-01,CK,048,0.0
1987-06-01,CK,048,0.0
1987-05-01,CK,048,0.0
1987-04-01,CK,048,0.0
1987-03-01,CK,048,0.0
1987-02-01,CK,048,0.0
1987-01-01,CK,048,0.0
1986-12-01,CK,048,0.0
1986-11-01,CK,048,0.0
1986-10-01,CK,048,0.0
1986-09-01,CK,048,0.0
1986-08-01,CK,048,0.0
1986-07-01,CK,048,0.0
1986-06-01,CK,048,0.0
1986-05-01,CK,048,0.0
1986-04-01,CK,048,0.0
1986-03-01,CK,048,0.0
1986-02-01,CK,048,0.0
1986-01-01,CK,048,0.0
1985-12-01,CK,048,0.0
1985-11-01,CK,048,0.0
1985-10-01,CK,048,0.0
1985-09-01,CK,048,0.0
1985-08-01,CK,048,0.0
1985-07-01,CK,048,0.0
1985-06-01,CK,048,0.0
1985-05-01,CK,048,0.0
1985-04-01,CK,048,0.0
1985-03-01,CK,048,0.0
1985-02-01,CK,048,0.0
1985-01-01,CK,048,0.0
1984-12-01,CK,048,0.0
1984-11-01,CK,048,0.0
1984-10-01,CK,048,0.0
1984-09-01,CK,048,0.0
1984-08-01,CK,048,0.0
1984-07-01,CK,048,0.0
1984-06-01,CK,048,0.0
1984-05-01,CK,048,0.0
1984-04-01,CK,048,0.0
1984-03-01,CK,048,0.0
1984-02-01,CK,048,0.0
1984-01-01,CK,048,0.0
1983-12-01,CK,048,0.0
1983-11-01,CK,048,0.0
1983-10-01,CK,048,0.0
1983-09-01,CK,048,0.0
1983-08-01,CK,048,0.0
1983-07-01,CK,048,0.0
1983-06-01,CK,048,0.0
1983-05-01,CK,048,0.0
1983-04-01,CK,048,0.0
1983-03-01,CK,048,0.0
1983-02-01,CK,048,0.0
1983-01-01,CK,048,0.0
1982-12-01,CK,048,0.0
1982-11-01,CK,048,0.0
1982-10-01,CK,048,0.0
1982-09-01,CK,048,0.0
1982-08-01,CK,048,0.0
1982-07-01,CK,048,0.0
1982-06-01,CK,048,0.0
1982-05-01,CK,048,0.0
1982-04-01,CK,048,0.0
1982-03-01,CK,048,0.0
1982-02-01,CK,048,0.0
1982-01-01,CK,048,0.0
1981-12-01,CK,048,0.0
1981-11-01,CK,048,0.0
1981-10-01,CK,048,0.0
1981-09-01,CK,048,0.0
1981-08-01,CK,048,0.0
1981-07-01,CK,048,0.0
1981-06-01,CK,048,0.0
1981-05-01,CK,048,0.0
1981-04-01,CK,048,0.0
1981-03-01,CK,048,0.0
1981-02-01,CK,048,0.0
1981-01-01,CK,048,0.0
1980-12-01,CK,048,0.0
1980-11-01,CK,048,0.0
1980-10-01,CK,048,0.0
1980-09-01,CK,048,0.0
1980-08-01,CK,048,0.0
1980-07-01,CK,048,0.0
1980-06-01,CK,048,0.0
1980-05-01,CK,048,0.0
1980-04-01,CK,048,0.0
1980-03-01,CK,048,0.0
1980-02-01,CK,048,0.0
1980-01-01,CK,048,0.0
1979-12-01,CK,048,0.0
1979-11-01,CK,048,0.0
1979-10-01,CK,048,0.0
1979-09-01,CK,048,0.0
1979-08-01,CK,048,0.0
1979-07-01,CK,048,0.0
1979-06-01,CK,048,0.0
1979-05-01,CK,048,0.0
1979-04-01,CK,048,0.0
1979-03-01,CK,048,0.0
1979-02-01,CK,048,0.0
1979-01-01,CK,048,0.0
1978-12-01,CK,048,0.0
1978-11-01,CK,048,0.0
1978-10-01,CK,048,0.0
1978-09-01,CK,048,0.0
1978-08-01,CK,048,0.0
1978-07-01,CK,048,0.0
1978-06-01,CK,048,0.0
1978-05-01,CK,048,0.0
1978-04-01,CK,048,0.0
1978-03-01,CK,048,0.0
1978-02-01,CK,048,0.0
1978-01-01,CK,048,0.0
1977-12-01,CK,048,0.0
1977-11-01,CK,048,0.0
1977-10-01,CK,048,0.0
1977-09-01,CK,048,0.0
1977-08-01,CK,048,0.0
1977-07-01,CK,048,0.0
1977-06-01,CK,048,0.0
1977-05-01,CK,048,0.0
1977-04-01,CK,048,0.0
1977-03-01,CK,048,0.0
1977-02-01,CK,048,0.0
1977-01-01,CK,048,0.0
1976-12-01,CK,048,0.0
1976-11-01,CK,048,0.0
1976-10-01,CK,048,0.0
1976-09-01,CK,048,0.0
1976-08-01,CK,048,0.0
1976-07-01,CK,048,0.0
1976-06-01,CK,048,0.0
1976-05-01,CK,048,0.0
1976-04-01,CK,048,0.0
1976-03-01,CK,048,0.0
1976-02-01,CK,048,0.0
1976-01-01,CK,048,0.0
1975-12-01,CK,048,0.0
1975-11-01,CK,048,0.0
1975-10-01,CK,048,0.0
1975-09-01,CK,048,0.0
1975-08-01,CK,048,0.0
1975-07-01,CK,048,0.0
1975-06-01,CK,048,0.0
1975-05-01,CK,048,0.0
1975-04-01,CK,048,0.0
1975-03-01,CK,048,0.0
1975-02-01,CK,048,0.0
1975-01-01,CK,048,0.0
1974-12-01,CK,048,0.0
1974-11-01,CK,048,0.0
1974-10-01,CK,048,0.0
1974-09-01,CK,048,0.0
1974-08-01,CK,048,0.0
1974-07-01,CK,048,0.0
1974-06-01,CK,048,0.0
1974-05-01,CK,048,0.0
1974-04-01,CK,048,0.0
1974-03-01,CK,048,0.0
1974-02-01,CK,048,0.0
1974-01-01,CK,048,0.0
1973-12-01,CK,048,0.0
1973-11-01,CK,048,0.0
1973-10-01,CK,048,0.0
1973-09-01,CK,048,0.0
1973-08-01,CK,048,0.0
1973-07-01,CK,048,0.0
1973-06-01,CK,048,0.0
1973-05-01,CK,048,0.0
1973-04-01,CK,048,0.0
1973-03-01,CK,048,0.0
1973-02-01,CK,048,0.0
1973-01-01,CK,048,0.0
2019-01-01,CK,050,0.0
2018-01-01,CK,050,0.0
2017-01-01,CK,050,0.0
2016-01-01,CK,050,0.0
2015-01-01,CK,050,0.0
2014-01-01,CK,050,0.0
2013-01-01,CK,050,0.0
2012-01-01,CK,050,0.0
2011-01-01,CK,050,0.0
2010-01-01,CK,050,0.0
2009-01-01,CK,050,0.0
2008-01-01,CK,050,0.0
2007-01-01,CK,050,0.0
2006-01-01,CK,050,0.0
2005-01-01,CK,050,0.0
2004-01-01,CK,050,0.0
2003-01-01,CK,050,0.0
2002-01-01,CK,050,0.0
2001-01-01,CK,050,0.0
2000-01-01,CK,050,0.0
1999-01-01,CK,050,0.0
1998-01-01,CK,050,0.0
1997-01-01,CK,050,0.0
1996-01-01,CK,050,0.0
1995-01-01,CK,050,0.0
1994-01-01,CK,050,0.0
1993-01-01,CK,050,0.0
1992-01-01,CK,050,0.0
1991-01-01,CK,050,0.0
1990-01-01,CK,050,0.0
1989-01-01,CK,050,0.0
1988-01-01,CK,050,0.0
1987-01-01,CK,050,0.0
1986-01-01,CK,050,0.0
1985-01-01,CK,050,0.0
1984-01-01,CK,050,0.0
1983-01-01,CK,050,0.0
1982-01-01,CK,050,0.0
1981-01-01,CK,050,0.0
2019-01-01,CK,051,0.0
2018-01-01,CK,051,0.0
2017-01-01,CK,051,0.0
2016-01-01,CK,051,0.0
2015-01-01,CK,051,0.0
2014-01-01,CK,051,0.0
2013-01-01,CK,051,0.0
2012-01-01,CK,051,0.0
2011-01-01,CK,051,0.0
2010-01-01,CK,051,0.0
2009-01-01,CK,051,0.0
2008-01-01,CK,051,0.0
2007-01-01,CK,051,0.0
2006-01-01,CK,051,0.0
2005-01-01,CK,051,0.0
2004-01-01,CK,051,0.0
2003-01-01,CK,051,0.0
2002-01-01,CK,051,0.0
2001-01-01,CK,051,0.0
2000-01-01,CK,051,0.0
1999-01-01,CK,051,0.0
1998-01-01,CK,051,0.0
1997-01-01,CK,051,0.0
1996-01-01,CK,051,0.0
1995-01-01,CK,051,0.0
1994-01-01,CK,051,0.0
1993-01-01,CK,051,0.0
1992-01-01,CK,051,0.0
1991-01-01,CK,051,0.0
1990-01-01,CK,051,0.0
1989-01-01,CK,051,0.0
1988-01-01,CK,051,0.0
1987-01-01,CK,051,0.0
1986-01-01,CK,051,0.0
1985-01-01,CK,051,0.0
1984-01-01,CK,051,0.0
1983-01-01,CK,051,0.0
1982-01-01,CK,051,0.0
1981-01-01,CK,051,0.0
2016-01-01,CK,053,154.240383
2015-01-01,CK,053,125.039042
2014-01-01,CK,053,117.758093
2013-01-01,CK,053,109.975848
2012-01-01,CK,053,101.654838
2011-01-01,CK,053,73.523912
2010-01-01,CK,053,51.870219
2019-07-01,CK,073,141.353656
2019-04-01,CK,073,140.400323
2019-01-01,CK,073,139.506932
2018-10-01,CK,073,138.319517
2018-07-01,CK,073,137.612429
2018-04-01,CK,073,137.663053
2018-01-01,CK,073,137.742998
2017-10-01,CK,073,137.341335
2017-07-01,CK,073,137.389247
2017-04-01,CK,073,137.102623
2017-01-01,CK,073,137.229731
2016-10-01,CK,073,136.859002
2016-07-01,CK,073,137.250036
2016-04-01,CK,073,137.067294
2016-01-01,CK,073,136.262665
2015-10-01,CK,073,136.274455
2015-07-01,CK,073,134.1789
2015-04-01,CK,073,135.49666
2015-01-01,CK,073,134.628436
2014-10-01,CK,073,136.478212
2014-07-01,CK,073,137.050819
2014-04-01,CK,073,135.151428
2014-01-01,CK,073,132.679292
2013-10-01,CK,073,132.851381
2013-07-01,CK,073,131.483934
2013-04-01,CK,073,129.998609
2013-01-01,CK,073,129.783684
2012-10-01,CK,073,128.376908
2012-07-01,CK,073,128.146001
2012-04-01,CK,073,126.63829
2012-01-01,CK,073,127.49
2011-10-01,CK,073,125.024408
2011-07-01,CK,073,124.051709
2011-04-01,CK,073,123.295964
2011-01-01,CK,073,122.710426
2010-10-01,CK,073,121.626854
2010-07-01,CK,073,120.905971
2010-04-01,CK,073,120.612931
