date,country_code,indicator_code,value
2019-09-01,CL,001,2.15
2019-08-01,CL,001,1.54
2019-07-01,CL,001,1.49
2019-06-01,CL,001,1.05
2019-05-01,CL,001,1.38
2019-04-01,CL,001,1.35
2019-03-01,CL,001,1.16
2019-02-01,CL,001,0.54
2019-01-01,CL,001,0.55
2018-12-01,CL,001,0.71
2018-11-01,CL,001,0.5
2018-10-01,CL,001,1.01
2018-09-01,CL,001,0.52
2018-08-01,CL,001,0.9
2018-07-01,CL,001,1.43
2018-06-01,CL,001,2.07
2018-05-01,CL,001,2.12
2018-04-01,CL,001,2.13
2018-03-01,CL,001,2.24
2018-02-01,CL,001,2.66
2018-01-01,CL,001,2.47
2017-12-01,CL,001,2.31
2017-11-01,CL,001,2.1
2017-10-01,CL,001,1.92
2017-09-01,CL,001,2.29
2017-08-01,CL,001,2.31
2017-07-01,CL,001,2.17
2017-06-01,CL,001,1.89
2017-05-01,CL,001,1.74
2017-04-01,CL,001,1.35
2017-03-01,CL,001,1.45
2017-02-01,CL,001,0.71
2017-01-01,CL,001,0.8
2016-12-01,CL,001,0.63
2016-11-01,CL,001,0.78
2016-10-01,CL,001,0.82
2016-09-01,CL,001,1.02
2016-08-01,CL,001,0.53
2016-07-01,CL,001,0.95
2016-06-01,CL,001,1.22
2016-05-01,CL,001,1.32
2016-04-01,CL,001,1.53
2016-03-01,CL,001,1.12
2016-02-01,CL,001,2.01
2016-01-01,CL,001,2.18
2015-12-01,CL,001,2.03
2015-11-01,CL,001,1.53
2015-10-01,CL,001,1.33
2015-09-01,CL,001,1.63
2015-08-01,CL,001,2.26
2015-07-01,CL,001,2.29
2015-06-01,CL,001,1.83
2015-05-01,CL,001,1.52
2015-04-01,CL,001,1.17
2015-03-01,CL,001,0.84
2015-02-01,CL,001,1.0
2015-01-01,CL,001,0.6
2014-12-01,CL,001,1.11
2014-11-01,CL,001,1.39
2014-10-01,CL,001,1.76
2014-09-01,CL,001,1.35
2014-08-01,CL,001,1.18
2014-07-01,CL,001,0.66
2014-06-01,CL,001,1.05
2014-05-01,CL,001,1.3
2014-04-01,CL,001,1.56
2014-03-01,CL,001,2.17
2014-02-01,CL,001,2.14
2014-01-01,CL,001,2.7
2013-12-01,CL,001,2.23
2013-11-01,CL,001,2.66
