date,country_code,indicator_code,value
1986-01-01,CM,001,931.0
2017-01-01,CM,004,3794035.0
2016-01-01,CM,004,3710316.0
2015-01-01,CM,004,3981943.0
2014-01-01,CM,004,4247360.0
2013-01-01,CM,004,3964984.0
2012-01-01,CM,004,3770580.0
2011-01-01,CM,004,3515952.0
2010-01-01,CM,004,2846536.0
2009-01-01,CM,004,2424244.0
2008-01-01,CM,004,3301965.0
2007-01-01,CM,004,3037520.0
2006-01-01,CM,004,2750986.0
2005-01-01,CM,004,2140603.0
2004-01-01,CM,004,1892649.0
2003-01-01,CM,004,1896674.0
2002-01-01,CM,004,1896096.0
2001-01-01,CM,004,1891997.0
2000-01-01,CM,004,2021130.0
1999-01-01,CM,004,1735785.0
1998-01-01,CM,004,1200454.0
1997-01-01,CM,004,1102374.0
1996-01-01,CM,004,1103253.0
1995-01-01,CM,004,1031650.0
1994-01-01,CM,004,817209.0
1993-01-01,CM,004,561342.0
1992-01-01,CM,004,678513.0
1991-01-01,CM,004,701047.0
1990-01-01,CM,004,769128.0
1989-01-01,CM,004,700342.0
1988-01-01,CM,004,602316.0
1987-01-01,CM,004,667158.0
1986-01-01,CM,004,925694.0
1985-01-01,CM,004,839589.0
1984-01-01,CM,004,678575.0
1983-01-01,CM,004,574674.0
1982-01-01,CM,004,456376.0
1981-01-01,CM,004,407836.0
1980-01-01,CM,004,397397.0
1979-01-01,CM,004,390506.0
1978-01-01,CM,004,324926.0
1977-01-01,CM,004,252371.0
1976-01-01,CM,004,174580.0
1975-01-01,CM,004,168056.0
1974-01-01,CM,004,124843.0
1973-01-01,CM,004,122095.0
1972-01-01,CM,004,106224.0
1971-01-01,CM,004,92362.0
1970-01-01,CM,004,87822.0
1969-01-01,CM,004,52000.0
1968-01-01,CM,004,44500.0
1967-01-01,CM,004,36500.0
1966-01-01,CM,004,34900.0
1965-01-01,CM,004,38400.0
1964-01-01,CM,004,35500.0
1963-01-01,CM,004,31700.0
2019-03-01,CM,007,2105988.0
2019-02-01,CM,007,1999359.0
2019-01-01,CM,007,2054451.0
2018-12-01,CM,007,2071812.0
2018-11-01,CM,007,1757877.0
2018-10-01,CM,007,1886919.0
2018-09-01,CM,007,1852449.0
2018-08-01,CM,007,1889090.0
2018-07-01,CM,007,1831092.0
2018-06-01,CM,007,1785789.0
2018-05-01,CM,007,1932928.0
2018-04-01,CM,007,1982241.0
2018-03-01,CM,007,2069010.0
2018-02-01,CM,007,2029139.0
2018-01-01,CM,007,2060136.0
2017-12-01,CM,007,2003994.0
2017-11-01,CM,007,1850905.0
2017-10-01,CM,007,1823833.0
2017-09-01,CM,007,1789661.0
2017-08-01,CM,007,1784156.0
2017-07-01,CM,007,1755681.0
2017-06-01,CM,007,1668497.0
2017-05-01,CM,007,1644621.0
2017-04-01,CM,007,1725631.0
2017-03-01,CM,007,1676636.0
2017-02-01,CM,007,1718991.0
2017-01-01,CM,007,1740662.0
2016-12-01,CM,007,1451133.0
2016-11-01,CM,007,1492194.0
2016-10-01,CM,007,1555207.0
2016-09-01,CM,007,1482940.0
2016-08-01,CM,007,1538289.0
2016-07-01,CM,007,1587299.0
2016-06-01,CM,007,1674897.0
2016-05-01,CM,007,1721646.0
2016-04-01,CM,007,1824123.0
2016-03-01,CM,007,1793486.0
2016-02-01,CM,007,1993234.0
2016-01-01,CM,007,1989442.0
2015-12-01,CM,007,2112961.0
2015-11-01,CM,007,2171255.0
2015-10-01,CM,007,1619189.0
2015-09-01,CM,007,1631159.0
2015-08-01,CM,007,1627200.0
2015-07-01,CM,007,1551284.0
2015-06-01,CM,007,1536812.0
2015-05-01,CM,007,1638560.0
2015-04-01,CM,007,1637750.0
2015-03-01,CM,007,1539979.0
2015-02-01,CM,007,1699495.0
2015-01-01,CM,007,1612103.0
2014-12-01,CM,007,1669823.0
2014-11-01,CM,007,1617760.0
2014-10-01,CM,007,1604804.0
2014-09-01,CM,007,1570046.0
2014-08-01,CM,007,1550739.0
2014-07-01,CM,007,1581898.0
2014-06-01,CM,007,1630279.0
2014-05-01,CM,007,1584809.0
2014-04-01,CM,007,1623640.0
2014-03-01,CM,007,1556346.0
2014-02-01,CM,007,1563404.0
2014-01-01,CM,007,1526278.0
2013-12-01,CM,007,1552982.0
2013-11-01,CM,007,1465059.0
2013-10-01,CM,007,1477757.0
2013-09-01,CM,007,1456276.0
2013-08-01,CM,007,1519537.0
2013-07-01,CM,007,1557862.0
2013-06-01,CM,007,1600463.0
2013-05-01,CM,007,1623788.0
2013-04-01,CM,007,1594219.0
2013-03-01,CM,007,1623627.0
2013-02-01,CM,007,1579376.0
2013-01-01,CM,007,1534869.0
2012-12-01,CM,007,1541397.0
2012-11-01,CM,007,1485298.0
2012-10-01,CM,007,1464328.0
2012-09-01,CM,007,1491140.0
2012-08-01,CM,007,1431967.0
2012-07-01,CM,007,1452958.0
2012-06-01,CM,007,1490782.0
2012-05-01,CM,007,1447736.0
2012-04-01,CM,007,1541068.0
2012-03-01,CM,007,1534893.0
2012-02-01,CM,007,1548188.0
2012-01-01,CM,007,1614603.0
2011-12-01,CM,007,1629623.0
2011-11-01,CM,007,1550522.0
2011-10-01,CM,007,1530145.0
2011-09-01,CM,007,1545947.0
2011-08-01,CM,007,1560134.0
2011-07-01,CM,007,1655130.0
2011-06-01,CM,007,1675228.0
2011-05-01,CM,007,1779075.0
2011-04-01,CM,007,1838236.0
2011-03-01,CM,007,1844165.0
2011-02-01,CM,007,1844177.0
2011-01-01,CM,007,1819244.0
2010-12-01,CM,007,1849444.0
2010-11-01,CM,007,1790213.0
2010-10-01,CM,007,1756070.0
2010-09-01,CM,007,1744155.0
2010-08-01,CM,007,1772703.0
2010-07-01,CM,007,1742833.0
2010-06-01,CM,007,1745188.0
2010-05-01,CM,007,1757428.0
2010-04-01,CM,007,1821672.0
2010-03-01,CM,007,1770519.0
2010-02-01,CM,007,1769068.0
2010-01-01,CM,007,1736267.0
2009-12-01,CM,007,1780780.0
2009-11-01,CM,007,1668543.0
2009-10-01,CM,007,1653143.0
2009-09-01,CM,007,1646117.0
2009-08-01,CM,007,1663378.0
2009-07-01,CM,007,1717931.0
2009-06-01,CM,007,1695737.0
2009-05-01,CM,007,1732646.0
2009-04-01,CM,007,1759568.0
2009-03-01,CM,007,1708251.0
2009-02-01,CM,007,1681875.0
2009-01-01,CM,007,1722299.0
2008-12-01,CM,007,1736279.0
2008-11-01,CM,007,1783725.0
2008-10-01,CM,007,1764066.0
2008-09-01,CM,007,1755750.0
2008-08-01,CM,007,1711860.0
2008-07-01,CM,007,1673903.0
2008-06-01,CM,007,1634974.0
2008-05-01,CM,007,1614762.0
2008-04-01,CM,007,1624920.0
2008-03-01,CM,007,1563674.0
2008-02-01,CM,007,1600033.0
2008-01-01,CM,007,1592579.0
2007-12-01,CM,007,1503508.0
2007-11-01,CM,007,1440438.0
2007-10-01,CM,007,1396024.0
2007-09-01,CM,007,1336646.0
2007-08-01,CM,007,1323691.0
2007-07-01,CM,007,1327811.0
2007-06-01,CM,007,1253157.0
2007-05-01,CM,007,1233655.0
2007-04-01,CM,007,1215131.0
2007-03-01,CM,007,1119620.0
2007-02-01,CM,007,1084877.0
2007-01-01,CM,007,1058732.0
2006-12-01,CM,007,1015608.0
2006-11-01,CM,007,975031.0
2006-10-01,CM,007,936331.0
2006-09-01,CM,007,936596.0
2006-08-01,CM,007,924487.0
2006-07-01,CM,007,898761.0
2006-06-01,CM,007,858203.0
2006-05-01,CM,007,791916.0
2006-04-01,CM,007,793894.0
2006-03-01,CM,007,572458.0
2006-02-01,CM,007,521773.0
2006-01-01,CM,007,518047.0
2005-12-01,CM,007,479286.0
2005-11-01,CM,007,459005.0
2005-10-01,CM,007,488768.0
2005-09-01,CM,007,445465.0
2005-08-01,CM,007,407362.0
2005-07-01,CM,007,412804.0
2005-06-01,CM,007,371270.0
2005-05-01,CM,007,344136.0
2005-04-01,CM,007,358143.0
2005-03-01,CM,007,368308.0
2005-02-01,CM,007,324945.0
2005-01-01,CM,007,335985.0
2004-12-01,CM,007,339766.0
2004-11-01,CM,007,297187.0
2004-10-01,CM,007,326441.0
2004-09-01,CM,007,289517.0
2004-08-01,CM,007,263705.0
2004-07-01,CM,007,305544.0
2004-06-01,CM,007,246302.0
2004-05-01,CM,007,310225.0
2004-04-01,CM,007,307900.0
2004-03-01,CM,007,295336.0
2004-02-01,CM,007,243626.0
2004-01-01,CM,007,239882.0
2003-12-01,CM,007,242041.0
2003-11-01,CM,007,212520.0
2003-10-01,CM,007,235440.0
2003-09-01,CM,007,231398.0
2003-08-01,CM,007,235233.0
2003-07-01,CM,007,239499.0
2003-06-01,CM,007,254123.0
2003-05-01,CM,007,292793.0
2003-04-01,CM,007,296192.0
2003-03-01,CM,007,304966.0
2003-02-01,CM,007,280978.0
2003-01-01,CM,007,268345.0
2002-12-01,CM,007,282790.0
2002-11-01,CM,007,293184.0
2002-10-01,CM,007,225556.0
2002-09-01,CM,007,193608.0
2002-08-01,CM,007,204246.0
2002-07-01,CM,007,197677.0
2002-06-01,CM,007,206685.0
2002-05-01,CM,007,200590.0
2002-04-01,CM,007,223568.0
2002-03-01,CM,007,196972.0
2002-02-01,CM,007,147119.0
2002-01-01,CM,007,179863.0
2001-12-01,CM,007,108931.0
2019-07-01,CM,012,0.0
2019-04-01,CM,012,27.0
2019-01-01,CM,012,15.0
2018-10-01,CM,012,144.0
2018-07-01,CM,012,0.0
2018-04-01,CM,012,11.0
2018-01-01,CM,012,4.0
2017-10-01,CM,012,72.0
2017-07-01,CM,012,32.0
2017-04-01,CM,012,5.0
2017-01-01,CM,012,11.0
2016-10-01,CM,012,12.0
2016-07-01,CM,012,21.0
2016-04-01,CM,012,46.0
2016-01-01,CM,012,20.0
1987-10-01,CM,012,0.0
1987-04-01,CM,012,0.0
1986-10-01,CM,012,0.0
1986-04-01,CM,012,0.0
1985-10-01,CM,012,0.0
1985-04-01,CM,012,0.0
1984-10-01,CM,012,0.0
1984-04-01,CM,012,0.0
1983-10-01,CM,012,0.0
1983-04-01,CM,012,0.0
1982-10-01,CM,012,0.0
1982-04-01,CM,012,0.0
1981-10-01,CM,012,0.0
1981-04-01,CM,012,0.0
1980-10-01,CM,012,0.0
1980-04-01,CM,012,0.0
1979-10-01,CM,012,0.0
1979-04-01,CM,012,0.0
2019-03-01,CM,017,1522276.0
2019-02-01,CM,017,1510408.0
2019-01-01,CM,017,1452858.0
2018-12-01,CM,017,1474168.0
2018-11-01,CM,017,1257877.0
2018-10-01,CM,017,1233984.0
2018-09-01,CM,017,1228525.0
2018-08-01,CM,017,1231324.0
2018-07-01,CM,017,1199308.0
2018-06-01,CM,017,1255246.0
2018-05-01,CM,017,1300224.0
2018-04-01,CM,017,1310066.0
2018-03-01,CM,017,1413711.0
2018-02-01,CM,017,1387523.0
2018-01-01,CM,017,1443401.0
2017-12-01,CM,017,1321854.0
