date,country_code,indicator_code,value
2017-01-01,CN,001,370.0
2016-01-01,CN,001,1520.0
2015-01-01,CN,001,1980.0
2014-01-01,CN,001,2760.0
2013-01-01,CN,001,2730.0
2012-01-01,CN,001,2840.0
2011-01-01,CN,001,3150.0
2010-01-01,CN,001,2770.0
2009-01-01,CN,001,2640.0
2008-01-01,CN,001,2430.0
2007-01-01,CN,001,3430.0
2006-01-01,CN,001,3310.0
2005-01-01,CN,001,3830.0
2004-01-01,CN,001,5280.0
2003-01-01,CN,001,4560.0
2002-01-01,CN,001,2550.0
2001-01-01,CN,001,9400.0
2000-01-01,CN,001,6910.0
1999-01-01,CN,001,7570.0
1998-01-01,CN,001,8170.0
1997-01-01,CN,001,8700.0
1996-01-01,CN,001,8850.0
1995-01-01,CN,001,6100.0
1994-01-01,CN,001,10820.0
1993-01-01,CN,001,8190.0
1992-01-01,CN,001,7550.0
1991-01-01,CN,001,8900.0
1990-01-01,CN,001,85800.0
1989-01-01,CN,001,9950.0
1988-01-01,CN,001,15510.0
1987-01-01,CN,001,15010.0
1986-01-01,CN,001,14090.0
2014-10-01,CN,002,27404.195
2014-07-01,CN,002,18223.638
2014-04-01,CN,002,18032.33
2014-01-01,CN,002,17225.609
2013-10-01,CN,002,23590.584
2013-07-01,CN,002,18274.343
2013-04-01,CN,002,16968.267
2013-01-01,CN,002,16962.809
2012-10-01,CN,002,26834.626
2012-07-01,CN,002,17216.107
2012-04-01,CN,002,16105.967
2012-01-01,CN,002,15926.23
2011-10-01,CN,002,24015.887
2011-07-01,CN,002,16179.079
2011-04-01,CN,002,15004.319
2011-01-01,CN,002,14565.776
2010-10-01,CN,002,22715.087
2010-07-01,CN,002,14126.672
2010-04-01,CN,002,12449.348
2010-01-01,CN,002,13414.725
2009-10-01,CN,002,18214.92
2009-07-01,CN,002,11490.255
2009-04-01,CN,002,11935.844
2009-01-01,CN,002,12100.076
2008-10-01,CN,002,18217.738
2008-07-01,CN,002,12346.667
2008-04-01,CN,002,10085.487
2008-01-01,CN,002,10992.38
2007-10-01,CN,002,16964.072
2007-07-01,CN,002,10245.055
2007-04-01,CN,002,9334.748
2007-01-01,CN,002,9918.694
2006-10-01,CN,002,14547.833
2006-07-01,CN,002,8919.977
2006-04-01,CN,002,8302.615
2006-01-01,CN,002,8563.079
2005-10-01,CN,002,12733.349
2005-07-01,CN,002,8237.914
2005-04-01,CN,002,7707.995
2005-01-01,CN,002,8185.823
2004-10-01,CN,002,11198.08
2004-07-01,CN,002,7379.658
2004-04-01,CN,002,6916.361
2004-01-01,CN,002,7261.49
2003-10-01,CN,002,11461.738
2003-07-01,CN,002,6792.5
2003-04-01,CN,002,6481.151
2003-01-01,CN,002,6699.979
2002-10-01,CN,002,8212.4
2002-07-01,CN,002,6522.33
2002-04-01,CN,002,6002.039
2002-01-01,CN,002,6534.625
2001-10-01,CN,002,8430.455
2001-07-01,CN,002,6276.702
2001-04-01,CN,002,5790.711
2001-01-01,CN,002,6073.912
2000-10-01,CN,002,7968.076
2000-07-01,CN,002,6198.958
2000-04-01,CN,002,5611.425
2000-01-01,CN,002,5793.533
1999-10-01,CN,002,8389.738
1999-07-01,CN,002,5616.565
1999-04-01,CN,002,5545.853
1999-01-01,CN,002,5454.884
1998-10-01,CN,002,6296.05
1998-07-01,CN,002,6207.95
1998-04-01,CN,002,6121.084
1998-01-01,CN,002,6360.827
1997-10-01,CN,002,8166.683
1997-07-01,CN,002,6124.0
1997-04-01,CN,002,5955.576
1997-01-01,CN,002,6034.807
1996-10-01,CN,002,7343.919
1996-07-01,CN,002,5963.287
1996-04-01,CN,002,5728.201
1996-01-01,CN,002,5604.593
1995-10-01,CN,002,7964.0
1995-07-01,CN,002,5338.0
1995-04-01,CN,002,4921.0
1995-01-01,CN,002,4787.0
1994-10-01,CN,002,7042.0
1994-07-01,CN,002,4430.0
1994-04-01,CN,002,3989.0
1994-01-01,CN,002,3691.0
2018-01-01,CN,004,705416.0
2017-01-01,CN,004,1457844.0
2016-01-01,CN,004,1697560.0
2015-01-01,CN,004,2234649.0
2014-01-01,CN,004,1361075.0
2013-01-01,CN,004,1455211.0
2012-01-01,CN,004,1463603.0
2011-01-01,CN,004,1168848.0
2010-01-01,CN,004,1505714.0
2009-01-01,CN,004,1503799.0
2008-01-01,CN,004,2423933.0
2007-01-01,CN,004,2343384.0
2006-01-01,CN,004,1665794.0
2005-01-01,CN,004,1021229.0
2004-01-01,CN,004,423560.0
2003-01-01,CN,004,296491.0
2002-01-01,CN,004,309416.0
2001-01-01,CN,004,232472.0
2000-01-01,CN,004,238301.0
1999-01-01,CN,004,253655.0
1998-01-01,CN,004,362928.0
1997-01-01,CN,004,354996.0
1996-01-01,CN,004,145914.0
1995-01-01,CN,004,99858.0
1994-01-01,CN,004,63408.0
1993-01-01,CN,004,-94587.0
1992-01-01,CN,004,31837.0
1991-01-01,CN,004,66590.0
1990-01-01,CN,004,55794.0
1989-01-01,CN,004,-24344.0
1988-01-01,CN,004,-19736.0
1987-01-01,CN,004,1298.0
1986-01-01,CN,004,-25496.0
1985-01-01,CN,004,-36753.0
1984-01-01,CN,004,151.0
1983-01-01,CN,004,6710.0
1982-01-01,CN,004,12607.0
1981-01-01,CN,004,-10.0
1980-01-01,CN,004,-2760.0
1979-01-01,CN,004,-3120.0
1978-01-01,CN,004,-1980.0
1977-01-01,CN,004,690.0
1976-01-01,CN,004,550.0
1975-01-01,CN,004,-440.0
1974-01-01,CN,004,-1340.0
1973-01-01,CN,004,1330.0
1972-01-01,CN,004,1890.0
1971-01-01,CN,004,1610.0
1970-01-01,CN,004,70.0
1969-01-01,CN,004,1260.0
1968-01-01,CN,004,670.0
1967-01-01,CN,004,540.0
1966-01-01,CN,004,490.0
1965-01-01,CN,004,780.0
1964-01-01,CN,004,1330.0
1963-01-01,CN,004,1430.0
1962-01-01,CN,004,1330.0
1961-01-01,CN,004,470.0
1960-01-01,CN,004,-180.0
2020-02-01,CN,005,4.35
2020-01-01,CN,005,4.35
2019-12-01,CN,005,4.35
2019-11-01,CN,005,4.35
2019-10-01,CN,005,4.35
2019-09-01,CN,005,4.35
2019-08-01,CN,005,4.35
2019-07-01,CN,005,4.35
2019-06-01,CN,005,4.35
2019-05-01,CN,005,4.35
2019-04-01,CN,005,4.35
2019-03-01,CN,005,4.35
2019-02-01,CN,005,4.35
2019-01-01,CN,005,4.35
2018-12-01,CN,005,4.35
2018-11-01,CN,005,4.35
2018-10-01,CN,005,4.35
2018-09-01,CN,005,4.35
2018-08-01,CN,005,4.35
2018-07-01,CN,005,4.35
2018-06-01,CN,005,4.35
2018-05-01,CN,005,4.35
2018-04-01,CN,005,4.35
2018-03-01,CN,005,4.35
2018-02-01,CN,005,4.35
2018-01-01,CN,005,4.35
2017-12-01,CN,005,4.35
2017-11-01,CN,005,4.35
