date,country_code,indicator_code,value
2019-09-01,CO,001,114.0
2019-08-01,CO,001,-24.0
2019-07-01,CO,001,-478.0
2019-06-01,CO,001,454.0
2019-05-01,CO,001,268.0
2019-04-01,CO,001,-218.0
2019-03-01,CO,001,43.0
2019-02-01,CO,001,421.0
2019-01-01,CO,001,-1303.0
2018-12-01,CO,001,491.0
2018-11-01,CO,001,-636.0
2018-10-01,CO,001,394.0
2018-09-01,CO,001,26.0
2018-08-01,CO,001,347.0
2018-07-01,CO,001,-314.0
2018-06-01,CO,001,194.0
2018-05-01,CO,001,-220.0
2018-04-01,CO,001,609.0
2018-03-01,CO,001,222.0
2018-02-01,CO,001,249.0
2018-01-01,CO,001,-1058.0
2017-12-01,CO,001,447.3
2017-11-01,CO,001,47.1
2017-10-01,CO,001,-174.6
2017-09-01,CO,001,-81.7
2017-08-01,CO,001,85.5
2017-07-01,CO,001,-378.4
2017-06-01,CO,001,390.7
2017-05-01,CO,001,-340.2
2017-04-01,CO,001,252.5
2017-03-01,CO,001,2.3
2017-02-01,CO,001,169.6
2017-01-01,CO,001,-70.4
2016-12-01,CO,001,-537.2
2016-11-01,CO,001,58.2
2016-10-01,CO,001,222.2
2016-09-01,CO,001,464.0
2016-08-01,CO,001,11.8
2016-07-01,CO,001,96.3
2016-06-01,CO,001,-159.7
2016-05-01,CO,001,268.1
2016-04-01,CO,001,60.7
2016-03-01,CO,001,262.6
2016-02-01,CO,001,-307.0
2016-01-01,CO,001,-343.5
2015-12-01,CO,001,-544.2
2015-11-01,CO,001,126.4
2015-10-01,CO,001,277.2
2015-09-01,CO,001,407.1
2015-08-01,CO,001,-22.7
2015-07-01,CO,001,31.0
2015-06-01,CO,001,-89.3
2015-05-01,CO,001,133.0
2015-04-01,CO,001,201.6
2015-03-01,CO,001,314.5
2015-02-01,CO,001,-55.2
2015-01-01,CO,001,-338.5
2014-12-01,CO,001,-510.4
2014-11-01,CO,001,-8.7
2014-10-01,CO,001,193.6
2014-09-01,CO,001,472.5
2014-08-01,CO,001,124.6
2014-07-01,CO,001,104.9
2014-06-01,CO,001,-34.1
2014-05-01,CO,001,224.0
2014-04-01,CO,001,273.2
2014-03-01,CO,001,215.7
2014-02-01,CO,001,-260.1
