date,country_code,indicator_code,value
2019-10-01,CR,001,2182818.0
2019-07-01,CR,001,2162613.0
2019-04-01,CR,001,2183195.0
2019-01-01,CR,001,2171766.0
2018-10-01,CR,001,2165323.0
2018-07-01,CR,001,2138140.0
2018-04-01,CR,001,2160036.0
2018-01-01,CR,001,2004711.0
2017-10-01,CR,001,1995640.0
2017-07-01,CR,001,2068710.0
2017-04-01,CR,001,2079840.0
2017-01-01,CR,001,2060757.0
2016-10-01,CR,001,2063366.0
2016-07-01,CR,001,1972128.0
2016-04-01,CR,001,1954756.0
2016-01-01,CR,001,1992741.0
2015-10-01,CR,001,2027518.0
2015-07-01,CR,001,2063117.0
2015-04-01,CR,001,2087363.0
2015-01-01,CR,001,2051208.0
2014-10-01,CR,001,2059600.0
2014-07-01,CR,001,2065801.0
2014-04-01,CR,001,2048011.0
2014-01-01,CR,001,2084210.0
2013-10-01,CR,001,2088282.0
2013-07-01,CR,001,2026738.0
2013-04-01,CR,001,2008405.0
2013-01-01,CR,001,1980685.0
2012-10-01,CR,001,1994166.0
2012-07-01,CR,001,1998224.0
2012-04-01,CR,001,1968585.0
2012-01-01,CR,001,1994448.0
2011-10-01,CR,001,1918109.0
2011-07-01,CR,001,1836662.0
2011-04-01,CR,001,1765039.0
2011-01-01,CR,001,1802040.0
2010-10-01,CR,001,1886234.0
2010-07-01,CR,001,1881514.0
2019-09-01,CR,002,145.46
2019-08-01,CR,002,145.46
2019-07-01,CR,002,145.46
2019-06-01,CR,002,145.46
2019-05-01,CR,002,145.46
2019-04-01,CR,002,145.46
2019-03-01,CR,002,145.46
2019-02-01,CR,002,145.46
2019-01-01,CR,002,145.46
2018-12-01,CR,002,141.25
2018-11-01,CR,002,141.25
2018-10-01,CR,002,141.25
2018-09-01,CR,002,141.25
2018-08-01,CR,002,141.25
2018-07-01,CR,002,141.25
2018-06-01,CR,002,141.25
2018-05-01,CR,002,141.25
2018-04-01,CR,002,141.25
2018-03-01,CR,002,141.25
2018-02-01,CR,002,141.25
2018-01-01,CR,002,141.25
2017-12-01,CR,002,137.9
2017-11-01,CR,002,137.9
2017-10-01,CR,002,137.9
2017-09-01,CR,002,137.9
2017-08-01,CR,002,137.9
2017-07-01,CR,002,137.9
2017-06-01,CR,002,137.9
2017-05-01,CR,002,137.9
2017-04-01,CR,002,137.9
2017-03-01,CR,002,137.9
2017-02-01,CR,002,137.9
2017-01-01,CR,002,137.9
2016-12-01,CR,002,136.33
2016-11-01,CR,002,136.33
2016-10-01,CR,002,136.33
2016-09-01,CR,002,136.33
2016-08-01,CR,002,136.33
2016-07-01,CR,002,136.33
2016-06-01,CR,002,135.61
2016-05-01,CR,002,135.61
2016-04-01,CR,002,135.61
2016-03-01,CR,002,135.61
2016-02-01,CR,002,135.61
2016-01-01,CR,002,135.61
2015-12-01,CR,002,134.7
2015-11-01,CR,002,134.7
2015-10-01,CR,002,134.7
2015-09-01,CR,002,134.7
2015-08-01,CR,002,134.7
2015-07-01,CR,002,134.7
2015-06-01,CR,002,133.44
2015-05-01,CR,002,133.44
2015-04-01,CR,002,133.44
2015-03-01,CR,002,133.44
2015-02-01,CR,002,133.44
2015-01-01,CR,002,133.44
2014-12-01,CR,002,130.8
2014-11-01,CR,002,130.8
2014-10-01,CR,002,130.8
2014-09-01,CR,002,130.8
2014-08-01,CR,002,130.8
2014-07-01,CR,002,130.8
2014-06-01,CR,002,126.28
2014-05-01,CR,002,126.28
2014-04-01,CR,002,126.28
2014-03-01,CR,002,126.28
2014-02-01,CR,002,126.28
2014-01-01,CR,002,126.28
2013-12-01,CR,002,121.68
2013-11-01,CR,002,121.68
2013-10-01,CR,002,121.68
2013-09-01,CR,002,121.68
2013-08-01,CR,002,121.68
2013-07-01,CR,002,121.68
2013-06-01,CR,002,118.83
2013-05-01,CR,002,118.83
2013-04-01,CR,002,118.83
2013-03-01,CR,002,118.83
2013-02-01,CR,002,118.83
2013-01-01,CR,002,118.83
2012-12-01,CR,002,114.64
2012-11-01,CR,002,114.64
2012-10-01,CR,002,114.64
2012-09-01,CR,002,114.64
2012-08-01,CR,002,114.64
2012-07-01,CR,002,114.64
2012-06-01,CR,002,111.3
2012-05-01,CR,002,111.3
2012-04-01,CR,002,111.3
2012-03-01,CR,002,111.3
2012-02-01,CR,002,111.3
2012-01-01,CR,002,111.3
2011-12-01,CR,002,107.88
2011-11-01,CR,002,107.88
2011-10-01,CR,002,107.88
2011-09-01,CR,002,107.88
2011-08-01,CR,002,107.88
2011-07-01,CR,002,107.88
2011-06-01,CR,002,104.68
2011-05-01,CR,002,104.68
2011-04-01,CR,002,104.68
2011-03-01,CR,002,104.68
2011-02-01,CR,002,104.68
2011-01-01,CR,002,104.68
2010-12-01,CR,002,101.99
2010-11-01,CR,002,101.99
2010-10-01,CR,002,101.99
2010-09-01,CR,002,101.99
2010-08-01,CR,002,101.99
2010-07-01,CR,002,101.99
2010-06-01,CR,002,98.01
2010-05-01,CR,002,98.01
2010-04-01,CR,002,98.01
2010-03-01,CR,002,98.01
2010-02-01,CR,002,98.01
2010-01-01,CR,002,98.01
2009-12-01,CR,002,93.33
2009-11-01,CR,002,93.33
2009-10-01,CR,002,93.33
2009-09-01,CR,002,93.33
2009-08-01,CR,002,93.33
2009-07-01,CR,002,93.33
2009-06-01,CR,002,91.5
2009-05-01,CR,002,91.5
2009-04-01,CR,002,91.5
2009-03-01,CR,002,91.5
2009-02-01,CR,002,91.5
2009-01-01,CR,002,91.5
2008-12-01,CR,002,85.52
2008-11-01,CR,002,85.52
2008-10-01,CR,002,85.52
2008-09-01,CR,002,85.52
2008-08-01,CR,002,85.52
2008-07-01,CR,002,85.52
2008-06-01,CR,002,79.38
2008-05-01,CR,002,79.38
2008-04-01,CR,002,79.38
2008-03-01,CR,002,79.38
2008-02-01,CR,002,79.38
2008-01-01,CR,002,79.38
2007-12-01,CR,002,75.52
2007-11-01,CR,002,75.52
2007-10-01,CR,002,75.52
2007-09-01,CR,002,75.52
2007-08-01,CR,002,75.52
2007-07-01,CR,002,75.52
2007-06-01,CR,002,71.83
2007-05-01,CR,002,71.83
2007-04-01,CR,002,71.83
2007-03-01,CR,002,71.83
2007-02-01,CR,002,71.83
2007-01-01,CR,002,71.83
2006-12-01,CR,002,68.44
2006-11-01,CR,002,68.44
2006-10-01,CR,002,68.44
2006-09-01,CR,002,68.44
2006-08-01,CR,002,68.44
2006-07-01,CR,002,68.44
2006-06-01,CR,002,64.57
2006-05-01,CR,002,64.57
2006-04-01,CR,002,64.57
2006-03-01,CR,002,64.57
2006-02-01,CR,002,64.57
2006-01-01,CR,002,64.57
2005-12-01,CR,002,60.74
2005-11-01,CR,002,60.74
2005-10-01,CR,002,60.74
2005-09-01,CR,002,60.74
2005-08-01,CR,002,60.74
2005-07-01,CR,002,60.74
2005-06-01,CR,002,56.61
2005-05-01,CR,002,56.61
2005-04-01,CR,002,56.61
2005-03-01,CR,002,56.61
2005-02-01,CR,002,56.61
2005-01-01,CR,002,56.61
2004-12-01,CR,002,52.99
2004-11-01,CR,002,52.99
2004-10-01,CR,002,52.99
2004-09-01,CR,002,52.99
2004-08-01,CR,002,52.99
2004-07-01,CR,002,52.99
2004-06-01,CR,002,49.86
2004-05-01,CR,002,49.86
2004-04-01,CR,002,49.86
2004-03-01,CR,002,49.86
2004-02-01,CR,002,49.86
2004-01-01,CR,002,49.86
2003-12-01,CR,002,47.61
2003-11-01,CR,002,47.61
2003-10-01,CR,002,47.61
2003-09-01,CR,002,47.61
2003-08-01,CR,002,47.61
2003-07-01,CR,002,47.61
2003-06-01,CR,002,45.48
2003-05-01,CR,002,45.48
2003-04-01,CR,002,45.48
2003-03-01,CR,002,45.48
2003-02-01,CR,002,45.48
2003-01-01,CR,002,45.48
2002-12-01,CR,002,43.51
2002-11-01,CR,002,43.51
2002-10-01,CR,002,43.51
2002-09-01,CR,002,43.51
2002-08-01,CR,002,43.51
2002-07-01,CR,002,43.51
2002-06-01,CR,002,41.87
2002-05-01,CR,002,41.87
2002-04-01,CR,002,41.87
2002-03-01,CR,002,41.87
2002-02-01,CR,002,41.87
2002-01-01,CR,002,41.87
2001-12-01,CR,002,40.68
2001-11-01,CR,002,40.68
2001-10-01,CR,002,40.68
2001-09-01,CR,002,40.68
2001-08-01,CR,002,40.68
2001-07-01,CR,002,40.68
2001-06-01,CR,002,38.07
2001-05-01,CR,002,38.07
2001-04-01,CR,002,38.07
2001-03-01,CR,002,38.07
2001-02-01,CR,002,38.07
2001-01-01,CR,002,38.07
2000-12-01,CR,002,36.2
2000-11-01,CR,002,36.2
2000-10-01,CR,002,36.2
2000-09-01,CR,002,36.2
2000-08-01,CR,002,36.2
2000-07-01,CR,002,36.2
2000-06-01,CR,002,34.42
2000-05-01,CR,002,34.42
2000-04-01,CR,002,34.42
2000-03-01,CR,002,34.42
2000-02-01,CR,002,34.42
2000-01-01,CR,002,34.42
2018-01-01,CR,004,175583.0
2017-01-01,CR,004,19610.0
2016-01-01,CR,004,82041.0
2015-01-01,CR,004,-254284.0
2014-01-01,CR,004,-690348.0
2013-01-01,CR,004,-733980.0
2012-01-01,CR,004,-889375.0
2011-01-01,CR,004,-798817.0
2010-01-01,CR,004,-366984.0
2009-01-01,CR,004,-87198.0
2008-01-01,CR,004,-1424541.0
2007-01-01,CR,004,-735053.0
2006-01-01,CR,004,-370057.0
2005-01-01,CR,004,-219660.0
2004-01-01,CR,004,-68557.0
2003-01-01,CR,004,-136629.0
2002-01-01,CR,004,-117212.0
2001-01-01,CR,004,8637.0
2000-01-01,CR,004,-30737.0
1999-01-01,CR,004,-98668.0
1998-01-01,CR,004,-144732.0
1997-01-01,CR,004,-128958.0
1996-01-01,CR,004,-97834.0
1995-01-01,CR,004,-73127.0
1994-01-01,CR,004,-102583.0
1993-01-01,CR,004,-99155.0
1992-01-01,CR,004,-63733.0
1991-01-01,CR,004,-40770.0
1990-01-01,CR,004,-36101.0
1989-01-01,CR,004,-16528.0
1988-01-01,CR,004,-6249.0
1987-01-01,CR,004,-11763.0
1986-01-01,CR,004,2086.0
1985-01-01,CR,004,-3469.0
1984-01-01,CR,004,669.0
1983-01-01,CR,004,-964.0
1982-01-01,CR,004,2846.0
1981-01-01,CR,004,-2803.0
1980-01-01,CR,004,-4282.0
1979-01-01,CR,004,-3552.0
1978-01-01,CR,004,-2370.0
1977-01-01,CR,004,-1439.0
1976-01-01,CR,004,-1241.0
1975-01-01,CR,004,-1426.0
1974-01-01,CR,004,-1979.0
1973-01-01,CR,004,-617.0
1972-01-01,CR,004,-524.0
1971-01-01,CR,004,-736.0
1970-01-01,CR,004,-440.0
1969-01-01,CR,004,-303.0
1968-01-01,CR,004,-240.0
1967-01-01,CR,004,-294.0
1966-01-01,CR,004,-257.0
1965-01-01,CR,004,-417.0
1964-01-01,CR,004,-150.0
1963-01-01,CR,004,-172.0
