date,country_code,indicator_code,value
2018-01-01,CU,001,4482.7
2017-01-01,CU,001,4474.8
2016-01-01,CU,001,4591.1
2015-01-01,CU,001,4713.7
2014-01-01,CU,001,4969.8
2013-01-01,CU,001,4918.8
2012-01-01,CU,001,4902.2
2011-01-01,CU,001,5010.1
2010-01-01,CU,001,4984.5
2009-01-01,CU,001,5072.4
2008-01-01,CU,001,4948.2
2007-01-01,CU,001,4867.673
2006-01-01,CU,001,4754.6
2005-01-01,CU,001,4722.5
2004-01-01,CU,001,4641.7
2003-01-01,CU,001,4607.0
2002-01-01,CU,001,4558.2
2001-01-01,CU,001,4505.1
2000-01-01,CU,001,4379.3
1999-01-01,CU,001,4359.4
1998-01-01,CU,001,4288.2
2018-01-01,CU,002,777.0
2017-01-01,CU,002,767.0
2016-01-01,CU,002,740.0
2015-01-01,CU,002,687.0
2014-01-01,CU,002,584.0
2013-01-01,CU,002,471.0
2012-01-01,CU,002,466.0
2011-01-01,CU,002,455.0
2010-01-01,CU,002,448.0
2009-01-01,CU,002,429.0
2008-01-01,CU,002,415.0
2007-01-01,CU,002,408.0
2006-01-01,CU,002,387.0
2005-01-01,CU,002,330.0
2004-01-01,CU,002,284.0
2003-01-01,CU,002,273.0
2002-01-01,CU,002,261.0
2001-01-01,CU,002,252.0
2000-01-01,CU,002,238.0
1999-01-01,CU,002,222.0
2018-01-01,CU,003,777.0
2017-01-01,CU,003,767.0
2016-01-01,CU,003,740.0
2015-01-01,CU,003,687.0
2014-01-01,CU,003,584.0
2013-01-01,CU,003,471.0
2012-01-01,CU,003,466.0
2011-01-01,CU,003,455.0
2010-01-01,CU,003,448.0
2009-01-01,CU,003,429.0
2008-01-01,CU,003,415.0
2007-01-01,CU,003,408.0
2006-01-01,CU,003,387.0
2005-01-01,CU,003,330.0
2004-01-01,CU,003,284.0
2003-01-01,CU,003,273.0
2002-01-01,CU,003,261.0
2001-01-01,CU,003,252.0
2000-01-01,CU,003,238.0
1999-01-01,CU,003,222.0
2018-01-01,CU,004,1909.0
2017-01-01,CU,004,2774.0
2016-01-01,CU,004,2464.0
2015-01-01,CU,004,2336.0
2014-01-01,CU,004,3947.0
2013-01-01,CU,004,2991.0
2012-01-01,CU,004,3771.0
2011-01-01,CU,004,2240.0
2010-01-01,CU,004,3119.0
2009-01-01,CU,004,1245.0
2008-01-01,CU,004,-2300.0
2007-01-01,CU,004,1585.0
2006-01-01,CU,004,126.0
2005-01-01,CU,004,1141.0
2004-01-01,CU,004,280.0
2003-01-01,CU,004,-245.0
2002-01-01,CU,004,-563.0
2001-01-01,CU,004,-916.0
2000-01-01,CU,004,-861.0
1999-01-01,CU,004,-792.0
1998-01-01,CU,004,-1029.0
1997-01-01,CU,004,-737.0
1996-01-01,CU,004,-500.0
1995-01-01,CU,004,-597.0
1994-01-01,CU,004,-273.0
1993-01-01,CU,004,-418.0
1992-01-01,CU,004,-214.0
1991-01-01,CU,004,-1271.0
1990-01-01,CU,004,-2291.0
1989-01-01,CU,004,-2868.0
1988-01-01,CU,004,-2307.0
1987-01-01,CU,004,-2184.0
1986-01-01,CU,004,-2433.0
1985-01-01,CU,004,-2365.0
1984-01-01,CU,004,-2493.0
1983-01-01,CU,004,-2183.0
1982-01-01,CU,004,-2051.0
1981-01-01,CU,004,-1943.0
1980-01-01,CU,004,-1653.0
1979-01-01,CU,004,-1656.0
1978-01-01,CU,004,-1585.0
1977-01-01,CU,004,-1363.0
1976-01-01,CU,004,-1309.0
1975-01-01,CU,004,-1234.0
1974-01-01,CU,004,-1081.0
1973-01-01,CU,004,-957.0
1972-01-01,CU,004,-896.0
1971-01-01,CU,004,-799.0
1970-01-01,CU,004,-658.0
2001-01-01,CU,012,594.5
2000-01-01,CU,012,805.4
1999-01-01,CU,012,484.9
1998-01-01,CU,012,409.4
1997-01-01,CU,012,457.4
1996-01-01,CU,012,174.4
1995-01-01,CU,012,596.2
1994-01-01,CU,012,262.4
1993-01-01,CU,012,356.1
2019-08-01,CU,015,86.0
2019-07-01,CU,015,86.0
2019-06-01,CU,015,86.0
2019-05-01,CU,015,86.0
2019-04-01,CU,015,86.0
2019-03-01,CU,015,86.0
2019-02-01,CU,015,86.0
2019-01-01,CU,015,86.0
2018-12-01,CU,015,86.0
2018-11-01,CU,015,86.0
2018-10-01,CU,015,10.0
2018-09-01,CU,015,10.0
2018-08-01,CU,015,10.0
2018-07-01,CU,015,10.0
2018-06-01,CU,015,10.0
2018-05-01,CU,015,10.0
2018-04-01,CU,015,10.0
2018-03-01,CU,015,10.0
2018-02-01,CU,015,10.0
2018-01-01,CU,015,10.0
2017-12-01,CU,015,10.0
2017-11-01,CU,015,10.0
2017-10-01,CU,015,10.0
2017-09-01,CU,015,10.0
2017-08-01,CU,015,10.0
2017-07-01,CU,015,10.0
2017-06-01,CU,015,10.0
2017-05-01,CU,015,10.0
2017-04-01,CU,015,10.0
2017-03-01,CU,015,10.0
2017-02-01,CU,015,10.0
2017-01-01,CU,015,10.0
2016-12-01,CU,015,10.0
2016-11-01,CU,015,10.0
2016-10-01,CU,015,10.0
2016-09-01,CU,015,10.0
2016-08-01,CU,015,10.0
2016-07-01,CU,015,10.0
2016-06-01,CU,015,10.0
2016-05-01,CU,015,10.0
2016-04-01,CU,015,10.0
2016-03-01,CU,015,10.0
2016-02-01,CU,015,10.0
2016-01-01,CU,015,10.0
2015-12-01,CU,015,10.0
2015-11-01,CU,015,10.0
2015-10-01,CU,015,10.0
2015-09-01,CU,015,10.0
2015-08-01,CU,015,10.0
2015-07-01,CU,015,10.0
2015-06-01,CU,015,10.0
2015-05-01,CU,015,10.0
2015-04-01,CU,015,10.0
2015-03-01,CU,015,10.0
2015-02-01,CU,015,10.0
2015-01-01,CU,015,10.0
2014-12-01,CU,015,10.0
2014-11-01,CU,015,10.0
2014-10-01,CU,015,10.0
2014-09-01,CU,015,10.0
2014-08-01,CU,015,10.0
2014-07-01,CU,015,10.0
2014-06-01,CU,015,10.0
2014-05-01,CU,015,10.0
2014-04-01,CU,015,10.0
2014-03-01,CU,015,10.0
2014-02-01,CU,015,10.0
2014-01-01,CU,015,10.0
2013-12-01,CU,015,10.0
2013-11-01,CU,015,10.0
2013-10-01,CU,015,10.0
2013-09-01,CU,015,10.0
2013-08-01,CU,015,10.0
2013-07-01,CU,015,10.0
2013-06-01,CU,015,10.0
2013-05-01,CU,015,10.0
2013-04-01,CU,015,10.0
2013-03-01,CU,015,10.0
2013-02-01,CU,015,10.0
2013-01-01,CU,015,10.0
2012-12-01,CU,015,10.0
2012-11-01,CU,015,10.0
2012-10-01,CU,015,10.0
2012-09-01,CU,015,10.0
2012-08-01,CU,015,10.0
2012-07-01,CU,015,10.0
2012-06-01,CU,015,10.0
2012-05-01,CU,015,10.0
2012-04-01,CU,015,10.0
2018-01-01,CU,016,36.8
2017-01-01,CU,016,30.1
2016-01-01,CU,016,30.2
2015-01-01,CU,016,29.9
2014-01-01,CU,016,26.1
2013-01-01,CU,016,28.3
2012-01-01,CU,016,29.0
2011-01-01,CU,016,28.52834
2010-01-01,CU,016,26.665005
2009-01-01,CU,016,26.782259
2008-01-01,CU,016,28.02676
2007-01-01,CU,016,28.8
2006-01-01,CU,016,28.781476
2005-01-01,CU,016,24.342122
2004-01-01,CU,016,23.52151
2003-01-01,CU,016,23.6
