date,country_code,indicator_code,value
2018-01-01,CV,001,-8775.0
2017-01-01,CV,001,-5950.0
2016-01-01,CV,001,15240.0
2015-01-01,CV,001,11654.0
2014-01-01,CV,001,-2643.0
2013-01-01,CV,001,-2430.0
2018-01-01,CV,002,12.2
2017-01-01,CV,002,12.2
2015-01-01,CV,002,31.3
2010-01-01,CV,002,10.7
1990-01-01,CV,002,23.0
2018-01-01,CV,004,90664.0
2017-01-01,CV,004,80048.0
2016-01-01,CV,004,71785.0
2015-01-01,CV,004,65576.0
2014-01-01,CV,004,74220.0
2013-01-01,CV,004,72271.0
2012-01-01,CV,004,67609.0
2011-01-01,CV,004,62374.0
2010-01-01,CV,004,53119.0
2009-01-01,CV,004,45091.0
2008-01-01,CV,004,53260.0
2007-01-01,CV,004,45571.0
2006-01-01,CV,004,43677.0
2005-01-01,CV,004,32000.0
2004-01-01,CV,004,26060.0
2003-01-01,CV,004,24741.0
2002-01-01,CV,004,23453.0
2001-01-01,CV,004,20244.0
2000-01-01,CV,004,20821.0
1999-01-01,CV,004,18854.0
1998-01-01,CV,004,15474.0
1997-01-01,CV,004,14660.0
1996-01-01,CV,004,11848.0
1995-01-01,CV,004,9666.0
1994-01-01,CV,004,9491.0
1993-01-01,CV,004,8065.0
1992-01-01,CV,004,6474.0
1991-01-01,CV,004,5833.0
1990-01-01,CV,004,5678.0
1989-01-01,CV,004,6183.0
1988-01-01,CV,004,4907.0
1987-01-01,CV,004,4758.0
1986-01-01,CV,004,4149.0
1985-01-01,CV,004,4406.0
1984-01-01,CV,004,3935.0
1983-01-01,CV,004,3770.0
1982-01-01,CV,004,2898.0
1981-01-01,CV,004,2248.0
1980-01-01,CV,004,1505.0
1979-01-01,CV,004,853.0
1978-01-01,CV,004,520.0
1977-01-01,CV,004,166.0
1976-01-01,CV,004,295.0
1975-01-01,CV,004,291.0
1974-01-01,CV,004,290.0
1973-01-01,CV,004,241.0
1972-01-01,CV,004,302.0
1971-01-01,CV,004,317.0
1970-01-01,CV,004,268.0
1969-01-01,CV,004,216.0
1968-01-01,CV,004,197.0
2019-12-01,CV,005,8.25
2019-11-01,CV,005,8.2
2019-10-01,CV,005,8.43
2019-09-01,CV,005,8.42
2019-08-01,CV,005,8.63
2019-07-01,CV,005,9.14
2019-06-01,CV,005,9.15
2019-05-01,CV,005,9.7
2019-04-01,CV,005,9.45
2019-03-01,CV,005,10.25
2019-02-01,CV,005,10.04
2019-01-01,CV,005,10.04
2018-12-01,CV,005,8.47
2018-11-01,CV,005,8.76
2018-10-01,CV,005,8.63
2018-09-01,CV,005,9.53
2018-08-01,CV,005,9.11
2018-07-01,CV,005,9.04
2018-06-01,CV,005,8.8
2018-05-01,CV,005,8.12
2018-04-01,CV,005,8.84
2018-03-01,CV,005,9.55
2018-02-01,CV,005,9.4
2018-01-01,CV,005,9.42
2017-12-01,CV,005,9.25
2017-11-01,CV,005,9.49
2017-10-01,CV,005,9.35
2017-09-01,CV,005,9.08
2017-08-01,CV,005,9.4
2017-07-01,CV,005,9.83
2017-06-01,CV,005,9.11
2017-05-01,CV,005,9.03
2017-04-01,CV,005,9.43
2017-03-01,CV,005,9.93
2017-02-01,CV,005,9.72
2017-01-01,CV,005,10.23
2016-12-01,CV,005,9.31
2016-11-01,CV,005,9.41
2016-10-01,CV,005,9.29
2016-09-01,CV,005,9.5
2016-08-01,CV,005,9.46
2016-07-01,CV,005,9.28
2016-06-01,CV,005,10.02
2016-05-01,CV,005,9.5
2016-04-01,CV,005,9.54
2016-03-01,CV,005,9.48
2016-02-01,CV,005,10.92
2016-01-01,CV,005,9.58
2015-12-01,CV,005,10.67
2015-11-01,CV,005,10.99
2015-10-01,CV,005,10.59
2015-09-01,CV,005,10.57
2015-08-01,CV,005,10.09
2015-07-01,CV,005,10.01
2015-06-01,CV,005,10.26
2015-05-01,CV,005,10.24
2015-04-01,CV,005,9.69
2015-03-01,CV,005,10.03
2015-02-01,CV,005,10.9
2015-01-01,CV,005,10.83
2014-12-01,CV,005,11.27
2014-11-01,CV,005,10.44
2014-10-01,CV,005,11.12
2014-09-01,CV,005,11.42
2014-08-01,CV,005,11.91
2014-07-01,CV,005,10.99
2014-06-01,CV,005,10.84
2014-05-01,CV,005,10.57
2014-04-01,CV,005,10.62
2014-03-01,CV,005,10.57
2014-02-01,CV,005,10.61
2014-01-01,CV,005,10.36
2013-12-01,CV,005,11.2
2013-11-01,CV,005,11.35
2013-10-01,CV,005,11.38
2013-09-01,CV,005,11.17
2013-08-01,CV,005,10.37
2013-07-01,CV,005,10.46
2013-06-01,CV,005,10.16
2013-05-01,CV,005,9.94
2013-04-01,CV,005,9.96
2013-03-01,CV,005,10.08
2013-02-01,CV,005,10.19
2013-01-01,CV,005,9.98
2012-12-01,CV,005,10.15
2012-11-01,CV,005,9.95
2012-10-01,CV,005,10.48
2012-09-01,CV,005,10.14
2012-08-01,CV,005,9.97
2012-07-01,CV,005,9.79
2012-06-01,CV,005,9.63
2012-05-01,CV,005,9.61
2012-04-01,CV,005,9.66
2012-03-01,CV,005,9.7
2012-02-01,CV,005,10.19
2012-01-01,CV,005,9.55
2011-12-01,CV,005,9.04
2011-11-01,CV,005,10.22
2011-10-01,CV,005,11.21
2011-09-01,CV,005,8.0
2011-08-01,CV,005,11.21
2011-07-01,CV,005,9.23
2011-06-01,CV,005,9.37
2011-05-01,CV,005,8.77
2011-04-01,CV,005,8.73
2011-03-01,CV,005,9.19
2011-02-01,CV,005,12.08
2011-01-01,CV,005,10.67
2010-12-01,CV,005,11.8
2010-11-01,CV,005,10.22
2010-10-01,CV,005,11.21
2010-09-01,CV,005,11.26
2010-08-01,CV,005,11.21
2010-07-01,CV,005,10.49
2010-06-01,CV,005,10.72
2010-05-01,CV,005,9.92
2010-04-01,CV,005,11.07
2010-03-01,CV,005,11.4
2010-02-01,CV,005,11.59
2010-01-01,CV,005,11.58
2009-12-01,CV,005,11.26
2009-11-01,CV,005,11.16
2009-10-01,CV,005,11.14
2009-09-01,CV,005,10.77
2009-08-01,CV,005,10.71
2009-07-01,CV,005,10.66
2009-06-01,CV,005,11.19
2009-05-01,CV,005,11.06
2009-04-01,CV,005,10.64
2009-03-01,CV,005,10.62
2009-02-01,CV,005,10.66
2009-01-01,CV,005,11.83
2008-12-01,CV,005,10.17
2008-11-01,CV,005,10.65
2008-10-01,CV,005,11.16
2008-09-01,CV,005,10.11
2008-08-01,CV,005,10.13
2008-07-01,CV,005,9.7
2008-06-01,CV,005,9.47
2008-05-01,CV,005,9.49
2008-04-01,CV,005,9.33
2008-03-01,CV,005,9.41
2008-02-01,CV,005,10.42
2008-01-01,CV,005,9.82
2007-12-01,CV,005,9.83
2007-11-01,CV,005,9.25
2007-10-01,CV,005,10.67
2007-09-01,CV,005,9.59
2007-08-01,CV,005,11.35
2007-07-01,CV,005,10.37
2007-06-01,CV,005,11.01
2007-05-01,CV,005,11.17
2007-04-01,CV,005,11.14
2007-03-01,CV,005,10.66
2007-02-01,CV,005,10.82
2007-01-01,CV,005,10.75
2006-12-01,CV,005,10.51
2006-11-01,CV,005,10.92
2006-10-01,CV,005,10.94
2006-09-01,CV,005,9.71
2006-08-01,CV,005,9.75
2006-07-01,CV,005,10.01
2006-06-01,CV,005,11.91
2006-05-01,CV,005,11.69
2019-12-01,CV,007,66149.0
2019-11-01,CV,007,64552.0
2019-10-01,CV,007,65700.0
2019-09-01,CV,007,68128.0
2019-08-01,CV,007,67661.0
2019-07-01,CV,007,63034.0
2019-06-01,CV,007,62516.0
2019-05-01,CV,007,58960.0
2019-04-01,CV,007,61543.0
2019-03-01,CV,007,61537.0
2019-02-01,CV,007,60359.0
2019-01-01,CV,007,57056.0
2018-12-01,CV,007,56396.0
2018-11-01,CV,007,58698.0
2018-10-01,CV,007,57315.0
2018-09-01,CV,007,56422.0
2018-08-01,CV,007,56953.0
2018-07-01,CV,007,58257.0
2018-06-01,CV,007,59393.0
2018-05-01,CV,007,59374.0
2018-04-01,CV,007,59781.0
2018-03-01,CV,007,59241.0
2018-02-01,CV,007,59947.0
2018-01-01,CV,007,59462.0
2017-12-01,CV,007,60227.0
2017-11-01,CV,007,53860.0
2017-10-01,CV,007,53444.0
2017-09-01,CV,007,53309.0
2017-08-01,CV,007,55501.0
2017-07-01,CV,007,53152.0
2017-06-01,CV,007,52442.0
2017-05-01,CV,007,53828.0
2017-04-01,CV,007,57396.0
2017-03-01,CV,007,57188.0
2017-02-01,CV,007,58559.0
2017-01-01,CV,007,57764.0
2016-12-01,CV,007,58018.0
2016-11-01,CV,007,54058.0
2016-10-01,CV,007,52650.0
2016-09-01,CV,007,52341.0
2016-08-01,CV,007,53688.0
2016-07-01,CV,007,51751.0
2016-06-01,CV,007,51901.0
2016-05-01,CV,007,51722.0
2016-04-01,CV,007,50601.0
2016-03-01,CV,007,49840.0
2016-02-01,CV,007,48699.0
2016-01-01,CV,007,48579.0
2015-12-01,CV,007,48463.0
2015-11-01,CV,007,42942.0
2015-10-01,CV,007,40278.0
2015-09-01,CV,007,41644.0
2015-08-01,CV,007,42881.0
2015-07-01,CV,007,43883.0
2015-06-01,CV,007,43564.0
2015-05-01,CV,007,44113.0
2015-04-01,CV,007,44656.0
2015-03-01,CV,007,44128.0
2015-02-01,CV,007,45584.0
2015-01-01,CV,007,44802.0
2014-12-01,CV,007,42617.0
2014-11-01,CV,007,39830.0
2014-10-01,CV,007,38027.0
2014-09-01,CV,007,35970.0
2014-08-01,CV,007,36242.0
2014-07-01,CV,007,34832.0
2014-06-01,CV,007,32651.0
2014-05-01,CV,007,34128.0
2014-04-01,CV,007,35877.0
2014-03-01,CV,007,35594.0
2014-02-01,CV,007,35617.0
2014-01-01,CV,007,34090.0
2013-12-01,CV,007,33541.0
2013-11-01,CV,007,29988.0
2013-10-01,CV,007,27906.0
2013-09-01,CV,007,28872.0
2013-08-01,CV,007,28253.0
2013-07-01,CV,007,28815.0
2013-06-01,CV,007,28253.0
2013-05-01,CV,007,25611.0
2013-04-01,CV,007,26610.0
2013-03-01,CV,007,25490.0
2013-02-01,CV,007,25963.0
2013-01-01,CV,007,24698.0
2012-12-01,CV,007,25375.0
2012-11-01,CV,007,23375.0
2012-10-01,CV,007,22445.0
2012-09-01,CV,007,22315.0
2012-08-01,CV,007,22231.0
2012-07-01,CV,007,21345.0
2012-06-01,CV,007,21138.0
2012-05-01,CV,007,20976.0
2012-04-01,CV,007,20842.0
2012-03-01,CV,007,19893.0
2012-02-01,CV,007,20261.0
2012-01-01,CV,007,20317.0
2011-12-01,CV,007,19986.0
2011-11-01,CV,007,18239.0
2011-10-01,CV,007,19090.0
2011-09-01,CV,007,20041.0
2011-08-01,CV,007,20737.0
2011-07-01,CV,007,21472.0
2011-06-01,CV,007,20524.0
2011-05-01,CV,007,21624.0
2011-04-01,CV,007,24034.0
2011-03-01,CV,007,26249.0
2011-02-01,CV,007,28220.0
2011-01-01,CV,007,28039.0
2010-12-01,CV,007,28482.0
2010-11-01,CV,007,26594.0
2010-10-01,CV,007,27195.0
2010-09-01,CV,007,27562.0
2010-08-01,CV,007,29439.0
2010-07-01,CV,007,28278.0
2010-06-01,CV,007,27736.0
2010-05-01,CV,007,29020.0
2010-04-01,CV,007,30004.0
2010-03-01,CV,007,26859.0
2010-02-01,CV,007,27061.0
2010-01-01,CV,007,26167.0
2009-12-01,CV,007,27376.0
2009-11-01,CV,007,23542.0
2009-10-01,CV,007,24780.0
2009-09-01,CV,007,25481.0
2009-08-01,CV,007,26180.0
2009-07-01,CV,007,26595.0
2009-06-01,CV,007,26565.0
2009-05-01,CV,007,28395.0
2009-04-01,CV,007,29307.0
2009-03-01,CV,007,29561.0
2009-02-01,CV,007,29476.0
2009-01-01,CV,007,28177.0
2008-12-01,CV,007,28991.0
2008-11-01,CV,007,30035.0
2008-10-01,CV,007,30499.0
2008-09-01,CV,007,30745.0
2008-08-01,CV,007,30919.0
2008-07-01,CV,007,30447.0
2008-06-01,CV,007,32038.0
2008-05-01,CV,007,32811.0
2008-04-01,CV,007,33674.0
2008-03-01,CV,007,33360.0
2008-02-01,CV,007,31107.0
2008-01-01,CV,007,30682.0
2007-12-01,CV,007,30998.0
2007-11-01,CV,007,30340.0
2007-10-01,CV,007,30208.0
2007-09-01,CV,007,30901.0
2007-08-01,CV,007,32756.0
2007-07-01,CV,007,32055.0
2007-06-01,CV,007,29977.0
2007-05-01,CV,007,29976.0
2007-04-01,CV,007,27661.0
2007-03-01,CV,007,27842.0
2007-02-01,CV,007,28036.0
2007-01-01,CV,007,26477.0
2006-12-01,CV,007,25189.0
2006-11-01,CV,007,28783.0
2006-10-01,CV,007,29001.0
2006-09-01,CV,007,28739.0
2006-08-01,CV,007,27904.0
2006-07-01,CV,007,28013.0
2006-06-01,CV,007,25725.0
2006-05-01,CV,007,24928.0
2006-04-01,CV,007,24561.0
2006-03-01,CV,007,24430.0
2006-02-01,CV,007,24223.0
2006-01-01,CV,007,23101.0
2005-12-01,CV,007,21864.0
2005-11-01,CV,007,20515.0
2005-10-01,CV,007,20665.0
2005-09-01,CV,007,20067.0
2005-08-01,CV,007,20440.0
2005-07-01,CV,007,19382.0
2005-06-01,CV,007,18123.0
2005-05-01,CV,007,17798.0
2005-04-01,CV,007,15629.0
2005-03-01,CV,007,14872.0
2005-02-01,CV,007,14262.0
2005-01-01,CV,007,14279.0
2004-12-01,CV,007,13716.0
2004-11-01,CV,007,12524.0
2004-10-01,CV,007,12413.0
2004-09-01,CV,007,13275.0
2004-08-01,CV,007,13516.0
2004-07-01,CV,007,12321.0
2004-06-01,CV,007,11388.0
2004-05-01,CV,007,11012.0
2004-04-01,CV,007,11638.0
2004-03-01,CV,007,10990.0
2004-02-01,CV,007,11141.0
2004-01-01,CV,007,10568.0
2003-12-01,CV,007,10233.0
2003-11-01,CV,007,9547.0
2003-10-01,CV,007,9368.0
2003-09-01,CV,007,10281.0
2003-08-01,CV,007,10950.0
2003-07-01,CV,007,10612.0
2003-06-01,CV,007,10448.0
2003-05-01,CV,007,10439.0
2003-04-01,CV,007,10775.0
2003-03-01,CV,007,11331.0
2003-02-01,CV,007,10397.0
2003-01-01,CV,007,10977.0
2002-12-01,CV,007,11071.0
2002-11-01,CV,007,10410.0
2002-10-01,CV,007,10554.0
2002-09-01,CV,007,11654.0
2002-08-01,CV,007,11522.0
2002-07-01,CV,007,11201.0
2002-06-01,CV,007,10727.0
2002-05-01,CV,007,10810.0
2002-04-01,CV,007,11677.0
2002-03-01,CV,007,12002.0
2002-02-01,CV,007,11344.0
2002-01-01,CV,007,9926.0
2001-12-01,CV,007,9914.0
2019-04-01,CV,009,11.0
2019-01-01,CV,009,9.0
2018-10-01,CV,009,13.0
2018-07-01,CV,009,12.0
2018-04-01,CV,009,11.0
2018-01-01,CV,009,10.0
2017-10-01,CV,009,15.66
2017-07-01,CV,009,9.89
2017-04-01,CV,009,7.0
2017-01-01,CV,009,5.0
2016-10-01,CV,009,4.0
2016-07-01,CV,009,-0.38
2016-04-01,CV,009,-6.53
2016-01-01,CV,009,-10.12
2015-10-01,CV,009,-12.51
2015-07-01,CV,009,-11.43
2015-04-01,CV,009,-14.35
2015-01-01,CV,009,-14.58
2014-10-01,CV,009,-13.94
2014-07-01,CV,009,-9.63
2014-04-01,CV,009,-7.54
2014-01-01,CV,009,-6.51
2013-10-01,CV,009,-5.42
2013-07-01,CV,009,-6.87
2013-04-01,CV,009,-5.27
2013-01-01,CV,009,-3.76
2019-01-01,CV,012,1.1
2018-01-01,CV,012,1.3
2017-01-01,CV,012,0.8
2016-01-01,CV,012,-1.4
2015-01-01,CV,012,0.1
2014-01-01,CV,012,-0.2
2013-01-01,CV,012,1.5
2012-01-01,CV,012,2.5
2011-01-01,CV,012,4.5
2010-01-01,CV,012,2.1
2009-01-01,CV,012,1.0
2008-01-01,CV,012,6.8
