date,country_code,indicator_code,value
2015-01-01,CW,001,2.0
2014-01-01,CW,001,-4.0
2019-07-01,CW,012,0.0
2019-04-01,CW,012,-1.0
2019-01-01,CW,012,0.0
2018-10-01,CW,012,2.0
2018-07-01,CW,012,0.0
2018-04-01,CW,012,0.0
2018-01-01,CW,012,2.0
2017-10-01,CW,012,0.0
2017-07-01,CW,012,0.0
2017-04-01,CW,012,0.0
2017-01-01,CW,012,0.0
2016-10-01,CW,012,0.0
2016-07-01,CW,012,0.0
2016-04-01,CW,012,0.0
2016-01-01,CW,012,0.0
2015-10-01,CW,012,0.0
2015-07-01,CW,012,0.0
2015-04-01,CW,012,0.0
2015-01-01,CW,012,0.0
2014-10-01,CW,012,2.0
2014-07-01,CW,012,1.0
2014-04-01,CW,012,2.0
2014-01-01,CW,012,3.0
2013-10-01,CW,012,10.0
2013-07-01,CW,012,2.0
2013-04-01,CW,012,3.0
2013-01-01,CW,012,8.0
2012-10-01,CW,012,12.0
2012-07-01,CW,012,3.0
2012-04-01,CW,012,3.0
2012-01-01,CW,012,11.0
2011-10-01,CW,012,17.0
2011-07-01,CW,012,8.0
2011-04-01,CW,012,15.0
2011-01-01,CW,012,13.0
2010-10-01,CW,012,11.0
2020-02-01,CW,034,116.86
2020-01-01,CW,034,117.21
2019-12-01,CW,034,117.03
2019-11-01,CW,034,116.95
2019-10-01,CW,034,116.86
2019-09-01,CW,034,116.86
2019-08-01,CW,034,116.16
2019-07-01,CW,034,115.9
2019-06-01,CW,034,116.16
2019-05-01,CW,034,115.2
2019-04-01,CW,034,114.15
2019-03-01,CW,034,113.27
2019-02-01,CW,034,113.62
2019-01-01,CW,034,114.24
2018-12-01,CW,034,114.41
2018-11-01,CW,034,113.71
2018-10-01,CW,034,113.27
2018-09-01,CW,034,113.45
2018-08-01,CW,034,113.1
2018-07-01,CW,034,112.84
2018-06-01,CW,034,112.4
2018-05-01,CW,034,111.79
2018-04-01,CW,034,111.87
2018-03-01,CW,034,111.7
2018-02-01,CW,034,111.26
2018-01-01,CW,034,111.17
2017-12-01,CW,034,110.47
2017-11-01,CW,034,110.3
2017-10-01,CW,034,109.95
2017-09-01,CW,034,109.86
2017-08-01,CW,034,109.69
2017-07-01,CW,034,109.6
2017-06-01,CW,034,109.42
2017-05-01,CW,034,109.34
2017-04-01,CW,034,109.69
2017-03-01,CW,034,109.6
2017-02-01,CW,034,109.86
2017-01-01,CW,034,109.16
2016-12-01,CW,034,108.64
2016-11-01,CW,034,108.38
2016-10-01,CW,034,108.11
2016-09-01,CW,034,108.38
2016-08-01,CW,034,108.81
2016-07-01,CW,034,108.38
2016-06-01,CW,034,107.76
2016-05-01,CW,034,107.33
2016-04-01,CW,034,107.41
2016-03-01,CW,034,107.41
2016-02-01,CW,034,107.5
2016-01-01,CW,034,108.29
2015-12-01,CW,034,107.76
2015-11-01,CW,034,107.76
2015-10-01,CW,034,107.68
2015-09-01,CW,034,108.73
2015-08-01,CW,034,109.16
2015-07-01,CW,034,109.51
2015-06-01,CW,034,108.29
2015-05-01,CW,034,107.76
2015-04-01,CW,034,107.06
2015-03-01,CW,034,107.06
2015-02-01,CW,034,107.59
2015-01-01,CW,034,108.64
2014-12-01,CW,034,108.99
2014-11-01,CW,034,109.69
2014-10-01,CW,034,108.9
2014-09-01,CW,034,109.08
2014-08-01,CW,034,109.42
2014-07-01,CW,034,109.42
2014-06-01,CW,034,109.34
2014-05-01,CW,034,108.38
2014-04-01,CW,034,107.24
2014-03-01,CW,034,107.15
2014-02-01,CW,034,107.94
2014-01-01,CW,034,107.68
2013-12-01,CW,034,107.15
2013-11-01,CW,034,107.33
2013-10-01,CW,034,106.98
2013-09-01,CW,034,106.54
2013-08-01,CW,034,106.45
2013-07-01,CW,034,106.28
2013-06-01,CW,034,107.15
2013-05-01,CW,034,107.68
2013-04-01,CW,034,108.2
2013-03-01,CW,034,107.59
2013-02-01,CW,034,106.8
2013-01-01,CW,034,105.84
2012-12-01,CW,034,106.36
2012-11-01,CW,034,107.06
2012-10-01,CW,034,106.36
2012-09-01,CW,034,105.66
2012-08-01,CW,034,105.58
2012-07-01,CW,034,105.84
2012-06-01,CW,034,105.84
2012-05-01,CW,034,105.58
2012-04-01,CW,034,105.14
2012-03-01,CW,034,104.88
2012-02-01,CW,034,104.44
2012-01-01,CW,034,104.35
2011-12-01,CW,034,103.74
2011-11-01,CW,034,103.56
