date,country_code,indicator_code,value
2019-10-01,CY,001,4.185
2019-07-01,CY,001,-1.256
2019-04-01,CY,001,9.257
2019-01-01,CY,001,1.735
2018-10-01,CY,001,-0.346
2018-07-01,CY,001,5.426
2018-04-01,CY,001,16.204
2018-01-01,CY,001,1.947
2017-10-01,CY,001,-0.365
2017-07-01,CY,001,4.674
2017-04-01,CY,001,13.468
2017-01-01,CY,001,-2.32
2016-10-01,CY,001,1.299
2016-07-01,CY,001,0.653
2016-04-01,CY,001,17.335
2016-01-01,CY,001,-12.026
2015-10-01,CY,001,4.333
2015-07-01,CY,001,-3.7
2015-04-01,CY,001,7.343
2015-01-01,CY,001,-12.343
2014-10-01,CY,001,1.7
2014-07-01,CY,001,0.6
2014-04-01,CY,001,5.9
2014-01-01,CY,001,-6.4
2013-10-01,CY,001,0.0
2013-07-01,CY,001,-0.5
2013-04-01,CY,001,-3.3
2013-01-01,CY,001,-15.1
2012-10-01,CY,001,-1.5
2012-07-01,CY,001,-2.7
2012-04-01,CY,001,0.6
2012-01-01,CY,001,-8.6
2011-10-01,CY,001,-0.8
2011-07-01,CY,001,-6.3
2011-04-01,CY,001,2.6
2011-01-01,CY,001,-2.1
2010-10-01,CY,001,3.6
2010-07-01,CY,001,3.3
2010-04-01,CY,001,8.4
2010-01-01,CY,001,-2.1
2009-10-01,CY,001,4.0
2009-07-01,CY,001,2.0
2009-04-01,CY,001,6.3
2009-01-01,CY,001,-9.5
2008-10-01,CY,001,3.8
2008-07-01,CY,001,-2.1
2008-04-01,CY,001,4.2
2008-01-01,CY,001,-5.1
2007-10-01,CY,001,5.1
2007-07-01,CY,001,1.9
2007-04-01,CY,001,8.6
2007-01-01,CY,001,7.2
2006-10-01,CY,001,2.1
2006-07-01,CY,001,3.6
2006-04-01,CY,001,5.7
2006-01-01,CY,001,0.1
2005-10-01,CY,001,1.0
2005-07-01,CY,001,1.8
2005-04-01,CY,001,3.6
2005-01-01,CY,001,19.467
2004-10-01,CY,001,-11.367
2004-07-01,CY,001,8.033
2004-04-01,CY,001,16.1
2004-01-01,CY,001,-7.866
2003-10-01,CY,001,-8.934
2003-07-01,CY,001,6.734
2003-04-01,CY,001,17.366
2003-01-01,CY,001,-8.7
2002-10-01,CY,001,-8.766
2002-07-01,CY,001,5.8
2000-10-01,CY,001,-5.833
2000-07-01,CY,001,-6.5
2000-04-01,CY,001,16.433
1999-04-01,CY,001,7.566
1999-01-01,CY,001,-3.666
1998-10-01,CY,001,-5.567
1998-07-01,CY,001,4.9
1998-04-01,CY,001,7.7
1998-01-01,CY,001,-5.7
1997-10-01,CY,001,-4.167
1997-07-01,CY,001,8.267
1997-04-01,CY,001,3.233
1997-01-01,CY,001,-3.8
1996-10-01,CY,001,-8.066
1996-07-01,CY,001,3.9
1996-04-01,CY,001,7.0
1996-01-01,CY,001,-4.067
1995-10-01,CY,001,-5.2
1995-07-01,CY,001,5.533
1995-04-01,CY,001,10.467
1995-01-01,CY,001,1.0
1994-10-01,CY,001,-5.0
1994-07-01,CY,001,5.033
1994-04-01,CY,001,7.167
1994-01-01,CY,001,-2.467
1993-10-01,CY,001,-4.2
1993-07-01,CY,001,4.467
1993-04-01,CY,001,3.033
1993-01-01,CY,001,-4.1
1992-10-01,CY,001,-1.966
1992-07-01,CY,001,2.233
1992-04-01,CY,001,5.3
1992-01-01,CY,001,1.267
1991-10-01,CY,001,0.766
1991-07-01,CY,001,6.434
1991-04-01,CY,001,5.9
