date,country_code,indicator_code,value
2019-10-01,CZ,001,5304.7
2019-07-01,CZ,001,5306.25
2019-04-01,CZ,001,5295.93
2019-01-01,CZ,001,5305.53
2018-10-01,CZ,001,5326.33
2018-07-01,CZ,001,5301.36
2018-04-01,CZ,001,5289.24
2018-01-01,CZ,001,5258.22
2017-10-01,CZ,001,5262.69
2017-07-01,CZ,001,5257.26
2017-04-01,CZ,001,5197.26
2017-01-01,CZ,001,5169.2
2016-10-01,CZ,001,5187.44
2016-07-01,CZ,001,5151.71
2016-04-01,CZ,001,5128.49
2016-01-01,CZ,001,5086.67
2015-10-01,CZ,001,5075.88
2015-07-01,CZ,001,5060.3
2015-04-01,CZ,001,5044.28
2015-01-01,CZ,001,4987.14
2014-10-01,CZ,001,5017.05
2014-07-01,CZ,001,4994.95
2014-04-01,CZ,001,4962.22
2014-01-01,CZ,001,4922.96
2013-10-01,CZ,001,4957.71
2013-07-01,CZ,001,4953.61
2013-04-01,CZ,001,4952.99
2013-01-01,CZ,001,4884.02
2012-10-01,CZ,001,4916.64
2012-07-01,CZ,001,4920.55
2012-04-01,CZ,001,4888.13
2012-01-01,CZ,001,4834.89
2011-10-01,CZ,001,4885.49
2011-07-01,CZ,001,4895.34
2011-04-01,CZ,001,4876.36
2011-01-01,CZ,001,4832.43
2010-10-01,CZ,001,4918.77
2010-07-01,CZ,001,4911.52
2010-04-01,CZ,001,4880.95
2010-01-01,CZ,001,4829.17
2009-10-01,CZ,001,4927.3
2009-07-01,CZ,001,4921.67
2009-04-01,CZ,001,4941.29
2009-01-01,CZ,001,4946.81
2008-10-01,CZ,001,5033.42
2008-07-01,CZ,001,5014.81
2008-04-01,CZ,001,5003.3
2008-01-01,CZ,001,4958.39
2007-10-01,CZ,001,4967.2
2007-07-01,CZ,001,4941.89
2007-04-01,CZ,001,4913.9
2007-01-01,CZ,001,4864.98
2006-10-01,CZ,001,4861.68
2006-07-01,CZ,001,4839.44
2006-04-01,CZ,001,4825.95
2006-01-01,CZ,001,4785.19
2005-10-01,CZ,001,4803.69
2005-07-01,CZ,001,4797.22
2005-04-01,CZ,001,4750.7
2005-01-01,CZ,001,4704.45
