date,country_code,indicator_code,value
2018-01-01,DJ,004,798760.0
2017-01-01,DJ,004,722864.0
2016-01-01,DJ,004,465572.0
2015-01-01,DJ,004,610975.0
2014-01-01,DJ,004,623353.0
2013-01-01,DJ,004,568315.0
2012-01-01,DJ,004,535499.0
2011-01-01,DJ,004,491280.0
2010-01-01,DJ,004,492690.0
2009-01-01,DJ,004,467561.0
2008-01-01,DJ,004,432042.0
2007-01-01,DJ,004,375917.0
2006-01-01,DJ,004,365602.0
2005-01-01,DJ,004,336988.0
2004-01-01,DJ,004,293514.0
2003-01-01,DJ,004,296169.0
2002-01-01,DJ,004,262957.0
2001-01-01,DJ,004,249915.0
2000-01-01,DJ,004,226215.0
1999-01-01,DJ,004,234179.0
1998-01-01,DJ,004,243493.0
1997-01-01,DJ,004,228468.0
1996-01-01,DJ,004,222751.0
1995-01-01,DJ,004,228079.0
1994-01-01,DJ,004,241339.0
1993-01-01,DJ,004,239962.0
1992-01-01,DJ,004,215571.0
1991-01-01,DJ,004,227546.0
1990-01-01,DJ,004,219491.0
1989-01-01,DJ,004,33501.0
1988-01-01,DJ,004,32335.0
1987-01-01,DJ,004,32269.0
1986-01-01,DJ,004,34677.0
1985-01-01,DJ,004,37612.0
1984-01-01,DJ,004,32515.0
1983-01-01,DJ,004,63671.0
1982-01-01,DJ,004,60068.0
1981-01-01,DJ,004,27293.0
1980-01-01,DJ,004,21401.0
1979-01-01,DJ,004,19247.0
1978-01-01,DJ,004,8528.0
2017-01-01,DJ,005,11.22
2016-10-01,DJ,005,11.3
2016-07-01,DJ,005,11.31
2016-04-01,DJ,005,11.71
2016-01-01,DJ,005,11.77
2015-10-01,DJ,005,11.56
2015-07-01,DJ,005,11.7
2015-04-01,DJ,005,11.61
2015-01-01,DJ,005,11.61
2014-10-01,DJ,005,12.0
2014-07-01,DJ,005,13.0
2014-04-01,DJ,005,12.77
2014-01-01,DJ,005,13.0
2013-10-01,DJ,005,12.42
2013-07-01,DJ,005,11.78
2013-04-01,DJ,005,11.78
