date,country_code,indicator_code,value
2017-10-01,DK,001,-0.08
2017-07-01,DK,001,-0.4
2017-04-01,DK,001,-1.48
2017-01-01,DK,001,-1.36
2016-10-01,DK,001,2.06
2016-07-01,DK,001,3.38
2016-04-01,DK,001,4.08
2016-01-01,DK,001,3.24
2015-10-01,DK,001,0.96
2015-07-01,DK,001,0.32
2015-04-01,DK,001,1.52
2015-01-01,DK,001,2.83
2014-10-01,DK,001,2.61
2014-07-01,DK,001,1.53
2014-04-01,DK,001,0.22
2014-01-01,DK,001,-0.42
2013-10-01,DK,001,-0.25
2013-07-01,DK,001,0.37
2013-04-01,DK,001,0.11
2013-01-01,DK,001,-0.39
2012-10-01,DK,001,-0.09
2012-07-01,DK,001,-1.11
2012-04-01,DK,001,-0.67
2012-01-01,DK,001,-0.2
2011-10-01,DK,001,-0.21
2011-07-01,DK,001,0.22
2011-04-01,DK,001,-0.05
2011-01-01,DK,001,-0.48
2010-10-01,DK,001,-0.56
2010-07-01,DK,001,-2.47
2010-04-01,DK,001,-2.49
2010-01-01,DK,001,-3.72
2009-10-01,DK,001,-5.28
2009-07-01,DK,001,-3.09
2009-04-01,DK,001,-2.73
2009-01-01,DK,001,-0.4
2008-10-01,DK,001,2.67
2008-07-01,DK,001,2.46
2008-04-01,DK,001,1.67
2008-01-01,DK,001,0.21
2007-10-01,DK,001,-1.26
2007-07-01,DK,001,-0.95
2007-04-01,DK,001,0.81
2007-01-01,DK,001,1.2
2006-10-01,DK,001,1.37
2006-07-01,DK,001,2.63
2006-04-01,DK,001,1.99
2006-01-01,DK,001,1.72
2005-10-01,DK,001,1.7
2005-07-01,DK,001,-0.39
2005-04-01,DK,001,-0.15
2005-01-01,DK,001,0.94
2004-10-01,DK,001,1.24
2004-07-01,DK,001,1.53
2004-04-01,DK,001,1.39
2004-01-01,DK,001,0.37
2003-10-01,DK,001,-0.38
2003-07-01,DK,001,-0.13
2003-04-01,DK,001,-1.31
2003-01-01,DK,001,-0.53
2002-10-01,DK,001,-1.61
2002-07-01,DK,001,-0.87
2002-04-01,DK,001,0.85
2002-01-01,DK,001,-0.38
2001-10-01,DK,001,1.2
2001-07-01,DK,001,1.66
2001-04-01,DK,001,0.04
2001-01-01,DK,001,0.65
2000-10-01,DK,001,1.82
2000-07-01,DK,001,-0.25
2000-04-01,DK,001,0.3
2000-01-01,DK,001,0.15
1999-10-01,DK,001,-0.63
1999-07-01,DK,001,1.93
1999-04-01,DK,001,1.09
1999-01-01,DK,001,1.48
1998-10-01,DK,001,0.37
1998-07-01,DK,001,0.04
1998-04-01,DK,001,0.14
1998-01-01,DK,001,1.26
1997-10-01,DK,001,1.93
1997-07-01,DK,001,1.91
1997-04-01,DK,001,2.01
1997-01-01,DK,001,1.47
1996-10-01,DK,001,1.27
1996-07-01,DK,001,0.23
1996-04-01,DK,001,0.84
1996-01-01,DK,001,0.43
1995-04-01,DK,001,2.51
1994-04-01,DK,001,-1.16
1993-04-01,DK,001,-2.64
2019-10-01,DK,002,110.3
2019-07-01,DK,002,109.7
2019-04-01,DK,002,108.9
2019-01-01,DK,002,108.2
2018-10-01,DK,002,107.6
2018-07-01,DK,002,107.0
2018-04-01,DK,002,106.6
2018-01-01,DK,002,105.8
2017-10-01,DK,002,105.2
2017-07-01,DK,002,104.7
2017-04-01,DK,002,104.0
2017-01-01,DK,002,103.6
2016-10-01,DK,002,103.1
2016-07-01,DK,002,102.4
2016-04-01,DK,002,101.9
2016-01-01,DK,002,101.4
2015-10-01,DK,002,100.7
2015-07-01,DK,002,100.3
2015-04-01,DK,002,99.8
2015-01-01,DK,002,99.2
2014-10-01,DK,002,98.7
2014-07-01,DK,002,98.4
2014-04-01,DK,002,98.0
2014-01-01,DK,002,97.8
2013-10-01,DK,002,97.5
2013-07-01,DK,002,97.1
2013-04-01,DK,002,96.7
2013-01-01,DK,002,96.3
2012-10-01,DK,002,96.0
2012-07-01,DK,002,95.5
2012-04-01,DK,002,95.2
2012-01-01,DK,002,94.8
2011-10-01,DK,002,94.5
2011-07-01,DK,002,94.0
2011-04-01,DK,002,93.4
2011-01-01,DK,002,92.9
2010-10-01,DK,002,92.3
2010-07-01,DK,002,91.9
2010-04-01,DK,002,91.4
2010-01-01,DK,002,90.9
2009-10-01,DK,002,90.2
2009-07-01,DK,002,89.7
2009-04-01,DK,002,89.0
2009-01-01,DK,002,88.6
2008-10-01,DK,002,88.0
2008-07-01,DK,002,87.4
2008-04-01,DK,002,86.7
2008-01-01,DK,002,85.5
2007-10-01,DK,002,84.8
2007-07-01,DK,002,83.8
2007-04-01,DK,002,82.9
2007-01-01,DK,002,81.9
2006-10-01,DK,002,81.2
2006-07-01,DK,002,80.4
2006-04-01,DK,002,79.8
2006-01-01,DK,002,79.1
2005-10-01,DK,002,78.6
2005-07-01,DK,002,78.0
2005-04-01,DK,002,77.5
2005-01-01,DK,002,76.7
2004-10-01,DK,002,76.0
2004-07-01,DK,002,75.4
2004-04-01,DK,002,73.9
2004-01-01,DK,002,74.4
2003-10-01,DK,002,73.9
2003-07-01,DK,002,73.2
2003-04-01,DK,002,71.7
2003-01-01,DK,002,71.8
2002-10-01,DK,002,71.0
2002-07-01,DK,002,70.1
2002-04-01,DK,002,69.2
2002-01-01,DK,002,68.7
2001-10-01,DK,002,68.0
2001-07-01,DK,002,67.5
2001-04-01,DK,002,66.8
2001-01-01,DK,002,65.9
2000-10-01,DK,002,65.2
2000-07-01,DK,002,64.6
2000-04-01,DK,002,63.8
2000-01-01,DK,002,63.5
1999-10-01,DK,002,63.0
1999-07-01,DK,002,62.3
1999-04-01,DK,002,61.8
1999-01-01,DK,002,61.4
1998-10-01,DK,002,60.6
1998-07-01,DK,002,60.0
1998-04-01,DK,002,59.3
1998-01-01,DK,002,58.5
1997-10-01,DK,002,57.9
1997-07-01,DK,002,57.4
1997-04-01,DK,002,56.8
1997-01-01,DK,002,56.3
1996-10-01,DK,002,55.8
1996-07-01,DK,002,55.3
1996-04-01,DK,002,54.7
1996-01-01,DK,002,54.3
1995-10-01,DK,002,53.8
1995-07-01,DK,002,53.3
1995-04-01,DK,002,52.7
1995-01-01,DK,002,52.3
1994-10-01,DK,002,51.7
1994-07-01,DK,002,51.4
1994-04-01,DK,002,50.7
1994-01-01,DK,002,50.5
1993-10-01,DK,002,50.1
1993-07-01,DK,002,49.5
1993-04-01,DK,002,49.5
1993-01-01,DK,002,49.2
1992-10-01,DK,002,48.9
1992-07-01,DK,002,48.7
1992-04-01,DK,002,48.3
1992-01-01,DK,002,47.7
1991-10-01,DK,002,47.5
1991-07-01,DK,002,47.1
1991-04-01,DK,002,46.7
1991-01-01,DK,002,46.0
1990-10-01,DK,002,45.6
1990-07-01,DK,002,45.0
1990-04-01,DK,002,44.5
1990-01-01,DK,002,44.2
1989-10-01,DK,002,43.5
1989-07-01,DK,002,43.0
1989-04-01,DK,002,42.5
1989-01-01,DK,002,42.2
1988-10-01,DK,002,41.8
1988-07-01,DK,002,41.4
1988-04-01,DK,002,40.7
1988-01-01,DK,002,40.0
1987-10-01,DK,002,39.6
1987-07-01,DK,002,38.7
1987-04-01,DK,002,38.2
1987-01-01,DK,002,37.2
1986-10-01,DK,002,36.1
1986-07-01,DK,002,35.5
1986-04-01,DK,002,34.9
1986-01-01,DK,002,34.6
1985-10-01,DK,002,34.2
1985-07-01,DK,002,33.8
1985-04-01,DK,002,33.2
1985-01-01,DK,002,32.9
1984-10-01,DK,002,32.5
1984-07-01,DK,002,32.1
1984-04-01,DK,002,32.0
1984-01-01,DK,002,31.3
1983-10-01,DK,002,31.0
1983-07-01,DK,002,30.8
1983-04-01,DK,002,30.4
1983-01-01,DK,002,30.1
1982-10-01,DK,002,29.7
1982-07-01,DK,002,28.9
1982-04-01,DK,002,28.4
1982-01-01,DK,002,27.7
1981-10-01,DK,002,27.1
1981-07-01,DK,002,26.4
1981-04-01,DK,002,25.7
1981-01-01,DK,002,25.2
1980-10-01,DK,002,24.5
1980-07-01,DK,002,24.1
1980-04-01,DK,002,23.6
1980-01-01,DK,002,23.0
1979-10-01,DK,002,22.5
1979-07-01,DK,002,21.6
1979-04-01,DK,002,21.0
1979-01-01,DK,002,20.4
1978-10-01,DK,002,19.8
1978-07-01,DK,002,19.4
1978-04-01,DK,002,19.0
1978-01-01,DK,002,18.6
1977-10-01,DK,002,18.1
1977-07-01,DK,002,17.7
1977-04-01,DK,002,17.2
1977-01-01,DK,002,16.7
1976-10-01,DK,002,16.4
1976-07-01,DK,002,16.0
1976-04-01,DK,002,15.6
1976-01-01,DK,002,15.2
1975-10-01,DK,002,14.8
1975-07-01,DK,002,14.4
1975-04-01,DK,002,13.9
1975-01-01,DK,002,13.4
1974-10-01,DK,002,12.8
1974-07-01,DK,002,12.1
1974-04-01,DK,002,11.6
1974-01-01,DK,002,11.1
1973-10-01,DK,002,10.6
1973-07-01,DK,002,10.1
1973-04-01,DK,002,9.5
1973-01-01,DK,002,8.9
1972-10-01,DK,002,8.7
1972-07-01,DK,002,8.3
1972-04-01,DK,002,8.1
1972-01-01,DK,002,8.0
1971-10-01,DK,002,7.6
