date,country_code,indicator_code,value
2017-04-01,DM,001,2.91
2017-01-01,DM,001,4.07
2016-10-01,DM,001,2.76
2016-07-01,DM,001,4.74
2016-04-01,DM,001,5.0
2016-01-01,DM,001,1.97
2015-10-01,DM,001,3.55
2015-07-01,DM,001,3.21
2015-04-01,DM,001,-2.22
2014-10-01,DM,001,0.63
2014-04-01,DM,001,4.83
2013-10-01,DM,001,1.91
2013-04-01,DM,001,-0.27
2012-10-01,DM,001,1.39
2012-04-01,DM,001,3.12
2011-10-01,DM,001,3.98
2011-04-01,DM,001,3.88
2010-10-01,DM,001,3.85
2010-04-01,DM,001,3.64
2009-10-01,DM,001,-1.54
2009-04-01,DM,001,-1.99
2008-10-01,DM,001,2.6
2008-04-01,DM,001,3.54
2007-10-01,DM,001,3.04
2007-04-01,DM,001,3.55
2006-10-01,DM,001,5.2
2006-04-01,DM,001,4.49
2005-10-01,DM,001,1.67
2005-04-01,DM,001,2.47
2004-10-01,DM,001,4.58
2004-04-01,DM,001,2.97
2003-10-01,DM,001,-0.19
2003-04-01,DM,001,-0.61
2002-10-01,DM,001,3.88
2002-04-01,DM,001,3.03
2018-01-01,DM,004,435.0
2017-01-01,DM,004,576.0
2016-01-01,DM,004,694.0
2015-01-01,DM,004,691.0
2014-01-01,DM,004,737.0
2013-01-01,DM,004,522.0
2012-01-01,DM,004,428.0
2011-01-01,DM,004,508.0
2010-01-01,DM,004,474.0
2009-01-01,DM,004,399.0
2008-01-01,DM,004,423.0
2007-01-01,DM,004,399.0
2006-01-01,DM,004,390.0
2005-01-01,DM,004,349.0
2004-01-01,DM,004,352.0
2003-01-01,DM,004,320.0
2002-01-01,DM,004,333.0
2001-01-01,DM,004,327.0
2000-01-01,DM,004,390.0
1999-01-01,DM,004,423.0
1998-01-01,DM,004,409.0
1997-01-01,DM,004,370.0
1996-01-01,DM,004,329.0
1995-01-01,DM,004,301.0
1994-01-01,DM,004,272.0
1993-01-01,DM,004,263.0
1992-01-01,DM,004,264.0
1991-01-01,DM,004,249.0
1990-01-01,DM,004,245.0
1989-01-01,DM,004,195.0
1988-01-01,DM,004,212.0
1987-01-01,DM,004,182.0
1986-01-01,DM,004,161.0
1985-01-01,DM,004,97.0
1984-01-01,DM,004,86.0
1983-01-01,DM,004,89.0
1982-01-01,DM,004,80.0
1981-01-01,DM,004,62.0
1980-01-01,DM,004,35.0
1979-01-01,DM,004,34.0
1978-01-01,DM,004,35.0
1977-01-01,DM,004,28.0
1976-01-01,DM,004,24.0
1975-01-01,DM,004,20.0
1974-01-01,DM,004,17.0
1973-01-01,DM,004,14.0
1972-01-01,DM,004,11.0
