date,country_code,indicator_code,value
2017-04-01,DO,001,2.91
2017-01-01,DO,001,4.07
2016-10-01,DO,001,2.76
2016-07-01,DO,001,4.74
2016-04-01,DO,001,5.0
2016-01-01,DO,001,1.97
2015-10-01,DO,001,3.55
2015-07-01,DO,001,3.21
2015-04-01,DO,001,-2.22
2014-10-01,DO,001,0.63
2014-04-01,DO,001,4.83
2013-10-01,DO,001,1.91
2013-04-01,DO,001,-0.27
2012-10-01,DO,001,1.39
2012-04-01,DO,001,3.12
2011-10-01,DO,001,3.98
2011-04-01,DO,001,3.88
2010-10-01,DO,001,3.85
2010-04-01,DO,001,3.64
2009-10-01,DO,001,-1.54
2009-04-01,DO,001,-1.99
2008-10-01,DO,001,2.6
2008-04-01,DO,001,3.54
2007-10-01,DO,001,3.04
2007-04-01,DO,001,3.55
2006-10-01,DO,001,5.2
2006-04-01,DO,001,4.49
2005-10-01,DO,001,1.67
2005-04-01,DO,001,2.47
2004-10-01,DO,001,4.58
2004-04-01,DO,001,2.97
2003-10-01,DO,001,-0.19
2003-04-01,DO,001,-0.61
2002-10-01,DO,001,3.88
2002-04-01,DO,001,3.03
2016-05-01,DO,002,94.95
2015-11-01,DO,002,99.51
2015-05-01,DO,002,89.81
2014-11-01,DO,002,87.79
2014-05-01,DO,002,84.07
2013-11-01,DO,002,83.37
2013-05-01,DO,002,81.42
2012-11-01,DO,002,79.68
2012-05-01,DO,002,75.71
2011-11-01,DO,002,82.93
2011-05-01,DO,002,76.7
2010-11-01,DO,002,76.14
2010-05-01,DO,002,73.28
2009-11-01,DO,002,72.78
2009-05-01,DO,002,68.86
2008-11-01,DO,002,68.62
2008-05-01,DO,002,66.63
2007-11-01,DO,002,59.38
2007-05-01,DO,002,57.31
2006-11-01,DO,002,56.39
2006-05-01,DO,002,55.48
2005-11-01,DO,002,53.56
2005-05-01,DO,002,52.68
2004-11-01,DO,002,49.25
2004-05-01,DO,002,41.86
2003-11-01,DO,002,41.49
2003-05-01,DO,002,37.66
2002-11-01,DO,002,32.16
2002-05-01,DO,002,32.16
2001-11-01,DO,002,31.59
2001-05-01,DO,002,32.46
2000-11-01,DO,002,30.22
2000-05-01,DO,002,29.75
1999-11-01,DO,002,29.35
2018-01-01,DO,004,-209806.0
2017-01-01,DO,004,-108786.0
2016-01-01,DO,004,-131374.0
2015-01-01,DO,004,-148996.0
2014-01-01,DO,004,-151949.0
2013-01-01,DO,004,-166288.0
2012-01-01,DO,004,-220046.0
2011-01-01,DO,004,-234630.0
2010-01-01,DO,004,-211180.0
2009-01-01,DO,004,-148439.0
2008-01-01,DO,004,-225627.0
2007-01-01,DO,004,-122845.0
2006-01-01,DO,004,-92292.0
2005-01-01,DO,004,-54078.0
2004-01-01,DO,004,8831.0
2003-01-01,DO,004,-902.0
2002-01-01,DO,004,-34734.0
2001-01-01,DO,004,-28756.0
2000-01-01,DO,004,-32663.0
1999-01-01,DO,004,-22225.0
1998-01-01,DO,004,-23234.0
1997-01-01,DO,004,-10622.0
1996-01-01,DO,004,-6750.0
1995-01-01,DO,004,-7376.0
1994-01-01,DO,004,-8760.0
1993-01-01,DO,004,-8542.0
1992-01-01,DO,004,-9948.0
1991-01-01,DO,004,-4590.0
1990-01-01,DO,004,-4811.0
1989-01-01,DO,004,-3446.0
1988-01-01,DO,004,-785.0
1987-01-01,DO,004,-1569.0
1986-01-01,DO,004,-631.0
1985-01-01,DO,004,-733.0
1984-01-01,DO,004,-960.0
1983-01-01,DO,004,-681.0
1982-01-01,DO,004,-678.0
1981-01-01,DO,004,-559.0
1980-01-01,DO,004,-928.0
1979-01-01,DO,004,-536.0
1978-01-01,DO,004,-512.0
1977-01-01,DO,004,-330.0
1976-01-01,DO,004,-272.0
1975-01-01,DO,004,-121.0
1974-01-01,DO,004,-274.0
1973-01-01,DO,004,-103.0
1972-01-01,DO,004,-67.0
1971-01-01,DO,004,-162.0
1970-01-01,DO,004,-148.0
1969-01-01,DO,004,-94.0
1968-01-01,DO,004,-88.0
1967-01-01,DO,004,-72.0
1966-01-01,DO,004,-89.0
1965-01-01,DO,004,-35.0
1964-01-01,DO,004,-86.0
1963-01-01,DO,004,-49.0
1962-01-01,DO,004,-3.0
1961-01-01,DO,004,45.0
1960-01-01,DO,004,46.0
2017-01-01,DO,005,15.4
2016-01-01,DO,005,15.1
2015-01-01,DO,005,14.9
2014-01-01,DO,005,13.9
2013-01-01,DO,005,13.6
2012-01-01,DO,005,15.5
2011-01-01,DO,005,15.6
2010-01-01,DO,005,12.1
2009-01-01,DO,005,18.1
2008-01-01,DO,005,19.9
2007-01-01,DO,005,15.8
2006-01-01,DO,005,19.5
2005-01-01,DO,005,24.1
2004-01-01,DO,005,32.6
2003-01-01,DO,005,31.4
2002-01-01,DO,005,26.1
2001-01-01,DO,005,24.3
2000-01-01,DO,005,26.8
1999-01-01,DO,005,25.0
1998-01-01,DO,005,25.6
1997-01-01,DO,005,21.0
1996-01-01,DO,005,23.7
1995-01-01,DO,005,30.7
1994-01-01,DO,005,28.7
1993-01-01,DO,005,29.9
1992-01-01,DO,005,28.3
1991-01-01,DO,005,35.3
2020-03-01,DO,007,2209774.70517
2020-02-01,DO,007,2167019.21352
2020-01-01,DO,007,2171974.94744
2019-12-01,DO,007,2158010.79195
2019-11-01,DO,007,2086469.87571
2019-10-01,DO,007,2046921.1781
2019-09-01,DO,007,2029971.11761
2019-08-01,DO,007,2001442.2702
2019-07-01,DO,007,1999043.41095
2019-06-01,DO,007,1989244.99713
2019-05-01,DO,007,1970102.29355
2019-04-01,DO,007,1997330.14571
2019-03-01,DO,007,1985020.80109
2019-02-01,DO,007,1938778.51129
2019-01-01,DO,007,1917803.12727
2018-12-01,DO,007,1929131.19223
2018-11-01,DO,007,1882716.51076
2018-10-01,DO,007,1855872.14567
2018-09-01,DO,007,1852130.10129
2018-08-01,DO,007,1843077.73524
2018-07-01,DO,007,1821426.85902
2018-06-01,DO,007,1824007.73633
2018-05-01,DO,007,1805046.53635
2018-04-01,DO,007,1797448.47832
2018-03-01,DO,007,1789748.97335
2018-02-01,DO,007,1800806.30765
2018-01-01,DO,007,1806046.80813
2017-12-01,DO,007,1789130.77855
2017-11-01,DO,007,1747949.1463
2017-10-01,DO,007,1746168.80426
2017-09-01,DO,007,1724619.5783
2017-08-01,DO,007,1698037.86162
2017-07-01,DO,007,1685139.23946
2017-06-01,DO,007,1676769.85489
2017-05-01,DO,007,1674252.54011
2017-04-01,DO,007,1671350.68224
2017-03-01,DO,007,1655961.25497
2017-02-01,DO,007,1640356.29353
2017-01-01,DO,007,1628972.47271
2016-12-01,DO,007,1640108.92262
2016-11-01,DO,007,1598561.85564
2016-10-01,DO,007,1585167.43665
2016-09-01,DO,007,1556142.25929
2016-08-01,DO,007,1557744.59423
2016-07-01,DO,007,1539758.4031
2016-06-01,DO,007,1527416.7538
2016-05-01,DO,007,1507830.06929
2016-04-01,DO,007,1505757.46347
2016-03-01,DO,007,1495330.71405
2016-02-01,DO,007,1472094.73035
2016-01-01,DO,007,1472023.94605
2015-12-01,DO,007,1466102.905
2015-11-01,DO,007,1437349.67119
2015-10-01,DO,007,1416966.53458
2015-09-01,DO,007,1413882.16446
2015-08-01,DO,007,1397518.60362
2015-07-01,DO,007,1375207.18541
2015-06-01,DO,007,1374172.84241
2015-05-01,DO,007,1380137.76087
2015-04-01,DO,007,1342725.90418
2015-03-01,DO,007,1338286.67289
2015-02-01,DO,007,1322423.97334
2015-01-01,DO,007,1315431.1191
2014-12-01,DO,007,1315283.9633
2014-11-01,DO,007,1280499.72434
2014-10-01,DO,007,1277027.98854
2014-09-01,DO,007,1252054.7314
2014-08-01,DO,007,1248579.97695
2014-07-01,DO,007,1240209.88785
2014-06-01,DO,007,1228540.08873
2014-05-01,DO,007,1212061.70173
2014-04-01,DO,007,1218903.72685
2014-03-01,DO,007,1215993.29631
2014-02-01,DO,007,1194961.04556
2014-01-01,DO,007,1183737.14015
