date,country_code,indicator_code,value
2018-01-01,DZ,001,190.0
2017-01-01,DZ,001,13.0
2016-01-01,DZ,001,251.0
2015-01-01,DZ,001,355.0
2014-01-01,DZ,001,-549.0
2013-01-01,DZ,001,618.0
2012-01-01,DZ,001,571.0
2011-01-01,DZ,001,-136.0
2010-01-01,DZ,001,263.0
2009-01-01,DZ,001,327.0
2017-01-01,DZ,002,40325.0
2016-01-01,DZ,002,39901.0
2015-01-01,DZ,002,39242.0
2013-01-01,DZ,002,36104.0
2012-01-01,DZ,002,31755.0
2011-01-01,DZ,002,29352.0
2018-01-01,DZ,004,5175605.0
2017-01-01,DZ,004,4182000.0
2016-01-01,DZ,004,3555512.0
2015-01-01,DZ,004,3830332.0
2014-01-01,DZ,004,5120120.0
2013-01-01,DZ,004,5420385.0
2012-01-01,DZ,004,5869570.0
2011-01-01,DZ,004,5583059.0
2010-01-01,DZ,004,4512146.0
2009-01-01,DZ,004,3503490.0
2008-01-01,DZ,004,5301098.0
2007-01-01,DZ,004,4398682.0
2006-01-01,DZ,004,4164104.0
2005-01-01,DZ,004,3578815.0
2004-01-01,DZ,004,2455278.0
2003-01-01,DZ,004,2014592.0
2002-01-01,DZ,004,1594368.0
2001-01-01,DZ,004,1544439.0
2000-01-01,DZ,004,1699315.0
1999-01-01,DZ,004,867160.0
1998-01-01,DZ,004,639080.0
1997-01-01,DZ,004,859257.0
1996-01-01,DZ,004,764625.0
1995-01-01,DZ,004,521348.0
1994-01-01,DZ,004,336055.0
1993-01-01,DZ,004,257262.0
1992-01-01,DZ,004,264871.0
1991-01-01,DZ,004,237563.0
1990-01-01,DZ,004,119941.0
1989-01-01,DZ,004,78100.0
1988-01-01,DZ,004,49900.0
1987-01-01,DZ,004,45800.0
1986-01-01,DZ,004,38700.0
1985-01-01,DZ,004,68600.0
1984-01-01,DZ,004,67700.0
1983-01-01,DZ,004,65300.0
1982-01-01,DZ,004,64200.0
1981-01-01,DZ,004,66200.0
1980-01-01,DZ,004,55800.0
1979-01-01,DZ,004,40701.0
1978-01-01,DZ,004,27219.0
1977-01-01,DZ,004,27082.0
1976-01-01,DZ,004,24847.0
1975-01-01,DZ,004,21126.0
1974-01-01,DZ,004,21399.0
1973-01-01,DZ,004,8100.0
1972-01-01,DZ,004,6900.0
1971-01-01,DZ,004,4700.0
1970-01-01,DZ,004,5400.0
1969-01-01,DZ,004,4500.0
1968-01-01,DZ,004,4200.0
1967-01-01,DZ,004,3800.0
1966-01-01,DZ,004,3700.0
1965-01-01,DZ,004,3388.0
1964-01-01,DZ,004,3487.0
1963-01-01,DZ,004,3185.0
1962-01-01,DZ,004,1900.0
1961-01-01,DZ,004,5400.0
1960-01-01,DZ,004,5100.0
1959-01-01,DZ,004,2800.0
1958-01-01,DZ,004,2300.0
1957-01-01,DZ,004,2000.0
1956-01-01,DZ,004,1700.0
1955-01-01,DZ,004,1900.0
1954-01-01,DZ,004,1600.0
1953-01-01,DZ,004,1500.0
1952-01-01,DZ,004,1600.0
1951-01-01,DZ,004,1500.0
1950-01-01,DZ,004,1300.0
2020-03-01,DZ,005,8.0
2020-02-01,DZ,005,8.0
2020-01-01,DZ,005,8.0
2019-12-01,DZ,005,8.0
2019-11-01,DZ,005,8.0
2019-10-01,DZ,005,8.0
2019-09-01,DZ,005,8.0
2019-08-01,DZ,005,8.0
2019-07-01,DZ,005,8.0
2019-06-01,DZ,005,8.0
2019-05-01,DZ,005,8.0
2019-04-01,DZ,005,8.0
2019-03-01,DZ,005,8.0
2019-02-01,DZ,005,8.0
2019-01-01,DZ,005,8.0
2018-12-01,DZ,005,8.0
2018-11-01,DZ,005,8.0
2018-10-01,DZ,005,8.0
2018-09-01,DZ,005,8.0
2018-08-01,DZ,005,8.0
2018-07-01,DZ,005,8.0
2018-06-01,DZ,005,8.0
2018-05-01,DZ,005,8.0
2018-04-01,DZ,005,8.0
2018-03-01,DZ,005,8.0
2018-02-01,DZ,005,8.0
2018-01-01,DZ,005,8.0
2017-12-01,DZ,005,8.0
2017-11-01,DZ,005,8.0
2017-10-01,DZ,005,8.0
2017-09-01,DZ,005,8.0
2017-08-01,DZ,005,8.0
2017-07-01,DZ,005,8.0
2017-06-01,DZ,005,8.0
