date,country_code,indicator_code,value
2019-10-01,EA,001,1.1
2019-07-01,EA,001,1.1
2019-04-01,EA,001,1.3
2019-01-01,EA,001,1.4
2018-10-01,EA,001,1.4
2018-07-01,EA,001,1.4
2018-04-01,EA,001,1.6
2018-01-01,EA,001,1.6
2017-10-01,EA,001,1.6
2017-07-01,EA,001,1.7
2017-04-01,EA,001,1.6
2017-01-01,EA,001,1.6
2016-10-01,EA,001,1.3
2016-07-01,EA,001,1.3
2016-04-01,EA,001,1.4
2016-01-01,EA,001,1.4
2015-10-01,EA,001,1.2
2015-07-01,EA,001,1.0
2015-04-01,EA,001,0.9
2015-01-01,EA,001,0.8
2014-10-01,EA,001,0.8
2014-07-01,EA,001,0.7
2014-04-01,EA,001,0.5
2014-01-01,EA,001,0.2
2013-10-01,EA,001,-0.2
2013-07-01,EA,001,-0.6
2013-04-01,EA,001,-0.8
2013-01-01,EA,001,-0.8
2012-10-01,EA,001,-0.6
2012-07-01,EA,001,-0.5
2012-04-01,EA,001,-0.4
2012-01-01,EA,001,-0.3
2011-10-01,EA,001,-0.2
2011-07-01,EA,001,0.2
2011-04-01,EA,001,0.4
2011-01-01,EA,001,0.2
2010-10-01,EA,001,0.1
2010-07-01,EA,001,-0.3
2010-04-01,EA,001,-0.7
2010-01-01,EA,001,-1.3
2009-10-01,EA,001,-2.0
2009-07-01,EA,001,-2.2
2009-04-01,EA,001,-2.0
2009-01-01,EA,001,-1.3
2008-10-01,EA,001,-0.1
2008-07-01,EA,001,0.6
2008-04-01,EA,001,1.2
2008-01-01,EA,001,1.7
2007-10-01,EA,001,1.8
2007-07-01,EA,001,1.9
2007-04-01,EA,001,1.9
2007-01-01,EA,001,2.0
2006-10-01,EA,001,1.9
2006-07-01,EA,001,1.9
2006-04-01,EA,001,1.8
2006-01-01,EA,001,1.5
2005-10-01,EA,001,1.2
2005-07-01,EA,001,1.0
2005-04-01,EA,001,1.0
2005-01-01,EA,001,0.9
2004-10-01,EA,001,0.9
2004-07-01,EA,001,0.8
2004-04-01,EA,001,0.7
2004-01-01,EA,001,0.7
2003-10-01,EA,001,0.6
2003-07-01,EA,001,0.4
2003-04-01,EA,001,0.4
2003-01-01,EA,001,0.4
2002-10-01,EA,001,0.6
2002-07-01,EA,001,0.8
2002-04-01,EA,001,0.8
2002-01-01,EA,001,0.8
2001-10-01,EA,001,0.8
2001-07-01,EA,001,1.0
2001-04-01,EA,001,1.3
2001-01-01,EA,001,1.8
2000-10-01,EA,001,2.3
2000-07-01,EA,001,2.3
2000-04-01,EA,001,2.4
2000-01-01,EA,001,2.2
1999-10-01,EA,001,1.9
1999-07-01,EA,001,1.9
1999-04-01,EA,001,1.9
1999-01-01,EA,001,2.0
1998-10-01,EA,001,2.1
1998-07-01,EA,001,1.9
1998-04-01,EA,001,1.7
1998-01-01,EA,001,1.5
1997-10-01,EA,001,1.1
1997-07-01,EA,001,1.0
1997-04-01,EA,001,0.9
1997-01-01,EA,001,0.8
1996-10-01,EA,001,0.6
1996-07-01,EA,001,0.7
1996-04-01,EA,001,0.6
1996-01-01,EA,001,0.5
1995-10-01,EA,001,1.4
1995-07-01,EA,001,1.4
1995-04-01,EA,001,1.3
1995-01-01,EA,001,1.2
1994-10-01,EA,001,0.3
1994-07-01,EA,001,0.0
1994-04-01,EA,001,-0.5
1994-01-01,EA,001,-1.0
1993-10-01,EA,001,-1.2
1993-07-01,EA,001,-1.6
1993-04-01,EA,001,-1.9
1993-01-01,EA,001,-1.6
1992-10-01,EA,001,-1.4
1992-07-01,EA,001,-0.9
1992-04-01,EA,001,-0.7
1992-01-01,EA,001,-0.6
1991-10-01,EA,001,0.1
1991-07-01,EA,001,0.6
1991-04-01,EA,001,1.4
1991-01-01,EA,001,1.9
1990-10-01,EA,001,2.2
1990-07-01,EA,001,2.3
1990-04-01,EA,001,2.2
1990-01-01,EA,001,2.1
1989-10-01,EA,001,1.9
1989-07-01,EA,001,1.7
1989-04-01,EA,001,1.7
1989-01-01,EA,001,1.7
1988-10-01,EA,001,1.5
1988-07-01,EA,001,1.5
1988-04-01,EA,001,1.5
1988-01-01,EA,001,1.5
1987-10-01,EA,001,1.3
1987-07-01,EA,001,1.4
1987-04-01,EA,001,1.4
1987-01-01,EA,001,1.3
1986-10-01,EA,001,1.5
1986-07-01,EA,001,1.3
1986-04-01,EA,001,1.1
1986-01-01,EA,001,1.1
1985-10-01,EA,001,0.8
1985-07-01,EA,001,0.7
1985-04-01,EA,001,0.6
1985-01-01,EA,001,0.2
1984-10-01,EA,001,0.0
1984-07-01,EA,001,-0.1
1984-04-01,EA,001,-0.2
1984-01-01,EA,001,0.1
1983-10-01,EA,001,-0.2
1983-07-01,EA,001,-0.4
1983-04-01,EA,001,-0.6
1983-01-01,EA,001,-0.6
1982-10-01,EA,001,-0.2
1982-07-01,EA,001,-0.1
1982-04-01,EA,001,-0.3
1982-01-01,EA,001,-0.7
1981-10-01,EA,001,-0.7
1981-07-01,EA,001,-0.5
1981-04-01,EA,001,-0.3
1981-01-01,EA,001,0.1
2019-10-01,EA,002,116.8
2019-07-01,EA,002,116.7
2019-04-01,EA,002,115.9
2019-01-01,EA,002,115.3
2018-10-01,EA,002,114.9
2018-07-01,EA,002,114.3
2018-04-01,EA,002,113.3
2018-01-01,EA,002,112.6
2017-10-01,EA,002,112.1
2017-07-01,EA,002,111.4
2017-04-01,EA,002,111.0
2017-01-01,EA,002,110.5
2016-10-01,EA,002,110.0
2016-07-01,EA,002,109.5
2016-04-01,EA,002,109.0
2016-01-01,EA,002,108.9
2015-10-01,EA,002,108.5
2015-07-01,EA,002,108.1
2015-04-01,EA,002,107.8
2015-01-01,EA,002,107.5
2014-10-01,EA,002,107.2
2014-07-01,EA,002,106.8
2014-04-01,EA,002,106.4
2014-01-01,EA,002,106.3
2013-10-01,EA,002,105.8
2013-07-01,EA,002,105.5
2013-04-01,EA,002,105.1
2013-01-01,EA,002,104.6
2012-10-01,EA,002,104.0
2012-07-01,EA,002,103.9
2012-04-01,EA,002,103.6
2012-01-01,EA,002,103.1
2011-10-01,EA,002,102.8
2011-07-01,EA,002,102.2
2011-04-01,EA,002,102.0
2011-01-01,EA,002,101.3
2010-10-01,EA,002,100.6
2010-07-01,EA,002,100.2
2010-04-01,EA,002,99.9
2010-01-01,EA,002,99.3
2009-10-01,EA,002,99.0
2009-07-01,EA,002,98.5
2009-04-01,EA,002,97.8
2009-01-01,EA,002,97.3
2008-10-01,EA,002,97.3
2008-07-01,EA,002,96.9
2008-04-01,EA,002,96.3
2008-01-01,EA,002,95.6
2007-10-01,EA,002,94.6
2007-07-01,EA,002,93.8
2007-04-01,EA,002,93.2
2007-01-01,EA,002,92.6
2006-10-01,EA,002,92.1
2006-07-01,EA,002,91.4
2006-04-01,EA,002,91.0
2006-01-01,EA,002,90.1
2005-10-01,EA,002,90.1
2005-07-01,EA,002,89.2
2005-04-01,EA,002,88.7
2005-01-01,EA,002,88.1
2004-10-01,EA,002,87.7
2004-07-01,EA,002,87.2
2004-04-01,EA,002,87.0
2004-01-01,EA,002,86.6
2003-10-01,EA,002,86.1
2003-07-01,EA,002,86.1
2003-04-01,EA,002,85.0
2003-01-01,EA,002,84.6
