date,country_code,indicator_code,value
2017-10-01,EC,001,-130.0
2017-07-01,EC,001,61.0
2017-04-01,EC,001,53.0
2017-01-01,EC,001,264.42
2016-10-01,EC,001,-174.12
2016-07-01,EC,001,222.6
2016-04-01,EC,001,2.93
2016-01-01,EC,001,271.65
2015-10-01,EC,001,-133.38
2015-07-01,EC,001,175.38
2015-04-01,EC,001,7.4
2015-01-01,EC,001,170.01
2014-10-01,EC,001,54.33
2014-07-01,EC,001,223.32
2014-04-01,EC,001,-62.64
2014-01-01,EC,001,2224.97
2013-10-01,EC,001,-10.54
2013-07-01,EC,001,109.28
2013-04-01,EC,001,66.07
2013-01-01,EC,001,37.3
2012-10-01,EC,001,4.28
2012-07-01,EC,001,-65.61
2012-04-01,EC,001,-40.51
2012-01-01,EC,001,152.55
2011-10-01,EC,001,54.2
2011-07-01,EC,001,46.78
2011-04-01,EC,001,-15.71
2011-01-01,EC,001,65.68
2010-10-01,EC,001,-96.44
2010-07-01,EC,001,66.77
2010-04-01,EC,001,-75.77
2010-01-01,EC,001,102.89
2009-10-01,EC,001,37.21
2009-07-01,EC,001,-157.11
2009-04-01,EC,001,36.98
2009-01-01,EC,001,99.75
2008-10-01,EC,001,-168.46
2008-07-01,EC,001,6.14
2008-04-01,EC,001,45.92
2008-01-01,EC,001,146.74
2007-10-01,EC,001,-228.68
2007-07-01,EC,001,24.18
2007-04-01,EC,001,87.59
2006-05-01,EC,002,200.0
2006-04-01,EC,002,200.0
2006-03-01,EC,002,200.0
2006-02-01,EC,002,200.0
2006-01-01,EC,002,200.0
2005-12-01,EC,002,200.0
2005-11-01,EC,002,200.0
2005-10-01,EC,002,150.0
2005-09-01,EC,002,151.0
2005-08-01,EC,002,151.0
2005-07-01,EC,002,150.0
2005-06-01,EC,002,151.0
2005-05-01,EC,002,160.0
2005-04-01,EC,002,150.0
2005-03-01,EC,002,150.0
2005-02-01,EC,002,160.0
2005-01-01,EC,002,160.0
2004-12-01,EC,002,160.0
2004-11-01,EC,002,171.0
2004-10-01,EC,002,191.0
2004-09-01,EC,002,171.0
2004-08-01,EC,002,200.0
2004-07-01,EC,002,180.0
2004-06-01,EC,002,180.0
2004-05-01,EC,002,180.0
2004-04-01,EC,002,210.0
2004-03-01,EC,002,190.0
2004-02-01,EC,002,200.0
2004-01-01,EC,002,200.0
2003-12-01,EC,002,160.0
2003-11-01,EC,002,160.0
2003-10-01,EC,002,160.0
2003-09-01,EC,002,150.0
2003-08-01,EC,002,150.0
2003-07-01,EC,002,160.0
2003-06-01,EC,002,160.0
2003-05-01,EC,002,160.0
2003-04-01,EC,002,180.0
2003-03-01,EC,002,180.0
2003-02-01,EC,002,180.0
2003-01-01,EC,002,185.0
2002-12-01,EC,002,180.0
2002-11-01,EC,002,180.0
2002-10-01,EC,002,175.0
2002-09-01,EC,002,180.0
2002-08-01,EC,002,172.0
2002-07-01,EC,002,160.0
2002-06-01,EC,002,160.0
2002-05-01,EC,002,160.0
2002-04-01,EC,002,160.0
2002-03-01,EC,002,160.0
2002-02-01,EC,002,160.0
2002-01-01,EC,002,160.0
2001-12-01,EC,002,150.0
2001-11-01,EC,002,140.0
2001-10-01,EC,002,140.0
2001-09-01,EC,002,130.0
2001-08-01,EC,002,130.0
2001-07-01,EC,002,120.0
2001-06-01,EC,002,120.0
2001-05-01,EC,002,120.0
2001-04-01,EC,002,120.0
2001-03-01,EC,002,100.0
2001-02-01,EC,002,100.0
2001-01-01,EC,002,100.0
2018-01-01,EC,004,-246.0
2017-01-01,EC,004,-789.0
2016-01-01,EC,004,488.0
2015-01-01,EC,004,-2708.0
2014-01-01,EC,004,-1632.0
2013-01-01,EC,004,-2216.0
2012-01-01,EC,004,-1250.0
2011-01-01,EC,004,-1782.0
2010-01-01,EC,004,-3139.0
2009-01-01,EC,004,-1004.0
2008-01-01,EC,004,167.0
2007-01-01,EC,004,651.0
2006-01-01,EC,004,448.0
2005-01-01,EC,004,-358.0
2004-01-01,EC,004,-570.0
2003-01-01,EC,004,-663.0
2002-01-01,EC,004,-1825.0
2001-01-01,EC,004,-1052.0
2000-01-01,EC,004,878.0
1999-01-01,EC,004,698.0
1998-01-01,EC,004,-2129.0
1997-01-01,EC,004,-548.0
1996-01-01,EC,004,83.0
1995-01-01,EC,004,-815.0
1994-01-01,EC,004,-730.0
1993-01-01,EC,004,-587.0
1992-01-01,EC,004,626.0
1991-01-01,EC,004,366.0
1990-01-01,EC,004,142.0
1989-01-01,EC,004,-631.0
1988-01-01,EC,004,-607.0
1987-01-01,EC,004,-976.0
1986-01-01,EC,004,-283.0
1985-01-01,EC,004,625.0
1984-01-01,EC,004,286.0
1983-01-01,EC,004,42.0
1982-01-01,EC,004,-618.0
1981-01-01,EC,004,-148.0
1980-01-01,EC,004,-130.0
1979-01-01,EC,004,-37.0
1978-01-01,EC,004,-457.0
1977-01-01,EC,004,-202.0
1976-01-01,EC,004,-177.0
1975-01-01,EC,004,-252.0
1974-01-01,EC,004,257.0
1973-01-01,EC,004,47.0
1972-01-01,EC,004,-100.0
1971-01-01,EC,004,-168.0
1970-01-01,EC,004,-102.0
1969-01-01,EC,004,-112.0
1968-01-01,EC,004,-74.0
1967-01-01,EC,004,-49.0
1966-01-01,EC,004,-15.0
1965-01-01,EC,004,-31.0
1964-01-01,EC,004,-28.0
1963-01-01,EC,004,-13.0
1962-01-01,EC,004,-8.0
1961-01-01,EC,004,-19.0
1960-01-01,EC,004,-14.0
2007-07-01,EC,005,10.01
2007-06-01,EC,005,9.11
2007-05-01,EC,005,9.1
2007-04-01,EC,005,9.1
2007-03-01,EC,005,8.47
2007-02-01,EC,005,9.21
2007-01-01,EC,005,8.15
2006-12-01,EC,005,7.41
2006-11-01,EC,005,7.72
2006-10-01,EC,005,7.32
2006-09-01,EC,005,7.4
2006-08-01,EC,005,6.94
2006-07-01,EC,005,6.8
2006-06-01,EC,005,6.55
2006-05-01,EC,005,6.64
2006-04-01,EC,005,7.03
2006-03-01,EC,005,7.82
2006-02-01,EC,005,6.9
2006-01-01,EC,005,7.26
2005-12-01,EC,005,6.73
2005-11-01,EC,005,7.08
2005-10-01,EC,005,6.84
2005-09-01,EC,005,6.09
2005-08-01,EC,005,6.5
2005-07-01,EC,005,8.47
2005-06-01,EC,005,7.37
2005-05-01,EC,005,8.53
2005-04-01,EC,005,6.63
2005-03-01,EC,005,6.22
2005-02-01,EC,005,6.56
2005-01-01,EC,005,7.03
2004-12-01,EC,005,8.04
2004-11-01,EC,005,6.48
2004-10-01,EC,005,7.14
2004-09-01,EC,005,7.35
2004-08-01,EC,005,6.94
2004-07-01,EC,005,7.39
2004-06-01,EC,005,7.76
2004-05-01,EC,005,8.85
2004-04-01,EC,005,8.3
2004-03-01,EC,005,10.75
2004-02-01,EC,005,12.76
2004-01-01,EC,005,12.61
2003-12-01,EC,005,11.51
2003-11-01,EC,005,9.8
2003-10-01,EC,005,9.03
2003-09-01,EC,005,9.57
2003-08-01,EC,005,8.53
2003-07-01,EC,005,8.51
2003-06-01,EC,005,9.16
2003-05-01,EC,005,8.74
2003-04-01,EC,005,11.2
2003-03-01,EC,005,9.96
2003-02-01,EC,005,10.0
2003-01-01,EC,005,10.36
2002-12-01,EC,005,11.48
2002-11-01,EC,005,10.18
2002-10-01,EC,005,9.7
2002-09-01,EC,005,9.3
2002-08-01,EC,005,9.25
2002-07-01,EC,005,9.1
2002-06-01,EC,005,12.18
2002-05-01,EC,005,9.68
2002-04-01,EC,005,10.11
2002-03-01,EC,005,8.72
2002-02-01,EC,005,8.86
2002-01-01,EC,005,8.08
2001-12-01,EC,005,8.52
2001-11-01,EC,005,8.86
2001-10-01,EC,005,8.63
2001-09-01,EC,005,10.12
2001-08-01,EC,005,10.11
2001-07-01,EC,005,11.12
2001-06-01,EC,005,11.34
2001-05-01,EC,005,10.48
2001-04-01,EC,005,12.16
2001-03-01,EC,005,10.84
2001-02-01,EC,005,9.75
2001-01-01,EC,005,12.69
2000-12-01,EC,005,17.93
2000-11-01,EC,005,12.41
2000-10-01,EC,005,13.2
2000-09-01,EC,005,13.89
2000-08-01,EC,005,13.32
2000-07-01,EC,005,12.54
2000-06-01,EC,005,14.79
2000-05-01,EC,005,16.17
2000-04-01,EC,005,17.99
2000-03-01,EC,005,17.99
2020-02-01,EC,007,-130.21
2020-01-01,EC,007,-92.79
2019-12-01,EC,007,-111.62
2019-11-01,EC,007,-112.46
2019-10-01,EC,007,-97.94
2019-09-01,EC,007,-97.81
2019-08-01,EC,007,-98.24
2019-07-01,EC,007,-98.07
2019-06-01,EC,007,-97.89
2019-05-01,EC,007,-99.27
2019-04-01,EC,007,-84.44
2019-03-01,EC,007,-84.39
2019-02-01,EC,007,-84.7
2019-01-01,EC,007,-84.61
2018-12-01,EC,007,-65.61
2018-11-01,EC,007,-66.54
2018-10-01,EC,007,-71.26
2018-09-01,EC,007,-61.0
2018-08-01,EC,007,-63.44
2018-07-01,EC,007,-63.04
2018-06-01,EC,007,-63.41
2018-05-01,EC,007,-63.46
2018-04-01,EC,007,-67.76
2018-03-01,EC,007,-67.22
2018-02-01,EC,007,-68.89
2018-01-01,EC,007,-68.39
2017-12-01,EC,007,-68.8
2017-11-01,EC,007,-53.5
