date,country_code,indicator_code,value
2019-10-01,EE,001,0.47
2019-07-01,EE,001,101505.16
2019-04-01,EE,001,100065.02
2019-01-01,EE,001,1.74
2018-10-01,EE,001,1.18
2018-07-01,EE,001,0.0
2018-04-01,EE,001,2.0
2018-01-01,EE,001,0.57
2017-10-01,EE,001,4.58
2017-07-01,EE,001,2.04
2017-04-01,EE,001,-0.53
2017-01-01,EE,001,2.67
2016-10-01,EE,001,-0.19
2016-07-01,EE,001,-1.16
2016-04-01,EE,001,2.64
2016-01-01,EE,001,1.11
2015-10-01,EE,001,1.44
2015-07-01,EE,001,4.31
2015-04-01,EE,001,1.68
2015-01-01,EE,001,2.86
2014-10-01,EE,001,2.3
2014-07-01,EE,001,1.05
2014-04-01,EE,001,-0.41
2014-01-01,EE,001,-0.7
2013-10-01,EE,001,0.11
2013-07-01,EE,001,0.21
2013-04-01,EE,001,2.95
2013-01-01,EE,001,0.93
2012-10-01,EE,001,1.1
2012-07-01,EE,001,0.64
2012-04-01,EE,001,2.85
2012-01-01,EE,001,3.26
2011-10-01,EE,001,3.2
2011-07-01,EE,001,8.31
2011-04-01,EE,001,7.3
2011-01-01,EE,001,6.13
2010-10-01,EE,001,1.97
2010-07-01,EE,001,-3.8
2010-04-01,EE,001,-5.74
2010-01-01,EE,001,-9.57
2009-10-01,EE,001,-11.33
2009-07-01,EE,001,-9.49
2009-04-01,EE,001,-9.93
2009-01-01,EE,001,-7.14
2008-10-01,EE,001,-0.7
2008-07-01,EE,001,-0.71
2008-04-01,EE,001,-0.74
2008-01-01,EE,001,1.2
2007-10-01,EE,001,-0.03
2007-07-01,EE,001,1.17
2007-04-01,EE,001,0.82
2007-01-01,EE,001,1.68
2006-10-01,EE,001,4.98
2006-07-01,EE,001,5.97
2006-04-01,EE,001,6.28
2006-01-01,EE,001,6.28
2005-10-01,EE,001,3.85
2005-07-01,EE,001,3.06
2005-04-01,EE,001,2.0
2005-01-01,EE,001,0.15
2004-10-01,EE,001,-1.97
2004-07-01,EE,001,-2.47
2004-04-01,EE,001,1.33
2004-01-01,EE,001,2.6
2003-10-01,EE,001,3.94
2003-07-01,EE,001,3.39
2003-04-01,EE,001,1.33
2003-01-01,EE,001,0.17
2002-10-01,EE,001,-0.99
2002-07-01,EE,001,-0.43
2002-04-01,EE,001,1.06
2002-01-01,EE,001,0.55
2001-10-01,EE,001,1.51
2001-07-01,EE,001,0.4
2001-04-01,EE,001,-0.65
2001-01-01,EE,001,1.75
2000-10-01,EE,001,2.17
2000-07-01,EE,001,2.56
2000-04-01,EE,001,1.02
2000-01-01,EE,001,-1.62
1999-10-01,EE,001,-4.06
1999-07-01,EE,001,-4.25
1999-04-01,EE,001,-4.75
1999-01-01,EE,001,-4.86
1998-10-01,EE,001,-3.11
1998-07-01,EE,001,-1.65
1998-04-01,EE,001,-1.25
1998-01-01,EE,001,-0.96
