date,country_code,indicator_code,value
2015-01-01,EG,001,-262171.0
2014-01-01,EG,001,-234890.0
2013-01-01,EG,001,-235073.0
2012-01-01,EG,001,-167557.0
2011-01-01,EG,001,-138241.0
2010-01-01,EG,001,-93317.0
2009-01-01,EG,001,-68399.0
2008-01-01,EG,001,-56961.0
2007-01-01,EG,001,-33948.0
2006-01-01,EG,001,-44280.0
2005-01-01,EG,001,-34727.0
2004-01-01,EG,001,-27228.0
2003-01-01,EG,001,-24283.0
2002-01-01,EG,001,-25558.0
1997-01-01,EG,001,-4329.0
1996-01-01,EG,001,-3213.0
1995-01-01,EG,001,7021.0
1994-01-01,EG,001,5257.0
1993-01-01,EG,001,6569.0
1992-01-01,EG,001,-1634.0
1991-01-01,EG,001,2751.0
1990-01-01,EG,001,-1875.0
1989-01-01,EG,001,-289.0
1988-01-01,EG,001,-2084.0
1987-01-01,EG,001,-240.0
1986-01-01,EG,001,-1670.0
1985-01-01,EG,001,-1045.0
1984-01-01,EG,001,-1015.0
1983-01-01,EG,001,-118.0
1982-01-01,EG,001,-1878.0
1981-01-01,EG,001,189.0
1979-01-01,EG,001,-904.0
1978-01-01,EG,001,-331.0
1977-01-01,EG,001,-463.0
1976-01-01,EG,001,-1245.0
1975-01-01,EG,001,-623.0
2017-01-01,EG,002,11.7
2016-01-01,EG,002,12.4
2015-01-01,EG,002,13.1
2014-01-01,EG,002,13.1
2013-01-01,EG,002,13.2
2012-01-01,EG,002,12.6
2011-01-01,EG,002,11.8
2010-01-01,EG,002,8.8
2009-01-01,EG,002,9.1
2008-01-01,EG,002,8.5
2007-01-01,EG,002,8.8
2006-01-01,EG,002,10.5
2005-01-01,EG,002,11.2
2004-01-01,EG,002,10.3
2003-01-01,EG,002,11.0
2002-01-01,EG,002,10.0
2001-01-01,EG,002,9.3
2000-01-01,EG,002,9.0
1999-01-01,EG,002,7.9
1998-01-01,EG,002,8.0
1997-01-01,EG,002,8.4
1996-01-01,EG,002,9.0
1995-01-01,EG,002,11.0
