date,country_code,indicator_code,value
2018-04-01,ES,001,2.82
2018-01-01,ES,001,2.36
2017-10-01,ES,001,2.65
2017-07-01,ES,001,2.82
2017-04-01,ES,001,2.8
2017-01-01,ES,001,2.27
2016-10-01,ES,001,2.29
2016-07-01,ES,001,2.65
2016-04-01,ES,001,2.43
2016-01-01,ES,001,3.29
2015-10-01,ES,001,2.99
2015-07-01,ES,001,3.11
2015-04-01,ES,001,2.96
2015-01-01,ES,001,2.97
2014-10-01,ES,001,2.53
2014-07-01,ES,001,1.59
2014-04-01,ES,001,1.12
2014-01-01,ES,001,-0.47
2013-10-01,ES,001,-1.18
2013-07-01,ES,001,-2.48
2013-04-01,ES,001,-3.37
2013-01-01,ES,001,-4.14
2012-10-01,ES,001,-4.48
2012-07-01,ES,001,-4.42
2012-04-01,ES,001,-4.64
2012-01-01,ES,001,-3.59
2011-10-01,ES,001,-2.79
2011-07-01,ES,001,-1.78
2011-04-01,ES,001,-0.69
2011-01-01,ES,001,-1.22
2010-10-01,ES,001,-1.14
2010-07-01,ES,001,-1.46
2010-04-01,ES,001,-2.1
2010-01-01,ES,001,-3.27
2009-10-01,ES,001,-5.81
2009-07-01,ES,001,-7.09
2009-04-01,ES,001,-7.23
2009-01-01,ES,001,-6.48
2008-10-01,ES,001,-3.2
2008-07-01,ES,001,-0.95
2008-04-01,ES,001,0.32
2008-01-01,ES,001,1.74
2007-10-01,ES,001,2.59
2007-07-01,ES,001,3.3
2007-04-01,ES,001,3.47
2007-01-01,ES,001,3.52
2006-10-01,ES,001,3.52
2006-07-01,ES,001,3.44
2006-04-01,ES,001,3.82
2006-01-01,ES,001,4.5
2005-10-01,ES,001,5.51
2005-07-01,ES,001,6.19
2005-04-01,ES,001,6.34
2005-01-01,ES,001,5.44
2004-10-01,ES,001,4.23
2004-07-01,ES,001,3.64
2004-04-01,ES,001,3.42
2004-01-01,ES,001,3.96
2003-10-01,ES,001,4.41
2003-07-01,ES,001,4.3
2003-04-01,ES,001,3.91
2003-01-01,ES,001,3.7
2002-10-01,ES,001,14.29
2002-07-01,ES,001,13.67
2002-04-01,ES,001,14.01
2002-01-01,ES,001,12.77
2001-10-01,ES,001,1.75
2001-07-01,ES,001,1.8
2001-04-01,ES,001,1.78
2001-01-01,ES,001,2.83
2000-10-01,ES,001,4.06
2000-07-01,ES,001,4.8
2000-04-01,ES,001,4.91
2000-01-01,ES,001,5.25
1999-10-01,ES,001,5.24
1999-07-01,ES,001,4.66
1999-04-01,ES,001,4.65
1999-01-01,ES,001,3.94
1998-10-01,ES,001,3.31
1998-07-01,ES,001,3.65
1998-04-01,ES,001,3.57
1998-01-01,ES,001,3.3
1997-10-01,ES,001,2.95
1997-07-01,ES,001,2.69
1997-04-01,ES,001,2.95
1997-01-01,ES,001,3.31
1996-10-01,ES,001,3.3
1996-07-01,ES,001,3.19
1996-04-01,ES,001,2.62
1996-01-01,ES,001,2.65
1995-10-01,ES,001,3.17
1995-07-01,ES,001,2.97
1995-04-01,ES,001,2.55
1995-01-01,ES,001,1.93
1994-10-01,ES,001,0.4
1994-07-01,ES,001,-0.76
1994-04-01,ES,001,-1.18
1994-01-01,ES,001,-2.07
1993-10-01,ES,001,-3.48
1993-07-01,ES,001,-4.31
1993-04-01,ES,001,-4.74
1993-01-01,ES,001,-4.56
1992-10-01,ES,001,-3.29
1992-07-01,ES,001,-2.09
1992-04-01,ES,001,-1.3
1992-01-01,ES,001,-1.04
2018-04-01,ES,002,92.89
2018-01-01,ES,002,91.48
2017-10-01,ES,002,101.27
2017-07-01,ES,002,96.85
2017-04-01,ES,002,94.68
2017-01-01,ES,002,88.19
2016-10-01,ES,002,100.05
2016-07-01,ES,002,97.22
2016-04-01,ES,002,91.2
2016-01-01,ES,002,96.47
2015-10-01,ES,002,99.48
2015-07-01,ES,002,97.22
2015-04-01,ES,002,95.91
2015-01-01,ES,002,89.32
2014-10-01,ES,002,106.26
2014-07-01,ES,002,105.22
2014-04-01,ES,002,102.78
2014-01-01,ES,002,95.81
2013-10-01,ES,002,107.58
2013-07-01,ES,002,106.07
2013-04-01,ES,002,104.94
2013-01-01,ES,002,97.6
2012-10-01,ES,002,105.7
2012-07-01,ES,002,105.6
2012-04-01,ES,002,101.74
2012-01-01,ES,002,95.62
2011-10-01,ES,002,108.05
2011-07-01,ES,002,105.6
2011-04-01,ES,002,101.08
2011-01-01,ES,002,94.21
2010-10-01,ES,002,105.41
2010-07-01,ES,002,100.8
2010-04-01,ES,002,99.58
2010-01-01,ES,002,94.21
2009-10-01,ES,002,104.28
2009-07-01,ES,002,102.21
2009-04-01,ES,002,98.73
2009-01-01,ES,002,92.33
2008-10-01,ES,002,99.29
2008-07-01,ES,002,98.07
2008-04-01,ES,002,90.07
2008-01-01,ES,002,89.04
2007-10-01,ES,002,98.96
2007-07-01,ES,002,93.55
2007-04-01,ES,002,89.38
2007-01-01,ES,002,81.99
2006-10-01,ES,002,95.4
2006-07-01,ES,002,89.51
2006-04-01,ES,002,85.82
2006-01-01,ES,002,78.5
2005-10-01,ES,002,90.68
2005-07-01,ES,002,85.96
2005-04-01,ES,002,79.86
2005-01-01,ES,002,78.29
2004-10-01,ES,002,87.87
2004-07-01,ES,002,83.29
2004-04-01,ES,002,78.63
2004-01-01,ES,002,73.77
2003-10-01,ES,002,82.88
2003-07-01,ES,002,81.44
2003-04-01,ES,002,76.51
2003-01-01,ES,002,70.76
2002-10-01,ES,002,80.28
2002-07-01,ES,002,78.77
2002-04-01,ES,002,70.56
2002-01-01,ES,002,68.44
2001-10-01,ES,002,77.4
2001-07-01,ES,002,75.83
2001-04-01,ES,002,69.19
2001-01-01,ES,002,62.96
2000-10-01,ES,002,73.71
2000-07-01,ES,002,72.54
2000-04-01,ES,002,66.73
2000-01-01,ES,002,60.77
1999-10-01,ES,002,72.06
1999-07-01,ES,002,70.28
1999-04-01,ES,002,65.42
1999-01-01,ES,002,59.61
1998-10-01,ES,002,70.28
1998-07-01,ES,002,68.57
1998-04-01,ES,002,63.85
1998-01-01,ES,002,58.1
1997-10-01,ES,002,68.64
1997-07-01,ES,002,67.0
1997-04-01,ES,002,61.93
1997-01-01,ES,002,56.19
1996-10-01,ES,002,66.04
1996-07-01,ES,002,64.67
1996-04-01,ES,002,59.47
1996-01-01,ES,002,53.65
1995-10-01,ES,002,63.03
1995-07-01,ES,002,61.32
1995-04-01,ES,002,56.25
1995-01-01,ES,002,50.92
1994-10-01,ES,002,59.74
1994-07-01,ES,002,58.51
1994-04-01,ES,002,53.79
1994-01-01,ES,002,48.93
1993-10-01,ES,002,57.49
1993-07-01,ES,002,56.32
1993-04-01,ES,002,51.26
1993-01-01,ES,002,46.4
1992-10-01,ES,002,54.0
1992-07-01,ES,002,52.76
1992-04-01,ES,002,48.04
1992-01-01,ES,002,43.25
1991-10-01,ES,002,50.44
1991-07-01,ES,002,49.0
1991-04-01,ES,002,44.48
1991-01-01,ES,002,40.04
1990-10-01,ES,002,46.47
1990-07-01,ES,002,45.24
1990-04-01,ES,002,40.99
1990-01-01,ES,002,37.37
1989-10-01,ES,002,43.11
1989-07-01,ES,002,41.68
1989-04-01,ES,002,37.5
1989-01-01,ES,002,34.01
1988-10-01,ES,002,39.9
1988-07-01,ES,002,39.49
1988-04-01,ES,002,35.24
1988-01-01,ES,002,31.28
1987-10-01,ES,002,37.02
1987-07-01,ES,002,36.61
1987-04-01,ES,002,33.47
1987-01-01,ES,002,29.84
1986-10-01,ES,002,34.08
1986-07-01,ES,002,34.7
1986-04-01,ES,002,30.18
1986-01-01,ES,002,28.33
1985-10-01,ES,002,31.14
1985-07-01,ES,002,31.21
1985-04-01,ES,002,27.99
1985-01-01,ES,002,24.57
1984-10-01,ES,002,29.22
1984-07-01,ES,002,28.74
1984-04-01,ES,002,24.84
1984-01-01,ES,002,21.49
1983-10-01,ES,002,26.14
1983-07-01,ES,002,26.14
1983-04-01,ES,002,21.97
1983-01-01,ES,002,19.23
1982-10-01,ES,002,22.38
1982-07-01,ES,002,22.31
1982-04-01,ES,002,19.5
