date,country_code,indicator_code,value
2019-02-01,FI,001,6.0
2019-01-01,FI,001,-6.0
2018-12-01,FI,001,6.0
2018-11-01,FI,001,-55.0
2018-10-01,FI,001,18.0
2018-09-01,FI,001,3.0
2018-08-01,FI,001,-34.0
2018-07-01,FI,001,-106.0
2018-06-01,FI,001,117.0
2018-05-01,FI,001,64.0
2018-04-01,FI,001,15.0
2018-03-01,FI,001,7.0
2018-02-01,FI,001,7.0
2018-01-01,FI,001,-7.0
2017-12-01,FI,001,-27.0
2017-11-01,FI,001,4.0
2017-10-01,FI,001,31.0
2017-09-01,FI,001,-41.0
2017-08-01,FI,001,-54.0
2017-07-01,FI,001,-17.0
2017-06-01,FI,001,108.0
2017-05-01,FI,001,22.0
2017-04-01,FI,001,4.0
2017-03-01,FI,001,49.0
2017-02-01,FI,001,-1.0
2017-01-01,FI,001,-30.0
2016-12-01,FI,001,8.0
2016-11-01,FI,001,-33.0
2016-10-01,FI,001,-13.0
2016-09-01,FI,001,-36.0
2016-08-01,FI,001,-30.0
2016-07-01,FI,001,-33.0
2016-06-01,FI,001,108.0
2016-05-01,FI,001,28.0
2016-04-01,FI,001,2.0
2016-03-01,FI,001,38.0
2016-02-01,FI,001,-3.0
2016-01-01,FI,001,-2.0
2015-12-01,FI,001,-15.0
2015-11-01,FI,001,-46.0
2015-10-01,FI,001,-4.0
2015-09-01,FI,001,-17.0
2015-08-01,FI,001,-54.0
2015-07-01,FI,001,-3.0
2015-06-01,FI,001,93.0
2015-05-01,FI,001,4.0
2015-04-01,FI,001,47.0
2015-03-01,FI,001,-10.0
2015-02-01,FI,001,-7.0
2015-01-01,FI,001,-14.0
2014-12-01,FI,001,-9.0
2014-11-01,FI,001,3.0
2014-10-01,FI,001,-28.0
2014-09-01,FI,001,-18.0
2014-08-01,FI,001,-85.0
2014-07-01,FI,001,-11.0
2014-06-01,FI,001,101.0
2014-05-01,FI,001,12.0
2014-04-01,FI,001,56.0
2014-03-01,FI,001,-13.0
2014-02-01,FI,001,20.0
