date,country_code,indicator_code,value
2005-01-01,FJ,001,2.9
2004-01-01,FJ,001,2.9
2003-01-01,FJ,001,0.4
2002-01-01,FJ,001,0.2
2001-01-01,FJ,001,-0.4
2000-01-01,FJ,001,4.67
1999-01-01,FJ,001,-1.39
1998-01-01,FJ,001,-0.41
1997-01-01,FJ,001,1.95
1996-01-01,FJ,001,13.3575
1995-01-01,FJ,001,1.9575
1994-01-01,FJ,001,0.865
1993-01-01,FJ,001,2.1775
1992-01-01,FJ,001,1.2425
1991-01-01,FJ,001,2.41
1990-01-01,FJ,001,2.63
1989-01-01,FJ,001,7.2
1988-01-01,FJ,001,0.981
1987-01-01,FJ,001,-1.695
1986-01-01,FJ,001,-1.228
1985-01-01,FJ,001,2.482
1984-01-01,FJ,001,-1.48
1983-01-01,FJ,001,1.79
1982-01-01,FJ,001,-3.12
1981-01-01,FJ,001,0.93
1980-01-01,FJ,001,1.94
1979-01-01,FJ,001,1.96
2011-01-01,FJ,002,330.97
2010-01-01,FJ,002,332.25
2009-01-01,FJ,002,311.82
2007-01-01,FJ,002,307.0
2006-01-01,FJ,002,285.0
2004-01-01,FJ,002,270.68
2003-01-01,FJ,002,261.0
1999-01-01,FJ,002,227.0
1998-01-01,FJ,002,217.0
1997-01-01,FJ,002,219.0
1996-01-01,FJ,002,234.0
1993-01-01,FJ,002,201.0
1990-01-01,FJ,002,167.0
1989-01-01,FJ,002,158.0
1988-01-01,FJ,002,162.0
1987-01-01,FJ,002,158.0
1986-01-01,FJ,002,150.0
1985-01-01,FJ,002,150.0
1984-01-01,FJ,002,148.0
1983-01-01,FJ,002,146.0
1982-01-01,FJ,002,137.0
1981-01-01,FJ,002,127.0
1980-01-01,FJ,002,116.0
1979-01-01,FJ,002,106.0
1978-01-01,FJ,002,98.65
1977-01-01,FJ,002,88.9
1976-01-01,FJ,002,83.48
1975-01-01,FJ,002,74.62
1974-01-01,FJ,002,61.22
1973-01-01,FJ,002,49.69
1972-01-01,FJ,002,38.55
1971-01-01,FJ,002,34.05
2018-01-01,FJ,004,5312.0
2017-01-01,FJ,004,5620.0
2016-01-01,FJ,004,5213.0
2015-01-01,FJ,004,5155.0
2014-01-01,FJ,004,5202.0
2013-01-01,FJ,004,4754.0
2012-01-01,FJ,004,4706.0
2011-01-01,FJ,004,4346.0
2010-01-01,FJ,004,3748.0
2009-01-01,FJ,004,3006.0
2008-01-01,FJ,004,3475.0
2007-01-01,FJ,004,2887.0
2006-01-01,FJ,004,2914.0
2005-01-01,FJ,004,2978.0
2004-01-01,FJ,004,2775.0
2003-01-01,FJ,004,2867.0
2002-01-01,FJ,004,2698.0
2001-01-01,FJ,004,2496.0
2000-01-01,FJ,004,2539.0
1999-01-01,FJ,004,2536.0
1998-01-01,FJ,004,2173.0
1997-01-01,FJ,004,2003.0
1996-01-01,FJ,004,2035.0
1995-01-01,FJ,004,1660.0
1994-01-01,FJ,004,1633.0
1993-01-01,FJ,004,1430.0
1992-01-01,FJ,004,1294.0
1991-01-01,FJ,004,1268.0
1990-01-01,FJ,004,1337.0
1989-01-01,FJ,004,1191.0
1988-01-01,FJ,004,969.0
1987-01-01,FJ,004,719.0
1986-01-01,FJ,004,660.0
1985-01-01,FJ,004,632.0
1984-01-01,FJ,004,592.0
1983-01-01,FJ,004,540.0
1982-01-01,FJ,004,521.0
1981-01-01,FJ,004,494.0
1980-01-01,FJ,004,460.0
1979-01-01,FJ,004,399.0
1978-01-01,FJ,004,329.0
1977-01-01,FJ,004,309.0
1976-01-01,FJ,004,298.0
1975-01-01,FJ,004,263.0
1974-01-01,FJ,004,232.0
1973-01-01,FJ,004,198.0
1972-01-01,FJ,004,159.0
1971-01-01,FJ,004,136.0
1970-01-01,FJ,004,119.0
1969-01-01,FJ,004,79.0
1968-01-01,FJ,004,69.0
1967-01-01,FJ,004,59.0
1966-01-01,FJ,004,52.0
1965-01-01,FJ,004,54.0
1964-01-01,FJ,004,59.0
1963-01-01,FJ,004,49.0
1957-01-01,FJ,004,37.0
1953-01-01,FJ,004,31.0
1952-01-01,FJ,004,28.0
1951-01-01,FJ,004,18.0
1950-01-01,FJ,004,18.0
2018-06-01,FJ,005,5.7
2018-05-01,FJ,005,5.66
2018-04-01,FJ,005,5.68
2018-03-01,FJ,005,5.66
2018-02-01,FJ,005,5.65
2018-01-01,FJ,005,5.64
2017-12-01,FJ,005,5.65
2017-11-01,FJ,005,5.66
2017-10-01,FJ,005,5.69
2017-09-01,FJ,005,5.72
2017-08-01,FJ,005,5.71
2017-07-01,FJ,005,5.75
2017-06-01,FJ,005,5.77
2017-05-01,FJ,005,5.78
2017-04-01,FJ,005,5.74
2017-03-01,FJ,005,5.82
2017-02-01,FJ,005,5.76
2017-01-01,FJ,005,5.83
