date,country_code,indicator_code,value
2018-01-01,FM,001,98.0
2017-01-01,FM,001,47.0
2016-01-01,FM,001,27.0
2015-01-01,FM,001,35.0
2014-01-01,FM,001,43.0
2013-01-01,FM,001,11.0
2012-01-01,FM,001,8.0
2011-01-01,FM,001,1.0
2010-01-01,FM,001,3.0
2009-01-01,FM,001,5.0
2008-01-01,FM,001,2.0
2014-01-01,FM,002,8.9
2018-01-01,FM,004,-120.0
2017-01-01,FM,004,-151.0
2016-01-01,FM,004,-151.0
2015-01-01,FM,004,-162.0
2014-01-01,FM,004,-135.0
2013-01-01,FM,004,-166.0
2012-01-01,FM,004,-169.0
2011-01-01,FM,004,-179.0
2010-01-01,FM,004,-174.0
2009-01-01,FM,004,-182.0
2008-01-01,FM,004,-165.0
2007-01-01,FM,004,-138.0
2006-01-01,FM,004,-150.0
2005-01-01,FM,004,-148.0
2004-01-01,FM,004,-151.0
2003-01-01,FM,004,-141.0
2002-01-01,FM,004,-130.0
2001-01-01,FM,004,-138.0
2000-01-01,FM,004,-127.0
1999-01-01,FM,004,-136.0
1998-01-01,FM,004,-140.0
1997-01-01,FM,004,-145.0
1996-01-01,FM,004,-143.0
1995-01-01,FM,004,-122.0
1983-01-01,FM,004,-86.0
2019-01-01,FM,005,15.7
2018-12-01,FM,005,15.7
2018-11-01,FM,005,15.7
2018-10-01,FM,005,15.7
2018-09-01,FM,005,15.7
2018-08-01,FM,005,10.45
2018-07-01,FM,005,10.45
2018-06-01,FM,005,15.7
2018-05-01,FM,005,10.45
2018-04-01,FM,005,15.7
2018-03-01,FM,005,15.7
2018-02-01,FM,005,16.1
2018-01-01,FM,005,16.1
2017-12-01,FM,005,16.1
2017-11-01,FM,005,15.7
2017-10-01,FM,005,15.7
2017-09-01,FM,005,15.7
2017-08-01,FM,005,15.7
2017-07-01,FM,005,15.7
2017-06-01,FM,005,15.7
2017-05-01,FM,005,15.7
2017-04-01,FM,005,15.7
2017-03-01,FM,005,15.7
2017-02-01,FM,005,15.7
2017-01-01,FM,005,15.7
2016-12-01,FM,005,15.7
2016-11-01,FM,005,15.7
2016-10-01,FM,005,15.7
2016-09-01,FM,005,15.7
2016-08-01,FM,005,15.7
2016-07-01,FM,005,15.7
2016-06-01,FM,005,15.7
2016-05-01,FM,005,15.7
2016-04-01,FM,005,15.7
2016-03-01,FM,005,15.7
2016-02-01,FM,005,15.7
2016-01-01,FM,005,15.7
2015-12-01,FM,005,15.7
2015-11-01,FM,005,15.7
2015-10-01,FM,005,15.7
2015-09-01,FM,005,15.7
2015-08-01,FM,005,16.1
2015-07-01,FM,005,16.1
2015-06-01,FM,005,16.1
2015-05-01,FM,005,16.1
2015-04-01,FM,005,16.1
2015-03-01,FM,005,15.7
2015-02-01,FM,005,16.1
2015-01-01,FM,005,16.1
2014-12-01,FM,005,15.7
2014-11-01,FM,005,16.1
2014-10-01,FM,005,16.1
2014-09-01,FM,005,15.7
2014-08-01,FM,005,16.1
2014-07-01,FM,005,16.1
2014-06-01,FM,005,15.7
2014-05-01,FM,005,15.7
2014-04-01,FM,005,15.7
2014-03-01,FM,005,15.7
2014-02-01,FM,005,15.7
2014-01-01,FM,005,15.7
2013-12-01,FM,005,15.7
2013-11-01,FM,005,15.7
2013-10-01,FM,005,15.7
2013-09-01,FM,005,15.7
2013-08-01,FM,005,15.7
2013-07-01,FM,005,14.2
2013-06-01,FM,005,14.2
2013-05-01,FM,005,14.2
2013-04-01,FM,005,14.2
2013-03-01,FM,005,14.2
2013-02-01,FM,005,14.2
