date,country_code,indicator_code,value
2018-01-01,GA,004,2718429.0
2017-01-01,GA,004,2200582.0
2016-01-01,GA,004,1490705.0
2015-01-01,GA,004,1540337.0
2014-01-01,GA,004,1395122.0
2013-01-01,GA,004,2092661.0
2012-01-01,GA,004,2591188.0
2011-01-01,GA,004,2831096.0
2010-01-01,GA,004,1861025.0
2009-01-01,GA,004,1187190.0
2008-01-01,GA,004,2458505.0
2007-01-01,GA,004,1903218.0
2006-01-01,GA,004,1753194.0
2005-01-01,GA,004,1822360.0
2004-01-01,GA,004,1160043.0
2003-01-01,GA,004,889540.0
2002-01-01,GA,004,757233.0
2001-01-01,GA,004,916514.0
2000-01-01,GA,004,1312029.0
1999-01-01,GA,004,617080.0
1998-01-01,GA,004,-30737.0
1997-01-01,GA,004,748415.0
1996-01-01,GA,004,863808.0
1995-01-01,GA,004,585120.0
1994-01-01,GA,004,545035.0
1993-01-01,GA,004,218086.0
1992-01-01,GA,004,181809.0
1991-01-01,GA,004,213266.0
1990-01-01,GA,004,246000.0
1989-01-01,GA,004,61400.0
1988-01-01,GA,004,-57800.0
1987-01-01,GA,004,-24900.0
1986-01-01,GA,004,-230000.0
1985-01-01,GA,004,79400.0
1984-01-01,GA,004,294000.0
1983-01-01,GA,004,229800.0
1982-01-01,GA,004,260700.0
1981-01-01,GA,004,237900.0
1980-01-01,GA,004,299200.0
1979-01-01,GA,004,135900.0
1978-01-01,GA,004,80000.0
1977-01-01,GA,004,2300.0
1976-01-01,GA,004,-3700.0
1975-01-01,GA,004,7500.0
1974-01-01,GA,004,53100.0
1973-01-01,GA,004,1900.0
1972-01-01,GA,004,900.0
1971-01-01,GA,004,14700.0
1970-01-01,GA,004,10500.0
1969-01-01,GA,004,500.0
1968-01-01,GA,004,-600.0
1967-01-01,GA,004,0.0
1966-01-01,GA,004,100.0
1965-01-01,GA,004,3300.0
1964-01-01,GA,004,3139.0
1963-01-01,GA,004,647.0
1962-01-01,GA,004,424.0
1961-01-01,GA,004,-185.0
1960-01-01,GA,004,535.0
2008-04-01,GA,005,15.0
2008-01-01,GA,005,15.0
2007-10-01,GA,005,15.0
2007-07-01,GA,005,15.0
2007-04-01,GA,005,15.0
2007-01-01,GA,005,15.0
2006-10-01,GA,005,15.0
2006-07-01,GA,005,15.0
2006-04-01,GA,005,15.0
2006-01-01,GA,005,16.33
2005-10-01,GA,005,17.0
2005-07-01,GA,005,17.67
2005-04-01,GA,005,18.0
2005-01-01,GA,005,18.0
2004-10-01,GA,005,18.0
2004-07-01,GA,005,18.0
2004-04-01,GA,005,18.0
2004-01-01,GA,005,18.0
2003-10-01,GA,005,18.0
2003-07-01,GA,005,18.0
2003-04-01,GA,005,18.0
2003-01-01,GA,005,18.0
2002-10-01,GA,005,18.0
2002-07-01,GA,005,18.0
2002-04-01,GA,005,18.0
2002-01-01,GA,005,18.0
2001-10-01,GA,005,18.0
2001-07-01,GA,005,20.67
2001-04-01,GA,005,22.0
2001-01-01,GA,005,22.0
2000-10-01,GA,005,22.0
2000-07-01,GA,005,22.0
2000-04-01,GA,005,22.0
2000-01-01,GA,005,22.0
1999-10-01,GA,005,22.0
1999-07-01,GA,005,22.0
1999-04-01,GA,005,22.0
1999-01-01,GA,005,22.0
1998-10-01,GA,005,22.0
1998-07-01,GA,005,22.0
1998-04-01,GA,005,22.0
1998-01-01,GA,005,22.0
1997-10-01,GA,005,22.0
1997-07-01,GA,005,22.0
1997-04-01,GA,005,22.0
1997-01-01,GA,005,22.0
1996-10-01,GA,005,22.0
1996-07-01,GA,005,22.0
1996-04-01,GA,005,22.0
1996-01-01,GA,005,22.0
1995-10-01,GA,005,16.0
1995-07-01,GA,005,16.0
1995-04-01,GA,005,16.0
1995-01-01,GA,005,16.0
1994-10-01,GA,005,16.0
1994-07-01,GA,005,16.67
1994-04-01,GA,005,18.33
1994-01-01,GA,005,19.0
1993-10-01,GA,005,17.17
1993-07-01,GA,005,17.0
1993-04-01,GA,005,17.67
1993-01-01,GA,005,18.0
1992-10-01,GA,005,17.5
1992-07-01,GA,005,17.42
1992-04-01,GA,005,17.92
1992-01-01,GA,005,18.25
1991-10-01,GA,005,18.08
1991-07-01,GA,005,18.0
1991-04-01,GA,005,18.0
1991-01-01,GA,005,18.5
1990-10-01,GA,005,18.5
2019-01-01,GA,007,744531.0
2018-12-01,GA,007,794396.0
2018-11-01,GA,007,562088.0
2018-10-01,GA,007,409011.0
2018-09-01,GA,007,432436.0
2018-08-01,GA,007,425201.0
2018-07-01,GA,007,471724.0
2018-06-01,GA,007,475274.0
2018-05-01,GA,007,501160.0
2018-04-01,GA,007,477843.0
2018-03-01,GA,007,351284.0
2018-02-01,GA,007,455162.0
2018-01-01,GA,007,454710.0
2017-12-01,GA,007,521199.0
2017-11-01,GA,007,427815.0
2017-10-01,GA,007,413323.0
2017-09-01,GA,007,380525.0
2017-08-01,GA,007,407911.0
2017-07-01,GA,007,311716.0
2017-06-01,GA,007,298893.0
2017-05-01,GA,007,421741.0
2017-04-01,GA,007,487523.0
2017-03-01,GA,007,521309.0
2017-02-01,GA,007,384458.0
2017-01-01,GA,007,438638.0
2016-12-01,GA,007,459618.0
2016-11-01,GA,007,546641.0
2016-10-01,GA,007,619140.0
2016-09-01,GA,007,715205.0
2016-08-01,GA,007,773585.0
2016-07-01,GA,007,815705.0
2016-06-01,GA,007,930194.0
2016-05-01,GA,007,971758.0
2016-04-01,GA,007,1027996.0
2016-03-01,GA,007,1042429.0
2016-02-01,GA,007,984746.0
2016-01-01,GA,007,1141557.0
2015-12-01,GA,007,1119099.0
2015-11-01,GA,007,1174141.0
2015-10-01,GA,007,1194630.0
2015-09-01,GA,007,1246200.0
2015-08-01,GA,007,1304927.0
2015-07-01,GA,007,1352333.0
2015-06-01,GA,007,1425477.0
2015-05-01,GA,007,1158985.0
2015-04-01,GA,007,1216473.0
2015-03-01,GA,007,1134119.0
2015-02-01,GA,007,1187275.0
2015-01-01,GA,007,1290184.0
2014-12-01,GA,007,1307523.0
2014-11-01,GA,007,1319437.0
2014-10-01,GA,007,1325544.0
2014-09-01,GA,007,1280100.0
2014-08-01,GA,007,1310883.0
2014-07-01,GA,007,1389063.0
2014-06-01,GA,007,1439765.0
2014-05-01,GA,007,1466948.0
2014-04-01,GA,007,1534045.0
2014-03-01,GA,007,1578431.0
2014-02-01,GA,007,1558827.0
2014-01-01,GA,007,1618502.0
2013-12-01,GA,007,1420205.0
2013-11-01,GA,007,1102218.0
2013-10-01,GA,007,1133629.0
2013-09-01,GA,007,1154912.0
2013-08-01,GA,007,1216386.0
2013-07-01,GA,007,1275597.0
2013-06-01,GA,007,1114771.0
2013-05-01,GA,007,1097761.0
2013-04-01,GA,007,1195080.0
2013-03-01,GA,007,1033138.0
2013-02-01,GA,007,1047116.0
2013-01-01,GA,007,1180661.0
2012-12-01,GA,007,1097428.0
2012-11-01,GA,007,1135066.0
2012-10-01,GA,007,1196970.0
