date,country_code,indicator_code,value
2018-01-01,GD,004,-31.0
2017-01-01,GD,004,-55.0
2016-01-01,GD,004,-14.0
2015-01-01,GD,004,10.0
2014-01-01,GD,004,-39.0
2013-01-01,GD,004,-567.0
2012-01-01,GD,004,-511.0
2011-01-01,GD,004,-538.0
2010-01-01,GD,004,-529.0
2009-01-01,GD,004,-469.0
2008-01-01,GD,004,-659.0
2007-01-01,GD,004,-612.0
2006-01-01,GD,004,-648.0
2005-01-01,GD,004,-668.0
2004-01-01,GD,004,-328.0
2003-01-01,GD,004,-356.0
2002-01-01,GD,004,-269.0
2001-01-01,GD,004,-224.0
2000-01-01,GD,004,-201.0
1999-01-01,GD,004,-130.0
1998-01-01,GD,004,-236.0
1997-01-01,GD,004,-199.0
1996-01-01,GD,004,-169.0
1995-01-01,GD,004,-123.0
1994-01-01,GD,004,-95.0
1993-01-01,GD,004,-132.0
1992-01-01,GD,004,-105.0
1991-01-01,GD,004,-139.0
1990-01-01,GD,004,-123.0
1989-01-01,GD,004,-117.0
1988-01-01,GD,004,-91.0
1987-01-01,GD,004,-95.0
1986-01-01,GD,004,-81.0
1985-01-01,GD,004,-89.0
1984-01-01,GD,004,-79.0
1983-01-01,GD,004,-89.0
1982-01-01,GD,004,-110.0
1981-01-01,GD,004,-106.0
1980-01-01,GD,004,-72.0
1979-01-01,GD,004,-45.0
1978-01-01,GD,004,-15.0
1977-01-01,GD,004,-15.0
2019-12-01,GD,005,7.45
2019-11-01,GD,005,7.47
2019-10-01,GD,005,7.47
2019-09-01,GD,005,7.47
2019-08-01,GD,005,7.58
2019-07-01,GD,005,7.58
2019-06-01,GD,005,7.58
2019-05-01,GD,005,7.58
2019-04-01,GD,005,7.58
2019-03-01,GD,005,7.58
2019-02-01,GD,005,7.76
2019-01-01,GD,005,7.76
2018-12-01,GD,005,7.76
2018-11-01,GD,005,7.79
2018-10-01,GD,005,7.79
2018-09-01,GD,005,7.79
2018-08-01,GD,005,7.81
2018-07-01,GD,005,7.81
2018-06-01,GD,005,7.81
2018-05-01,GD,005,7.81
2018-04-01,GD,005,7.81
